date,open,high,low,close,volume
1999-11-01,15.0000,15.0000,14.5000,14.8100,10000
1999-11-02,14.8100,15.1300,14.5000,15.0000,6200
1999-11-03,14.8800,14.8800,14.3100,14.3800,7700
1999-11-04,14.2500,14.8800,14.2500,14.8100,9500
1999-11-05,14.6900,14.7500,14.6300,14.7500,3000
1999-11-08,14.6900,14.7500,14.3800,14.7500,6000
1999-11-09,14.3100,14.3800,14.1900,14.3800,5000
1999-11-10,14.3800,14.9400,14.1900,14.9400,12500
1999-11-11,14.8800,14.8800,14.3800,14.8100,9100
1999-11-12,14.7500,15.3800,14.5000,15.3800,7900
1999-11-15,15.3100,15.3100,14.7500,15.0600,7400
1999-11-16,14.8800,15.2500,14.7500,15.0000,15400
1999-11-17,14.9400,15.2500,14.9400,15.0600,9100
1999-11-18,15.2500,15.2500,14.7500,14.7500,8400
1999-11-19,14.7500,15.0000,14.7500,14.8100,5500
1999-11-22,14.6900,14.7500,14.5600,14.5600,1400
1999-11-23,14.6900,14.6900,14.2500,14.4400,2300
1999-11-24,14.4400,14.4400,14.2500,14.3800,15300
1999-11-26,14.5000,14.6300,14.5000,14.6300,1300
1999-11-29,14.5000,14.8800,14.5000,14.6900,1400
1999-11-30,14.5600,14.6900,14.2500,14.2500,6400
1999-12-01,14.2500,14.5000,14.1300,14.3100,6500
1999-12-02,14.2500,14.2500,14.0600,14.0600,4100
1999-12-03,14.0600,14.0600,14.0600,14.0600,5500
1999-12-06,14.0000,14.0000,13.5000,13.5000,5400
1999-12-07,13.5000,13.6300,13.4400,13.5000,7600
1999-12-08,13.5000,13.8800,13.5000,13.7500,7500
1999-12-09,13.7500,14.0000,13.6300,13.8800,6900
1999-12-10,14.0000,14.1300,13.5000,14.0000,6300
1999-12-13,14.1300,14.6300,14.1300,14.1900,22100
1999-12-14,14.3100,14.4400,14.1300,14.1300,5400
1999-12-15,14.0000,14.0000,13.7500,14.0000,4000
1999-12-16,14.0000,14.0000,13.8800,13.8800,600
1999-12-17,13.9400,13.9400,13.1300,13.6300,11800
1999-12-20,13.6300,13.7500,13.5000,13.6300,4100
1999-12-21,13.7500,13.8800,13.0000,13.6300,16100
1999-12-22,13.6300,13.9400,13.3800,13.8800,24200
1999-12-23,13.9400,13.9400,13.7500,13.9400,2900
1999-12-27,14.0000,14.0000,13.1300,14.0000,25800
1999-12-28,13.9400,14.5000,13.7500,14.5000,9400
1999-12-29,14.6300,14.7500,14.2500,14.7500,6900
1999-12-30,14.6300,14.6300,13.7500,14.5000,16700
1999-12-31,14.2500,14.7500,14.0000,14.7500,3600
2000-01-03,14.6300,14.6300,13.7500,13.7500,5200
2000-01-04,13.7500,14.2500,13.5600,14.0000,3900
2000-01-05,13.9400,14.5000,13.9400,14.3800,3800
2000-01-06,13.6900,14.3800,13.6300,14.1900,15500
2000-01-07,14.1900,14.1900,14.1900,14.1900,0
2000-01-10,14.1300,14.1900,14.0000,14.1900,3200
2000-01-11,14.0000,14.1900,14.0000,14.1300,10200
2000-01-12,14.1300,14.2500,14.0000,14.0000,2700
2000-01-13,14.0000,14.0000,14.0000,14.0000,0
2000-01-14,13.8800,14.1300,13.7500,13.7500,3600
2000-01-18,13.7500,14.3800,13.6900,14.3800,13700
2000-01-19,14.3100,14.7500,14.3100,14.7500,32400
2000-01-20,14.6300,14.9400,14.3800,14.5000,7400
2000-01-21,14.5000,14.8800,14.0000,14.5000,26800
2000-01-24,14.3100,14.5000,13.7500,14.1300,38500
2000-01-25,14.0000,14.0000,13.5000,13.6300,5500
2000-01-26,13.5000,13.6300,13.0600,13.5000,31400
2000-01-27,13.5000,13.6300,13.4400,13.6300,12300
2000-01-28,13.2500,14.6900,13.2500,14.6900,15200
2000-01-31,14.3800,15.5000,14.2500,15.5000,29800
2000-02-01,15.0000,15.0000,14.6300,14.8100,10000
2000-02-02,14.5000,14.6300,14.1900,14.4400,4100
2000-02-03,14.3100,15.0000,14.1900,15.0000,3300
2000-02-04,14.8100,15.1300,14.2500,15.1300,10000
2000-02-07,15.1300,15.1300,14.7500,15.0000,12800
2000-02-08,14.6300,14.8100,14.0000,14.4400,16300
2000-02-09,13.9400,14.0000,13.7500,14.0000,4700
2000-02-10,13.8800,13.8800,13.8800,13.8800,3800
2000-02-11,14.0000,14.2500,13.8800,14.0000,14300
2000-02-14,14.0000,14.3800,13.8100,14.3800,16900
2000-02-15,14.3800,14.6300,14.3800,14.6300,4100
2000-02-16,14.6300,14.6300,14.3800,14.5000,5300
2000-02-17,14.6300,14.7500,14.2500,14.2500,7300
2000-02-18,14.1300,14.2500,14.1300,14.1900,3000
2000-02-22,13.6900,13.9400,13.6900,13.9400,10100
2000-02-23,13.9400,14.0000,13.6300,13.6300,10600
2000-02-24,13.7500,14.0000,13.5600,13.5600,6700
2000-02-25,13.6900,14.1300,13.5600,14.0000,11500
2000-02-28,14.2500,14.2500,13.8800,13.8800,11600
2000-02-29,14.0000,14.1300,13.8100,13.8800,3300
2000-03-01,14.1300,14.5000,14.0000,14.3100,13700
2000-03-02,14.2500,14.2500,13.9400,13.9400,2100
2000-03-03,13.8800,13.8800,13.8100,13.8100,2600
2000-03-06,13.8800,13.8800,13.6300,13.6900,4500
2000-03-07,13.6900,13.7500,13.5600,13.7500,14000
2000-03-08,13.7500,13.7500,13.5000,13.6300,20500
2000-03-09,13.5600,13.6300,13.4400,13.5000,4800
2000-03-10,13.4400,13.5600,13.3800,13.5600,9000
2000-03-13,13.5600,13.7500,13.3800,13.7500,26900
2000-03-14,13.3800,13.5000,13.3800,13.5000,12200
2000-03-15,13.5000,13.6300,13.0000,13.4400,202100
2000-03-16,13.5000,13.6300,13.2500,13.5000,6800
2000-03-17,13.6300,13.6300,13.6300,13.6300,1000
2000-03-20,13.5000,13.5000,13.2500,13.2500,11500
2000-03-21,13.3800,13.7500,13.3800,13.7500,6700
2000-03-22,13.5600,13.5600,13.3800,13.4400,4800
2000-03-23,13.5600,13.7500,13.5000,13.7500,3100
2000-03-24,13.5000,13.6900,13.4400,13.6900,4700
2000-03-27,13.5600,13.6300,13.2500,13.6300,5200
2000-03-28,13.5000,13.7500,13.5000,13.7500,15600
2000-03-29,13.6300,13.7500,13.3100,13.5000,14700
2000-03-30,13.4400,13.6300,13.2500,13.6300,5900
2000-03-31,13.5600,13.5600,13.2500,13.2500,9200
2000-04-03,13.2500,13.6300,13.2500,13.6300,1000
2000-04-04,13.5000,13.5600,13.2500,13.2500,4100
2000-04-05,13.2500,13.2500,13.1300,13.2500,13900
2000-04-06,13.1300,13.2500,13.0600,13.1300,25400
2000-04-07,13.2500,13.2500,13.0000,13.0600,11600
2000-04-10,13.0000,13.5000,13.0000,13.0000,13900
2000-04-11,13.0600,13.3800,13.0000,13.1900,9800
2000-04-12,13.1900,13.6300,13.1900,13.6300,2800
2000-04-13,13.5000,13.5000,13.2500,13.3800,2700
2000-04-14,13.4400,13.4400,12.2500,13.0000,27600
2000-04-17,13.2500,13.3800,13.0000,13.1300,11800
2000-04-18,13.1300,13.1300,13.0000,13.0600,7600
2000-04-19,13.0000,13.0000,12.8800,13.0000,5800
2000-04-20,13.1300,13.3100,13.1300,13.3100,31700
2000-04-24,13.1900,13.1900,13.0000,13.0000,3400
2000-04-25,13.0600,13.1300,13.0600,13.1300,15300
2000-04-26,13.1300,13.1300,13.0000,13.0000,5200
2000-04-27,13.1300,13.2500,13.1300,13.1300,25600
2000-04-28,13.0600,13.2500,13.0600,13.2500,1200
2000-05-01,13.3800,13.6300,13.3800,13.6300,6400
2000-05-02,13.5000,13.5000,13.3800,13.3800,3000
2000-05-03,13.6300,13.8800,13.6300,13.8800,7600
2000-05-04,13.8800,13.8800,13.7500,13.7500,3200
2000-05-05,13.6900,13.6900,13.6300,13.6900,9100
2000-05-08,13.7500,13.8100,13.6900,13.8100,7800
2000-05-09,13.6900,13.8800,13.6900,13.8800,8400
2000-05-10,13.5600,13.8800,13.3800,13.7500,6600
2000-05-11,13.6300,13.6900,13.6300,13.6300,3100
2000-05-12,13.6300,13.6300,13.3100,13.4400,2500
2000-05-15,13.3800,13.5000,13.1900,13.3800,2800
2000-05-16,13.2500,13.3800,13.2500,13.3800,700
2000-05-17,13.3100,13.3100,13.3100,13.3100,400
2000-05-18,13.3800,13.3800,13.0600,13.1300,5900
2000-05-19,13.1300,13.1300,12.6300,12.7500,8800
2000-05-22,13.0000,13.1300,12.8800,13.0000,11700
2000-05-23,13.0000,13.0000,12.9400,12.9400,12100
2000-05-24,13.0000,13.1300,12.7500,12.8800,12500
2000-05-25,12.5000,12.7500,12.5000,12.7500,8300
2000-05-26,12.8800,13.5000,12.8800,13.5000,10700
2000-05-30,13.6300,13.8800,13.6300,13.8800,4000
2000-05-31,13.8100,14.1900,13.8100,14.1900,10900
2000-06-01,14.0600,14.2500,14.0000,14.0000,8600
2000-06-02,14.1300,14.1900,13.8100,14.1900,9000
2000-06-05,14.1300,14.2500,13.7500,14.2500,13200
2000-06-06,14.1300,14.3100,14.1300,14.1900,5600
2000-06-07,14.1900,14.1900,14.1300,14.1900,2900
2000-06-08,14.1300,14.1900,13.8800,13.8800,6100
2000-06-09,13.8800,13.8800,13.7500,13.7500,2300
2000-06-12,13.6300,13.7500,13.6300,13.7500,4700
2000-06-13,13.6900,14.2500,13.6900,14.2500,8400
2000-06-14,14.2500,14.2500,14.1900,14.2500,7000
2000-06-15,14.2500,14.2500,13.8800,14.0000,5900
2000-06-16,14.0000,14.3100,13.9400,14.3100,3900
2000-06-19,14.4400,14.5000,14.3800,14.3800,2300
2000-06-20,14.5000,14.6300,14.2500,14.6300,9700
2000-06-21,14.5600,14.7500,14.4400,14.7500,3400
2000-06-22,14.7500,15.1300,14.7500,15.0600,8600
2000-06-23,14.7500,14.7500,14.3800,14.5600,2300
2000-06-26,14.4400,15.1900,14.4400,14.8800,7100
2000-06-27,15.0000,16.2500,15.0000,16.2500,21000
2000-06-28,16.3100,16.3700,15.2500,15.2500,11500
2000-06-29,15.1300,16.0000,15.0000,16.0000,9600
2000-06-30,15.8800,16.0000,15.6300,15.8800,4600
2000-07-03,15.8800,16.3700,15.8800,16.3700,4800
2000-07-05,16.3100,16.3100,15.8800,16.1200,9000
2000-07-06,15.9400,15.9400,15.9400,15.9400,1300
2000-07-07,15.9400,15.9400,15.8100,15.9400,4900
2000-07-10,15.9400,16.0000,15.8100,16.0000,5800
2000-07-11,16.0000,16.0000,16.0000,16.0000,0
2000-07-12,15.8800,15.8800,15.6300,15.8100,8000
2000-07-13,15.7500,16.0000,15.7500,15.9400,2900
2000-07-14,16.0000,17.0000,16.0000,17.0000,42100
2000-07-17,17.0600,17.0600,16.2500,16.6200,8600
2000-07-18,16.7500,16.7500,16.5600,16.6200,800
2000-07-19,16.5000,16.5000,15.8800,15.8800,15300
2000-07-20,15.8800,16.0000,15.8800,16.0000,13500
2000-07-21,15.9400,15.9400,15.8800,15.8800,1900
2000-07-24,16.0000,16.0000,16.0000,16.0000,800
2000-07-25,15.9400,17.0000,15.9400,16.5600,15000
2000-07-26,16.5000,16.8700,16.2500,16.8700,26100
2000-07-27,16.7500,16.7500,16.0000,16.3700,7900
2000-07-28,16.1200,16.1200,16.0000,16.0000,2600
2000-07-31,16.1900,16.1900,16.1900,16.1900,200
2000-08-01,16.0000,16.0000,15.8800,15.8800,3800
2000-08-02,16.0000,16.0000,16.0000,16.0000,4000
2000-08-03,15.9400,16.2500,15.9400,16.0600,8100
2000-08-04,16.1200,16.2500,16.1200,16.2500,5100
2000-08-07,16.1900,16.4400,16.0000,16.4400,8300
2000-08-08,16.4400,16.7500,16.4400,16.6200,10900
2000-08-09,16.4400,16.4400,16.4400,16.4400,800
2000-08-10,16.3100,16.3100,16.2500,16.2500,2100
2000-08-11,16.1200,16.1200,16.0000,16.0000,2600
2000-08-14,15.7500,15.7500,15.1300,15.2500,10800
2000-08-15,15.2500,15.5000,14.1300,15.5000,39100
2000-08-16,15.5000,15.5000,15.5000,15.5000,500
2000-08-17,15.6300,15.6300,15.6300,15.6300,4000
2000-08-18,15.8100,15.8100,15.6300,15.6300,4500
2000-08-21,15.7500,16.0000,15.6300,15.9400,8500
2000-08-22,16.0000,16.4400,16.0000,16.1900,8300
2000-08-23,16.2500,16.5600,16.2500,16.3700,10900
2000-08-24,16.5000,16.6200,16.2500,16.5600,5300
2000-08-25,16.3100,16.3700,16.3100,16.3700,19000
2000-08-28,16.6200,16.6900,16.5000,16.5000,4000
2000-08-29,16.5000,16.5000,16.3100,16.3100,11500
2000-08-30,16.3100,16.5000,16.1200,16.5000,5500
2000-08-31,16.2500,16.3700,16.2500,16.3700,1200
2000-09-01,16.3700,16.5000,16.2500,16.5000,4700
2000-09-05,16.5000,16.7500,16.4400,16.6900,4300
2000-09-06,16.8100,16.9400,16.7500,16.7500,8900
2000-09-07,16.8100,16.9400,16.6900,16.8100,10300
2000-09-08,16.9400,17.0000,16.9400,17.0000,12200
2000-09-11,16.9400,16.9400,16.6200,16.6200,36000
2000-09-12,16.5000,17.0600,16.5000,16.7500,13700
2000-09-13,16.6200,17.0000,16.5600,17.0000,11400
2000-09-14,17.1200,17.5000,17.0600,17.3700,15600
2000-09-15,17.2500,17.4400,17.1900,17.1900,6900
2000-09-18,17.0600,17.3100,17.0000,17.3100,11800
2000-09-19,17.1200,17.2500,16.8700,16.8700,8300
2000-09-20,16.9400,17.7500,16.8700,17.5600,9300
2000-09-21,17.6200,17.7500,17.6200,17.7500,12900
2000-09-22,17.5000,17.7500,17.3700,17.6900,12300
2000-09-25,17.7500,17.8100,17.3700,17.3700,17600
2000-09-26,17.5000,17.6200,17.3700,17.5600,4700
2000-09-27,17.5000,17.7500,17.5000,17.7500,4500
2000-09-28,17.6200,17.6200,17.5000,17.6200,2000
2000-09-29,17.7500,18.0000,17.6900,18.0000,8600
2000-10-02,18.0000,18.0600,17.9400,17.9400,6400
2000-10-03,18.0000,18.1200,17.8700,17.8700,5600
2000-10-04,17.8100,17.8100,17.5000,17.5000,6500
2000-10-05,17.3700,17.3700,17.3100,17.3100,2900
2000-10-06,17.3100,17.3100,17.2500,17.2500,2900
2000-10-09,17.2500,17.2500,17.2500,17.2500,0
2000-10-10,17.3100,17.3100,17.0000,17.2500,9300
2000-10-11,17.2500,17.2500,17.0600,17.1200,3800
2000-10-12,17.0600,17.3700,17.0600,17.2500,10700
2000-10-13,17.3100,17.3100,17.1200,17.1200,2000
2000-10-16,17.0000,17.0000,16.5000,16.5000,6800
2000-10-17,16.4400,16.6900,16.3100,16.6200,13200
2000-10-18,16.5000,16.6200,16.3700,16.3700,5900
2000-10-19,16.3700,16.5000,16.3700,16.5000,2100
2000-10-20,16.5600,16.6200,16.3700,16.3700,3200
2000-10-23,16.5000,16.5000,16.5000,16.5000,1200
2000-10-24,16.6900,16.8100,16.5000,16.5000,7200
2000-10-25,16.5600,16.6900,16.5600,16.6200,4000
2000-10-26,16.7500,17.0600,16.7500,17.0600,4200
2000-10-27,16.9400,16.9400,16.8100,16.8100,7000
