date,open,high,low,close,volume
2021-12-09,11.2500,12.2400,10.0100,10.3300,90160804
2021-12-10,11.4500,11.8500,9.8000,11.8500,50077329
2021-12-13,11.1000,11.2900,10.3100,10.8100,19658350
2021-12-14,10.5500,10.5800,9.2700,9.9200,22728085
2021-12-15,9.6300,10.2900,9.4200,10.0100,12663878
2021-12-16,10.4500,10.4900,9.5600,10.0000,13981345
2021-12-17,9.9250,10.1700,9.1400,9.8000,21560828
2021-12-20,9.2000,9.3500,8.7500,8.9400,15772460
2021-12-21,9.0200,9.2400,8.8400,9.2300,8402568
2021-12-22,9.1200,9.1800,8.9900,9.1200,7094954
2021-12-23,9.1300,10.0000,9.1100,9.8300,5794458
2021-12-27,9.7900,9.8900,9.4600,9.7400,2501410
2021-12-28,9.6800,9.7000,9.3600,9.4000,2217737
2021-12-29,9.3700,9.4600,9.2500,9.3200,2965757
2021-12-30,9.3700,9.6300,9.3700,9.4000,2375196
2021-12-31,9.3700,9.4700,9.2800,9.3800,1612609
2022-01-03,9.6000,10.0000,9.5500,9.9800,6901698
2022-01-04,10.1500,10.2200,9.4800,9.7400,8551827
2022-01-05,9.6800,9.7100,8.9200,9.0400,13773449
2022-01-06,9.0100,9.5300,8.4600,9.5200,11014161
2022-01-07,9.5000,9.6800,9.1400,9.3600,4784699
2022-01-10,9.0200,9.1000,8.6700,9.0000,7856859
2022-01-11,8.9700,9.4500,8.8000,9.3400,7728325
2022-01-12,9.3300,9.3800,8.7300,9.0000,13579880
2022-01-13,9.0000,9.0399,8.6700,8.6700,7173746
2022-01-14,8.6600,8.7000,8.1100,8.1200,7739356
2022-01-18,8.0000,8.0000,7.4200,7.6900,9817172
2022-01-19,7.6900,7.9200,7.5400,7.8300,10497634
2022-01-20,7.8100,8.5500,7.8100,7.9500,12447622
2022-01-21,7.8300,7.9200,7.3200,7.5400,7828850
2022-01-24,7.1400,7.3700,6.7500,7.2600,11497553
2022-01-25,7.1200,7.4200,6.9600,7.4200,8139549
2022-01-26,7.5200,7.9600,6.9500,7.0700,9131853
2022-01-27,7.1900,7.2900,6.8900,6.8900,10494897
2022-01-28,6.7800,6.8800,6.4000,6.7500,5673633
2022-01-31,6.7500,7.4300,6.7000,7.4200,7854116
2022-02-01,7.4900,7.6300,7.2850,7.5600,4995630
2022-02-02,7.5500,7.6000,6.9600,6.9900,6674296
2022-02-03,6.8400,6.9400,6.6800,6.7900,4783061
2022-02-04,6.6700,7.4200,6.6500,7.3600,6178084
2022-02-07,7.2200,7.9000,7.1600,7.7700,9050120
