date,open,high,low,close,volume
2001-01-02,0.1450,0.1500,0.1350,0.1450,241900
2001-01-03,0.1350,0.1500,0.1350,0.1500,168800
2001-01-04,0.1650,0.1800,0.1610,0.1800,265500
2001-01-05,0.1800,0.1900,0.1800,0.1850,352100
2001-01-08,0.1900,0.2000,0.1850,0.1900,91800
2001-01-09,0.1900,0.2450,0.1900,0.2450,591400
2001-01-10,0.2400,0.3000,0.2400,0.3000,771400
2001-01-11,0.3000,0.4000,0.3000,0.4000,1308700
2001-01-12,0.4500,0.5000,0.3500,0.3600,1550900
2001-01-16,0.3700,0.4000,0.3200,0.3200,416300
2001-01-17,0.3400,0.3400,0.2350,0.2500,1067900
2001-01-18,0.2400,0.2500,0.1600,0.2400,632500
2001-01-19,0.2300,0.2600,0.2200,0.2500,241500
2001-01-22,0.2600,0.3400,0.2600,0.3400,676900
2001-01-23,0.3500,0.3500,0.2900,0.3200,421500
2001-01-24,0.3100,0.4100,0.3050,0.3600,1120700
2001-01-25,0.3900,0.3900,0.2900,0.3270,486100
2001-01-26,0.3270,0.3650,0.3270,0.3600,341100
2001-01-29,0.3600,0.3600,0.3250,0.3550,49500
2001-01-30,0.3550,0.3650,0.3500,0.3550,167500
2001-01-31,0.3700,0.3750,0.3550,0.3550,96300
2001-02-01,0.3750,0.3850,0.3650,0.3700,171000
2001-02-02,0.3800,0.3800,0.3100,0.3100,258400
2001-02-05,0.3200,0.3400,0.2950,0.3100,271700
2001-02-06,0.3000,0.3100,0.3000,0.3000,70700
2001-02-07,0.3050,0.3200,0.3000,0.3000,104300
2001-02-08,0.3150,0.3150,0.3000,0.3000,86800
2001-02-09,0.3000,0.3050,0.2800,0.2800,191700
2001-02-12,0.2800,0.2800,0.2600,0.2750,216000
2001-02-13,0.2800,0.3600,0.2650,0.3450,389900
2001-02-14,0.3550,0.3650,0.3350,0.3400,242200
2001-02-15,0.3600,0.4200,0.3400,0.3800,711900
2001-02-16,0.4000,0.4000,0.3300,0.3300,378400
2001-02-20,0.3600,0.3700,0.2950,0.3000,315400
2001-02-21,0.3000,0.3200,0.3000,0.3100,47700
2001-02-22,0.3100,0.3100,0.2600,0.2600,343000
2001-02-23,0.2600,0.2900,0.2600,0.2900,143000
2001-02-26,0.3000,0.3000,0.2850,0.2850,51300
2001-02-27,0.2850,0.2900,0.2800,0.2800,80000
2001-02-28,0.2800,0.2800,0.2000,0.2600,251300
2001-03-01,0.2500,0.2500,0.2000,0.2400,193300
2001-03-02,0.2300,0.2500,0.2300,0.2350,70700
2001-03-05,0.2500,0.2600,0.2400,0.2500,107400
2001-03-06,0.2600,0.2600,0.2550,0.2550,59000
2001-03-07,0.2600,0.2750,0.2600,0.2750,95000
2001-03-08,0.2770,0.3000,0.2700,0.3000,153300
2001-03-09,0.3000,0.3000,0.2750,0.2750,66500
2001-03-12,0.2750,0.2810,0.2750,0.2750,31600
2001-03-13,0.2700,0.2700,0.2700,0.2700,29300
2001-03-14,0.2600,0.2750,0.2400,0.2400,219200
2001-03-15,0.2400,0.2600,0.2400,0.2400,4600
2001-03-16,0.2400,0.2600,0.2400,0.2400,31000
2001-03-19,0.2400,0.2400,0.2400,0.2400,0
2001-03-20,0.2400,0.2400,0.2400,0.2400,0
2001-03-21,0.2200,0.2200,0.2100,0.2100,86000
2001-03-22,0.1990,0.2000,0.1050,0.1350,898200
2001-03-23,0.1350,0.1500,0.1350,0.1500,193000
2001-03-26,0.1400,0.1600,0.1400,0.1600,109000
2001-03-27,0.1600,0.1600,0.1600,0.1600,0
2001-03-28,0.1700,0.1700,0.1650,0.1650,9000
2001-03-29,0.1650,0.1700,0.1650,0.1650,70900
2001-03-30,0.1650,0.1650,0.1650,0.1650,34000
2001-04-02,0.1650,0.1650,0.1500,0.1550,78400
2001-04-03,0.1480,0.1560,0.1200,0.1200,193500
2001-04-04,0.1210,0.1210,0.1000,0.1200,115200
2001-04-05,0.1210,0.1400,0.1210,0.1400,210600
2001-04-06,0.1400,0.1450,0.1390,0.1450,56300
2001-04-09,0.1500,0.1500,0.1450,0.1500,38500
2001-04-10,0.1500,0.1700,0.1500,0.1700,129000
2001-04-11,0.1750,0.2100,0.1700,0.1950,338000
2001-04-12,0.1950,0.2100,0.1700,0.1900,338700
2001-04-16,0.1950,0.1950,0.1650,0.1650,68800
2001-04-17,0.1700,0.1900,0.1700,0.1750,15000
2001-04-18,0.1800,0.1850,0.1750,0.1850,183800
2001-04-19,0.1900,0.1900,0.1650,0.1650,60600
2001-04-20,0.1700,0.1740,0.1700,0.1740,25000
2001-04-23,0.1700,0.1700,0.1350,0.1550,207900
2001-04-24,0.1400,0.1400,0.1300,0.1300,36000
2001-04-25,0.1300,0.1550,0.1300,0.1400,70000
2001-04-26,0.1450,0.1500,0.1350,0.1500,75000
2001-04-27,0.1500,0.1500,0.1350,0.1350,153500
2001-04-30,0.1400,0.1400,0.1200,0.1300,146500
2001-05-01,0.1300,0.1300,0.1100,0.1300,131300
2001-05-02,0.1350,0.1500,0.1300,0.1500,105000
2001-05-03,0.1400,0.1400,0.1300,0.1400,277000
2001-05-04,0.1300,0.1400,0.1300,0.1400,225500
