date,open,high,low,close,volume
2001-12-14,5.1000,5.5000,5.0000,5.3100,6200
2001-12-17,5.1700,5.1800,5.0000,5.0000,600
2001-12-18,5.0800,5.1800,5.0000,5.1400,400
2001-12-19,5.1300,5.4000,5.0000,5.1000,600
2001-12-20,5.2200,5.2200,5.1000,5.1800,100
2001-12-21,5.2000,5.4500,5.0000,5.4500,700
2001-12-24,5.4500,5.4500,5.0000,5.1200,100
2001-12-26,5.2300,5.2500,5.0200,5.1000,300
2001-12-27,5.0700,5.1000,4.9800,5.0500,300
2001-12-28,5.0500,5.1000,5.0000,5.0000,300
2001-12-31,5.0400,5.1200,5.0000,5.0000,200
2002-01-02,5.1000,5.1600,5.0300,5.0500,100
2002-01-03,5.1000,5.1100,5.0200,5.0800,200
2002-01-04,5.0600,5.3300,5.0000,5.0700,200
2002-01-07,5.0900,5.2300,5.0500,5.0900,100
2002-01-08,5.1000,5.9200,5.0900,5.2100,700
2002-01-09,5.5400,5.5400,5.1000,5.2400,400
2002-01-10,5.2400,5.2600,5.0000,5.1800,1000
2002-01-11,5.1600,5.2300,4.2500,5.0400,2100
2002-01-14,4.9800,5.0600,4.5100,4.5500,400
2002-01-15,4.6200,4.7000,4.4500,4.5100,700
2002-01-16,4.5300,4.7500,4.4700,4.6000,300
2002-01-17,4.7600,4.7600,4.5000,4.5000,100
2002-01-18,4.5100,4.6000,4.5000,4.5200,200
2002-01-22,4.7400,4.7500,4.4500,4.5000,300
2002-01-23,4.7400,4.7400,4.4700,4.4700,200
2002-01-24,4.6000,4.6700,4.4500,4.4500,0
2002-01-25,4.4600,4.4600,4.3800,4.4000,400
2002-01-28,4.4100,4.4800,4.3700,4.3700,100
2002-01-29,4.3700,4.6000,4.3500,4.4400,100
2002-01-30,4.5000,4.5600,4.4300,4.4300,400
2002-01-31,4.4400,4.7400,4.4300,4.6000,0
2002-02-01,4.7500,4.7500,4.6900,4.7400,0
2002-02-04,4.7400,4.8300,4.6500,4.8300,0
2002-02-05,4.7000,4.8000,4.5300,4.5300,0
2002-02-06,4.5300,4.5300,4.4400,4.4500,100
