date,open,high,low,close,volume
2012-07-23,0.0590,0.0590,0.0381,0.0381,33284
2012-07-24,0.0387,0.0387,0.0310,0.0360,321800
2012-07-25,0.0365,0.0365,0.0310,0.0310,19941
2012-07-26,0.0313,0.0500,0.0221,0.0500,163203
2012-07-27,0.0540,0.0600,0.0530,0.0600,39100
2012-07-30,0.0410,0.0415,0.0400,0.0400,28292
2012-07-31,0.0326,0.0500,0.0280,0.0500,269356
2012-08-01,0.0500,0.0500,0.0500,0.0500,15000
2012-08-02,0.0450,0.0450,0.0449,0.0449,7400
2012-08-03,0.0400,0.0599,0.0350,0.0352,347970
2012-08-06,0.0352,0.0352,0.0352,0.0352,2820
2012-08-07,0.0500,0.0790,0.0500,0.0600,67252
2012-08-08,0.0600,0.0600,0.0600,0.0600,2867
2012-08-09,0.0600,0.0600,0.0600,0.0600,0
2012-08-10,0.0500,0.0500,0.0500,0.0500,160
2012-08-13,0.0500,0.0500,0.0300,0.0300,211398
2012-08-14,0.0499,0.0499,0.0295,0.0320,143432
2012-08-15,0.0320,0.0320,0.0320,0.0320,600
2012-08-16,0.0320,0.0320,0.0320,0.0320,657
2012-08-17,0.0400,0.0400,0.0350,0.0350,75846
2012-08-20,0.0350,0.0350,0.0260,0.0350,65000
2012-08-21,0.0300,0.0300,0.0250,0.0261,300035
2012-08-22,0.0300,0.0300,0.0294,0.0294,50600
2012-08-23,0.0300,0.0300,0.0201,0.0265,332798
2012-08-24,0.0270,0.0270,0.0201,0.0201,715416
2012-08-27,0.0202,0.0202,0.0152,0.0155,177996
2012-08-28,0.0160,0.0245,0.0160,0.0245,45400
2012-08-29,0.0200,0.0200,0.0180,0.0180,6000
2012-08-30,0.0200,0.0200,0.0200,0.0200,5000
2012-08-31,0.0239,0.0239,0.0239,0.0239,5600
2012-09-04,0.0239,0.0400,0.0201,0.0239,2379794
2012-09-05,0.0225,0.0233,0.0203,0.0220,322290
2012-09-06,0.0295,0.0295,0.0211,0.0279,535549
2012-09-07,0.0230,0.0277,0.0230,0.0277,30000
2012-09-10,0.0250,0.0274,0.0215,0.0215,43200
2012-09-11,0.0221,0.0250,0.0200,0.0200,187685
2012-09-12,0.0200,0.0200,0.0190,0.0200,106200
2012-09-13,0.0200,0.0200,0.0170,0.0170,164843
2012-09-14,0.0170,0.0250,0.0170,0.0239,83375
2012-09-17,0.0170,0.0250,0.0170,0.0239,0
2012-09-18,0.0237,0.0250,0.0237,0.0250,133150
2012-09-19,0.0201,0.0201,0.0181,0.0185,9000
2012-09-20,0.0191,0.0191,0.0185,0.0185,30000
2012-09-21,0.0247,0.0247,0.0246,0.0246,22650
2012-09-24,0.0246,0.0260,0.0201,0.0260,138309
2012-09-25,0.0240,0.0240,0.0220,0.0220,115100
2012-09-26,0.0220,0.0220,0.0220,0.0220,200
2012-09-27,0.0270,0.0270,0.0220,0.0220,53915
2012-09-28,0.0202,0.0202,0.0190,0.0190,226253
2012-10-01,0.0202,0.0202,0.0190,0.0190,0
2012-10-02,0.0151,0.0192,0.0148,0.0192,20000
2012-10-03,0.0192,0.0215,0.0175,0.0185,224270
2012-10-04,0.0185,0.0200,0.0162,0.0180,226202
2012-10-05,0.0170,0.0170,0.0167,0.0167,112300
2012-10-08,0.0170,0.0170,0.0155,0.0160,178566
