date,open,high,low,close,volume
2014-12-03,11.3500,12.9700,11.3100,11.7500,1638277
2014-12-04,11.9700,11.9767,11.0000,11.0900,264721
2014-12-05,11.0000,11.2400,10.7400,11.0000,317708
2014-12-08,11.1000,11.2500,10.8000,11.0000,57902
2014-12-09,10.7500,11.1200,10.7500,11.0000,26213
2014-12-10,10.9200,11.0900,10.7500,11.0000,112438
2014-12-11,11.2900,11.3000,10.9952,11.2000,89308
2014-12-12,11.3000,11.3000,10.7500,11.0000,42997
2014-12-15,11.0600,11.2484,10.7400,11.0000,74800
2014-12-16,10.8500,11.0200,10.2500,11.0005,90598
2014-12-17,10.9700,11.0500,10.5047,11.0000,77926
2014-12-18,10.7800,11.0800,10.5000,11.0000,82755
2014-12-19,11.0000,11.0500,10.8600,11.0000,39846
2014-12-22,11.0200,11.3000,11.0200,11.1500,118537
2014-12-23,11.3000,11.3000,10.2500,10.9700,105443
2014-12-24,10.7600,10.8500,10.5000,10.5050,31430
2014-12-26,10.5300,10.7500,10.4800,10.7500,62450
2014-12-29,10.9800,11.0473,10.5601,10.8800,31822
2014-12-30,10.9200,11.0000,10.4847,10.6100,36441
2014-12-31,10.6300,11.0000,10.5400,11.0000,24762
2015-01-02,10.9692,11.0500,10.7350,11.0500,8617
2015-01-05,11.3000,12.4700,11.2501,11.8000,154554
2015-01-06,11.9700,12.3500,10.5200,10.9200,101329
2015-01-07,10.8000,11.5900,10.8000,10.9600,46326
2015-01-08,11.5330,11.5399,11.0200,11.2900,42404
2015-01-09,11.2200,11.4700,11.0533,11.2200,24152
2015-01-12,11.1700,11.5000,11.0300,11.1100,40488
2015-01-13,11.2100,11.2900,10.4800,10.8400,77134
2015-01-14,10.8800,10.9900,10.6000,10.6700,33339
2015-01-15,10.8500,11.1500,10.4800,10.6300,52320
2015-01-16,10.8000,10.8000,10.2700,10.3600,52135
2015-01-20,10.3700,10.8899,10.3700,10.4900,20527
2015-01-21,10.4000,10.6000,9.3200,9.6300,38814
2015-01-22,9.0200,9.4200,8.2750,8.4300,76740
2015-01-23,8.6000,8.8800,8.3401,8.6000,58450
2015-01-26,8.8000,9.7499,8.3500,8.3500,99581
2015-01-27,8.5300,9.4899,7.7000,7.8100,129385
2015-01-28,8.1000,8.4950,7.0400,7.1100,124233
2015-01-29,7.4000,8.2495,7.2296,8.0600,115032
2015-01-30,8.0100,8.7676,7.7540,8.4540,58197
2015-02-02,8.3100,8.5900,8.0890,8.3000,37662
2015-02-03,8.2500,8.3000,7.6500,7.6600,47823
2015-02-04,7.7200,8.4272,7.6700,7.8300,15947
2015-02-05,8.1400,8.2000,7.7700,7.9800,24904
2015-02-06,8.0600,8.0600,7.8270,7.9300,7318
2015-02-09,8.1200,8.3500,7.8000,8.3500,20543
2015-02-10,8.6020,8.7100,8.0100,8.4500,53492
2015-02-11,8.4400,8.6495,8.1900,8.6300,30401
2015-02-12,8.6200,8.8295,8.3920,8.6800,18996
2015-02-13,8.4200,8.7400,8.3600,8.6100,26758
2015-02-17,8.9000,8.9000,8.6101,8.8000,29974
2015-02-18,9.2400,9.2400,8.6310,8.6700,15669
2015-02-19,8.8600,9.2200,8.6500,8.9700,18148
2015-02-20,8.9920,9.6000,8.6200,9.6000,30787
2015-02-23,9.9400,10.2000,9.4700,9.9900,27978
2015-02-24,10.4600,10.4600,9.7250,9.9700,11515
