date,open,high,low,close,volume
2011-04-21,49.9400,50.3500,49.9000,50.3500,10478
2011-04-25,50.5700,50.5700,49.9100,50.0500,14900
2011-04-26,50.1800,50.4300,50.1000,50.3000,15000
2011-04-27,50.3500,50.8500,49.8000,50.8100,35200
2011-04-28,50.7800,51.1600,50.1700,50.7000,44765
2011-04-29,50.7800,51.1300,50.5700,51.0400,12197
2011-05-02,51.0400,51.0400,50.9500,50.9500,1000
2011-05-03,50.3600,50.5500,49.6600,49.8200,13599
2011-05-04,49.1400,49.2200,48.8300,48.8900,9200
2011-05-05,47.5200,47.5200,44.2400,44.4210,31204
2011-05-06,45.6700,45.7400,43.7700,44.0688,16751
2011-05-09,48.5200,48.5200,44.7100,46.2200,12680
2011-05-10,46.1200,46.7800,46.1200,46.7000,4145
2011-05-11,45.3900,45.3900,44.6200,44.8000,3800
2011-05-12,43.3700,45.1500,43.3600,44.5100,22840
2011-05-13,44.5300,44.8500,44.1200,44.1500,2400
2011-05-16,44.1500,44.1500,44.1500,44.1500,0
2011-05-17,43.5200,43.6900,42.9300,43.6900,3300
2011-05-18,44.4700,45.2500,44.4700,45.0400,2781
2011-05-19,44.9700,44.9700,44.9700,44.9700,600
2011-05-20,43.6400,44.8700,43.6400,44.8500,1800
2011-05-23,43.4900,43.7200,43.2700,43.6800,1500
2011-05-24,44.6300,44.6823,44.0500,44.6823,2378
2011-05-25,44.6823,44.6823,44.6823,44.6823,0
2011-05-26,44.8500,45.1600,44.8500,45.0600,900
2011-05-27,45.1192,45.1192,45.1192,45.1192,510
2011-05-31,46.1100,46.1100,46.1100,46.1100,1000
2011-06-01,46.1100,46.1100,46.0682,46.0682,690
2011-06-02,46.0682,46.0682,46.0682,46.0682,0
2011-06-03,44.3700,44.8700,44.3500,44.8700,500
2011-06-06,44.5800,44.5800,44.4900,44.4900,300
2011-06-07,44.1600,44.3900,44.1600,44.2950,525
2011-06-08,45.4000,45.4000,45.4000,45.4000,300
2011-06-09,45.8100,45.8100,45.6100,45.6100,300
2011-06-10,45.6100,45.6100,45.6100,45.6100,0
2011-06-13,43.5400,43.6700,43.5200,43.6600,1300
2011-06-14,44.0100,44.4500,44.0100,44.4500,1800
2011-06-15,42.9800,42.9800,42.9800,42.9800,200
2011-06-16,42.5500,42.6500,42.4200,42.5200,2000
2011-06-17,41.4500,41.4500,41.2400,41.2400,300
2011-06-20,41.2400,41.2400,41.2400,41.2400,0
2011-06-21,41.9500,41.9500,41.9204,41.9204,282
2011-06-22,42.3201,42.5600,42.3000,42.5500,1850
2011-06-23,42.5500,42.5500,42.5500,42.5500,0
2011-06-24,42.5500,42.5500,42.5500,42.5500,0
2011-06-27,40.7399,40.7399,40.4000,40.4000,330
2011-06-28,41.5760,41.5760,41.5760,41.5760,100
2011-06-29,41.5760,41.5760,41.5760,41.5760,0
2011-06-30,42.4300,42.4300,42.4300,42.4300,140
2011-07-01,42.5940,42.6500,42.5940,42.6300,1760
2011-07-05,43.4900,43.4900,43.4900,43.4900,200
2011-07-06,43.2600,43.2600,43.2600,43.2600,200
2011-07-07,43.8900,44.2100,43.8300,43.8800,2051
2011-07-08,43.8800,43.8800,43.8800,43.8800,0
2011-07-11,43.8800,43.8800,43.8800,43.8800,0
2011-07-12,43.8800,43.8800,43.8800,43.8800,0
