date,open,high,low,close,volume
2019-04-18,23.7500,25.1800,23.0500,24.4000,87109516
2019-04-22,24.6200,25.6800,23.5700,24.9900,19746770
2019-04-23,25.3800,27.7500,25.2300,25.8500,19245362
2019-04-24,26.5000,27.0300,25.9330,26.8000,9477250
2019-04-25,27.4500,29.4000,26.6700,28.8000,16648330
2019-04-26,29.8400,30.6800,28.3700,29.8500,16825583
2019-04-29,30.7700,34.4100,29.8600,34.2600,25616724
2019-04-30,35.2000,35.2900,30.5300,30.9800,35885689
2019-05-01,31.5000,32.8900,30.5000,31.2300,13981316
2019-05-02,31.6200,31.6800,28.8600,29.7400,14052372
2019-05-03,29.5500,30.5500,28.1200,28.3600,10610958
2019-05-06,27.6700,30.0000,26.9000,29.5000,9930570
2019-05-07,29.6700,29.7500,28.1600,28.6900,6310894
2019-05-08,28.4600,30.2000,28.3700,29.5100,7115865
2019-05-09,29.0900,29.2601,28.4200,28.7500,4507184
2019-05-10,29.0800,29.4500,27.6600,29.0500,5708972
2019-05-13,27.8000,28.0000,26.3900,26.6300,9111335
2019-05-14,27.4100,29.0200,27.0200,28.9900,7075119
2019-05-15,28.9500,29.1000,28.1300,28.6300,4492807
2019-05-16,28.8500,31.1500,28.4500,30.8600,17612026
2019-05-17,25.8700,28.1200,25.7000,26.7000,26271832
2019-05-20,27.2400,27.2400,25.7100,25.8500,7269165
2019-05-21,26.3000,26.5500,25.3000,25.4100,6481745
2019-05-22,25.3000,25.3400,24.1000,24.6000,7955700
2019-05-23,24.1500,24.3300,23.6000,23.8000,4718209
2019-05-24,24.0000,25.9900,23.8900,25.5000,7738310
2019-05-28,25.6500,26.3800,25.4100,25.8000,4550898
2019-05-29,25.4200,25.7800,24.9500,25.5800,2537695
2019-05-30,25.5400,25.8900,25.1300,25.5100,1982248
2019-05-31,24.9901,25.6301,24.7500,24.9200,2618033
2019-06-03,24.9800,25.1400,24.2300,24.4000,3691346
2019-06-04,24.8600,24.9500,24.0700,24.2000,3687129
2019-06-05,24.5200,25.0700,23.9100,24.9400,2703200
2019-06-06,24.9400,25.9700,24.9100,25.8100,3573674
2019-06-07,26.0000,27.7400,25.9700,27.6100,6580200
2019-06-10,27.8400,28.9500,27.0677,27.9400,5750928
2019-06-11,28.1800,28.1900,26.1650,26.4800,4268960
2019-06-12,26.2300,27.5000,26.2100,27.0500,3160458
2019-06-13,27.2900,27.3600,26.6700,26.9500,1629478
2019-06-14,26.9000,27.9600,26.5000,27.4100,2630341
2019-06-17,27.6600,28.7300,27.3314,27.8500,4439515
2019-06-18,29.4600,29.8100,28.2200,28.8000,8769861
2019-06-19,29.0000,29.1000,27.5600,28.0900,3978779
2019-06-20,28.8400,29.0800,27.4400,27.5400,3975897
2019-06-21,27.3200,27.9800,27.2200,27.9800,5794571
2019-06-24,27.9800,28.1100,26.5700,26.6900,3242884
2019-06-25,26.5500,27.0900,25.8200,26.1400,2661477
2019-06-26,26.3700,26.6900,25.8639,26.2300,1959980
2019-06-27,26.3300,27.3700,26.3000,27.2300,2281793
2019-06-28,27.3700,27.6500,26.6000,27.2200,2714483
2019-07-01,27.6000,28.0500,26.4400,26.6800,3755550
2019-07-02,26.8000,27.1600,26.4100,26.9100,2753225
2019-07-03,26.9400,27.6900,26.9400,27.4700,2329595
2019-07-05,27.4700,27.5000,26.8200,27.2500,1870466
2019-07-08,27.2000,27.8500,26.6591,26.7700,2410712
2019-07-09,26.7700,27.0700,26.5100,26.7200,1792985
2019-07-10,26.9600,27.3700,26.3000,26.5800,2727438
2019-07-11,26.7100,26.7200,25.8700,26.1000,2843918
2019-07-12,26.2300,26.7500,26.1300,26.4100,1576431
2019-07-15,26.5800,26.8900,26.3900,26.6700,1633315
2019-07-16,26.6600,26.9900,26.3000,26.5100,1370592
2019-07-17,26.6000,26.7100,25.8700,25.9100,1815133
2019-07-18,25.7200,25.8500,25.3200,25.7800,1292824
2019-07-19,25.8500,26.1800,25.5100,25.5600,1563655
2019-07-22,25.6300,26.4700,25.4500,26.2200,2757707
2019-07-23,26.5200,26.8500,26.1100,26.7800,2391702
2019-07-24,26.9300,28.0000,26.8500,27.8200,4305269
2019-07-25,27.9200,27.9700,27.2300,27.5900,2253093
2019-07-26,27.9800,28.4000,27.3000,27.6400,2727918
2019-07-29,27.8000,28.3200,27.1800,27.8600,3178813
2019-07-30,27.6100,29.0000,27.3200,28.6200,3728855
2019-07-31,28.5900,29.5900,28.4300,28.9900,4222146
2019-08-01,28.9900,29.1400,27.9100,28.3000,8030328
2019-08-02,32.5300,35.2100,32.2800,33.5700,39770784
2019-08-05,32.9000,33.7500,32.1500,33.7200,9992246
2019-08-06,34.1200,34.4300,32.0100,32.6800,6060589
2019-08-07,32.2500,32.6800,31.5200,32.1000,3776415
2019-08-08,32.1000,33.6150,31.6700,33.3900,3784663
2019-08-09,33.3000,34.0960,32.8100,33.4300,2641658
2019-08-12,33.4700,36.1000,32.9300,33.6300,8604200
2019-08-13,33.4600,34.8400,33.4003,34.4200,3782823
2019-08-14,33.3900,33.8804,32.1400,32.2300,3896854
2019-08-15,33.0700,33.2000,31.5291,32.0100,4178874
2019-08-16,32.6300,32.7700,32.0000,32.2200,2534009
2019-08-19,32.8822,34.1800,32.5800,33.3300,3403858
2019-08-20,33.2600,35.0500,32.8500,34.3600,4898851
2019-08-21,35.1300,36.7500,35.1300,36.5600,8904772
2019-08-22,36.6800,36.8300,35.0200,35.4300,6018480
2019-08-23,34.9300,36.2500,34.0000,34.5000,5008418
2019-08-26,34.8800,35.3800,34.4600,35.3800,2533991
2019-08-27,35.5400,36.1400,33.2801,33.8600,4534942
2019-08-28,33.3014,34.1800,33.0100,33.9200,2232743
2019-08-29,34.3600,35.1500,34.1528,34.7600,2352840
2019-08-30,34.7600,35.0000,33.6400,34.4200,1534129
2019-09-03,33.9300,34.6700,33.2300,33.8100,2283436
2019-09-04,34.2700,34.4000,32.3300,32.6200,3552730
2019-09-05,32.9500,33.1800,30.8000,31.2600,6063230
2019-09-06,31.3400,31.4819,30.0000,30.3600,4554734
2019-09-09,30.4600,30.5000,27.5900,28.2000,10034486
2019-09-10,27.5800,29.1300,27.3500,28.8000,6356915
2019-09-11,29.0000,29.7600,28.5300,29.6000,4291606
2019-09-12,30.2000,30.3700,29.1200,29.7700,4318211
2019-09-13,29.6600,30.0500,28.8000,29.0400,2942227
2019-09-16,28.6500,29.8300,28.6200,29.2600,2042666
2019-09-17,29.0000,30.2700,28.6800,30.1100,6236191
2019-09-18,30.0000,30.0000,28.7100,29.5000,4868615
2019-09-19,29.5000,30.5500,29.0200,30.1400,5240278
2019-09-20,30.2300,30.7300,29.6000,30.2200,6900207
2019-09-23,29.9700,30.0900,28.3400,28.5500,5442582
2019-09-24,28.7600,28.7900,26.7400,27.1100,6683222
2019-09-25,27.0700,27.5500,26.7500,27.1100,3036217
2019-09-26,27.1900,27.7300,27.1500,27.3800,2681605
2019-09-27,27.3500,27.4500,25.8700,26.5000,4572472
2019-09-30,26.3700,26.6600,25.1400,26.4500,8068293
2019-10-01,26.5600,26.9900,26.2500,26.4300,3219285
2019-10-02,25.9500,26.8800,25.5300,26.5100,3825305
2019-10-03,26.4300,27.6900,25.7660,27.3700,4343814
2019-10-04,27.6800,28.0400,26.8800,27.3100,4245225
2019-10-07,27.2900,27.4600,26.3300,26.5100,3521101
2019-10-08,26.0400,26.0400,25.3000,25.6300,3279138
2019-10-09,25.9800,25.9800,25.4800,25.6500,2439368
2019-10-10,25.5900,26.3000,25.3600,25.7900,3097723
2019-10-11,26.0000,27.5100,25.9800,26.8900,6925236
2019-10-14,26.3200,26.8500,25.8250,25.9200,6297539
2019-10-15,25.4100,25.6000,24.2700,25.5700,43314594
2019-10-16,25.0000,25.9500,24.8100,25.7400,15215728
2019-10-17,25.5500,26.5200,25.4800,25.9900,12197175
2019-10-18,26.0400,26.2000,24.8900,25.3100,9736875
2019-10-21,25.8300,26.9500,25.6100,26.7600,15284071
2019-10-22,26.4000,27.0000,25.7800,25.8800,8633077
2019-10-23,25.7600,26.3000,25.4400,25.7000,7106298
2019-10-24,25.8200,26.0300,25.2400,25.7700,5164036
2019-10-25,25.7500,26.4800,25.6500,25.8600,6501546
2019-10-28,26.1400,26.3000,25.7250,26.2500,7055410
2019-10-29,26.1000,26.6900,25.0600,25.5700,10689981
2019-10-30,25.7299,25.9850,25.0300,25.9200,6995327
2019-10-31,26.1700,26.3800,24.7600,25.1400,23222299
2019-11-01,19.6300,21.2800,18.7100,20.8600,77151879
2019-11-04,20.6600,21.1000,20.2300,20.5800,21905293
2019-11-05,20.5000,20.7800,20.2950,20.4700,13268596
2019-11-06,20.3500,20.6500,19.9800,20.0400,11770591
2019-11-07,20.1000,20.2000,19.6000,19.9900,11208673
2019-11-08,19.9500,20.2000,19.8600,20.0600,8670887
2019-11-11,20.0900,20.5200,19.9000,20.4000,9981166
2019-11-12,20.4100,20.9000,20.1600,20.5200,7494867
2019-11-13,20.3800,20.4000,20.0400,20.2000,7080658
2019-11-14,20.1600,20.1600,19.5800,19.6000,6304115
2019-11-15,19.7200,20.0600,19.5300,19.5400,8482077
2019-11-18,19.5000,19.6600,19.3200,19.5000,7985330
2019-11-19,19.5000,20.0500,19.3600,19.6800,6868717
2019-11-20,19.6800,19.8300,19.3200,19.4000,6084816
2019-11-21,19.3000,19.5084,19.0650,19.0700,5864844
2019-11-22,19.0900,19.1600,18.3760,18.6500,14801862
2019-11-25,18.6500,19.2900,18.6400,18.9500,8870213
2019-11-26,19.0000,19.7500,18.8719,19.5200,18178954
2019-11-27,19.6600,19.9050,19.4000,19.8100,5688200
2019-11-29,19.6600,19.7350,19.3800,19.4800,2966194
2019-12-02,19.5000,19.5100,18.6200,18.8000,6777369
2019-12-03,18.4700,18.7900,18.4100,18.4300,8118045
2019-12-04,18.5700,18.6500,18.2400,18.3700,8849947
2019-12-05,18.3700,18.6000,18.1500,18.4400,5894303
2019-12-06,18.4800,18.7950,18.2900,18.7600,4906811
2019-12-09,18.7600,19.0400,18.2100,18.2100,8038620
2019-12-10,18.2100,18.2500,17.6500,17.9900,8826539
2019-12-11,17.8900,18.2600,17.8800,18.2000,5748639
2019-12-12,18.1200,18.1796,17.6400,17.7600,8839483
2019-12-13,17.7500,17.9800,17.3900,17.4500,7967539
2019-12-16,17.5000,18.4150,17.4199,18.2100,12514765
2019-12-17,18.3500,18.7200,17.9700,18.2100,10984190
2019-12-18,18.3100,18.7900,18.2200,18.5300,9482484
2019-12-19,18.5300,19.4000,18.4200,19.0900,11642605
2019-12-20,19.3000,19.4750,18.9000,18.9800,17449083
2019-12-23,19.0500,19.1300,18.3200,18.3900,9230493
2019-12-24,18.3500,18.5816,18.2100,18.4800,2014324
2019-12-26,18.5000,18.6650,18.2300,18.3000,3843221
2019-12-27,18.3700,18.7800,18.1900,18.4900,5025062
2019-12-30,18.5000,18.6800,18.0400,18.1100,5474652
2019-12-31,18.0300,18.7750,18.0300,18.6400,5915486
2020-01-02,18.8000,19.1000,18.5650,18.8000,6334388
2020-01-03,18.6000,18.7100,18.2550,18.3600,5202718
2020-01-06,18.2700,19.3500,18.2200,18.9100,7978930
2020-01-07,18.8800,19.4200,18.7600,19.2600,7475182
2020-01-08,19.2500,19.9800,19.1145,19.7200,7363588
2020-01-09,20.1000,20.3000,19.5100,19.6300,12930186
2020-01-10,19.6500,20.1500,19.5200,19.7800,7780938
2020-01-13,19.9500,20.0000,19.4100,19.6200,7897427
2020-01-14,20.1300,22.1700,20.0500,21.5100,35312992
2020-01-15,22.2700,22.9500,21.6200,21.7600,31873256
2020-01-16,22.2400,23.0000,22.0600,22.9500,18969052
2020-01-17,24.0200,24.0500,22.8212,23.0000,28302451
2020-01-21,23.0200,23.0600,21.9300,22.3000,16675621
2020-01-22,22.5200,22.9300,22.2800,22.4200,11111351
2020-01-23,22.5700,23.0500,22.1200,22.6100,12869547
2020-01-24,22.8300,23.1800,22.1800,22.4400,11297803
2020-01-27,21.2600,21.8600,20.7700,21.8300,14569258
2020-01-28,21.9100,22.2900,21.8700,22.1800,6823657
2020-01-29,22.3700,22.8700,22.2750,22.6200,7428319
2020-01-30,22.1400,22.4300,21.5600,22.2000,11551733
2020-01-31,22.3700,22.3900,21.5600,22.0300,9295630
2020-02-03,22.0600,22.4800,22.0000,22.3500,7270707
2020-02-04,22.5100,22.9000,22.4400,22.4600,11204649
2020-02-05,22.7000,22.7000,21.5400,21.9100,12404276
2020-02-06,22.1900,23.3000,21.9100,23.0100,28825533
2020-02-07,26.9900,27.2500,25.1900,25.2000,60486710
2020-02-10,24.6400,25.1800,24.0100,24.2900,31908430
2020-02-11,24.4100,24.9300,23.8500,24.0300,18307935
2020-02-12,24.3300,24.3700,23.7000,23.9400,15302348
2020-02-13,23.7300,24.1700,23.5000,23.5400,17201212
2020-02-14,23.0000,23.7900,22.9800,23.2200,16919764
