date,open,high,low,close,volume
2017-06-30,6.3000,7.7400,6.3000,7.7000,1274489
2017-07-03,8.3200,9.7000,8.1500,9.0000,1477540
2017-07-05,8.9600,9.3800,8.0000,8.6400,812712
2017-07-06,9.1800,9.4890,8.1000,8.1600,554772
2017-07-07,8.2500,10.5000,8.0100,10.1800,2262661
2017-07-10,10.6500,11.6400,9.2500,9.7600,3043062
2017-07-11,9.5000,9.9390,8.8860,9.5100,579012
2017-07-12,9.6200,9.9400,9.0000,9.2720,445064
2017-07-13,9.3200,10.4700,9.1301,10.3200,1141546
2017-07-14,10.4100,10.6500,9.9000,10.2000,689533
2017-07-17,10.2500,10.3618,9.4000,9.7900,483630
2017-07-18,9.5000,9.5500,7.6200,7.7400,1470386
2017-07-19,7.7000,7.9400,6.7900,7.0100,729094
2017-07-20,7.2500,7.3000,6.5400,6.6400,422355
2017-07-21,6.7600,6.7682,6.2600,6.4600,256663
2017-07-24,6.5700,6.7151,5.9300,6.2800,309820
2017-07-25,6.2400,6.8000,6.0400,6.5200,319290
2017-07-26,6.4800,6.5501,6.2000,6.3600,117116
2017-07-27,6.3500,6.7200,5.6800,6.2400,359979
2017-07-28,6.1300,6.4200,6.0501,6.3400,82249
2017-07-31,6.2800,6.2800,5.7020,5.7400,291695
2017-08-01,5.8000,6.0000,4.6299,4.7300,857307
2017-08-02,4.8700,4.9000,4.2250,4.3000,329455
2017-08-03,4.6600,5.4600,4.5000,4.9200,1193497
2017-08-04,4.9100,5.0200,4.5600,4.5800,240043
2017-08-07,4.5800,4.5900,4.2100,4.2100,134566
2017-08-08,4.1500,4.6900,4.0500,4.5100,445506
2017-08-09,4.5200,4.7887,4.3110,4.5000,177767
2017-08-10,4.6700,4.7241,4.1000,4.1000,283673
2017-08-11,4.2000,4.3750,3.8293,3.8800,211422
2017-08-14,3.9900,4.0630,3.5600,3.6300,188011
2017-08-15,3.7400,4.1500,3.6100,3.7400,321373
2017-08-16,3.7800,3.8400,3.6300,3.6500,124287
2017-08-17,3.7200,4.1500,3.6100,3.9800,222201
2017-08-18,3.9400,4.3100,3.7600,4.1000,280874
2017-08-21,4.0100,4.1150,3.8400,3.9300,79154
2017-08-22,3.9300,3.9879,3.6500,3.7100,109087
2017-08-23,3.8900,3.9900,3.6500,3.7800,73165
2017-08-24,3.8000,3.9200,3.7500,3.8000,22179
2017-08-25,3.7700,3.9600,3.7700,3.9600,37352
2017-08-28,3.9700,4.2500,3.8800,4.0000,89948
2017-08-29,4.1700,4.1700,3.8000,3.8700,59819
2017-08-30,3.8900,3.9500,3.8300,3.9399,29300
2017-08-31,3.9848,4.1500,3.8600,4.1100,141713
2017-09-01,4.0100,4.4300,3.9900,4.1800,115157
2017-09-05,4.1000,4.1990,3.6900,3.8600,111063
2017-09-06,3.8700,4.1900,3.8600,4.0900,67220
