date,open,high,low,close,volume
2021-03-01,10.1000,10.1000,9.8700,9.9500,484827
2021-03-02,10.0600,10.1000,9.8500,9.9200,63916
2021-03-03,9.9900,10.0500,9.8600,9.8900,48201
2021-03-04,9.8700,9.9000,9.8500,9.8600,71487
2021-03-05,9.9050,9.9160,9.8500,9.8600,44480
2021-03-08,9.9500,9.9500,9.8500,9.8500,298483
2021-03-09,9.9800,9.9800,9.7600,9.7900,368146
2021-03-10,9.8500,9.8500,9.7700,9.8200,336956
2021-03-11,9.8300,9.8350,9.8000,9.8000,100583
2021-03-12,9.8000,9.8300,9.7700,9.8200,169740
2021-03-15,9.7800,9.7800,9.7000,9.7000,120908
2021-03-16,9.7500,9.7500,9.6800,9.7000,237471
2021-03-17,9.7000,9.7500,9.7000,9.7500,32601
2021-03-18,9.7500,9.7500,9.6500,9.6800,91487
2021-03-19,9.6700,9.7000,9.6500,9.6800,71836
2021-03-22,9.6900,9.7050,9.6500,9.6700,150550
2021-03-23,9.6700,9.7000,9.6500,9.6600,197022
2021-03-24,9.6600,9.7000,9.6300,9.6500,77145
2021-03-25,9.6900,9.7200,9.5900,9.7200,154760
2021-03-26,9.7000,9.7800,9.7000,9.7400,402311
2021-03-29,9.7800,9.8000,9.7200,9.7600,296160
2021-03-30,9.8000,9.8200,9.7600,9.7900,42398
2021-03-31,9.7600,9.8000,9.7500,9.7800,47443
2021-04-01,9.7700,9.7700,9.7200,9.7300,111000
2021-04-05,9.7309,9.7800,9.7100,9.7400,44928
2021-04-06,9.7300,9.7700,9.7200,9.7700,151099
2021-04-07,9.7500,9.7700,9.7300,9.7300,71553
2021-04-08,9.7300,9.8000,9.7200,9.8000,98690
2021-04-09,9.7600,9.7800,9.7600,9.7700,26113
2021-04-12,9.7400,9.7700,9.7300,9.7700,25518
2021-04-13,9.8000,9.8500,9.8000,9.8500,7158
2021-04-14,9.8000,9.8700,9.7700,9.8500,103922
2021-04-15,9.7800,9.8350,9.7300,9.8100,144096
2021-04-16,9.7850,9.8500,9.7500,9.8100,56335
2021-04-19,9.8200,9.8200,9.7800,9.7900,108310
2021-04-20,9.7400,9.7500,9.7200,9.7200,18614
2021-04-21,9.7300,9.7650,9.7000,9.7100,35577
2021-04-22,9.7100,9.7500,9.6900,9.7500,29312
2021-04-23,9.7800,9.8300,9.7300,9.7900,3092
2021-04-26,9.7000,9.7800,9.6800,9.6900,68585
2021-04-27,9.7500,9.8800,9.7300,9.8800,32857
2021-04-28,9.7600,9.8000,9.7600,9.8000,3375
2021-04-29,9.8000,9.8000,9.7300,9.8000,113922
2021-04-30,9.7700,9.7700,9.7700,9.7700,2201
2021-05-03,9.7600,9.7700,9.7600,9.7700,4490
2021-05-04,9.7500,9.7500,9.7200,9.7200,10294
2021-05-05,9.7200,9.8300,9.7200,9.7900,250505
2021-05-06,9.7500,9.8000,9.7400,9.7400,7405
2021-05-07,9.7500,9.8000,9.7400,9.7500,131472
2021-05-10,9.7500,9.7500,9.7000,9.7500,77106
2021-05-11,9.7200,9.7200,9.7000,9.7100,8634
2021-05-12,9.7100,9.7400,9.7100,9.7300,3654
2021-05-13,9.7400,9.7400,9.7100,9.7300,6816
2021-05-14,9.7000,9.7000,9.7000,9.7000,570
2021-05-17,9.7000,9.7000,9.6500,9.6500,29308
2021-05-18,9.6721,9.6721,9.6721,9.6721,1017
2021-05-19,9.7200,9.7200,9.7200,9.7200,547
2021-05-20,9.7000,9.7100,9.7000,9.7000,300
2021-05-21,9.7200,9.7300,9.7200,9.7300,2057
2021-05-24,9.7300,9.7400,9.7100,9.7300,10508
2021-05-25,9.7105,9.7500,9.7000,9.7500,83890
2021-05-26,9.7375,9.7500,9.7375,9.7500,20241
2021-05-27,9.7500,9.7600,9.7500,9.7600,12250
2021-05-28,9.6900,9.6900,9.6700,9.6700,2209
2021-06-01,9.6700,9.7000,9.6500,9.7000,6582
2021-06-02,9.7000,9.7200,9.7000,9.7200,6682
2021-06-03,9.7200,9.8100,9.7200,9.7700,58301
2021-06-04,9.7700,9.7700,9.6700,9.6700,80288
2021-06-07,9.6700,9.8500,9.6700,9.8500,14243
2021-06-08,9.8500,9.8500,9.8500,9.8500,109
2021-06-09,9.8500,9.8500,9.8500,9.8500,42
2021-06-10,9.7500,9.7900,9.7450,9.7450,635
2021-06-11,9.6800,9.7500,9.6800,9.7000,79930
2021-06-14,9.6999,9.7500,9.6800,9.7150,26663
2021-06-15,9.7200,9.7300,9.7000,9.7200,3820
2021-06-16,9.7067,9.7100,9.6700,9.7100,2117
2021-06-17,9.7000,9.7400,9.7000,9.7400,4447
2021-06-18,9.6799,9.7412,9.6799,9.7000,44385
2021-06-21,9.7000,9.7400,9.6800,9.6800,15462
2021-06-22,9.6700,9.7300,9.6700,9.7300,615
2021-06-23,9.7300,9.7300,9.7300,9.7300,70
2021-06-24,9.6800,9.6800,9.6800,9.6800,208
2021-06-25,9.6900,9.7000,9.6700,9.6700,131906
2021-06-28,9.7000,9.7000,9.6800,9.6800,193385
2021-06-29,9.6700,9.7150,9.6700,9.6800,1113
2021-06-30,9.6700,9.6800,9.6600,9.6800,21445
2021-07-01,9.6700,9.6700,9.6700,9.6700,101
2021-07-02,9.6800,9.7200,9.6800,9.6900,5355
2021-07-06,9.6900,9.6900,9.6800,9.6800,922
2021-07-07,9.6700,9.6900,9.6700,9.6800,7148
2021-07-08,9.6700,9.7100,9.6700,9.7000,1054976
2021-07-09,9.7100,9.7100,9.6700,9.6700,20822
2021-07-12,9.7000,9.7500,9.7000,9.7500,14401
2021-07-13,9.7000,9.7100,9.6700,9.7100,1121
2021-07-14,9.7000,9.7450,9.6800,9.7400,50155
2021-07-15,9.6700,9.7200,9.6600,9.7200,2840
2021-07-16,9.7250,9.7475,9.7000,9.7250,3044
2021-07-19,9.6600,9.7300,9.6600,9.7300,330781
2021-07-20,9.7300,9.7400,9.7200,9.7200,3270
2021-07-21,9.7150,9.7362,9.7000,9.7300,1742
2021-07-22,9.7000,9.7100,9.6800,9.7000,58869
2021-07-23,9.7096,9.7100,9.6700,9.7100,1834
2021-07-26,9.7137,9.7137,9.5900,9.6400,348152
2021-07-27,9.6400,9.6400,9.6400,9.6400,2341
2021-07-28,9.6400,9.6600,9.6400,9.6600,926
2021-07-29,9.6500,9.6600,9.6500,9.6600,3446
2021-07-30,9.6750,9.7400,9.6750,9.7000,15565
2021-08-02,9.7300,9.7300,9.7300,9.7300,1301
2021-08-03,9.7200,9.7200,9.7200,9.7200,365
2021-08-04,9.7200,9.7200,9.7200,9.7200,2415
2021-08-05,9.7000,9.7200,9.7000,9.7200,1095
2021-08-06,9.7100,9.7200,9.7100,9.7100,1825
2021-08-09,9.6700,9.7300,9.6700,9.7100,4608
2021-08-10,9.7100,9.7100,9.7100,9.7100,114
2021-08-11,9.7000,9.7100,9.6950,9.7100,1451
2021-08-12,9.7000,9.7300,9.6600,9.7100,2350
2021-08-13,9.7100,9.7300,9.7100,9.7300,1132
2021-08-16,9.7276,9.7300,9.6800,9.7300,1732
2021-08-17,9.6700,9.7200,9.6500,9.7200,10749
2021-08-18,9.7200,9.7200,9.6400,9.7100,10242
2021-08-19,9.6700,9.6700,9.6700,9.6700,482975
2021-08-20,9.6700,9.6700,9.6300,9.6500,13400
2021-08-23,9.6500,9.6900,9.6400,9.6900,14247
2021-08-24,9.7000,9.7000,9.6500,9.6500,6004
2021-08-25,9.6500,9.7100,9.6100,9.7100,20003
2021-08-26,9.7100,9.7100,9.6900,9.7100,12738
2021-08-27,9.6700,9.6700,9.6700,9.6700,102
2021-08-30,9.6700,9.7000,9.6470,9.7000,3592
2021-08-31,9.6800,9.7200,9.6800,9.7200,3515
2021-09-01,9.6900,9.7300,9.6850,9.7300,54452
2021-09-02,9.6600,9.7392,9.6600,9.7300,801037
2021-09-03,9.6735,9.7200,9.6735,9.7000,11524
2021-09-07,9.7100,9.7200,9.7000,9.7100,10948
2021-09-08,9.7000,9.7400,9.7000,9.7300,61938
2021-09-09,9.7000,9.7300,9.6800,9.7100,9128
2021-09-10,9.7000,9.7300,9.6900,9.7000,95004
2021-09-13,9.7000,9.7200,9.7000,9.7200,13690
2021-09-14,9.7600,9.8300,9.7600,9.7800,602284
2021-09-15,9.8600,9.8800,9.8500,9.8700,546030
2021-09-16,9.9000,9.9000,9.8200,9.8500,2204957
2021-09-17,9.8753,9.8800,9.8400,9.8700,2041296
2021-09-20,9.8500,9.8900,9.8300,9.8300,255128
2021-09-21,9.8600,9.9000,9.8400,9.8700,237027
2021-09-22,9.8942,9.8942,9.8400,9.8400,77460
2021-09-23,9.8400,9.8500,9.8350,9.8450,162602
2021-09-24,9.8600,9.8600,9.8400,9.8500,960104
2021-09-27,9.8600,9.8700,9.8450,9.8500,666559
2021-09-28,9.8500,9.8700,9.8400,9.8600,214393
2021-09-29,9.8800,9.8800,9.8500,9.8500,13053
2021-09-30,9.8600,9.8800,9.8400,9.8550,272316
2021-10-01,9.8600,9.8600,9.8350,9.8500,195029
2021-10-04,9.8700,9.8700,9.8376,9.8500,446102
2021-10-05,9.8700,9.8700,9.8200,9.8300,217764
2021-10-06,9.8500,9.8500,9.8300,9.8300,162437
2021-10-07,9.8500,9.8500,9.8300,9.8300,159099
2021-10-08,9.8500,9.8700,9.8319,9.8600,630014
2021-10-11,9.8800,9.8800,9.8400,9.8500,424530
2021-10-12,9.8700,9.8700,9.8500,9.8700,367185
2021-10-13,9.8700,9.8800,9.8500,9.8600,2896966
2021-10-14,9.8700,9.8700,9.8400,9.8400,68293
2021-10-15,9.8600,9.9000,9.8600,9.8800,934497
2021-10-18,9.8800,9.8800,9.8600,9.8700,140062
2021-10-19,9.8800,9.8800,9.8600,9.8700,153796
2021-10-20,9.8700,9.8800,9.8600,9.8700,121706
2021-10-21,9.8700,9.8800,9.8600,9.8700,31506
2021-10-22,9.8600,9.8800,9.8600,9.8700,20551
2021-10-25,9.8800,9.9000,9.8600,9.8900,429959
2021-10-26,9.9000,9.9200,9.8672,9.9000,163266
2021-10-27,9.9300,9.9350,9.9100,9.9200,114535
2021-10-28,9.9200,9.9500,9.9200,9.9400,241716
2021-10-29,9.9500,9.9500,9.9100,9.9200,98216
2021-11-01,9.9500,9.9500,9.9000,9.9300,421565
2021-11-02,9.9400,9.9400,9.9200,9.9300,362095
2021-11-03,9.9300,9.9500,9.9200,9.9300,263367
2021-11-04,9.9400,9.9400,9.9200,9.9300,67171
2021-11-05,9.9400,9.9400,9.8800,9.9200,77444
2021-11-08,9.9100,9.9350,9.8800,9.9100,118112
2021-11-09,9.9000,9.9170,9.8800,9.9000,113728
2021-11-10,9.9100,9.9289,9.8900,9.9050,53244
2021-11-11,9.9300,9.9350,9.9100,9.9300,51417
2021-11-12,9.9200,9.9500,9.9199,9.9300,151921
2021-11-15,9.9500,9.9800,9.9300,9.9800,373786
2021-11-16,9.9800,10.0900,9.9300,9.9800,731714
2021-11-17,9.9900,10.0200,9.9800,10.0100,634764
2021-11-18,10.0600,10.0600,10.0100,10.0200,364590
2021-11-19,10.0500,10.0500,9.9900,10.0200,1096398
2021-11-22,10.0800,10.0900,10.0100,10.0400,711682
2021-11-23,10.0600,10.0700,10.0000,10.0000,548537
2021-11-24,10.0200,10.0500,10.0000,10.0200,396787
2021-11-26,9.9900,10.0170,9.9900,10.0100,179952
2021-11-29,10.0300,10.0300,9.9600,9.9700,369743
2021-11-30,9.9700,10.0050,9.9600,9.9800,247886
2021-12-01,9.9800,9.9899,9.9600,9.9800,282680
2021-12-02,9.9600,10.0000,9.9000,9.9200,166830
2021-12-03,9.9500,9.9500,9.9000,9.9100,141905
2021-12-06,9.9300,9.9400,9.9000,9.9200,74052
2021-12-07,9.9400,9.9400,9.8900,9.9000,127996
2021-12-08,9.9000,9.9300,9.8900,9.9100,245558
2021-12-09,9.9200,9.9200,9.9000,9.9100,157689
2021-12-10,9.9000,9.9200,9.9000,9.9200,115800
2021-12-13,9.9000,9.9300,9.9000,9.9200,95869
2021-12-14,9.9000,9.9300,9.9000,9.9200,161213
2021-12-15,9.9200,9.9300,9.9100,9.9300,75249
2021-12-16,9.9300,9.9401,9.9200,9.9200,126839
2021-12-17,9.9150,9.9900,9.9000,9.9300,191791
2021-12-20,9.9300,9.9300,9.9000,9.9200,46517
