date,open,high,low,close,volume
2020-10-09,9.7100,9.9500,9.7000,9.9500,51271
2020-10-12,9.7200,9.9400,9.7200,9.8600,30819
2020-10-13,9.9000,9.9000,9.9000,9.9000,2113
2020-10-14,9.8645,9.8645,9.8600,9.8600,203
2020-10-15,9.8050,9.8050,9.8050,9.8050,1521
2020-10-16,9.8600,9.8600,9.7700,9.7700,516204
2020-10-19,9.8000,9.8000,9.7600,9.7700,367442
2020-10-20,9.8300,9.8300,9.7400,9.7400,20697
2020-10-21,9.8500,9.8500,9.7200,9.7200,628763
2020-10-22,9.7800,9.7800,9.7000,9.7500,511539
2020-10-23,9.7800,9.7800,9.7100,9.7800,5238
2020-10-26,9.7900,9.8400,9.6600,9.7000,1183347
2020-10-27,9.7000,9.7100,9.6700,9.6850,959406
2020-10-28,9.6800,9.6900,9.5950,9.6700,823976
2020-10-29,9.7000,9.7000,9.6300,9.6400,355877
2020-10-30,9.6400,9.6900,9.6300,9.6700,171666
2020-11-02,9.6500,9.7200,9.6500,9.6700,524947
2020-11-03,9.6800,9.7400,9.6800,9.7100,522201
2020-11-04,9.7600,9.7900,9.7500,9.7600,133510
2020-11-05,9.8400,9.8800,9.7500,9.8000,402864
2020-11-06,9.7600,11.1300,9.7200,10.1500,11033327
2020-11-09,10.3000,10.5000,10.1600,10.2800,3745309
2020-11-10,10.4500,10.4500,10.1500,10.2200,221558
2020-11-11,10.2700,10.2700,10.1600,10.2200,228061
2020-11-12,10.2100,10.6400,10.1500,10.5000,1116217
2020-11-13,10.2400,10.9700,10.2400,10.5650,1370326
2020-11-16,10.5700,10.7500,10.3800,10.6100,608858
2020-11-17,10.6100,10.6100,10.3800,10.4000,520975
2020-11-18,10.3200,10.4500,10.2500,10.4000,174978
2020-11-19,10.4000,10.5500,10.1500,10.3700,321932
2020-11-20,10.4200,10.6100,10.2500,10.5400,454302
2020-11-23,10.7500,10.7500,10.3600,10.3600,640251
2020-11-24,10.5800,10.6500,10.4200,10.4500,127560
2020-11-25,10.4700,10.5903,10.3929,10.4250,342234
2020-11-27,10.4400,10.5550,10.4400,10.4400,318413
2020-11-30,10.6600,10.7500,10.4000,10.4899,316240
2020-12-01,10.6000,10.7270,10.4400,10.4800,271938
2020-12-02,10.3000,10.5000,10.2500,10.4400,337951
2020-12-03,10.4100,10.4900,10.3400,10.4900,327652
2020-12-04,10.7500,10.7500,10.4800,10.6200,575105
2020-12-07,11.4500,12.6600,11.4200,11.9500,81719067
2020-12-08,13.2600,13.7700,12.4200,12.7800,53089121
2020-12-09,13.4900,13.5000,12.5100,12.7500,33142614
2020-12-10,12.9900,13.4500,12.7100,13.4500,21412756
2020-12-11,13.7500,14.8200,13.5000,14.0000,28622968
2020-12-14,15.2300,15.3900,14.5000,14.6100,35410660
2020-12-15,14.5500,14.7810,13.6000,14.0800,19771715
2020-12-16,13.7400,14.0800,13.5100,13.7200,11491760
2020-12-17,13.9500,14.0400,13.7000,13.8800,9480711
2020-12-18,13.9500,14.3100,13.7600,13.9200,9047299
2020-12-21,14.0600,15.1500,13.8600,14.8200,19839303
2020-12-22,15.3800,15.4600,14.5000,14.6800,17028488
2020-12-23,14.9000,14.9100,14.3100,14.6300,12873081
2020-12-24,15.0008,15.8500,15.0008,15.2300,13113301
2020-12-28,16.5500,17.0000,16.1022,16.3000,21049074
2020-12-29,16.8800,16.8900,15.0100,15.7600,14610779
2020-12-30,15.8900,16.2900,15.6600,15.7900,7789680
2020-12-31,15.6000,15.8768,15.0300,15.1000,12887326
2021-01-04,15.0000,15.0100,13.6800,14.4500,15226273
2021-01-05,13.7600,14.9300,13.7300,14.8000,8104482
2021-01-06,14.5000,15.2900,14.2200,14.4900,9487101
2021-01-07,14.8500,15.3900,14.7200,14.9500,6584726
2021-01-08,15.0800,15.1000,14.6400,15.0500,6839979
2021-01-11,14.5000,16.2000,14.4000,15.5500,12261749
2021-01-12,15.3000,15.4500,14.8500,15.2100,6831730
2021-01-13,15.0500,16.4700,14.9500,16.3300,9788436
2021-01-14,16.1600,16.2000,15.6000,15.8100,5877498
2021-01-15,15.7000,16.1900,14.9500,15.5900,7505082
2021-01-19,16.7600,17.9800,16.3800,16.5500,16651456
2021-01-20,17.1400,17.5900,16.8000,17.4700,7303731
2021-01-21,18.5000,19.5000,17.7000,19.2400,12974103
2021-01-22,19.0000,19.1800,18.4100,18.8900,8978737
2021-01-25,19.2600,19.5662,16.0000,17.7900,14450769
2021-01-26,17.6000,17.7800,16.5500,16.6800,8718252
2021-01-27,15.7800,16.1400,14.8100,14.8900,20057973
2021-01-28,15.2900,16.0200,15.1100,15.6400,9984627
2021-01-29,15.4000,15.9400,14.9000,15.4200,11085366
2021-02-01,15.9000,16.8200,15.4500,16.6700,9447878
2021-02-02,16.9200,17.2400,16.4000,16.6700,6149666
2021-02-03,17.4000,18.3000,17.2000,18.1000,8582307
2021-02-04,17.9000,18.8100,17.4000,18.2000,9065314
2021-02-05,18.4000,18.5700,17.5100,17.8900,6239702
2021-02-08,18.0000,18.0500,17.4100,17.7000,5580570
2021-02-09,17.4000,17.5200,16.7600,17.1300,6054628
2021-02-10,17.0000,17.2200,16.0600,16.6900,8003440
2021-02-11,16.4000,16.5500,16.0000,16.1500,7405417
2021-02-12,16.5200,17.3400,16.3500,17.2700,5679850
2021-02-16,17.3000,17.3500,16.6100,16.9000,4484348
2021-02-17,16.8000,17.7500,16.5100,17.4000,5410035
2021-02-18,17.0600,17.4800,16.7100,16.9400,3986912
2021-02-19,17.1400,17.7300,16.9000,17.3900,5806272
2021-02-22,17.2900,17.9600,16.6300,16.8700,6588462
2021-02-23,16.0000,16.3400,14.6500,16.1800,9781570
2021-02-24,16.1800,16.8000,16.0800,16.3500,4442205
2021-02-25,16.2700,16.4500,15.0800,15.3400,6435844
2021-02-26,15.4500,15.8900,14.5700,15.2100,6599354
2021-03-01,15.8000,16.0899,15.2800,15.7900,5899772
2021-03-02,15.8500,16.3800,15.6000,15.8400,5423775
2021-03-03,16.0000,16.0600,14.6200,14.7800,9363427
2021-03-04,14.8900,15.2594,12.9700,13.9500,11099746
2021-03-05,14.0200,15.0500,12.5000,14.9300,12250870
2021-03-08,15.8100,15.8100,14.5000,14.6500,6581819
2021-03-09,15.1500,15.2500,14.6400,14.7700,5951343
2021-03-10,15.2500,15.2500,14.3100,14.7800,5837192
2021-03-11,14.9000,15.3300,14.7200,14.9200,5212670
2021-03-12,14.5000,15.2500,14.5000,14.9000,4945748
2021-03-15,15.0000,16.9800,14.9100,16.5000,8272829
2021-03-16,16.6500,17.2500,15.9500,16.6200,7902244
2021-03-17,16.0000,16.5800,15.5500,16.0000,7462717
2021-03-18,15.9000,16.5500,15.8000,15.8900,5556642
2021-03-19,16.0700,16.1700,15.5100,15.6000,5109758
2021-03-22,16.2400,16.7899,15.7100,16.1500,6517035
2021-03-23,16.0800,16.2500,15.5200,15.6300,4277593
2021-03-24,16.0100,16.4400,14.6500,14.7300,9260961
2021-03-25,14.4800,15.4700,14.1600,14.9500,9559131
2021-03-26,15.2800,15.4400,14.3000,14.5500,5812094
2021-03-29,14.5000,15.4200,14.4600,15.3900,7266551
2021-03-30,15.9000,16.0700,14.9500,15.1000,13084394
2021-03-31,15.4900,15.6500,13.5000,13.5000,15761179
2021-04-01,13.9300,14.6500,13.8000,14.6000,9522000
2021-04-05,14.8500,14.8800,14.1000,14.1500,6782187
2021-04-06,13.9600,14.5500,13.8300,14.3000,5037361
2021-04-07,14.3200,14.9500,13.9600,14.0700,6205356
2021-04-08,14.1600,14.3500,13.8500,14.2400,3644771
2021-04-09,14.0000,14.0800,13.8100,13.8700,3690594
2021-04-12,13.8000,13.8200,13.0200,13.2400,5654260
2021-04-13,13.0000,13.5500,12.8000,13.3900,4855361
2021-04-14,13.5800,14.3000,13.5600,13.7300,5287793
2021-04-15,14.1900,14.3000,13.7500,13.9900,4619923
2021-04-16,13.9900,13.9900,13.4000,13.4900,3872469
2021-04-19,13.0200,13.2000,12.6200,13.0500,5876964
2021-04-20,12.7500,12.8700,12.2000,12.8300,7044413
2021-04-21,12.4200,13.1200,12.3900,12.9300,4326479
