date,open,high,low,close,volume
2020-08-17,9.8500,9.9000,9.8500,9.9000,280227
2020-08-18,9.9400,9.9400,9.8000,9.8600,11256
2020-08-19,9.8300,9.8300,9.8200,9.8200,921
2020-08-20,9.8500,9.8800,9.8300,9.8800,57308
2020-08-21,9.8800,9.8800,9.7400,9.7926,55734
2020-08-24,9.8500,9.8900,9.8000,9.8000,3150
2020-08-25,9.8500,9.9000,9.8000,9.8100,16803
2020-08-26,9.8500,9.9000,9.8000,9.8300,18186
2020-08-27,9.8600,9.8699,9.8500,9.8500,4819
2020-08-28,9.8400,9.9000,9.8200,9.8850,118574
2020-08-31,9.9000,9.9500,9.9000,9.9000,7784
2020-09-01,9.9200,9.9800,9.9200,9.9500,218775
2020-09-02,10.0000,10.1007,9.9000,10.0000,187691
2020-09-03,16.2000,18.9800,14.6000,18.7400,87005021
2020-09-04,22.8500,25.7500,19.2400,22.5000,52378826
2020-09-08,21.2000,22.4000,20.1000,20.1300,6789342
2020-09-09,20.6300,21.0000,18.1201,18.5000,5085173
2020-09-10,19.3100,20.4500,18.0000,18.2500,2827440
2020-09-11,18.5000,18.8300,16.5400,17.6300,4684466
2020-09-14,18.2500,19.7100,17.7500,18.8000,4506218
2020-09-15,19.4200,19.5000,18.0800,18.3500,2553686
2020-09-16,18.8000,19.6000,18.2000,18.6600,3125856
2020-09-17,17.8100,18.5000,17.7500,17.8800,1353454
2020-09-18,18.0000,18.3300,17.7100,17.8500,1813813
2020-09-21,17.5800,18.6400,16.7200,18.3500,2250360
2020-09-22,18.7500,20.3500,18.5000,18.9900,3792691
2020-09-23,19.0000,19.3800,16.4900,16.7400,3891396
2020-09-24,16.1000,16.7000,15.1100,16.0000,2479054
2020-09-25,16.5000,17.1500,16.0950,17.1500,1058104
2020-09-28,17.7800,18.6000,17.3000,17.8600,1857326
2020-09-29,17.9900,18.0500,16.7500,16.9000,1456648
2020-09-30,17.0200,17.4001,16.5500,16.7500,952245
2020-10-01,16.8000,17.0900,16.5000,16.6500,589649
2020-10-02,15.8800,16.5000,15.7100,15.9300,1223571
2020-10-05,16.4000,16.4400,14.7500,14.9500,2351560
2020-10-06,14.9000,15.0000,13.5600,13.7000,2760728
2020-10-07,14.0400,14.3700,13.7000,13.7200,1163646
2020-10-08,13.9000,14.3500,13.7200,14.1000,1119690
2020-10-09,14.7500,14.9390,14.3500,14.7500,1074241
2020-10-12,15.0100,15.7000,14.7600,15.7000,1206243
2020-10-13,15.9000,16.0000,14.8800,15.1000,1009081
2020-10-14,15.0100,15.2100,14.2300,14.5000,887952
2020-10-15,14.7600,15.1800,14.2300,14.6500,667754
2020-10-16,15.2000,15.2100,14.3200,14.4800,909418
2020-10-19,14.6335,15.0000,14.5000,14.5400,615243
2020-10-20,14.9600,15.1200,14.4500,15.1000,923110
2020-10-21,15.4000,15.4000,13.9300,14.1900,899481
2020-10-22,14.2100,14.3522,13.3100,13.7500,1128705
2020-10-23,14.3500,14.4900,13.6600,13.8700,1161017
2020-10-26,13.7500,13.8994,12.8600,12.9200,1024881
2020-10-27,13.1100,13.2000,12.3500,12.4000,761032
