date,open,high,low,close,volume
2017-07-28,19.5600,22.1100,19.2900,21.7000,9445864
2017-07-31,22.4300,25.1100,22.2900,24.1300,4377508
2017-08-01,26.2500,28.7000,25.3000,26.4800,3755382
2017-08-02,28.4500,31.1900,27.7000,31.0600,3620679
2017-08-03,33.3900,33.4900,26.5100,27.2000,5761471
2017-08-04,27.7400,27.7600,25.5100,25.8400,1670614
2017-08-07,25.7200,28.2200,24.7000,25.2700,2618219
2017-08-08,25.6200,25.9000,24.4400,25.5200,1311402
2017-08-09,25.0000,26.5800,24.7200,26.3300,982928
2017-08-10,26.0000,26.4000,25.1100,25.4400,595347
2017-08-11,25.0300,25.9240,24.2100,24.8500,636489
2017-08-14,25.1100,25.3100,24.5000,24.9600,554891
2017-08-15,24.8400,28.8500,24.5500,28.5900,1990388
2017-08-16,28.8500,30.2100,26.6430,27.1900,2239602
2017-08-17,26.9100,28.4690,26.0000,26.5800,1332220
2017-08-18,26.5900,27.2450,25.3100,26.7000,1142513
2017-08-21,26.6200,28.5400,26.4500,27.5600,1356402
2017-08-22,25.6400,27.3000,25.2000,25.2700,2017600
2017-08-23,25.0500,26.1800,25.0000,25.7500,917375
2017-08-24,25.7400,26.0730,25.1010,25.7900,1579584
2017-08-25,25.4700,25.8000,24.8700,24.8900,969795
2017-08-28,24.8000,25.1260,24.5100,24.8300,672460
2017-08-29,24.5500,24.7900,23.6000,23.8700,923460
2017-08-30,23.6500,23.8700,22.6600,23.0400,1453034
2017-08-31,22.0900,23.3700,22.0700,22.2900,950491
2017-09-01,22.1500,23.6800,22.1500,23.6000,997580
2017-09-05,23.5900,25.1900,23.2550,24.9900,1499783
2017-09-06,24.6200,25.9300,24.5510,25.8600,1371191
2017-09-07,26.0500,26.0500,25.2100,25.3600,1562540
2017-09-08,26.4000,26.4000,24.0100,24.1000,1664297
2017-09-11,24.3000,26.0400,24.1600,25.8200,1253448
2017-09-12,25.8500,26.2470,25.0100,25.4100,648448
2017-09-13,25.2500,26.9500,25.2500,26.8900,930987
2017-09-14,26.6900,27.9600,26.4250,26.7200,791090
2017-09-15,26.5000,27.3500,26.0500,26.5300,2052823
2017-09-18,26.6900,27.1250,25.6000,26.9200,702581
2017-09-19,26.9200,27.3000,26.3600,26.5800,464782
2017-09-20,26.5800,27.2900,26.3800,27.2800,564930
2017-09-21,27.0400,27.3500,26.1300,26.2500,380733
2017-09-22,26.3900,28.0000,26.2000,27.9700,989289
2017-09-25,27.8700,28.6950,25.6400,26.0200,1516193
2017-09-26,26.0000,26.5170,25.0400,25.2100,1061291
2017-09-27,25.3200,25.7800,25.0300,25.2400,754989
2017-09-28,25.3500,25.7300,24.8900,25.4200,414475
2017-09-29,25.2100,25.5400,24.6500,25.0900,825660
2017-10-02,24.9700,25.4700,24.8100,25.0500,417037
2017-10-03,24.9000,25.1900,24.8080,24.9200,543082
2017-10-04,24.8300,25.2700,24.8100,24.9200,417484
2017-10-05,24.8100,25.3200,24.5500,25.0000,840750
2017-10-06,24.9000,25.0100,24.0500,25.0000,771544
2017-10-09,25.0000,26.5900,25.0000,26.3300,1251799
2017-10-10,26.4900,26.4900,25.0100,25.3300,644497
2017-10-11,25.2800,25.9200,25.2000,25.3300,374983
