date,open,high,low,close,volume
2016-02-02,0.6000,0.6000,0.6000,0.6000,433
2016-04-18,0.0500,0.0500,0.0500,0.0500,200
2016-04-19,0.6200,0.6200,0.6200,0.6200,200
2016-05-17,0.6200,0.6200,0.6200,0.6200,10
2016-06-17,0.1100,0.1100,0.1100,0.1100,3000
2016-06-23,0.5000,0.5000,0.5000,0.5000,100
2016-07-05,0.5000,0.5000,0.5000,0.5000,100
2016-07-08,0.5000,0.5000,0.5000,0.5000,250
2016-07-15,0.5000,0.5000,0.5000,0.5000,2500
2016-07-26,0.5500,0.5500,0.4580,0.4580,2500
2016-12-16,0.5400,0.5400,0.5400,0.5400,2700
2016-12-19,0.4500,0.5500,0.4500,0.5500,3000
2016-12-21,0.5500,0.5500,0.5500,0.5500,90
2016-12-23,0.4500,0.4500,0.4500,0.4500,2500
2016-12-28,0.4500,0.4500,0.4500,0.4500,2000
2016-12-29,0.4500,0.5000,0.4500,0.5000,6600
2017-01-03,0.5000,0.5000,0.5000,0.5000,25
2017-01-04,0.4700,0.4700,0.4700,0.4700,10075
2017-01-06,0.4900,0.4900,0.4900,0.4900,1100
2017-01-10,0.4900,0.5000,0.4900,0.5000,8675
2017-01-12,0.4540,0.4540,0.4540,0.4540,1850
2017-01-17,0.4550,0.5000,0.4500,0.4500,26000
2017-01-19,0.4500,0.5000,0.4500,0.5000,3100
2017-01-23,0.4500,0.4500,0.4500,0.4500,222
2017-01-24,0.4500,0.4500,0.4500,0.4500,1000
2017-01-25,0.4200,0.4200,0.4200,0.4200,9523
2017-01-27,0.4500,0.4500,0.4500,0.4500,100
2017-04-04,0.5000,0.5000,0.5000,0.5000,150
2017-04-07,0.3000,0.3000,0.3000,0.3000,10000
2017-04-10,0.4000,0.4000,0.4000,0.4000,116
2017-04-18,0.3500,0.3500,0.3500,0.3500,5000
2017-04-19,0.4000,0.4000,0.4000,0.4000,179
2017-04-20,0.3540,0.3540,0.3540,0.3540,100
2017-04-21,0.2500,0.4000,0.2500,0.4000,10112
2017-04-24,0.3700,0.3700,0.3700,0.3700,10050
2017-04-25,0.2700,0.3900,0.2500,0.3900,23400
2017-04-26,0.2500,0.2500,0.2500,0.2500,10000
2017-04-27,0.4000,0.4000,0.4000,0.4000,104
2017-05-02,0.2020,0.3960,0.2020,0.3960,8605
2017-05-04,0.3960,0.3960,0.3960,0.3960,100
2017-05-08,0.2000,0.3660,0.2000,0.3660,10113
2017-05-09,0.3710,0.3710,0.3710,0.3710,109
2017-05-10,0.3710,0.3710,0.3710,0.3710,111
2017-05-12,0.2000,0.2450,0.2000,0.2450,15800
2017-05-15,0.3610,0.3610,0.3610,0.3610,125
2017-06-02,0.1150,0.1150,0.1150,0.1150,364
2017-06-06,0.2500,0.2500,0.2500,0.2500,0
2017-06-07,0.2500,0.2500,0.2500,0.2500,0
2017-06-08,0.2500,0.2500,0.2500,0.2500,0
2017-06-09,0.2500,0.2500,0.2500,0.2500,0
2017-06-12,0.2500,0.2500,0.2500,0.2500,0
2017-06-13,0.2500,0.2500,0.2500,0.2500,0
2017-06-14,0.2500,0.2500,0.2500,0.2500,0
2017-06-15,0.2500,0.2500,0.2500,0.2500,0
2017-06-16,0.2500,0.2500,0.2500,0.2500,0
2017-06-19,0.2500,0.2500,0.2500,0.2500,0
2017-06-20,0.2500,0.2500,0.2500,0.2500,0
2017-06-21,0.2500,0.2500,0.2500,0.2500,0
2017-06-22,0.2500,0.2500,0.2500,0.2500,0
2017-06-23,0.1100,0.1100,0.1100,0.1100,2350
2017-06-26,0.1100,0.1100,0.1100,0.1100,0
2017-06-27,0.1100,0.1100,0.1100,0.1100,0
2017-06-28,0.1100,0.1100,0.1100,0.1100,0
2017-07-10,0.3900,0.3900,0.3900,0.3900,150
2017-07-13,0.3900,0.3900,0.3900,0.3900,0
2017-07-18,0.3900,0.3900,0.3900,0.3900,0
2017-07-19,0.1428,0.1428,0.1200,0.1200,600
2017-07-20,0.1200,0.1200,0.1200,0.1200,0
2017-07-21,0.1200,0.1200,0.1200,0.1200,0
