date,open,high,low,close,volume
2011-05-04,19.5000,24.0000,18.0000,18.0100,90742731
2011-05-05,18.1700,18.7300,15.5000,16.8700,28586127
2011-05-06,17.2300,17.4100,16.1100,16.8000,7681698
2011-05-09,17.3200,17.5500,15.8800,16.0300,8680795
2011-05-10,15.6800,15.7000,14.5100,14.7500,15561699
2011-05-11,14.5500,14.5500,13.0400,13.4900,20326777
2011-05-12,13.3900,13.9800,12.5500,12.6000,13855022
2011-05-13,12.9000,13.3500,12.0000,13.1600,13711862
2011-05-16,13.2500,13.5700,12.3000,12.6000,8282708
2011-05-17,12.6000,12.9700,12.3600,12.7300,4055228
2011-05-18,13.1800,13.8900,13.1200,13.7000,9351722
2011-05-19,14.0000,14.8000,13.6700,13.7500,17215500
2011-05-20,13.8800,13.8800,12.9500,13.0000,6220262
2011-05-23,12.4800,12.6800,12.3000,12.4000,4657750
2011-05-24,12.6600,13.0452,12.2000,12.2600,4249338
2011-05-25,12.2700,12.6800,12.2000,12.3500,3934389
2011-05-26,12.4900,12.6900,12.2600,12.6900,2899089
2011-05-27,12.9700,13.1500,12.8000,13.0000,4188846
2011-05-31,13.2600,13.3500,12.6200,12.8500,4800349
2011-06-01,12.8500,12.9200,12.3100,12.4000,3618058
2011-06-02,12.5900,13.1800,12.4100,13.0090,2986960
2011-06-03,12.7500,13.2200,12.6000,12.6900,4046128
2011-06-06,12.9000,12.9300,12.1200,12.3400,3335643
2011-06-07,12.4000,12.7000,12.1000,12.1700,2912526
2011-06-08,12.1300,12.2700,10.4000,10.5100,10734853
2011-06-09,10.4200,10.6000,9.1000,9.1700,11749243
2011-06-10,9.1500,9.6700,8.8000,9.3500,7070783
2011-06-13,9.2500,9.5700,7.9100,8.0000,10514646
2011-06-14,8.3700,8.8600,8.2200,8.2700,9386681
2011-06-15,8.1400,8.2400,7.4500,7.5200,7756782
2011-06-16,7.8500,8.0400,6.7700,6.7800,11210739
2011-06-17,7.1600,7.2500,6.5500,7.0300,8877156
2011-06-20,7.1700,8.0700,6.9500,7.6000,10137898
2011-06-21,7.8900,7.8900,7.1000,7.2100,13877692
2011-06-22,7.1900,7.5400,6.8600,6.8800,9301594
2011-06-23,6.7500,6.8800,6.4300,6.5300,12258448
2011-06-24,6.6600,6.6700,6.1300,6.2300,8313900
2011-06-27,6.2900,7.0900,6.1500,7.0000,12162348
2011-06-28,7.2400,7.9500,6.9100,7.6000,15851028
2011-06-29,7.7000,8.6000,7.6500,8.5700,16148245
2011-06-30,8.9100,9.3000,8.7000,8.8500,16561459
2011-07-01,8.6900,9.2900,8.2400,9.2500,8170302
2011-07-05,9.6500,10.1900,9.3500,9.9400,8606697
2011-07-06,10.2000,11.0000,10.0900,10.7000,9335013
2011-07-07,11.5800,11.9900,11.1400,11.3300,12958417
2011-07-08,10.8900,11.3000,10.5000,10.9100,7683785
2011-07-11,10.4300,10.6500,9.8000,9.8400,8479252
2011-07-12,9.8300,9.9500,9.2300,9.5200,7042296
2011-07-13,10.1100,10.5000,10.0000,10.2500,7149831
2011-07-14,10.8300,10.8300,9.7500,10.0200,6780984
2011-07-15,10.4500,10.5000,9.9000,10.2600,4663304
2011-07-18,9.9100,11.0400,9.7800,10.9500,5504609
2011-07-19,11.3200,11.3200,10.3500,10.6300,6864128
2011-07-20,10.3800,10.7800,10.2700,10.6700,3623611
2011-07-21,10.7900,10.8000,10.1100,10.2300,4089940
2011-07-22,10.2000,10.4500,10.1000,10.1600,2171662
2011-07-25,9.8000,10.1300,9.7500,10.0200,3199491
2011-07-26,10.2500,10.5600,10.0200,10.1900,3716426
2011-07-27,10.3100,10.5900,10.1100,10.4800,4207678
2011-07-28,10.6000,10.9500,10.4200,10.7800,3847014
2011-07-29,10.3400,11.1000,10.0000,10.8300,3749779
2011-08-01,11.1500,11.2600,10.1800,10.4900,3164725
2011-08-02,10.2700,10.7000,10.2100,10.2500,2323884
2011-08-03,10.2500,10.5600,8.6900,9.5300,4733465
2011-08-04,9.1800,9.2300,7.8600,8.0500,5401647
2011-08-05,8.2500,8.4000,7.3200,7.6200,5275702
2011-08-08,6.9900,7.0796,6.6100,6.7500,7457060
2011-08-09,7.3400,7.5800,6.8500,7.3300,6790675
2011-08-10,7.1200,7.5000,6.8600,7.2400,3456755
2011-08-11,7.3600,8.1000,7.2900,7.7800,6318225
2011-08-12,7.4800,8.2600,7.2800,8.0400,7239071
2011-08-15,8.3500,8.5000,8.0100,8.1000,3081949
2011-08-16,7.9200,7.9500,7.4100,7.5700,3254115
2011-08-17,7.6800,7.9800,7.2000,7.3900,2934500
2011-08-18,7.0800,7.4800,6.7500,7.0800,3128665
2011-08-19,7.0000,7.3400,6.9000,6.9700,1959558
2011-08-22,7.2200,7.2400,6.6600,6.8000,2547245
2011-08-23,6.9000,7.3000,6.7000,7.3000,4440586
2011-08-24,8.0800,8.1200,7.1600,7.3800,7421114
2011-08-25,7.4200,7.5500,7.0500,7.2000,2159494
2011-08-26,7.1100,7.3400,6.9300,7.1800,1790625
2011-08-29,7.4100,7.4200,7.1700,7.3400,2237658
2011-08-30,7.2700,7.7400,7.2000,7.6400,3113284
2011-08-31,7.7400,7.8200,7.3000,7.3400,2406471
2011-09-01,7.3400,7.6000,7.2000,7.2100,1578580
2011-09-02,7.0700,7.1900,6.9900,7.1500,1152079
2011-09-06,6.8500,7.0700,6.7500,7.0300,1706504
2011-09-07,6.9800,7.2800,6.9000,6.9800,2515391
2011-09-08,6.9300,7.4200,6.9100,7.2100,3731719
2011-09-09,7.0600,7.3100,6.9100,6.9100,2336298
2011-09-12,6.7636,6.9000,6.7100,6.7900,1593258
2011-09-13,6.8100,6.9500,6.7300,6.8700,1591966
2011-09-14,6.9300,6.9700,6.6300,6.7500,2192797
2011-09-15,6.7400,6.7700,6.4900,6.6600,2814594
2011-09-16,6.5800,6.7100,6.5400,6.6700,1592540
2011-09-19,6.5000,6.5300,5.9500,6.0200,4306201
2011-09-20,6.0000,6.0500,5.5100,5.5100,5078708
2011-09-21,5.5600,5.7500,5.4800,5.5200,2411504
2011-09-22,5.2800,5.3500,4.9600,5.0200,4814647
2011-09-23,5.0000,5.5000,4.9900,5.2700,2329320
2011-09-26,5.4600,5.6200,5.0900,5.3500,1849997
2011-09-27,5.8000,6.1800,5.5200,5.5900,4286842
2011-09-28,5.6000,5.8800,5.3600,5.7900,3564872
2011-09-29,6.1100,6.2700,5.5200,5.8500,4872452
2011-09-30,5.6800,5.7000,5.1000,5.1000,5110567
2011-10-03,5.1000,5.2000,4.7500,4.7900,5338924
2011-10-04,4.6100,4.9700,4.5000,4.9700,4539416
2011-10-05,4.9200,5.1300,4.8000,5.0200,2827983
2011-10-06,5.1500,5.5800,5.0600,5.4900,4848334
2011-10-07,5.7600,5.8200,5.2000,5.4900,3354744
2011-10-10,5.5700,5.6600,5.3200,5.5000,3026954
2011-10-11,5.4600,5.9600,5.3600,5.6800,4504991
2011-10-12,5.8500,5.9800,5.6600,5.8100,3582304
2011-10-13,5.8600,6.0500,5.6200,5.8000,3452741
2011-10-14,6.0000,6.0100,5.5300,5.7500,2401470
2011-10-17,5.6200,5.8070,5.5600,5.7000,1559219
2011-10-18,5.5800,5.6900,5.4200,5.6500,1402222
2011-10-19,5.6500,5.9300,5.4800,5.6600,2349336
2011-10-20,5.6900,5.7700,5.5100,5.7300,1335737
2011-10-21,5.8000,5.8800,5.6900,5.7400,1261633
2011-10-24,5.8000,6.2500,5.7100,6.1600,5089182
2011-10-25,6.1800,6.2000,5.9000,5.9700,2196936
2011-10-26,6.1700,6.1700,5.6500,5.9500,1926549
2011-10-27,6.1800,6.2700,5.9500,6.1000,4078414
2011-10-28,6.3300,7.2000,6.3100,7.0200,6476028
2011-10-31,6.7900,7.3400,6.7450,7.0400,5779668
2011-11-01,6.6200,6.6400,6.1500,6.1600,4692252
2011-11-02,6.4500,6.4900,6.1100,6.1600,4362621
2011-11-03,6.2400,6.2400,5.3100,5.7400,5271156
2011-11-04,5.7400,5.7400,5.1800,5.2800,9189460
2011-11-07,5.2600,5.4200,5.0100,5.0900,5157016
2011-11-08,5.3900,5.4900,5.2000,5.3000,5417364
2011-11-09,5.1200,5.2800,5.0100,5.1500,3627587
2011-11-10,5.3800,5.3900,5.0600,5.0800,3251416
2011-11-11,4.6200,4.9800,4.5200,4.9600,5901826
2011-11-14,4.9900,4.9901,4.7300,4.7500,3557779
2011-11-15,4.6800,4.7600,4.5500,4.6000,3930920
2011-11-16,4.5500,4.6100,4.4600,4.5200,3828832
2011-11-17,4.4000,4.4550,4.2500,4.3200,3862637
2011-11-18,4.2900,4.3300,4.2500,4.2800,2020492
2011-11-21,4.2900,4.2900,3.8500,3.9000,4402123
2011-11-22,4.0000,4.0700,3.9401,3.9800,2544107
2011-11-23,3.8800,3.9000,3.6000,3.7500,5694558
2011-11-25,3.7500,3.8000,3.6500,3.7100,1019370
2011-11-28,3.9200,3.9200,3.5800,3.6000,4588273
2011-11-29,3.5900,3.8700,3.3818,3.7700,5421401
2011-11-30,3.9600,3.9600,3.6300,3.7000,4276316
2011-12-01,3.6900,3.7800,3.6100,3.6600,2009945
2011-12-02,3.7800,3.8000,3.6200,3.7900,2694414
2011-12-05,3.8500,3.8900,3.6300,3.6400,3030446
2011-12-06,3.6400,3.7700,3.6200,3.6600,2894643
2011-12-07,3.6300,3.6600,3.5300,3.6000,2736230
2011-12-08,3.5500,3.8500,3.4700,3.6200,7617079
2011-12-09,3.6800,3.7300,3.5600,3.6800,3261471
2011-12-12,3.6200,3.6600,3.4229,3.6400,1947084
2011-12-13,3.6700,3.7000,3.5300,3.5900,1927575
2011-12-14,3.5000,3.6000,3.4200,3.6000,2768806
2011-12-15,3.6200,3.6400,3.4100,3.4700,2424500
2011-12-16,3.4400,3.4900,3.4000,3.4500,2606197
2011-12-19,3.4200,3.4600,3.2100,3.3000,3129363
2011-12-20,3.3800,3.4585,3.2500,3.2900,3784119
2011-12-21,3.2900,3.3401,3.2400,3.2800,2314721
2011-12-22,3.2900,3.4200,3.2800,3.4000,2754918
2011-12-23,3.4200,3.4900,3.3400,3.3500,2106189
2011-12-27,3.3500,3.4700,3.3500,3.4300,3157846
2011-12-28,3.4100,3.4500,3.2400,3.3000,3541679
2011-12-29,3.3200,3.3300,3.2500,3.3000,1634091
2011-12-30,3.2700,3.6100,3.2700,3.5500,9440326
2012-01-03,3.6900,3.8300,3.5600,3.6700,5593623
2012-01-04,3.6300,3.7700,3.5600,3.5800,3010307
2012-01-05,3.6200,3.6700,3.5400,3.5900,2278977
2012-01-06,3.6400,3.7500,3.4100,3.4800,4193199
2012-01-09,3.4700,3.5500,3.3900,3.4000,2146023
2012-01-10,3.5300,3.5700,3.4000,3.4900,4192332
2012-01-11,3.5500,3.8900,3.5500,3.8500,8799869
2012-01-12,3.9000,4.1800,3.7700,4.0700,9170868
2012-01-13,3.9500,4.1100,3.8000,3.9000,4893913
2012-01-17,4.0600,4.2800,3.9900,4.1200,6378089
2012-01-18,4.2000,4.2300,4.0000,4.1000,4114731
2012-01-19,4.1500,4.4000,4.0900,4.2200,7717891
2012-01-20,4.1900,4.5200,4.1800,4.2900,6353180
2012-01-23,4.3700,4.4700,4.1300,4.3000,4669624
2012-01-24,4.2300,4.2500,4.1000,4.1300,2327797
2012-01-25,4.2000,4.2400,4.1300,4.2000,2359559
2012-01-26,4.2700,4.3000,4.0300,4.1600,3063426
2012-01-27,4.1300,5.2900,4.0425,5.2500,16126984
2012-01-30,5.4300,6.6800,5.4200,6.3100,54716500
2012-01-31,6.5800,6.8000,5.4700,5.5500,36723332
2012-02-01,5.7200,5.7900,4.9500,5.0100,24547132
2012-02-02,5.2600,5.7400,5.1600,5.4200,24124084
2012-02-03,5.4600,5.7800,5.1400,5.2200,20143403
2012-02-06,5.0500,5.2500,4.8000,4.9200,14782490
2012-02-07,4.9800,5.3800,4.8200,5.2300,15826892
2012-02-08,5.4200,5.5500,5.1300,5.1900,11954196
2012-02-09,5.2200,5.3200,5.0600,5.2200,8765479
2012-02-10,5.1400,5.5850,5.0600,5.2000,15889367
2012-02-13,5.3300,5.5000,5.2700,5.3800,10902488
2012-02-14,5.4000,5.7300,5.4000,5.4400,12100718
2012-02-15,5.1200,5.4800,5.0600,5.3600,13083601
2012-02-16,5.3300,5.5400,5.2100,5.5100,9394483
2012-02-17,5.5700,5.6400,5.3200,5.4300,5581501
2012-02-21,5.4000,5.5700,5.3100,5.3900,5315721
2012-02-22,5.4500,5.4500,5.2100,5.2600,3812975
2012-02-23,5.1400,5.3800,5.0400,5.1900,6995082
2012-02-24,5.0400,5.2500,5.0400,5.2400,3904760
2012-02-27,5.2400,5.2900,5.1100,5.1400,2888758
2012-02-28,5.1900,5.6000,5.1500,5.4600,9205454
2012-02-29,5.4800,5.5600,5.2800,5.4500,5097959
2012-03-01,5.4600,5.6800,5.3800,5.4800,5461088
2012-03-02,5.9700,6.0900,5.6100,5.6800,18758965
2012-03-05,5.7000,5.7100,5.4000,5.4100,4170031
2012-03-06,5.1800,5.3000,5.1100,5.1600,5208397
2012-03-07,5.2400,5.2800,5.1600,5.2000,2617615
2012-03-08,5.2900,5.3600,5.2200,5.3500,3581757
