date,open,high,low,close,volume
2016-01-04,0.1510,0.1649,0.1453,0.1649,134126
2016-01-05,0.1501,0.1599,0.1450,0.1500,73155
2016-01-06,0.1499,0.1499,0.1410,0.1450,58591
2016-01-07,0.1400,0.1550,0.1400,0.1550,77181
2016-01-08,0.1550,0.1550,0.1397,0.1450,92398
2016-01-11,0.1400,0.1540,0.1220,0.1325,177105
2016-01-12,0.1381,0.1540,0.1221,0.1468,661943
2016-01-13,0.1500,0.1500,0.1250,0.1335,163645
2016-01-14,0.1400,0.1487,0.1251,0.1325,37722
2016-01-15,0.1301,0.1301,0.1101,0.1200,127728
2016-01-19,0.1440,0.1440,0.1100,0.1267,386783
2016-01-20,0.1300,0.1398,0.1090,0.1298,89635
2016-01-21,0.1100,0.1460,0.1100,0.1289,47928
2016-01-22,0.1166,0.1281,0.1150,0.1173,58862
2016-01-25,0.1231,0.1298,0.1111,0.1182,99326
2016-01-26,0.1300,0.1320,0.1175,0.1200,132299
2016-01-27,0.1190,0.1200,0.1155,0.1200,36653
2016-01-28,0.1200,0.1200,0.1152,0.1200,14620
2016-01-29,0.1300,0.1300,0.1161,0.1267,60442
2016-02-01,0.1350,0.1355,0.1161,0.1355,18500
2016-02-02,0.1200,0.1380,0.1155,0.1224,110392
2016-02-03,0.1225,0.1225,0.1001,0.1143,93599
2016-02-04,0.1234,0.1240,0.1033,0.1152,59525
2016-02-05,0.1360,0.1360,0.1085,0.1295,27368
2016-02-08,0.1115,0.1249,0.1101,0.1248,55557
2016-02-09,0.1250,0.1250,0.1051,0.1229,60153
2016-02-10,0.1100,0.1241,0.1050,0.1220,147260
2016-02-11,0.1190,0.1241,0.1095,0.1241,11540
2016-02-12,0.1051,0.1241,0.1051,0.1229,85950
2016-02-16,0.1061,0.1217,0.1061,0.1196,18233
2016-02-17,0.1200,0.1250,0.1100,0.1200,211106
2016-02-18,0.1225,0.1580,0.1225,0.1400,469217
2016-02-19,0.1550,0.1550,0.1371,0.1510,51770
2016-02-22,0.1417,0.1600,0.1417,0.1550,33223
2016-02-23,0.1550,0.1600,0.1460,0.1598,74608
2016-02-24,0.1600,0.1600,0.1460,0.1600,224572
2016-02-25,0.1600,0.1748,0.1600,0.1650,108816
2016-02-26,0.1600,0.1749,0.1600,0.1700,99758
2016-02-29,0.1850,0.2100,0.1850,0.2000,303878
2016-03-01,0.2000,0.2000,0.1510,0.1700,176245
2016-03-02,0.1700,0.1700,0.1650,0.1650,115679
2016-03-03,0.1630,0.1630,0.1588,0.1592,113030
2016-03-04,0.1600,0.1600,0.1480,0.1500,303697
2016-03-07,0.1495,0.1800,0.1393,0.1550,559326
2016-03-08,0.1550,0.1550,0.1410,0.1426,295890
2016-03-09,0.1425,0.1600,0.1425,0.1498,226266
2016-03-10,0.1410,0.1500,0.1410,0.1428,21884
2016-03-11,0.1420,0.1450,0.1365,0.1420,74556
2016-03-14,0.1353,0.1499,0.1260,0.1290,252861
2016-03-15,0.1280,0.1500,0.1280,0.1390,13825
2016-03-16,0.1450,0.1450,0.1324,0.1400,15305
2016-03-17,0.1400,0.1497,0.1302,0.1496,25028
2016-03-18,0.1500,0.1500,0.1326,0.1490,107755
2016-03-21,0.1490,0.1490,0.1360,0.1360,84935
2016-03-22,0.1380,0.1489,0.1361,0.1380,60448
2016-03-23,0.1380,0.1520,0.1380,0.1416,102853
2016-03-24,0.1500,0.1500,0.1355,0.1400,67828
2016-03-28,0.1400,0.1400,0.1301,0.1320,77155
2016-03-29,0.1320,0.1366,0.1202,0.1274,430338
2016-03-30,0.1214,0.1300,0.1214,0.1237,79491
2016-03-31,0.1400,0.1400,0.1203,0.1250,96719
2016-04-01,0.1250,0.1298,0.1150,0.1150,351524
2016-04-04,0.1250,0.1250,0.1150,0.1249,162391
2016-04-05,0.1250,0.1250,0.1150,0.1150,52640
2016-04-06,0.1200,0.1200,0.1102,0.1198,69217
2016-04-07,0.1197,0.1200,0.1089,0.1134,126756
2016-04-08,0.1150,0.1169,0.1052,0.1101,118672
2016-04-11,0.1120,0.1150,0.1071,0.1075,131647
2016-04-12,0.1149,0.1149,0.0899,0.1017,491095
2016-04-13,0.1019,0.1099,0.0992,0.1055,546641
2016-04-14,0.1025,0.1150,0.0996,0.1065,450080
2016-04-15,0.1020,0.1200,0.1000,0.1160,513735
2016-04-18,0.1250,0.1290,0.1150,0.1249,108938
2016-04-19,0.1200,0.1200,0.1150,0.1199,31734
2016-04-20,0.1200,0.1251,0.1000,0.1186,370530
2016-04-21,0.1040,0.1497,0.1010,0.1209,359144
2016-04-22,0.1145,0.1200,0.1061,0.1182,95900
2016-04-25,0.1091,0.1152,0.1050,0.1138,75763
2016-04-26,0.1150,0.1150,0.0950,0.1039,262705
2016-04-27,0.1040,0.1048,0.0850,0.1048,372122
2016-04-28,0.1050,0.1050,0.0720,0.0900,210384
2016-04-29,0.0965,0.0965,0.0840,0.0840,142416
2016-05-02,0.0835,0.0899,0.0800,0.0877,242208
2016-05-03,0.0899,0.1000,0.0877,0.0960,221910
2016-05-04,0.0978,0.0980,0.0820,0.0872,99645
2016-05-05,0.0880,0.0890,0.0801,0.0890,249510
2016-05-06,0.0812,0.0881,0.0812,0.0881,12100
2016-05-09,0.0800,0.0900,0.0750,0.0890,71853
2016-05-10,0.0890,0.1050,0.0813,0.0995,218967
2016-05-11,0.1050,0.1100,0.0960,0.1000,45487
2016-05-12,0.1050,0.1100,0.0885,0.1000,96724
2016-05-13,0.1000,0.1000,0.0900,0.0948,11727
2016-05-16,0.0911,0.1100,0.0900,0.0977,64452
2016-05-17,0.1000,0.1000,0.0851,0.0930,24602
2016-05-18,0.0900,0.0900,0.0680,0.0790,115545
2016-05-19,0.0800,0.0900,0.0780,0.0800,235297
2016-05-20,0.0800,0.0873,0.0712,0.0800,107313
2016-05-23,0.0789,0.0899,0.0750,0.0899,102657
2016-05-24,0.0870,0.0870,0.0750,0.0791,46995
2016-05-25,0.0750,0.1000,0.0707,0.0799,263300
2016-05-26,0.0867,0.0875,0.0710,0.0799,56366
2016-05-27,0.0741,0.0950,0.0705,0.0899,294363
2016-05-31,0.0891,0.0900,0.0655,0.0800,240085
2016-06-01,0.0750,0.0859,0.0750,0.0838,50961
2016-06-02,0.0750,0.0950,0.0701,0.0930,218108
2016-06-03,0.0918,0.0930,0.0810,0.0930,18620
2016-06-06,0.0960,0.0960,0.0861,0.0861,118030
2016-06-07,0.0951,0.1200,0.0890,0.1085,158092
2016-06-08,0.1002,0.1122,0.1002,0.1100,110408
2016-06-09,0.1100,0.1124,0.1006,0.1020,56216
2016-06-10,0.1093,0.1199,0.1000,0.1046,125794
2016-06-13,0.1050,0.1099,0.0900,0.0999,144716
2016-06-14,0.0920,0.1000,0.0810,0.0999,456153
2016-06-15,0.0785,0.1000,0.0785,0.0970,89799
2016-06-16,0.0949,0.0982,0.0783,0.0870,43673
2016-06-17,0.0880,0.0880,0.0880,0.0880,647
2016-06-20,0.0800,0.1000,0.0800,0.0991,63161
2016-06-21,0.1000,0.1050,0.0905,0.1050,221310
2016-06-22,0.1050,0.1050,0.0950,0.1050,1357
2016-06-23,0.0950,0.1200,0.0850,0.1200,220813
2016-06-24,0.1200,0.1200,0.1000,0.1000,22000
2016-06-27,0.0978,0.1000,0.0815,0.0990,55664
2016-06-28,0.0982,0.1000,0.0833,0.1000,27232
2016-06-29,0.1000,0.1000,0.0879,0.1000,30744
2016-06-30,0.1100,0.1270,0.1000,0.1100,540299
2016-07-01,0.1110,0.1170,0.1000,0.1140,298306
2016-07-05,0.1050,0.1100,0.1000,0.1100,127198
2016-07-06,0.1150,0.1150,0.1000,0.1150,55655
2016-07-07,0.0810,0.1137,0.0810,0.1100,50234
2016-07-08,0.1080,0.1080,0.0815,0.1038,55738
2016-07-11,0.1090,0.1100,0.1000,0.1090,34831
2016-07-12,0.1090,0.1090,0.0900,0.1040,229340
