date,open,high,low,close,volume
1999-11-01,2.5000,2.5000,2.2500,2.2500,7400
1999-11-02,2.4690,2.5000,2.4690,2.4690,8200
1999-11-03,2.5310,2.5310,2.5310,2.5310,1000
1999-11-04,2.5000,2.5000,2.2500,2.3750,11700
1999-11-05,2.3750,2.5000,2.3750,2.5000,2300
1999-11-08,2.5000,2.5000,2.5000,2.5000,0
1999-11-09,2.3130,2.3130,2.3130,2.3130,100
1999-11-10,2.3130,2.5000,2.2500,2.2500,3900
1999-11-11,2.2810,2.2810,2.2810,2.2810,100
1999-11-12,2.3130,2.3130,2.3130,2.3130,1100
1999-11-15,2.3750,2.3750,2.3750,2.3750,700
1999-11-16,2.5630,2.6880,2.5000,2.5630,11800
1999-11-17,2.5630,2.7500,2.5000,2.5630,13900
1999-11-18,2.6250,3.5630,2.6250,3.5630,36100
1999-11-19,3.0310,3.2500,2.6250,2.7500,40100
1999-11-22,2.7810,3.3750,2.7810,3.0000,45300
1999-11-23,3.0000,3.1250,3.0000,3.1250,300
1999-11-24,2.9380,3.1880,2.5310,2.9690,50800
1999-11-26,2.8130,2.8130,2.8130,2.8130,2100
1999-11-29,3.0000,3.0000,2.8130,2.8130,2000
1999-11-30,2.9380,2.9380,2.8750,2.8750,1800
1999-12-01,3.5000,3.5000,3.5000,3.5000,100
1999-12-02,2.8750,2.8750,2.8750,2.8750,1100
1999-12-03,3.0000,3.0000,2.8130,3.0000,4700
1999-12-06,2.9380,3.1250,2.9380,3.0000,22500
1999-12-07,3.0000,3.0630,3.0000,3.0000,11600
1999-12-08,3.0000,3.0000,2.8130,2.8750,4200
1999-12-09,3.0000,3.1250,2.8750,2.8750,29200
1999-12-10,2.9380,3.0000,2.9380,2.9380,5600
1999-12-13,3.0000,3.1250,2.9380,3.1250,13000
1999-12-14,3.0630,3.1250,3.0000,3.0000,2800
1999-12-15,3.0000,3.0630,2.9380,3.0630,10100
1999-12-16,3.1250,3.1250,3.0630,3.1250,4700
1999-12-17,3.1250,3.1250,3.0000,3.0000,1300
1999-12-20,3.0000,3.0000,2.8130,2.8130,11700
1999-12-21,2.8130,2.8130,2.6880,2.6880,400
1999-12-22,2.8130,2.9380,2.8130,2.9380,3500
1999-12-23,2.9380,2.9380,2.9380,2.9380,3300
1999-12-27,2.7500,2.7500,2.5000,2.6880,18900
1999-12-28,2.5630,2.7500,2.5000,2.7500,48300
1999-12-29,2.7500,2.7810,2.5630,2.7500,31400
1999-12-30,2.9380,2.9380,2.7500,2.7500,12600
1999-12-31,2.9380,2.9380,2.9380,2.9380,2800
2000-01-03,2.7500,2.7500,2.7500,2.7500,1300
2000-01-04,2.8750,2.8750,2.5000,2.5000,29900
2000-01-05,2.7500,2.7500,2.5000,2.5000,1100
2000-01-06,2.7500,2.8750,2.7500,2.8750,3900
2000-01-07,2.8750,3.0000,2.8750,2.9380,20700
2000-01-10,2.9380,3.0630,2.9380,3.0630,11400
2000-01-11,3.0000,3.0000,2.9380,2.9380,15300
2000-01-12,2.9380,2.9380,2.7500,2.8130,23400
2000-01-13,2.6250,2.6250,2.5000,2.5000,6300
2000-01-14,2.6880,2.7500,2.6250,2.6250,16900
2000-01-18,2.8130,2.8130,2.6560,2.7500,1700
2000-01-19,2.6250,2.6250,2.5630,2.6250,1400
2000-01-20,2.6880,2.6880,2.6880,2.6880,2500
2000-01-21,2.6880,2.6880,2.6250,2.6250,14400
2000-01-24,2.6250,2.6250,2.6250,2.6250,3200
2000-01-25,2.6250,2.7500,2.6250,2.6250,900
2000-01-26,2.6880,2.6880,2.5630,2.5630,6500
2000-01-27,2.5630,2.7500,2.5630,2.6880,2000
2000-01-28,2.6250,2.6250,2.5630,2.5630,3000
2000-01-31,2.5630,2.6250,2.5630,2.6250,2000
2000-02-01,2.5630,2.6250,2.5630,2.5630,9500
2000-02-02,2.5000,2.6250,2.5000,2.5000,16100
2000-02-03,2.5000,2.5000,2.5000,2.5000,100
2000-02-04,2.3750,2.5000,2.3750,2.5000,1900
2000-02-07,2.5000,2.5000,2.5000,2.5000,0
2000-02-08,2.6250,2.6880,2.6250,2.6250,16800
2000-02-09,2.7500,2.7500,2.6250,2.6250,17700
2000-02-10,2.7500,2.7500,2.6250,2.6250,9300
2000-02-11,2.6200,2.6200,2.6200,2.6200,0
2000-02-14,2.6560,2.6880,2.6250,2.6880,1200
