date,open,high,low,close,volume
1999-11-01,27.8100,28.5600,26.8100,28.5000,724100
1999-11-02,28.2500,28.2500,27.3100,27.5600,544000
1999-11-03,27.5000,28.0600,27.1900,27.6900,607900
1999-11-04,27.7500,27.8800,26.4400,26.6300,1247100
1999-11-05,26.8100,27.0000,24.8100,25.3800,1444700
1999-11-08,25.4400,26.3100,25.3800,26.2500,1017200
1999-11-09,26.9400,27.8100,26.8800,27.8100,1032100
1999-11-10,28.0000,29.0000,27.8800,28.1900,1023100
1999-11-11,28.0000,28.1900,27.3800,27.5000,545200
1999-11-12,27.5000,28.6900,27.1900,28.4400,641500
1999-11-15,28.7500,30.2500,28.3800,30.0000,1174600
1999-11-16,30.0000,30.7500,29.9400,30.5000,1607600
1999-11-17,30.7500,32.5000,30.5000,32.3800,1213900
1999-11-18,32.4400,32.4400,30.6900,30.7500,891800
1999-11-19,31.1300,31.6900,30.7500,31.0000,751000
1999-11-22,32.2500,32.7500,30.6900,30.7500,855600
1999-11-23,30.7500,30.7500,28.5000,28.5600,864000
1999-11-24,28.8800,29.5600,28.6900,29.1900,695700
1999-11-26,29.0000,29.3100,28.8800,29.0000,377400
1999-11-29,28.5000,28.5600,27.8100,28.0000,607600
1999-11-30,27.5600,29.1300,27.5600,28.1900,712900
1999-12-01,28.6300,30.0000,27.8800,29.7500,917000
1999-12-02,29.5000,29.6900,28.0000,28.8800,910700
1999-12-03,28.7500,28.7500,27.2500,27.5000,741100
1999-12-06,27.7500,28.1300,26.5000,26.7500,880400
1999-12-07,26.1300,27.1900,25.6300,26.0000,1043800
1999-12-08,25.5000,26.9400,24.9400,26.6300,1955400
1999-12-09,26.6300,26.6900,25.2500,25.5000,890200
1999-12-10,25.5000,25.7500,24.2500,24.7500,1219500
1999-12-13,25.1900,25.5000,23.8800,24.0000,2031200
1999-12-14,24.0000,25.2500,24.0000,25.1300,994000
1999-12-15,25.4400,26.5000,25.4400,25.9400,1017800
1999-12-16,26.0000,27.5000,26.0000,27.3400,1220800
1999-12-17,27.0600,27.0600,27.0600,27.0600,930000
