date,open,high,low,close,volume
1999-11-01,68.0000,68.2500,67.9400,67.9400,8600
1999-11-02,67.9400,68.6200,67.8800,68.5000,60600
1999-11-03,68.4400,68.4400,68.0000,68.3800,21800
1999-11-04,68.2500,68.3800,67.5000,67.6200,15700
1999-11-05,66.5000,66.6900,66.5000,66.6900,2500
1999-11-08,66.9400,66.9400,65.0000,66.4400,36300
1999-11-09,66.0600,67.4400,66.0600,67.0000,2000
1999-11-10,67.0000,67.5000,67.0000,67.2500,500
1999-11-11,70.2500,71.2500,69.7500,69.7500,16800
1999-11-12,71.3800,72.0000,71.0000,71.0000,1100
1999-11-15,71.6200,71.7500,71.3800,71.7500,4300
1999-11-16,72.3800,74.2500,72.3800,74.0000,35100
1999-11-17,79.0000,80.9400,79.0000,79.0600,78900
1999-11-18,80.0000,80.0000,79.6900,79.8800,24900
1999-11-19,79.0000,79.6200,79.0000,79.3800,58400
1999-11-22,78.7500,78.7500,77.6200,77.6900,9600
1999-11-23,78.6200,79.2500,78.1200,78.1200,26800
1999-11-24,77.8800,78.6200,77.7500,78.0000,35000
1999-11-26,75.5000,76.2500,75.5000,76.2500,10500
1999-11-29,78.3800,79.0000,78.1900,78.2500,5100
1999-11-30,78.5000,78.7500,77.7500,77.7500,3700
1999-12-01,80.0000,80.5000,80.0000,80.1900,5600
1999-12-02,81.5000,81.7500,81.0000,81.4400,7500
1999-12-03,80.5000,80.5000,79.6200,80.0000,110600
1999-12-06,79.7500,80.2500,79.6200,79.6900,69700
1999-12-07,80.5000,80.7500,80.1200,80.1200,155200
1999-12-08,80.3800,81.0000,80.0000,80.3100,235900
1999-12-09,82.5000,83.2500,82.1900,82.2500,12200
1999-12-10,82.3800,82.6200,81.7500,81.7500,8600
1999-12-13,81.8800,83.0000,81.8800,82.5000,12300
1999-12-14,82.2500,82.5000,79.2500,79.2500,23300
1999-12-15,83.3800,87.2500,83.3800,86.0000,40200
1999-12-16,95.0000,95.1200,91.5000,92.7500,27100
1999-12-17,93.0600,93.5000,92.6900,93.1200,14600
1999-12-20,93.0000,93.0000,91.1200,91.1200,2900
1999-12-21,90.2500,90.2500,89.0000,89.2500,52700
1999-12-22,91.7500,91.8800,89.6200,89.8800,50700
1999-12-23,89.8800,90.0000,89.3100,89.6900,52900
1999-12-27,89.0000,89.2500,88.7500,88.9400,1600
1999-12-28,88.0000,88.0000,87.2500,87.6200,4300
1999-12-29,91.5000,92.8800,91.2500,92.0000,13800
1999-12-30,94.0000,94.0000,93.3800,93.3800,4800
1999-12-31,93.4400,94.7500,93.4400,94.7500,4100
2000-01-03,95.5000,95.7500,94.3100,95.0000,10700
2000-01-04,96.3800,96.7500,95.2500,95.2500,147100
2000-01-05,94.2500,95.3800,92.8100,95.3800,20200
2000-01-06,96.2500,97.2500,95.5600,96.0000,12100
2000-01-07,95.7500,96.5600,95.5600,96.5600,7000
2000-01-10,96.0000,96.0600,94.3800,95.6200,7500
2000-01-11,92.0000,93.2500,91.5000,93.2500,8900
2000-01-12,90.3800,90.3800,88.0000,89.5000,33500
2000-01-13,87.6200,88.7500,87.6200,88.7500,17200
2000-01-14,89.1200,90.0000,87.5000,88.1200,15900
2000-01-18,88.2500,88.2500,87.2500,87.4400,15100
2000-01-19,87.6900,88.1200,86.5000,87.0000,12700
2000-01-20,86.7500,86.9400,85.2500,86.2500,44500
2000-01-21,84.3800,86.0000,84.1900,86.0000,47400
2000-01-24,83.8800,84.1200,83.0000,83.1200,16500
2000-01-25,79.1200,81.0000,79.1200,80.7500,14500
2000-01-26,78.7500,78.7500,77.5000,78.7500,17400
2000-01-27,76.2500,78.0000,75.7500,78.0000,23800
2000-01-28,75.0000,77.3100,75.0000,77.3100,8200
2000-01-31,74.0000,75.2500,73.8800,74.6900,17500
2000-02-01,74.5000,76.0000,74.5000,76.0000,21800
2000-02-02,75.2500,76.2500,74.6200,76.2500,34400
2000-02-03,76.2500,76.8800,75.3800,76.5000,45400
2000-02-04,75.0000,75.0000,74.3800,74.8800,20400
2000-02-07,76.1200,77.2500,73.8800,74.8100,44300
2000-02-08,74.1200,75.5000,73.8800,74.5600,19700
2000-02-09,71.8800,72.2500,70.6200,71.3100,27400
2000-02-10,67.3100,69.0000,67.0000,68.3800,61100
2000-02-11,66.7500,67.7500,66.5000,67.7500,18000
2000-02-14,65.7500,68.2500,65.0000,68.2500,35700
2000-02-15,68.3800,69.8800,68.3800,69.8800,99500
2000-02-16,72.2500,74.2500,71.7500,71.7500,33700
2000-02-17,72.5000,74.1900,72.3800,73.9400,42700
2000-02-18,70.5000,70.7500,68.3800,69.0000,50200
2000-02-22,68.9400,68.9400,67.5000,67.5000,68500
2000-02-23,69.2500,70.0000,68.7500,69.3100,84200
2000-02-24,64.8800,65.0000,63.8100,64.4400,40900
2000-02-25,62.0000,63.2500,61.7500,63.1900,44900
2000-02-28,59.7500,60.7500,59.7500,60.7500,43900
2000-02-29,60.7500,61.2500,60.0000,60.5000,33300
2000-03-01,60.5000,62.5000,60.5000,62.0000,18200
2000-03-02,64.8800,66.5000,64.8800,65.7500,24800
2000-03-03,62.8800,63.8800,62.8800,63.3800,31400
2000-03-06,64.0000,64.7500,63.6200,64.0000,39000
2000-03-07,62.7500,63.1900,61.5600,61.5600,14400
2000-03-08,58.6200,58.8800,57.3800,57.6200,40400
2000-03-09,57.8800,58.0000,57.1200,57.2500,43600
2000-03-10,60.2500,60.6200,59.5000,59.5000,66700
2000-03-13,57.8800,59.1200,57.2500,58.7500,20800
2000-03-14,60.5000,62.2500,60.2500,60.2500,21800
2000-03-15,64.5000,66.0000,64.0000,65.1900,21200
2000-03-16,70.2500,71.7500,69.0000,69.0000,46700
2000-03-17,68.5000,68.7500,65.5000,65.5000,11500
2000-03-20,63.7500,63.7500,62.8800,62.8800,39600
2000-03-21,65.3800,66.0000,64.9400,65.8800,9500
2000-03-22,67.2500,67.8800,66.9400,67.5000,20800
2000-03-23,64.2500,66.6200,64.0000,66.0000,28200
2000-03-24,65.0000,65.0000,63.7500,64.5600,13100
2000-03-27,65.5000,66.5000,65.3800,65.6200,14300
2000-03-28,64.2500,65.2500,64.0600,65.0000,24700
2000-03-29,65.7700,66.3100,65.0600,66.0600,15400
2000-03-30,62.7500,65.0000,62.5000,64.0000,43200
2000-03-31,68.1200,71.2500,67.5000,71.2500,30900
2000-04-03,70.0000,70.2500,69.6200,69.6900,15300
2000-04-04,71.0000,71.1200,68.5000,68.5600,26600
2000-04-05,68.5600,71.1200,68.5600,71.1200,4600
2000-04-06,68.0000,69.0000,67.5000,68.5000,14500
2000-04-07,68.2500,69.2500,68.2500,69.0000,20600
2000-04-10,65.8100,68.5000,65.8100,67.5000,36700
2000-04-11,67.0000,68.3800,67.0000,68.2500,11600
2000-04-12,64.2500,65.0000,63.6200,64.7500,31900
2000-04-13,63.0000,63.8800,62.5000,63.8800,17900
2000-04-14,62.5000,64.0000,61.8800,61.8800,19700
2000-04-17,60.6200,61.1200,59.5000,60.7500,24600
2000-04-18,59.6200,60.3800,58.8800,60.2500,40100
2000-04-19,60.0000,60.7500,59.2500,60.3100,23700
2000-04-20,61.2500,66.0000,61.2500,66.0000,63100
2000-04-24,65.5000,66.5000,62.8800,64.8100,55100
2000-04-25,62.5000,68.2500,62.0000,66.5000,127200
2000-04-26,63.2500,63.5000,62.7500,63.1200,62700
2000-04-27,63.0000,63.1200,62.0600,63.1200,12600
