date,open,high,low,close,volume
2014-01-27,17.1700,17.1700,17.1700,17.1700,200
2014-01-28,17.1700,17.1700,17.1700,17.1700,0
2014-01-29,17.1700,17.1700,17.1700,17.1700,0
2014-01-30,17.1700,17.1700,17.1700,17.1700,0
2014-01-31,17.1700,17.1700,17.1700,17.1700,0
2014-02-03,16.3000,16.3000,16.3000,16.3000,200
2014-02-04,16.3000,16.3000,16.3000,16.3000,0
2014-02-05,16.3000,16.3000,16.3000,16.3000,0
2014-02-06,16.3000,16.3000,16.3000,16.3000,0
2014-02-07,16.3000,16.3000,16.3000,16.3000,0
2014-02-10,16.3000,16.3000,16.3000,16.3000,0
2014-02-11,16.3000,16.3000,16.3000,16.3000,0
2014-02-12,16.3000,16.3000,16.3000,16.3000,0
2014-02-13,16.3000,16.3000,16.3000,16.3000,0
2014-02-14,16.3000,16.3000,16.3000,16.3000,0
2014-02-18,15.1800,15.4300,15.0500,15.0500,1000
2014-02-19,15.1800,15.4300,15.0500,15.0500,0
2014-02-20,14.9200,14.9200,14.9200,14.9200,320
2014-02-21,14.9200,14.9200,14.9200,14.9200,0
2014-02-24,14.9500,14.9500,14.9500,14.9500,430
2014-02-25,15.3000,15.3000,15.3000,15.3000,2600
2014-02-26,15.4900,15.4900,15.0955,15.2000,254489
2014-02-27,14.7500,14.7500,14.7500,14.7500,1000
2014-02-28,14.5000,14.5000,14.5000,14.5000,500
2014-03-03,14.2900,14.2900,14.2900,14.2900,200
2014-03-04,14.6200,14.6200,14.6200,14.6200,430
2014-03-05,14.6200,14.6200,14.6200,14.6200,0
2014-03-06,14.0700,14.0700,13.9512,14.0700,700
2014-03-07,13.9900,13.9900,13.9900,13.9900,115
2014-03-10,13.9900,13.9900,13.9900,13.9900,0
2014-03-11,13.8500,13.8500,13.8500,13.8500,400
2014-03-12,13.8500,13.8500,13.8500,13.8500,300
2014-03-13,13.8500,13.8500,13.8500,13.8500,0
2014-03-14,13.8500,13.8500,13.8500,13.8500,0
2014-03-17,12.9500,12.9500,12.9500,12.9500,640
2014-03-18,12.9500,12.9500,12.9500,12.9500,0
2014-03-19,12.9500,12.9500,12.9500,12.9500,0
2014-03-20,12.9500,12.9500,12.9500,12.9500,0
2014-03-21,12.9500,12.9500,12.9500,12.9500,0
2014-03-24,12.9500,12.9500,12.9500,12.9500,0
2014-03-25,12.9500,12.9500,12.9500,12.9500,0
2014-03-26,12.9651,13.1400,12.9651,13.1400,400
2014-03-27,13.0000,13.0000,13.0000,13.0000,200
2014-03-28,13.0000,13.0000,13.0000,13.0000,0
2014-03-31,13.0000,13.0000,13.0000,13.0000,0
2014-04-01,13.0000,13.0000,13.0000,13.0000,0
2014-04-02,13.0000,13.0000,13.0000,13.0000,0
2014-04-03,13.0000,13.0000,13.0000,13.0000,0
2014-04-04,13.0000,13.0000,13.0000,13.0000,0
2014-04-07,13.0000,13.0000,13.0000,13.0000,0
2014-04-08,13.0000,13.0000,13.0000,13.0000,155
2014-04-09,13.0000,13.0000,13.0000,13.0000,0
2014-04-10,13.0000,13.0000,13.0000,13.0000,0
2014-04-11,13.0000,13.0000,13.0000,13.0000,0
2014-04-14,12.4900,12.4900,12.4900,12.4900,1000
2014-04-15,11.5700,11.5700,11.5600,11.5600,1300
2014-04-16,11.5700,11.5700,11.5600,11.5600,0
2014-04-17,11.5700,11.5700,11.5600,11.5600,0
2014-04-21,12.7144,12.7144,12.4900,12.4900,400
2014-04-22,12.7144,12.7144,12.4900,12.4900,0
2014-04-23,12.7144,12.7144,12.4900,12.4900,0
2014-04-24,12.7144,12.7144,12.4900,12.4900,0
2014-04-25,13.5900,13.5900,13.5900,13.5900,508
2014-04-28,13.5900,13.5900,13.5900,13.5900,0
2014-04-29,13.5900,13.5900,13.5900,13.5900,0
2014-04-30,13.5900,13.5900,13.5900,13.5900,0
2014-05-01,13.5900,13.5900,13.5900,13.5900,0
2014-05-02,13.5900,13.5900,13.5900,13.5900,0
2014-05-05,13.6400,13.6400,13.6400,13.6400,100
2014-05-06,13.6400,13.6400,13.6400,13.6400,0
2014-05-07,13.6400,13.6400,13.6400,13.6400,0
2014-05-08,13.0400,13.0400,13.0400,13.0400,250
2014-05-09,12.0010,12.0010,12.0000,12.0000,200
