date,open,high,low,close,volume
2016-01-04,27.6000,27.9400,26.7900,27.7600,1863549
2016-01-05,27.8500,27.8999,26.5300,26.6400,2232702
2016-01-06,25.8800,25.9000,24.0700,24.5000,3080240
2016-01-07,22.1000,23.4700,20.1700,21.2000,6327050
2016-01-08,22.0100,22.6499,20.2000,21.2600,3735655
2016-01-11,21.1100,21.4500,18.8300,19.6000,3609851
2016-01-12,20.2700,20.8000,18.8600,20.5500,2347154
2016-01-13,20.6600,21.0000,18.8600,19.1500,2272193
2016-01-14,19.2000,20.9800,18.0500,20.1200,2287202
2016-01-15,18.6900,19.5700,18.3500,19.4400,2065416
2016-01-19,20.0000,20.1000,17.6701,18.6500,2206351
2016-01-20,17.0700,21.7000,17.0700,19.8400,3655376
2016-01-21,19.9500,21.3000,19.0500,19.2700,1919802
2016-01-22,19.8000,20.3000,18.7900,19.6100,1441598
2016-01-25,19.4600,20.0400,19.1114,19.6200,2379754
2016-01-26,21.9200,22.5907,19.8000,20.4200,5527743
2016-01-27,20.2000,20.3700,19.2000,19.2800,1670909
2016-01-28,19.4800,19.5700,18.1100,18.5300,1483057
2016-01-29,18.6300,18.9500,17.8000,18.8400,1588403
2016-02-01,18.7800,19.0400,18.3700,18.8600,1242199
2016-02-02,18.5600,18.7899,17.8100,18.2500,1268569
2016-02-03,18.3000,18.8500,17.2900,18.7800,2189336
2016-02-04,18.6700,19.5730,18.1900,18.3500,1228798
2016-02-05,18.1700,18.2900,17.7000,18.0700,1180152
2016-02-08,17.8500,17.9400,16.8500,17.2900,2220713
2016-02-09,16.3800,17.2216,16.1500,16.3600,1622679
2016-02-10,16.4400,16.6296,15.2100,15.7900,2487962
2016-02-11,15.5000,17.4700,14.8000,17.2100,2940748
2016-02-12,18.1500,18.1800,16.5900,17.4800,1857017
2016-02-16,18.0400,18.6500,17.6600,18.3200,1924974
2016-02-17,18.4800,19.3600,18.3600,18.9000,2196505
2016-02-18,19.2700,19.3500,18.2800,19.0000,1320458
2016-02-19,18.7900,19.0000,18.0500,18.4000,1842712
2016-02-22,18.9000,19.0000,17.9800,18.0600,1744861
2016-02-23,17.8800,18.2600,17.0800,17.1900,1887620
2016-02-24,16.8900,17.3100,16.4180,16.7800,3474887
2016-02-25,14.9600,16.6900,14.0100,14.2400,7382399
2016-02-26,14.4000,14.9900,13.6501,14.6000,3916320
2016-02-29,14.5100,14.5800,13.1550,13.2600,2890345
2016-03-01,13.5000,13.5100,12.2750,13.4600,2925976
2016-03-02,13.5500,14.5800,13.2800,14.3100,1612409
2016-03-03,14.3100,14.6500,13.7900,13.8300,1359515
2016-03-04,14.0000,14.1860,13.4600,13.8700,988449
2016-03-07,13.7100,15.0600,13.5000,14.8200,1447348
2016-03-08,14.7500,14.8900,13.5200,13.5600,1129576
2016-03-09,13.6600,13.7900,13.0500,13.4500,1145885
2016-03-10,13.5500,13.7800,12.5000,13.2700,1631352
2016-03-11,13.3000,14.1800,13.2500,13.7300,1502754
2016-03-14,13.7800,14.5800,13.7300,14.3700,1328492
2016-03-15,14.0800,14.4950,12.7800,12.9400,1606075
2016-03-16,12.8000,12.9000,11.6000,12.0800,3834551
2016-03-17,12.7400,13.6400,11.9000,13.4700,3260609
2016-03-18,13.5500,13.8700,12.8700,13.4600,4241632
2016-03-21,13.4600,14.1799,13.1600,13.2500,1154608
2016-03-22,13.1800,13.8700,13.1450,13.8200,866056
2016-03-23,13.8100,13.9502,12.6740,12.9200,1440148
2016-03-24,12.7300,13.5700,12.5000,13.2400,974938
2016-03-28,13.2900,13.4382,12.7100,12.9500,803767
2016-03-29,13.2800,14.2500,12.9000,13.9000,2100318
2016-03-30,14.0500,14.5400,13.3300,13.4400,1329120
2016-03-31,13.5500,13.7633,13.0000,13.5500,1233520
2016-04-01,13.1400,13.3600,12.8000,13.3000,1891907
2016-04-04,13.3500,14.0200,13.1500,13.6600,1303725
2016-04-05,13.5100,14.0500,13.3900,13.7700,852174
2016-04-06,13.8600,14.6000,13.7100,14.5100,1404276
2016-04-07,14.4000,25.6000,13.9900,24.3200,21380859
2016-04-08,23.5300,25.0500,21.7200,22.4800,8087447
2016-04-11,22.2000,24.0000,21.7500,22.7300,3896962
2016-04-12,23.0000,23.1400,22.0500,22.5600,1544932
2016-04-13,22.0000,23.0300,21.3000,22.3200,1992355
2016-04-14,22.3000,22.8500,21.5200,22.0800,1694337
2016-04-15,19.7500,21.4900,18.2500,18.5600,7287247
2016-04-18,17.6900,18.6600,17.2600,18.0700,2967190
2016-04-19,18.0300,18.0300,17.0000,17.5700,1817718
2016-04-20,17.7700,17.8000,17.0400,17.4600,1064550
2016-04-21,17.3600,21.3500,17.2000,19.2800,7567372
2016-04-22,18.8900,19.3899,18.4600,19.2400,1667904
2016-04-25,19.3100,20.0600,18.5100,18.6700,1868192
