date,open,high,low,close,volume
2017-09-22,0.0002,0.0002,0.0002,0.0002,2540000
2017-09-25,0.0002,0.0002,0.0002,0.0002,1200000
2017-09-26,0.0003,0.0003,0.0003,0.0003,25000
2017-10-02,0.0003,0.0003,0.0002,0.0002,820000
2017-10-03,0.0002,0.0002,0.0002,0.0002,1000000
2017-10-06,0.0002,0.0002,0.0002,0.0002,1
2017-10-11,0.0002,0.0002,0.0002,0.0002,19000
2017-10-12,0.0002,0.0002,0.0002,0.0002,378100
2017-10-13,0.0002,0.0003,0.0002,0.0003,5008997
2017-10-16,0.0002,0.0002,0.0002,0.0002,5375000
2017-10-17,0.0002,0.0003,0.0002,0.0003,3726906
2017-10-18,0.0003,0.0003,0.0003,0.0003,2
2017-10-25,0.0002,0.0002,0.0002,0.0002,2500000
2017-10-26,0.0002,0.0002,0.0002,0.0002,1880000
2017-10-27,0.0002,0.0003,0.0002,0.0002,3165555
2017-10-30,0.0002,0.0002,0.0002,0.0002,100000
2017-11-03,0.0002,0.0002,0.0002,0.0002,2
2017-11-08,0.0002,0.0002,0.0002,0.0002,6488584
2017-11-09,0.0001,0.0001,0.0001,0.0001,220008
2017-11-17,0.0002,0.0002,0.0002,0.0002,6362305
2017-11-28,0.0002,0.0002,0.0002,0.0002,518249
2017-11-29,0.0003,0.0003,0.0002,0.0002,528002
2017-11-30,0.0002,0.0002,0.0002,0.0002,10
2017-12-04,0.0002,0.0002,0.0002,0.0002,1000000
2017-12-06,0.0002,0.0002,0.0002,0.0002,145000
2017-12-07,0.0002,0.0002,0.0001,0.0002,11424837
2017-12-08,0.0002,0.0002,0.0002,0.0002,300000
2017-12-11,0.0002,0.0002,0.0002,0.0002,110000
2017-12-12,0.0001,0.0001,0.0001,0.0001,100000
2017-12-13,0.0001,0.0001,0.0001,0.0001,100010
2017-12-14,0.0001,0.0002,0.0001,0.0002,950200
2017-12-15,0.0001,0.0002,0.0001,0.0002,1040667
2017-12-18,0.0001,0.0001,0.0001,0.0001,12593
2017-12-19,0.0001,0.0001,0.0001,0.0001,2400143
2017-12-20,0.0001,0.0001,0.0001,0.0001,693998
2017-12-22,0.0001,0.0001,0.0001,0.0001,666
2017-12-27,0.0001,0.0001,0.0001,0.0001,150000
2017-12-28,0.0001,0.0002,0.0001,0.0002,913100
2017-12-29,0.0002,0.0002,0.0001,0.0001,3341901
2018-01-03,0.0002,0.0002,0.0002,0.0002,2920000
2018-01-04,0.0002,0.0003,0.0002,0.0002,2243906
2018-01-10,0.0001,0.0002,0.0001,0.0001,2515000
2018-01-17,0.0002,0.0002,0.0002,0.0002,1470003
2018-01-18,0.0002,0.0002,0.0002,0.0002,1250000
2018-01-19,0.0002,0.0002,0.0002,0.0002,601
2018-01-23,0.0002,0.0002,0.0002,0.0002,1285615
2018-01-24,0.0002,0.0002,0.0002,0.0002,79333
2018-01-29,0.0002,0.0002,0.0002,0.0002,211717
2018-01-30,0.0002,0.0002,0.0002,0.0002,1075249
2018-02-09,0.0001,0.0002,0.0001,0.0002,800000
2018-02-12,0.0002,0.0002,0.0002,0.0002,18000
2018-02-13,0.0002,0.0002,0.0001,0.0002,4622000
2018-02-14,0.0002,0.0002,0.0002,0.0002,190000
2018-02-15,0.0002,0.0002,0.0002,0.0002,500000
2018-02-27,0.0003,0.0005,0.0003,0.0004,55051138
2018-02-28,0.0004,0.0006,0.0004,0.0005,31489968
2018-03-01,0.0006,0.0006,0.0003,0.0004,8810000
2018-03-02,0.0004,0.0004,0.0002,0.0003,36667212
2018-03-05,0.0004,0.0009,0.0004,0.0007,80707680
2018-03-06,0.0007,0.0008,0.0005,0.0006,8600451
2018-03-07,0.0006,0.0007,0.0005,0.0007,11573971
2018-03-08,0.0007,0.0007,0.0006,0.0007,3458896
2018-03-09,0.0006,0.0007,0.0005,0.0006,10490000
2018-03-12,0.0006,0.0007,0.0005,0.0007,7658959
2018-03-13,0.0007,0.0007,0.0005,0.0006,5981082
2018-03-14,0.0007,0.0007,0.0006,0.0006,4834949
2018-03-15,0.0007,0.0007,0.0006,0.0006,14159786
2018-03-16,0.0006,0.0006,0.0006,0.0006,5771341
2018-03-19,0.0006,0.0007,0.0004,0.0004,17599650
2018-03-20,0.0004,0.0006,0.0004,0.0006,4350077
