date,open,high,low,close,volume
2007-04-30,39.2300,40.6200,38.8200,38.8500,135700
2007-05-01,38.9500,40.7600,38.8600,39.2100,121000
2007-05-02,38.8900,39.8000,38.8500,39.1000,109900
2007-05-03,39.4200,39.8400,39.1300,39.3800,165800
2007-05-04,39.4900,39.7000,39.3000,39.3000,250700
2007-05-07,39.5200,39.6300,39.4500,39.5600,131100
2007-05-08,38.8900,39.1000,38.7600,39.1000,118700
2007-05-09,38.7700,39.1000,38.7100,39.0400,93100
2007-05-10,38.7300,38.8700,38.2400,38.2455,137500
2007-05-11,38.3100,38.4000,37.6600,38.4000,148400
2007-05-14,39.0000,39.0000,38.0100,38.2300,153600
2007-05-15,37.7900,38.2200,37.7000,37.8700,129600
2007-05-16,38.3000,38.5300,38.1700,38.5200,154600
2007-05-17,38.4200,38.4200,37.9400,38.1500,148800
2007-05-18,38.3600,38.4900,38.2600,38.3400,115700
2007-05-21,38.4700,38.5100,38.2500,38.4500,115000
2007-05-22,38.3500,38.3900,38.2000,38.2400,66700
2007-05-23,37.4485,38.2000,37.2000,37.3000,122800
2007-05-24,37.0100,37.1100,36.3800,36.5500,274200
2007-05-25,37.3900,37.7300,37.3500,37.7100,159700
2007-05-29,36.5000,37.5600,36.5000,36.7700,152900
2007-05-30,36.4700,37.1700,36.2000,37.1200,130800
2007-05-31,37.4500,38.0000,37.3400,37.6100,209100
2007-06-01,38.0400,38.8200,38.0400,38.8000,346900
2007-06-04,38.6300,38.9500,38.5000,38.9300,112500
2007-06-05,38.9000,38.9800,38.6000,38.8200,199300
2007-06-06,38.5000,38.5800,38.1400,38.3000,133300
2007-06-07,38.1700,38.2600,37.5100,37.7000,169500
2007-06-08,37.8900,38.1800,37.7000,38.1000,81300
2007-06-11,38.0800,38.9000,38.0000,38.4300,237600
2007-06-12,38.1300,38.4700,37.7800,37.8500,84300
2007-06-13,38.0600,39.0800,38.0600,39.0800,188300
2007-06-14,39.4200,39.8800,39.4200,39.7600,186400
2007-06-15,40.0500,40.4000,40.0300,40.3900,257500
2007-06-18,40.5000,40.5600,40.3300,40.4000,93600
2007-06-19,40.2000,40.3400,40.0000,40.2700,75600
2007-06-20,40.4700,40.5600,39.7600,40.2000,108100
2007-06-21,40.1000,40.4900,39.8400,40.4500,118600
2007-06-22,40.2000,40.2300,39.5900,39.7500,82900
2007-06-25,39.9000,40.0800,39.3700,39.4800,96000
2007-06-26,39.7700,40.2800,39.7700,39.9500,77200
2007-06-27,39.8000,40.2700,39.6100,40.2000,70300
2007-06-28,40.1000,40.2800,39.9400,39.9800,111700
2007-06-29,39.9900,40.1700,39.6200,39.9600,93100
2007-07-02,39.8200,40.8000,39.8200,40.8000,93400
2007-07-03,41.4000,41.4899,41.2200,41.3000,62600
2007-07-05,41.4200,42.2200,41.1500,42.1500,113900
2007-07-06,42.3300,42.6100,42.1800,42.5500,122100
2007-07-09,43.0000,43.0900,42.8800,42.9700,141200
2007-07-10,43.2000,44.0000,41.9200,42.0162,134600
2007-07-11,42.4600,42.9800,42.4500,42.9600,139000
2007-07-12,44.0500,44.5800,43.8700,44.5565,285800
2007-07-13,44.4400,44.6700,44.2100,44.6200,132400
2007-07-16,45.0700,45.0700,43.9800,43.9897,112000
2007-07-17,43.9100,44.0500,43.7300,43.7500,166300
2007-07-18,43.5000,43.5400,43.1500,43.3500,94200
2007-07-19,44.1500,44.1700,43.9000,44.1200,74400
2007-07-20,44.2000,44.3000,43.5400,43.6300,89400
2007-07-23,43.7900,44.4400,43.6900,44.4100,135000
2007-07-24,44.1500,44.1700,42.8500,42.9500,270400
2007-07-25,43.5500,43.6400,42.8900,43.3900,296500
2007-07-26,41.8200,42.3000,40.6300,41.2700,349400
2007-07-27,41.2100,41.4500,40.5500,40.7200,173400
2007-07-30,41.5000,41.8919,41.2100,41.6000,89300
2007-07-31,42.3500,42.6100,41.5500,41.6200,156300
2007-08-01,41.3200,41.6000,40.7710,41.4500,140800
2007-08-02,41.9000,41.9500,41.5000,41.7900,35100
2007-08-03,41.9300,43.2700,40.7200,40.7500,112000
2007-08-06,41.1600,41.7890,40.6100,41.7600,231300
2007-08-07,41.2000,42.4500,41.2000,41.9200,122100
2007-08-08,42.3000,42.8800,42.3000,42.5500,89800
2007-08-09,40.7000,41.5500,40.4600,40.6700,121700
2007-08-10,39.8000,40.7400,37.0000,40.7400,139000
2007-08-13,41.1000,41.1100,40.3800,40.4000,65500
2007-08-14,40.5500,40.7100,39.8900,39.9101,194200
2007-08-15,41.0000,41.0000,38.1500,38.1500,162700
2007-08-16,37.4000,38.1000,36.2800,38.1000,342500
