date,open,high,low,close,volume
2018-10-18,9.6500,9.7100,9.6500,9.7100,285000
2018-10-19,9.7200,9.7200,9.7200,9.7200,1000
2018-10-22,9.7100,9.7100,9.7100,9.7100,500
2018-10-23,9.7100,9.7100,9.7100,9.7100,0
2018-10-24,9.7100,9.7100,9.7100,9.7100,0
2018-10-25,9.7300,9.7300,9.7300,9.7300,100
2018-10-26,9.7400,9.7600,9.7100,9.7100,1600
2018-10-29,9.7100,9.7100,9.7100,9.7100,0
2018-10-30,9.7100,9.7100,9.7100,9.7100,0
2018-10-31,9.7100,9.7100,9.7100,9.7100,250000
2018-11-01,9.7100,9.7100,9.7100,9.7100,0
2018-11-02,9.7500,9.7500,9.7100,9.7100,13900
2018-11-05,9.7500,9.7500,9.7200,9.7200,11400
2018-11-06,9.7200,9.7200,9.7200,9.7200,15
2018-11-07,9.7500,9.7500,9.7500,9.7500,322101
2018-11-08,9.7500,9.7500,9.7500,9.7500,0
2018-11-09,9.7500,9.7500,9.7500,9.7500,1
2018-11-12,9.7500,9.7500,9.7500,9.7500,0
2018-11-13,9.7500,9.7500,9.7500,9.7500,0
2018-11-14,9.7500,9.7500,9.7500,9.7500,0
2018-11-15,9.7500,9.7500,9.7500,9.7500,0
2018-11-16,9.7700,9.7700,9.7700,9.7700,503
2018-11-19,9.7700,9.7700,9.7700,9.7700,0
2018-11-20,9.7500,9.7500,9.7500,9.7500,200000
2018-11-21,9.7500,9.7500,9.7500,9.7500,1
2018-11-23,10.5000,10.5000,10.5000,10.5000,102
2018-11-26,9.8000,9.8000,9.7500,9.7900,2400
2018-11-27,9.7800,9.7800,9.7800,9.7800,150003
2018-11-28,9.7800,9.7900,9.7800,9.7800,52300
2018-11-29,9.8100,10.0700,9.8100,10.0700,150800
2018-11-30,9.8500,9.8500,9.7800,9.7890,31602
2018-12-03,9.7900,9.7900,9.7900,9.7900,400
2018-12-04,9.8000,9.8100,9.8000,9.8100,1100
2018-12-06,9.8000,9.8000,9.8000,9.8000,320
2018-12-07,9.8100,9.8100,9.8000,9.8100,98192
2018-12-10,9.7900,9.9000,9.7900,9.9000,86058
2018-12-11,9.9000,9.9000,9.9000,9.9000,0
2018-12-12,9.8000,9.8200,9.8000,9.8200,75144
2018-12-13,9.8300,9.8300,9.7800,9.7800,100100
2018-12-14,9.7500,9.7500,9.7500,9.7500,100
2018-12-18,9.7500,9.7500,9.7500,9.7500,0
2018-12-19,9.7800,9.7800,9.7800,9.7800,100
2018-12-20,9.7800,9.7800,9.7800,9.7800,0
2018-12-21,9.7800,9.7800,9.7800,9.7800,0
2018-12-24,9.7800,9.7800,9.7800,9.7800,0
2018-12-26,9.7800,9.7800,9.7800,9.7800,0
2018-12-27,9.7800,9.7800,9.7800,9.7800,0
2018-12-28,9.8000,9.8500,9.8000,9.8500,32100
2019-01-03,9.8000,9.8800,9.8000,9.8600,71944
2019-01-04,9.8600,9.8600,9.8600,9.8600,0
2019-01-07,9.8600,9.8600,9.8600,9.8600,0
2019-01-08,9.8200,9.8200,9.8200,9.8200,2916
2019-01-09,9.8200,9.8200,9.8200,9.8200,0
2019-01-10,9.8200,9.8200,9.8200,9.8200,0
2019-01-11,9.8200,9.8200,9.8200,9.8200,0
2019-01-14,9.8500,9.9000,9.8500,9.9000,10200
2019-01-15,9.9000,9.9000,9.9000,9.9000,0
2019-01-16,9.8900,9.9200,9.8900,9.9200,18200
2019-01-17,9.9000,9.9000,9.8900,9.9000,7400
2019-01-18,9.9100,9.9100,9.9100,9.9100,5200
2019-01-22,9.9100,9.9600,9.9100,9.9500,42201
2019-01-23,9.9500,9.9500,9.9500,9.9500,0
2019-01-24,9.9500,9.9500,9.9500,9.9500,0
2019-01-25,9.9500,9.9700,9.9500,9.9700,20303
2019-01-28,9.9700,9.9700,9.9700,9.9700,0
2019-01-29,9.9800,9.9900,9.9800,9.9800,32000
2019-01-30,9.9800,9.9800,9.9800,9.9800,1
2019-01-31,9.9800,9.9800,9.9800,9.9800,1
2019-02-01,10.0000,10.0000,10.0000,10.0000,2662
2019-02-04,10.0000,10.0000,10.0000,10.0000,43
2019-02-05,10.0200,10.0200,10.0200,10.0200,10003
2019-02-06,10.0000,10.0100,10.0000,10.0100,1028
2019-02-07,10.0200,10.0400,10.0200,10.0400,3502
2019-02-08,10.0400,10.0400,10.0400,10.0400,2
2019-02-11,9.9748,10.0500,9.9748,10.0500,12909
2019-02-12,10.0500,10.0500,10.0500,10.0500,1939
2019-02-13,10.1000,10.1000,10.0200,10.0500,79102
2019-02-14,10.0500,10.0500,10.0500,10.0500,0
2019-02-15,10.0100,10.0100,10.0100,10.0100,5000
2019-02-19,10.0200,10.0200,10.0200,10.0200,505
2019-02-20,10.0500,10.0500,10.0400,10.0500,655474
2019-02-21,10.0500,10.0500,10.0400,10.0500,7330
2019-02-22,10.0900,10.0900,10.0318,10.0500,3100
2019-02-25,10.0600,10.0600,10.0600,10.0600,206
2019-02-26,10.0600,10.0600,10.0600,10.0600,2
2019-02-27,10.0600,10.1500,10.0600,10.1500,37729
2019-02-28,10.2000,10.5600,10.0600,10.0600,1902
2019-03-01,10.1200,10.1200,10.1200,10.1200,200
2019-03-04,10.1200,10.1200,10.1200,10.1200,0
2019-03-05,10.1200,10.1200,10.1200,10.1200,3
2019-03-06,10.1200,10.1200,10.1200,10.1200,0
2019-03-07,10.0700,10.0700,10.0700,10.0700,60500
2019-03-08,10.0700,10.0700,10.0700,10.0700,0
2019-03-11,10.0800,10.0900,10.0800,10.0900,1120
2019-03-12,10.0600,10.0900,10.0500,10.0500,5520
2019-03-13,10.0500,10.0500,10.0500,10.0500,0
2019-03-14,10.0500,10.0500,10.0500,10.0500,2
2019-03-18,10.0600,10.0600,10.0600,10.0600,1010
2019-03-19,10.0900,10.0900,10.0900,10.0900,5102
2019-03-20,10.0900,10.0900,10.0900,10.0900,200
2019-03-21,10.0500,10.0900,10.0500,10.0900,4000
