date,open,high,low,close,volume
2020-06-05,1.5000,4.1250,0.7200,0.8000,262764
2020-06-08,0.8063,0.9905,0.7313,0.9092,284243
2020-06-09,0.9206,1.0163,0.8846,0.9076,209386
2020-06-10,0.9466,0.9899,0.8200,0.8521,519889
2020-06-11,0.8133,0.9300,0.6852,0.6852,342471
2020-06-12,0.7509,0.8030,0.7100,0.7646,146962
2020-06-15,0.7673,0.7957,0.6900,0.7599,170623
2020-06-16,0.7375,0.8600,0.6997,0.7920,193143
2020-06-17,0.7830,0.8300,0.7500,0.7844,62929
2020-06-18,0.8116,0.8181,0.7500,0.7840,100662
2020-06-19,0.8113,0.8113,0.7500,0.7600,28224
2020-06-22,0.7500,0.8100,0.7008,0.7200,61647
2020-06-23,0.7178,0.7781,0.7000,0.7196,162180
2020-06-24,0.7520,0.7520,0.6900,0.7000,140161
2020-06-25,0.7272,0.7300,0.6800,0.6999,335894
2020-06-26,0.7148,0.7200,0.6450,0.7120,204453
2020-06-29,0.7335,0.7680,0.6800,0.6887,53318
2020-06-30,0.7000,0.7320,0.7000,0.7300,90687
2020-07-01,0.7820,0.8100,0.7250,0.7600,204493
2020-07-02,0.7586,0.7735,0.6831,0.7201,207473
2020-07-06,0.7300,0.7900,0.6000,0.7000,288500
2020-07-07,0.6233,0.6715,0.6233,0.6400,88300
2020-07-08,0.6482,0.6595,0.6100,0.6392,150300
2020-07-09,0.6394,0.6532,0.6006,0.6170,49700
2020-07-10,0.6507,0.6507,0.6090,0.6285,128000
2020-07-13,0.6353,0.7500,0.6177,0.6557,379700
2020-07-14,0.6685,0.6700,0.6001,0.6640,242000
2020-07-15,0.6589,0.7888,0.6002,0.7358,883500
2020-07-16,0.8000,0.8353,0.7287,0.8123,926600
2020-07-17,0.8033,0.8730,0.7800,0.8128,199900
2020-07-20,0.8200,0.8675,0.7950,0.8500,292400
2020-07-22,0.8700,0.9905,0.8500,0.9199,437560
2020-07-23,0.8619,0.9600,0.7800,0.8236,285495
2020-07-24,0.8370,0.8370,0.7390,0.7500,183358
2020-07-27,0.7677,0.8031,0.7400,0.7446,403670
2020-07-28,0.7951,0.7990,0.7474,0.7500,695054
