date,open,high,low,close,volume
2021-06-30,46.0000,46.5000,41.1100,42.5000,20587281
2021-07-01,44.2800,44.7500,39.9400,40.0400,6293429
2021-07-02,42.1100,45.2000,41.3300,44.5900,4637064
2021-07-06,45.8100,50.5900,45.5300,49.5000,7135819
2021-07-07,52.9800,54.0500,49.8000,51.4900,7092822
2021-07-08,50.0000,50.9800,45.2500,50.0000,3722163
2021-07-09,51.3800,51.8000,48.2500,49.2400,1495713
2021-07-12,50.5000,51.1700,48.4100,50.5800,1445027
2021-07-13,50.6300,51.0400,47.3300,49.0100,1467982
2021-07-14,49.0100,50.1400,44.9900,46.0000,2561610
2021-07-15,47.0600,47.2400,42.8000,43.4000,1686044
2021-07-16,43.5000,47.3500,43.2101,44.1500,1608485
2021-07-19,43.9100,47.8200,43.0201,47.0000,1757437
2021-07-20,47.2400,47.7500,45.2627,47.4500,988434
2021-07-21,47.4500,49.3100,46.5500,47.1000,931977
2021-07-22,46.3500,48.7000,45.8210,47.7700,1011937
2021-07-23,48.0900,49.2000,46.0600,46.5600,753020
2021-07-26,48.4900,50.3800,47.7200,49.5000,1793282
2021-07-27,49.7500,50.0300,46.6701,47.6000,1003737
2021-07-28,48.0000,50.8700,48.0000,49.8100,1288345
2021-07-29,50.4000,51.7400,49.6744,50.5600,1065300
2021-07-30,50.0000,55.2900,48.5900,49.3100,2361125
2021-08-02,50.7000,53.0300,50.1709,51.9700,1174844
2021-08-03,52.1200,53.5000,51.3700,51.8700,1271536
2021-08-04,51.5000,51.9600,49.6300,50.0600,1232317
2021-08-05,50.0000,52.7000,49.7500,52.5000,1421025
2021-08-06,52.5300,53.0900,50.3538,50.8900,922114
2021-08-09,51.0800,51.9600,49.7000,50.6100,730624
2021-08-10,50.5900,51.2500,49.0100,49.3100,1040822
2021-08-11,49.0100,49.1250,46.5700,46.6400,1371695
2021-08-12,47.1000,50.3300,46.6500,49.6800,930071
2021-08-13,49.6800,50.9500,48.8848,50.3600,579344
2021-08-16,49.4900,50.2800,47.5400,49.3500,887367
2021-08-17,48.5000,48.5000,46.2501,47.0200,1319011
2021-08-18,47.2400,49.7800,47.2400,48.7000,608757
2021-08-19,47.9900,51.5000,47.7800,50.3600,925397
2021-08-20,50.0100,51.3600,49.1300,51.2900,707137
2021-08-23,51.2000,56.0000,51.2000,53.1300,2008833
2021-08-24,54.9700,59.1200,54.5000,56.7000,2206050
2021-08-25,57.7000,60.1100,55.8601,59.3900,1341002
2021-08-26,59.6400,64.0300,59.4600,61.0100,2035007
2021-08-27,62.5000,66.0000,62.3500,64.9000,1705914
2021-08-30,65.0300,66.6600,64.1800,65.1900,1432935
2021-08-31,64.7300,65.5600,63.8300,63.9300,1420288
2021-09-01,63.4300,68.7000,63.3100,67.2600,1806220
2021-09-02,68.6100,68.7700,64.3358,64.7800,1421802
2021-09-03,64.6800,69.4217,64.6400,69.0400,1373951
2021-09-07,69.4800,73.4700,69.4800,71.0100,2962510
2021-09-08,70.1800,70.6500,65.5100,68.2400,4258472
2021-09-09,69.1100,72.9500,62.0400,66.0400,5642518
2021-09-10,67.0000,68.0000,62.0100,63.7500,3897825
2021-09-13,64.1800,64.4400,58.5200,61.0000,3800117
2021-09-14,61.5000,62.8872,61.0900,62.1000,1969981
2021-09-15,61.5000,67.5500,61.3500,67.5100,2537630
2021-09-16,67.0600,72.7600,66.7600,72.7500,3405604
2021-09-17,71.7000,72.4000,66.8102,69.2500,7320164
2021-09-20,64.0000,66.6600,62.0000,63.8800,3454617
2021-09-21,64.8100,65.1900,61.8000,64.1600,3106908
2021-09-22,64.6200,65.5200,62.5000,64.3600,1983546
2021-09-23,64.5300,65.0000,60.1000,60.8700,3074979
2021-09-24,60.0100,62.3398,60.0000,61.0600,1886255
2021-09-27,60.0500,60.5350,56.4100,57.1000,3273923
2021-09-28,55.3800,56.9600,53.8500,55.6500,11096626
2021-09-29,55.8000,58.7700,54.3800,54.3800,5155924
2021-09-30,55.1600,56.2800,52.9600,53.5700,3184528
2021-10-01,54.0300,55.9000,52.0900,55.2400,2991507
2021-10-04,55.3200,55.4950,50.5800,51.3700,2839867
2021-10-05,51.5000,53.8800,50.9900,51.3500,1721518
2021-10-06,50.5000,53.9400,50.4911,53.4900,2454308
2021-10-07,54.5100,59.0000,54.3000,56.7600,2475829
2021-10-08,57.3200,57.9400,54.6500,54.6500,1310109
2021-10-11,54.0300,54.9400,52.1500,52.3900,1199646
2021-10-12,53.5600,56.4900,52.8200,54.9400,1784164
2021-10-13,55.2800,59.7500,55.2800,59.0600,1876903
2021-10-14,61.0600,62.9400,59.3800,60.0000,1810599
2021-10-15,61.0500,61.1200,58.2000,59.5800,936883
2021-10-18,59.6100,63.6600,59.5800,62.6400,1328897
2021-10-19,63.6100,64.9800,61.2600,62.4900,1472276
2021-10-20,63.0000,63.8000,61.2300,62.5600,839419
2021-10-21,62.7800,67.9600,62.5000,65.7600,1484006
2021-10-22,66.1300,66.2700,63.0100,63.7900,982054
2021-10-25,64.0700,66.5000,63.1900,65.2600,942546
2021-10-26,66.3600,67.7800,63.8200,66.0000,1263985
2021-10-27,66.1100,68.5000,63.5100,63.7900,1096230
2021-10-28,63.7000,64.7975,61.8100,64.0100,1077492
2021-10-29,64.0000,67.2500,63.9001,66.4000,1010574
2021-11-01,66.6800,67.2000,63.6901,66.9700,1111607
2021-11-02,67.0000,70.6700,62.7600,64.2300,1626402
2021-11-03,64.1400,66.3000,63.2500,65.8300,782347
2021-11-04,65.7900,69.8800,65.3100,69.2700,1671643
