date,open,high,low,close,volume
2017-06-22,19.0000,19.1900,18.5000,19.0000,3224319
2017-06-23,19.0000,19.4500,18.9000,19.2900,711553
2017-06-26,19.2800,19.3361,19.0200,19.2500,458189
2017-06-27,19.1800,19.3500,19.1000,19.1500,245087
2017-06-28,19.2000,19.3000,19.1200,19.2500,184035
2017-06-29,19.1400,19.4500,19.1000,19.2500,343713
2017-06-30,19.1300,19.3500,18.3200,19.1500,453862
2017-07-03,19.2000,19.2500,19.1500,19.2500,33444
2017-07-05,19.2900,19.4500,19.2000,19.4000,83651
2017-07-06,19.4000,19.4500,19.0000,19.3600,150349
2017-07-07,19.2700,19.5000,19.2500,19.4100,137713
2017-07-10,19.5000,19.5000,19.3000,19.4100,98936
2017-07-11,19.3700,19.6000,19.1200,19.5400,188787
2017-07-12,19.6000,19.6600,19.3600,19.5000,86481
2017-07-13,19.5900,19.5900,19.5000,19.5400,43852
2017-07-14,19.6700,19.7000,19.4600,19.6900,91546
2017-07-17,19.6200,19.7500,19.5000,19.6400,118678
2017-07-18,19.4000,19.6700,19.0000,19.6100,198045
2017-07-19,19.5300,19.6700,19.4300,19.5000,81162
2017-07-20,19.2100,19.7800,19.1200,19.7500,296094
2017-07-21,19.7000,20.0000,19.4700,19.8500,576960
2017-07-24,19.6900,19.8194,19.1800,19.2300,122408
2017-07-25,19.1200,19.2700,18.9900,18.9900,192714
2017-07-26,18.9800,19.1000,18.8000,18.8400,121029
2017-07-27,18.7500,19.0000,18.0200,18.3100,255041
2017-07-28,18.1100,18.8300,18.1001,18.2500,165443
2017-07-31,18.3000,18.9150,18.3000,18.6000,140526
2017-08-01,18.4500,18.7000,18.1800,18.4800,164845
2017-08-02,18.3400,18.8800,18.2300,18.5000,115066
2017-08-03,18.6500,19.2300,18.5600,18.7800,107972
2017-08-04,18.6500,18.9400,18.5200,18.6100,97833
2017-08-07,18.6300,19.0400,18.4000,18.9700,124196
2017-08-08,19.0000,19.1100,18.5900,18.9200,146360
2017-08-09,18.7300,19.0300,18.6000,18.7200,174354
2017-08-10,18.8700,19.1300,18.7900,18.9000,182424
2017-08-11,18.7500,19.1300,18.7100,18.8300,126111
2017-08-14,18.9100,19.4898,18.8500,19.0000,103620
2017-08-15,18.8600,19.4800,18.8200,19.2000,92658
2017-08-16,19.2500,19.5800,19.2300,19.4100,99696
2017-08-17,19.5700,19.7300,19.4000,19.5900,60882
2017-08-18,19.4100,19.7500,19.4100,19.6000,54181
2017-08-21,19.6200,19.6600,19.1700,19.4200,90284
2017-08-22,19.3500,19.5300,19.1500,19.1700,113577
2017-08-23,19.3000,19.5400,19.0520,19.2800,108506
2017-08-24,19.3900,19.5300,19.1772,19.3200,90430
2017-08-25,19.5200,19.6600,19.3300,19.3700,98013
2017-08-28,19.3200,19.6700,19.3200,19.5900,101336
2017-08-29,19.5400,19.6900,19.4000,19.5900,74320
2017-08-30,19.6500,19.7300,19.3000,19.6500,71330
2017-08-31,19.5200,19.8500,19.4900,19.6500,190086
2017-09-01,19.6000,19.8400,19.5700,19.6300,160961
2017-09-05,19.7900,19.8100,19.3650,19.7300,248329
2017-09-06,19.7149,19.8175,19.5500,19.7800,195485
2017-09-07,19.6500,19.7000,19.2500,19.4000,144565
2017-09-08,19.3500,19.6599,19.3200,19.4500,132919
2017-09-11,19.5500,19.6700,19.3300,19.5800,88659
2017-09-12,19.6500,19.7400,19.4600,19.6700,109863
2017-09-13,19.5900,19.7400,19.4021,19.4400,153787
2017-09-14,19.2800,19.6600,19.2800,19.6000,177284
2017-09-15,19.6300,19.6400,19.2100,19.2400,1251464
2017-09-18,19.1400,19.3600,19.1100,19.1400,198954
2017-09-19,19.1900,19.4100,19.0400,19.4000,348956
2017-09-20,19.4200,19.4200,19.0000,19.2700,238319
2017-09-21,19.3000,19.5500,19.2400,19.2700,148178
2017-09-22,19.2300,19.4400,19.0600,19.1000,112492
2017-09-25,19.1400,19.3500,18.6100,18.7700,132399
2017-09-26,18.8800,18.9000,18.5500,18.7300,167723
2017-09-27,18.7500,18.8900,18.6600,18.7200,149637
2017-09-28,18.6700,18.6700,18.2600,18.3300,263735
2017-09-29,18.1500,18.6600,18.1500,18.6400,132252
2017-10-02,18.7500,18.8400,18.5100,18.7800,97945
2017-10-03,18.7500,18.9200,18.6501,18.7500,63743
2017-10-04,18.7200,18.8676,18.6000,18.7300,55991
2017-10-05,18.7500,18.8400,18.6200,18.6700,55975
2017-10-06,18.6000,18.7118,18.5500,18.6500,67347
2017-10-09,18.6829,18.7000,18.3100,18.3600,53999
2017-10-10,18.5000,18.8500,18.2500,18.7700,81309
2017-10-11,18.7600,18.7600,18.4600,18.5500,38559
2017-10-12,18.5700,18.6700,18.2400,18.3600,75582
2017-10-13,18.3900,18.4200,18.1600,18.2900,58412
2017-10-16,18.3000,18.5550,18.1900,18.3100,80118
2017-10-17,18.3200,18.7200,18.1600,18.7000,79335
2017-10-18,18.5600,19.0100,18.5600,18.8000,44368
2017-10-19,18.7400,19.0200,18.4300,18.5300,42582
2017-10-20,18.6200,18.8500,18.2700,18.3800,38094
2017-10-23,18.3400,18.6400,18.2700,18.4100,51613
2017-10-24,18.3500,18.6700,18.3101,18.5000,68114
2017-10-25,18.5400,18.6600,18.0500,18.6500,67267
2017-10-26,18.6700,18.7000,18.2500,18.4000,89660
2017-10-27,18.4800,18.6800,18.3300,18.5000,48731
2017-10-30,18.4500,18.5000,18.3300,18.3700,50311
2017-10-31,18.3800,18.3800,17.9000,17.9700,127326
2017-11-01,17.8900,18.0500,17.8100,17.9800,87390
2017-11-02,18.0500,18.1100,17.8000,17.9300,33761
2017-11-03,17.8400,18.1000,17.7700,18.0200,48310
2017-11-06,17.9800,18.1295,17.8300,17.9700,41252
2017-11-07,17.9500,18.0500,17.2700,17.3600,165477
2017-11-08,17.4000,18.0150,17.3600,17.8000,108347
2017-11-09,17.6500,18.0700,17.3029,17.9000,66682
2017-11-10,17.6500,18.2800,17.6400,17.8400,57297
2017-11-13,17.8300,18.0300,17.5500,17.7100,78545
2017-11-14,17.6700,18.1500,17.6450,17.6700,58270
2017-11-15,17.6300,18.0400,17.5900,17.8500,87042
2017-11-16,17.8200,18.3900,17.8200,18.1300,65350
2017-11-17,18.1100,18.3300,18.0850,18.2000,82423
2017-11-20,18.2500,18.4723,18.0826,18.2800,77125
2017-11-21,18.3600,18.7600,18.1450,18.3800,65599
2017-11-22,18.4500,18.7900,18.2100,18.4700,102166
2017-11-24,18.4900,18.6900,18.3500,18.4300,22808
2017-11-27,18.4300,18.8200,18.4300,18.5800,133211
2017-11-28,18.7100,18.7100,18.3400,18.4900,146610
2017-11-29,18.5500,18.6400,18.4100,18.5500,74231
2017-11-30,18.5500,18.6500,18.2500,18.3000,150790
2017-12-01,18.2900,18.3700,17.9900,18.1000,84561
2017-12-04,18.1700,18.4400,17.6800,17.8000,139968
2017-12-05,17.8000,17.9942,17.6700,17.7500,77034
2017-12-06,17.7100,17.9500,17.6800,17.7300,90566
2017-12-07,17.7500,18.0700,17.7500,17.9400,64576
2017-12-08,17.9300,18.0000,17.6700,17.6800,115370
2017-12-11,17.5700,18.0000,17.5700,17.7500,160224
2017-12-12,17.8300,18.2300,17.8200,18.0000,91819
2017-12-13,17.9200,18.3000,17.9200,18.1100,251725
2017-12-14,18.1700,18.2500,17.7700,17.8900,223704
2017-12-15,17.8800,18.1600,17.8800,18.0100,263252
2017-12-18,18.1300,18.3500,18.0400,18.0600,171042
2017-12-19,18.0000,18.0800,17.8500,17.8700,247099
2017-12-20,17.9400,18.2500,17.9400,18.0300,149873
2017-12-21,18.1000,18.1400,17.8300,17.8700,172383
2017-12-22,17.8600,17.9000,17.5650,17.5700,126645
2017-12-26,17.5700,17.9200,17.4800,17.6700,134113
2017-12-27,17.6700,17.8250,17.6300,17.7300,151594
2017-12-28,17.5200,18.0900,17.5000,17.6500,174036
2017-12-29,17.6500,17.9500,17.4300,17.6000,237872
2018-01-02,17.6800,18.0200,17.6500,17.9600,145005
2018-01-03,17.9300,18.1780,17.9300,17.9500,204258
2018-01-04,18.0300,18.1300,17.9300,17.9300,216441
2018-01-05,17.9100,18.0560,17.6900,17.7500,105961
2018-01-08,17.6900,18.0000,17.6900,17.9200,179156
2018-01-09,17.9700,18.1500,17.8100,17.8400,197904
2018-01-10,17.7900,17.9900,17.7200,17.8000,152252
2018-01-11,17.7900,18.0000,17.7600,17.9200,131879
2018-01-12,18.0000,18.0000,17.8700,17.9300,131136
2018-01-16,17.9600,18.0400,17.5700,17.7300,218029
2018-01-17,17.8850,17.9500,17.7600,17.8300,108404
2018-01-18,17.8900,17.8900,17.7700,17.7900,127117
2018-01-19,17.7600,17.9300,17.7390,17.8100,132817
2018-01-22,17.7800,17.9250,17.5900,17.6800,125202
2018-01-23,17.6300,18.0000,17.6300,17.7900,141580
2018-01-24,17.7500,18.0100,17.7500,17.9600,92509
2018-01-25,18.0000,18.0200,17.8100,17.8400,134444
2018-01-26,17.8700,17.9700,17.6200,17.7400,111649
2018-01-29,17.7300,17.8800,17.5600,17.7400,106167
2018-01-30,17.6400,17.8100,17.5900,17.6000,91146
2018-01-31,17.6000,17.7550,17.5000,17.6100,75632
2018-02-01,17.6200,17.6200,17.3900,17.4200,195788
2018-02-02,17.3300,17.3300,16.9600,17.0700,143598
2018-02-05,16.9700,17.2160,16.5400,16.5700,103256
2018-02-06,16.4400,16.9300,16.3650,16.8000,99791
2018-02-07,16.7700,16.8250,16.5400,16.6700,118481
2018-02-08,16.7200,16.7200,16.2500,16.2600,47673
2018-02-09,16.4200,16.7100,16.2680,16.5300,62004
2018-02-12,16.4600,16.8200,16.2400,16.6800,93503
2018-02-13,16.5800,16.9200,16.4200,16.8100,55639
2018-02-14,16.7000,16.9900,16.6500,16.7900,57583
2018-02-15,16.8100,16.9950,16.8100,16.8900,41301
2018-02-16,16.7300,16.8800,16.2600,16.3200,108335
2018-02-20,16.2200,16.3900,15.7900,16.1400,107217
2018-02-21,16.1500,16.5250,15.9600,16.3100,97472
2018-02-22,16.4800,16.5600,16.2800,16.4100,70682
2018-02-23,16.4700,16.6500,16.2400,16.6000,79595
2018-02-26,16.9000,17.4000,16.7000,17.3300,156811
2018-02-27,17.3000,17.9400,17.3000,17.6300,134476
2018-02-28,17.7000,17.8650,17.2800,17.4200,161902
2018-03-01,17.3500,17.4700,16.7600,17.0800,69382
2018-03-02,17.0000,17.0500,16.7400,16.9600,34343
2018-03-05,17.0000,17.0200,16.5400,16.8300,42589
2018-03-06,16.8800,16.9300,16.6100,16.7900,31533
2018-03-07,16.6300,16.9300,16.6100,16.8500,37896
2018-03-08,16.6500,17.2000,16.6500,17.0700,46995
2018-03-09,17.0600,17.1200,16.8600,17.0800,37753
2018-03-12,17.1000,17.2200,16.7600,17.0100,72618
2018-03-13,17.1100,17.2200,16.8900,17.0100,42122
2018-03-14,16.9900,17.3700,16.6400,17.3100,114967
2018-03-15,17.3200,17.3200,16.8940,17.2200,30214
2018-03-16,17.1800,17.2150,16.9300,17.0900,92302
2018-03-19,17.0500,17.1000,16.5100,16.6900,130189
2018-03-20,16.6600,17.1000,16.5600,16.7000,67820
2018-03-21,16.7000,17.1200,16.5300,16.6800,55221
2018-03-22,16.5400,17.3200,16.5400,16.8100,55895
2018-03-23,16.7900,16.8700,16.0800,16.1300,56160
2018-03-26,16.3500,16.7500,16.0600,16.4700,49326
2018-03-27,16.5200,16.6210,16.0000,16.0700,43076
2018-03-28,15.9100,16.3600,15.6500,15.8800,196620
2018-03-29,15.9100,16.2500,15.6400,15.9900,80412
2018-04-02,15.9900,16.2500,15.5700,15.6300,39666
2018-04-03,15.6600,16.2400,15.6300,16.1600,88282
2018-04-04,16.0100,16.6300,16.0100,16.4700,23090
2018-04-05,16.5200,16.6900,16.4500,16.5100,40749
2018-04-06,16.4200,16.7000,16.4200,16.5400,51534
2018-04-09,16.7500,17.1300,16.5650,16.7500,192035
2018-04-10,16.8200,17.0100,16.7600,16.8600,27204
2018-04-11,16.8000,17.4000,16.8000,17.1000,20658
2018-04-12,17.1300,17.3100,16.8100,17.0100,22035
2018-04-13,16.9600,17.3000,16.9600,17.1800,22149
2018-04-16,17.2500,17.4600,16.9700,17.3900,39561
2018-04-17,17.2200,18.0200,17.0000,17.8500,74837
2018-04-18,17.8000,17.8600,17.5750,17.6500,36829
2018-04-19,17.6200,18.0500,17.4000,17.4000,41618
2018-04-20,17.3900,17.6600,17.2700,17.4900,20672
2018-04-23,17.5300,17.6500,17.3950,17.4300,12978
2018-04-24,17.4500,18.0400,17.2600,17.9600,33604
2018-04-25,17.9300,17.9300,17.2600,17.4200,71205
2018-04-26,17.5300,18.2400,17.3100,18.1200,52557
2018-04-27,18.4400,18.4400,18.0400,18.1900,77230
2018-04-30,18.3000,18.3000,17.8910,17.9500,77532
2018-05-01,17.9300,18.0000,17.6800,17.7000,54583
2018-05-02,17.8700,18.0000,17.7000,17.9500,53224
2018-05-03,17.9300,17.9300,17.2400,17.3500,64341
2018-05-04,17.3200,17.7000,17.2300,17.3900,96379
2018-05-07,17.6200,18.2300,17.5600,17.8600,196549
2018-05-08,17.8400,17.9600,17.5200,17.9000,141614
2018-05-09,17.9300,18.2800,17.8750,18.0000,118557
2018-05-10,18.0500,18.1300,17.8800,18.0000,129080
2018-05-11,18.1500,18.4100,17.7900,18.0000,97218
2018-05-14,18.0400,18.4500,18.0100,18.4000,117288
2018-05-15,18.3400,18.4800,18.0200,18.1000,54477
2018-05-16,18.0900,18.4950,18.0900,18.3800,56330
2018-05-17,18.3500,18.4200,18.1200,18.3800,27524
2018-05-18,18.4100,18.4700,18.1900,18.3600,41376
2018-05-21,18.3700,18.4490,18.2650,18.4000,30685
2018-05-22,18.4400,18.5050,18.3000,18.3900,96971
2018-05-23,18.3300,18.8700,18.3300,18.6200,59152
2018-05-24,18.6900,18.9800,18.6600,18.9400,26753
2018-05-25,18.9200,19.1600,18.6800,18.8900,22013
2018-05-29,18.7200,19.1500,18.7200,19.0700,28398
2018-05-30,19.0800,19.6500,19.0550,19.2500,88150
2018-05-31,19.2200,19.3400,18.9500,19.1800,33007
2018-06-01,19.1700,19.2650,18.5840,18.6900,29262
2018-06-04,18.7900,18.9800,18.7300,18.9200,29755
2018-06-05,18.8900,19.5600,18.8900,19.4600,50131
2018-06-06,19.5200,19.5700,19.0780,19.3700,192332
2018-06-07,19.3400,19.3600,19.1000,19.2400,40702
2018-06-08,19.2200,19.3300,18.6900,18.7700,25528
2018-06-11,18.7700,19.0400,18.5400,18.9200,42024
2018-06-12,18.8800,19.2200,18.7420,19.0200,28602
2018-06-13,19.0400,19.2000,18.7500,18.9700,35682
2018-06-14,18.9900,19.1500,18.7000,19.0700,19329
2018-06-15,19.0500,19.1300,18.7200,18.7700,45061
2018-06-18,18.7600,19.0000,18.5300,18.9300,33962
2018-06-19,18.8900,19.2000,18.6800,19.0400,26185
2018-06-20,19.1000,19.2200,18.8400,19.1200,41805
2018-06-21,19.1100,19.3200,19.0900,19.1900,63133
2018-06-22,19.2000,19.4000,18.9800,19.3400,275829
2018-06-25,19.3600,19.3600,18.8500,18.9400,44553
2018-06-26,18.9100,19.2000,18.8500,19.1200,187689
2018-06-27,19.1700,19.3200,19.0800,19.1400,192274
2018-06-28,19.0200,19.3500,18.9800,19.1300,56831
2018-06-29,19.2500,19.2500,18.8500,18.9700,37681
2018-07-02,18.9000,19.2000,18.8900,19.1500,94714
2018-07-03,19.2500,19.3100,19.0300,19.1000,22683
2018-07-05,19.2000,20.1700,19.1600,19.8400,56079
2018-07-06,19.9000,20.0000,19.6500,19.8100,35345
2018-07-09,19.8500,19.8500,19.5300,19.7100,54472
2018-07-10,19.7500,19.8400,19.5300,19.6100,43201
2018-07-11,19.5200,19.5900,19.3300,19.3800,32756
2018-07-12,19.4300,19.4800,19.3100,19.3700,27907
2018-07-13,19.3000,19.3900,18.9500,19.0300,47845
2018-07-16,19.0400,19.0400,18.7830,18.8500,43519
2018-07-17,18.8200,18.9990,18.5600,18.7200,68473
2018-07-18,18.7100,18.7100,18.4300,18.5000,30859
2018-07-19,18.4600,18.7800,18.4000,18.6100,84609
2018-07-20,18.6500,18.6800,18.4100,18.4700,37702
2018-07-23,18.4900,18.5400,18.0700,18.4200,50285
2018-07-24,18.5100,18.5100,18.1900,18.3800,17805
2018-07-25,18.3800,18.4700,18.1100,18.3200,24033
2018-07-26,18.5000,18.5000,18.1100,18.2400,14453
2018-07-27,18.1700,18.1900,17.5650,17.6800,50456
2018-07-30,17.7600,18.1000,17.6200,17.9000,22306
2018-07-31,18.0500,18.1700,17.7300,17.8000,35073
2018-08-01,17.8300,17.8300,17.1600,17.4500,30140
2018-08-02,17.3900,17.6190,17.1700,17.2900,21160
2018-08-03,17.2600,17.3500,16.9400,17.0700,21720
2018-08-06,17.0700,17.4100,16.9900,17.3600,19859
2018-08-07,17.3800,17.6000,17.3200,17.4200,18684
2018-08-08,17.8100,17.8100,17.0000,17.3100,58069
2018-08-09,17.3200,17.3900,17.1500,17.2300,17315
2018-08-10,17.1500,17.5780,17.0700,17.1400,28739
2018-08-13,17.2600,17.3800,17.1500,17.2700,43674
2018-08-14,17.2800,17.2900,17.0700,17.1700,30422
2018-08-15,17.1300,17.2600,16.8200,16.8600,19102
2018-08-16,16.8700,17.1400,16.8700,16.9100,10626
2018-08-17,16.8800,17.0560,16.8200,16.8500,9851
2018-08-20,16.8200,16.9460,16.6000,16.6400,13751
2018-08-21,16.6500,16.9300,16.6100,16.6300,13660
2018-08-22,16.6100,16.7900,16.4800,16.4900,50032
2018-08-23,16.5000,16.7300,16.5000,16.5400,9567
2018-08-24,16.5300,16.6600,16.1300,16.2100,39056
2018-08-27,16.2800,16.6290,16.2800,16.3700,42476
2018-08-28,16.4800,16.7700,16.3600,16.6700,19135
2018-08-29,16.6000,16.6600,16.2200,16.4800,36403
2018-08-30,16.4000,16.7150,16.3600,16.4800,26507
2018-08-31,16.4500,16.6500,16.3700,16.5000,24342
2018-09-04,16.5000,16.7400,16.2100,16.3400,35702
2018-09-05,16.3300,16.5680,16.2800,16.4300,20212
2018-09-06,16.4100,16.4800,16.2200,16.3000,175068
2018-09-07,16.3500,17.0400,16.3500,16.9800,34380
2018-09-10,16.9900,17.1200,16.9100,17.0500,16618
2018-09-11,17.0500,17.0950,16.7800,16.7900,22274
2018-09-12,16.8200,16.8450,16.7800,16.7800,15920
2018-09-13,16.8100,17.0800,16.7800,17.0600,22963
2018-09-14,17.0800,17.9500,17.0100,17.7600,68467
2018-09-17,17.9000,18.5870,17.8410,18.0900,40549
2018-09-18,18.1500,18.3000,17.9200,17.9700,47288
2018-09-19,18.0500,18.2200,17.9400,17.9600,29959
2018-09-20,18.0100,18.6900,17.9200,18.4300,33538
2018-09-21,18.5900,18.8900,18.5800,18.8200,127092
2018-09-24,18.9900,19.3400,18.8600,18.9100,81783
