date,open,high,low,close,volume
2000-07-14,14.5000,26.3800,14.5000,21.8800,6072200
2000-07-17,22.9400,23.0000,18.2500,19.8800,1345000
2000-07-18,18.9400,19.2500,18.6300,18.8800,198900
2000-07-19,19.8100,23.1300,19.5000,22.0600,548400
2000-07-20,22.0300,23.6300,21.6300,21.7500,314100
2000-07-21,22.0000,22.0000,21.2500,21.2500,181900
2000-07-24,21.3800,21.3800,20.0000,20.3100,163700
2000-07-25,20.9700,21.0600,20.0600,20.1600,156200
2000-07-26,20.2500,20.2500,19.3800,19.8800,441400
2000-07-27,19.8100,20.1300,19.3100,19.8800,256600
2000-07-28,19.9100,20.5000,18.0600,18.3800,197900
2000-07-31,18.3800,18.6300,16.6300,18.5000,248100
2000-08-01,18.0000,20.5000,18.0000,19.0000,283700
2000-08-02,19.0600,20.3800,19.0000,20.1300,120400
2000-08-03,19.0000,20.0000,18.6300,20.0000,109000
2000-08-04,20.0000,21.0000,20.0000,20.9800,167400
2000-08-07,19.7500,20.9400,19.7500,20.0000,28300
2000-08-08,20.3100,21.1300,18.2500,18.2500,85300
2000-08-09,19.3800,19.3800,18.1900,19.2500,83400
2000-08-10,18.0000,18.5000,17.8800,18.0000,117100
2000-08-11,18.5000,18.5000,17.0000,17.1300,16900
2000-08-14,17.6300,18.3100,15.9400,15.9400,79000
2000-08-15,16.1900,16.5000,15.5000,15.5600,143600
2000-08-16,15.6300,15.6300,14.5000,14.8800,56500
2000-08-17,14.7500,14.9400,14.3800,14.6300,94800
2000-08-18,14.3800,15.3800,14.0000,15.3800,23000
2000-08-21,15.7200,15.8800,15.3800,15.5000,13300
2000-08-22,15.8800,17.5000,15.5000,15.6900,180200
2000-08-23,16.1300,16.1900,14.7500,14.8800,56500
2000-08-24,14.7500,15.2500,14.0600,14.1900,77500
2000-08-25,14.5000,15.2500,14.2500,15.2500,162100
2000-08-28,15.2500,16.2500,14.8800,16.2500,185600
2000-08-29,15.6300,19.8100,15.3800,19.7500,131800
2000-08-30,18.2500,19.5600,18.2500,19.2500,23700
2000-08-31,19.2800,19.6300,19.2500,19.2500,6500
2000-09-01,19.2500,19.5000,19.1900,19.3100,141200
2000-09-05,19.5600,22.5000,19.1300,20.6300,99500
2000-09-06,20.8100,20.8100,19.5000,20.4400,53800
2000-09-07,20.5900,24.0000,20.3800,23.0000,146200
2000-09-08,23.0000,23.4400,21.6300,22.7500,27700
2000-09-11,22.5000,22.5000,20.5000,21.0000,166900
2000-09-12,21.3800,21.3800,18.5000,19.7500,30900
2000-09-13,20.2500,20.5000,19.0000,19.2500,71900
2000-09-14,19.3800,19.3800,18.3800,18.6300,7300
2000-09-15,18.6300,18.8800,18.6300,18.6300,3500
2000-09-18,18.1300,18.3800,18.1300,18.1300,5900
2000-09-19,18.7500,18.7500,17.0600,17.0600,76700
2000-09-20,17.5000,17.5000,15.5600,16.2500,73100
2000-09-21,17.0000,17.6300,16.3800,17.2500,167700
2000-09-22,16.6300,17.8800,16.6300,17.3800,12700
2000-09-25,17.8800,18.1300,17.8100,18.1300,52300
2000-09-26,17.8800,18.2500,17.8800,18.0600,115100
2000-09-27,18.1300,18.1300,17.8800,17.8800,36100
2000-09-28,18.1300,18.1300,17.8800,18.1300,16700
2000-09-29,17.8100,19.8100,17.8100,19.8100,194200
