date,open,high,low,close,volume
1999-11-01,4.0600,4.2500,3.9400,4.2500,26400
1999-11-02,4.1200,4.1200,4.1200,4.1200,0
1999-11-03,3.9400,4.0600,3.8800,4.0600,3000
1999-11-04,4.0600,4.2500,4.0000,4.1200,31000
1999-11-05,4.0900,4.0900,4.0900,4.0900,1000
1999-11-08,4.0600,4.0600,4.0600,4.0600,600
1999-11-09,4.0600,4.0600,3.8100,4.0000,7800
1999-11-10,3.9700,4.1200,3.8100,4.0000,15000
1999-11-11,4.2500,4.2500,4.0000,4.1200,7600
1999-11-12,4.0300,4.3800,3.9400,4.1900,20400
1999-11-15,4.1900,4.4400,4.1200,4.3100,7000
1999-11-16,4.3800,4.4700,4.2500,4.3800,14000
1999-11-17,4.5000,5.1900,4.5000,5.0600,112400
1999-11-18,4.7500,5.2500,4.2500,4.6900,95800
1999-11-19,4.6900,4.8800,4.4400,4.6200,23600
1999-11-22,4.5000,5.4400,4.5000,4.9700,62600
1999-11-23,5.0000,5.0000,4.6900,4.7500,10200
1999-11-24,4.8800,4.8800,4.5000,4.8800,11400
1999-11-26,4.9400,4.9400,4.9400,4.9400,600
1999-11-29,4.7500,4.9400,4.7500,4.8100,12800
1999-11-30,4.8400,5.0000,4.7500,4.8800,10000
1999-12-01,4.7500,4.9700,4.7500,4.7500,8400
1999-12-02,4.9400,5.4400,4.9400,5.1900,37000
1999-12-03,5.2800,5.4400,5.1200,5.4400,50400
1999-12-06,5.6900,5.6900,5.2500,5.5000,110000
1999-12-07,5.6200,5.6200,5.4400,5.6200,45000
1999-12-08,5.6900,6.5000,5.6900,6.0000,95200
1999-12-09,6.2300,6.7500,6.2200,6.5000,32000
1999-12-10,6.9400,6.9400,6.0000,6.1200,41200
1999-12-13,6.3800,6.6200,6.1200,6.2500,32800
1999-12-14,6.7200,7.1200,6.5600,7.0000,47600
1999-12-15,6.6900,6.8800,6.6200,6.6200,54400
1999-12-16,6.5000,7.1200,6.1200,6.5000,36600
1999-12-17,6.4700,6.7500,6.0000,6.6200,40400
1999-12-20,6.5000,6.7500,6.3800,6.7500,41600
1999-12-21,6.8100,6.8100,6.5000,6.6200,11400
1999-12-22,6.6200,6.6200,6.4400,6.6200,28200
1999-12-23,6.6200,6.6900,6.1900,6.3800,42600
1999-12-27,6.5000,6.5000,6.0300,6.0300,11600
1999-12-28,5.9100,6.0000,5.3100,5.9700,35400
1999-12-29,5.8800,6.2500,5.8100,5.9400,59400
1999-12-30,5.9400,6.2500,5.9400,6.0000,20200
1999-12-31,5.8800,6.1900,5.8800,5.8800,2200
2000-01-03,6.0000,6.3800,6.0000,6.1200,21400
2000-01-04,6.4400,6.6200,6.1200,6.1200,19800
2000-01-05,6.0000,6.1200,6.0000,6.1200,14400
2000-01-06,6.0600,6.3800,6.0600,6.1900,20200
2000-01-07,6.0600,7.0000,6.0000,6.0600,7000
2000-01-10,6.5600,7.0000,6.5000,6.6200,29000
2000-01-11,6.8100,8.0000,6.7500,7.0000,93400
2000-01-12,7.5000,7.9400,7.0000,7.7500,30000
2000-01-13,7.3800,9.0600,7.3800,8.5000,92800
2000-01-14,8.8100,9.0000,8.6200,8.9400,56800
2000-01-18,8.9100,9.7500,8.0000,9.1200,40800
2000-01-19,8.9700,9.1200,8.6900,8.9400,12200
2000-01-20,8.9400,10.0000,8.9400,9.7500,83800
2000-01-21,10.3100,10.3100,9.2500,9.3800,31800
2000-01-24,9.3400,10.0000,9.2500,10.0000,18000
2000-01-25,10.1200,10.4400,9.7500,9.7500,70800
2000-01-26,9.9400,10.1200,8.5000,9.7500,24000
2000-01-27,9.8800,9.8800,9.3100,9.3100,5600
2000-01-28,9.3800,9.5300,9.0000,9.2500,7200
2000-01-31,9.0000,9.3800,7.7500,8.3800,21600
2000-02-01,8.1200,8.3800,8.1200,8.3800,30400
2000-02-02,8.3100,8.8800,8.3100,8.5000,10000
2000-02-03,8.9400,9.0000,8.8800,8.9400,8200
2000-02-04,9.2500,9.3800,8.8100,9.1200,10800
2000-02-07,9.1900,9.2500,8.8100,8.8100,28000
2000-02-08,8.7500,8.7500,8.7500,8.7500,1000
2000-02-09,8.7500,9.5000,8.0600,8.7500,36600
2000-02-10,9.0000,10.0000,8.7500,9.8800,30600
2000-02-11,10.0000,10.0000,9.5000,9.6900,13200
2000-02-14,10.0000,10.0000,9.2500,9.3800,21000
2000-02-15,9.7500,9.8800,9.5300,9.7500,4000
2000-02-16,9.7500,9.8800,9.1900,9.5000,8600
2000-02-17,10.0000,10.0000,9.2500,9.5000,15800
2000-02-18,9.1900,9.5000,9.1200,9.1200,10200
2000-02-22,9.5000,9.5000,8.0000,8.0000,23200
2000-02-23,9.0000,9.6200,8.3800,9.5000,35000
