date,open,high,low,close,volume
2019-02-05,0.1000,0.5100,0.1000,0.5100,27350
2019-02-06,0.6000,0.6000,0.4500,0.4500,5800
2019-02-07,0.2500,0.5100,0.2500,0.5100,1500
2019-02-08,0.5250,0.5250,0.5250,0.5250,2250
2019-02-11,0.5450,0.5450,0.5450,0.5450,700
2019-02-12,0.5500,0.5500,0.5500,0.5500,1000
2019-02-13,0.5500,0.6000,0.5400,0.6000,8200
2019-02-14,0.6450,0.6500,0.6450,0.6500,1000
2019-02-19,0.6500,0.7000,0.6500,0.7000,2000
2019-03-04,0.6000,0.6000,0.6000,0.6000,100
2019-03-05,0.5760,0.6000,0.5760,0.6000,600
2019-03-06,0.3910,0.6000,0.3910,0.6000,1500
2019-03-15,0.3800,0.3800,0.3800,0.3800,2500
2019-03-18,0.5670,0.6000,0.5670,0.6000,600
2019-03-19,0.3800,0.3800,0.3800,0.3800,200
2019-03-20,0.4130,0.4130,0.4130,0.4130,800
2019-03-21,0.4905,0.4905,0.4905,0.4905,420
2019-05-09,0.4500,0.8500,0.4500,0.8500,1200
2019-05-10,1.0000,1.0000,1.0000,1.0000,239
2019-05-14,0.4500,1.2400,0.4500,1.2400,2600
2019-05-24,1.2400,1.2400,1.2400,1.2400,45
2019-05-31,0.9400,0.9900,0.9400,0.9900,1300
2019-06-05,0.9400,0.9400,0.9400,0.9400,400
2019-06-06,0.9900,1.1500,0.9900,1.1500,500
2019-06-18,1.0300,1.0300,1.0000,1.0000,820
2019-06-19,1.1900,1.1900,1.1900,1.1900,200
2019-06-20,1.2000,1.3000,1.0000,1.2900,1490
2019-06-24,1.3500,1.3600,1.0000,1.3600,800
2019-06-26,1.3600,1.3600,1.0000,1.3600,400
2019-06-27,1.0000,1.0000,1.0000,1.0000,150
2019-06-28,1.3700,1.3700,0.7000,1.3000,1540
2019-07-01,1.0000,1.2500,1.0000,1.2500,1190
2019-07-02,0.7800,0.7800,0.7800,0.7800,1000
2019-07-03,1.2500,1.2500,1.2500,1.2500,300
2019-07-05,1.2500,1.3000,1.2500,1.3000,500
2019-07-08,1.3000,1.3000,1.3000,1.3000,39
2019-07-09,1.3000,1.3000,1.3000,1.3000,400
2019-07-10,1.3000,1.3000,1.3000,1.3000,300
2019-07-12,1.1000,1.1500,1.1000,1.1500,400
2019-07-17,1.3000,1.3000,1.2550,1.2550,530
2019-07-18,1.3000,1.8000,1.3000,1.3500,6116
2019-07-19,1.6500,1.8000,1.6500,1.8000,561
2019-07-22,1.8500,2.0000,1.8500,2.0000,300
2019-07-23,2.3499,2.3500,2.3499,2.3500,200
2019-07-24,2.3275,2.5000,2.3000,2.5000,700
2019-07-25,2.3150,2.5000,2.3150,2.5000,300
2019-07-29,2.5000,2.7500,2.5000,2.7500,700
2019-07-30,2.7499,3.2500,2.7499,3.2500,1100
2019-07-31,3.2500,3.2500,3.1500,3.2500,1615
2019-08-01,3.5000,3.5000,3.4999,3.5000,500
2019-08-02,3.5000,3.9000,3.5000,3.8000,1628
2019-08-05,3.7000,3.7999,3.2000,3.7999,400
2019-08-07,3.7500,3.8000,3.2200,3.2200,1180
2019-08-08,3.8000,3.8000,3.6000,3.6000,300
2019-08-09,3.7999,3.9500,3.7999,3.9500,440
2019-08-13,3.8000,3.9500,3.2350,3.9500,1200
2019-08-14,3.3000,3.8000,3.3000,3.8000,200
2019-08-15,3.8000,3.8000,3.8000,3.8000,150
2019-08-16,3.9400,3.9400,3.9400,3.9400,100
2019-08-19,3.8000,3.9400,3.6500,3.9400,800
2019-08-20,3.9500,4.0000,3.8000,4.0000,1000
2019-08-21,3.9999,4.1000,3.9999,4.1000,500
2019-08-22,4.1000,4.3000,4.1000,4.3000,702
2019-08-23,4.4500,4.5000,4.4500,4.5000,200
2019-08-26,4.7500,6.0000,2.7600,5.5000,1628
2019-08-27,5.5000,6.5000,4.9000,6.5000,845
2019-08-28,7.0000,8.9950,4.4900,5.1200,3818
2019-08-29,4.7600,6.2400,4.5000,5.1000,3107
2019-08-30,5.1500,5.1500,2.5500,2.5500,2150
2019-09-03,4.6000,4.7000,2.2500,2.8500,4470
2019-09-04,2.5500,2.8500,2.0000,2.8000,1500
2019-09-05,2.0000,2.7500,1.8000,1.8300,2600
2019-09-06,2.5000,2.7000,1.2500,1.9500,23733
2019-09-09,1.5500,1.8500,1.2500,1.2500,5250
2019-09-10,1.5000,1.5000,1.0000,1.0035,4430
2019-09-11,0.9100,0.9745,0.8301,0.8301,5500
2019-09-12,0.9000,0.9000,0.7500,0.8300,14469
2019-09-13,1.0000,1.0000,0.7300,0.7310,17244
2019-09-16,0.8150,0.9500,0.6900,0.9500,9310
2019-09-17,0.9600,0.9600,0.6950,0.9000,3790
2019-09-19,1.2000,1.2000,0.7000,0.9000,3815
2019-09-20,0.8900,0.8900,0.8000,0.8899,805
2019-09-23,0.8899,0.8899,0.8000,0.8500,9631
2019-09-24,0.8100,0.8600,0.8100,0.8600,700
2019-09-25,0.7000,0.8880,0.7000,0.8880,11100
2019-09-26,0.8300,0.8300,0.6700,0.7400,7050
2019-09-27,0.8700,0.8700,0.8700,0.8700,100
2019-09-30,0.6000,0.8410,0.6000,0.6201,8400
2019-10-01,0.7000,0.7000,0.6201,0.7000,1585
2019-10-02,0.9000,0.9000,0.7000,0.7000,25515
2019-10-03,0.8299,0.8300,0.7000,0.8300,6000
2019-10-04,0.8299,0.8300,0.7250,0.8300,3200
2019-10-07,0.8300,0.9500,0.6201,0.8000,1500
2019-10-08,0.7601,0.9000,0.7601,0.9000,685
2019-10-09,0.8500,0.8500,0.8500,0.8500,235
2019-10-10,0.8999,0.9000,0.8999,0.9000,400
2019-10-11,0.9000,0.9000,0.9000,0.9000,10010
2019-10-14,0.9500,0.9500,0.6201,0.8750,400
2019-10-15,0.9000,0.9000,0.9000,0.9000,150
2019-10-16,0.8999,0.8999,0.8999,0.8999,100
2019-10-21,0.6301,0.7900,0.6301,0.7900,1130
2019-10-22,0.6201,0.8580,0.6201,0.8580,1100
2019-10-23,0.7500,0.7500,0.7500,0.7500,500
2019-10-24,1.0000,1.2500,0.6950,0.6950,2500
2019-10-25,0.6750,0.6750,0.6750,0.6750,1000
2019-10-28,1.0000,1.0000,0.6700,1.0000,1300
2019-10-29,0.6700,0.9600,0.6700,0.9600,240
2019-10-30,0.8405,0.9600,0.6710,0.9600,2100
2019-10-31,1.0599,1.0600,0.6710,0.8300,1500
2019-11-01,1.0100,1.0100,1.0100,1.0100,100
2019-11-04,1.2500,1.5000,1.0000,1.5000,340
2019-11-05,1.0000,1.0000,0.8000,0.9800,5674
2019-11-06,0.8950,0.8950,0.8000,0.8000,2500
2019-11-07,0.8000,0.8800,0.8000,0.8800,2100
2019-11-08,0.7110,0.9400,0.6500,0.6501,578
2019-11-11,0.6900,0.7000,0.6900,0.7000,2400
2019-11-12,0.6999,0.9050,0.6500,0.7000,5300
