date,open,high,low,close,volume
2005-12-28,8.0000,8.0000,8.0000,8.0000,500
2005-12-29,8.0000,8.0000,8.0000,8.0000,1000
2005-12-30,8.0000,8.0000,8.0000,8.0000,1000
2006-01-03,8.5000,8.7500,8.5000,8.5000,2300
2006-01-04,8.8500,8.8500,8.7500,8.8500,2100
2006-01-05,8.9500,8.9500,8.9500,8.9500,1500
2006-01-06,8.8000,8.8000,8.5500,8.8000,12200
2006-01-09,8.8200,8.8200,8.7740,8.8200,3000
2006-01-10,8.7000,8.7000,8.7000,8.7000,600
2006-01-11,8.4400,8.4400,8.4400,8.4400,1000
2006-01-12,9.1000,9.3500,9.1000,9.1000,9300
2006-01-13,9.6000,9.6000,9.3000,9.6000,17400
2006-01-17,9.7500,9.7500,9.4000,9.7500,4800
2006-01-18,9.2000,9.2000,9.0500,9.2000,5600
2006-01-19,9.6500,9.6500,9.4000,9.6500,3300
2006-01-20,10.2000,10.2000,9.7000,10.2000,17600
2006-01-23,10.5000,10.6500,10.2000,10.5000,18900
2006-01-24,10.6000,10.6500,10.3700,10.6000,10400
2006-01-25,10.6000,10.6000,10.6000,10.6000,1700
2006-01-26,10.6000,10.6000,10.6000,10.6000,8000
2006-01-27,10.6000,10.6000,10.6000,10.6000,1400
2006-01-30,10.6000,10.6000,10.6000,10.6000,5500
2006-01-31,10.6000,10.6000,10.6000,10.6000,4800
2006-02-01,10.6000,10.6000,10.6000,10.6000,5900
2006-02-02,10.6000,10.6000,10.6000,10.6000,8800
2006-02-03,10.6000,10.6000,10.6000,10.6000,0
2006-02-06,10.6000,10.6000,10.6000,10.6000,600
2006-02-07,10.6000,10.6000,10.6000,10.6000,1100
2006-02-08,10.6000,10.6000,10.6000,10.6000,1100
2006-02-09,10.6000,10.6000,10.6000,10.6000,200
2006-02-10,10.6000,10.6000,10.6000,10.6000,18400
2006-02-13,10.6000,10.6000,10.6000,10.6000,10800
2006-02-14,10.6000,10.6000,10.6000,10.6000,4700
2006-02-15,10.6000,10.6000,10.6000,10.6000,200
2006-02-16,10.6000,10.6000,10.6000,10.6000,0
2006-02-17,10.6000,10.6000,10.6000,10.6000,500
2006-02-21,10.6000,10.6000,10.6000,10.6000,600
2006-02-22,10.6000,10.6000,10.6000,10.6000,1300
2006-02-23,10.4500,10.4500,10.1500,10.4500,1500
2006-02-24,10.4500,10.4500,10.4500,10.4500,0
2006-02-27,10.4000,10.4000,10.4000,10.4000,800
2006-02-28,10.9778,10.9778,10.9778,10.9778,400
2006-03-01,11.0000,11.1000,11.0000,11.0000,1300
2006-03-02,11.6000,11.6000,11.6000,11.6000,8700
2006-03-03,12.1000,12.1000,11.8400,12.1000,5200
2006-03-06,11.6500,11.9000,11.6500,11.6500,4600
2006-03-07,11.3000,11.3500,11.0000,11.3000,2600
2006-03-08,11.3000,11.3000,11.3000,11.3000,600
