date,open,high,low,close,volume
2005-11-15,54.2600,54.2600,53.8500,53.8600,53000
2005-11-16,54.0000,54.0299,53.6500,53.7300,20900
2005-11-17,53.9000,54.1200,53.8200,54.1000,58000
2005-11-18,54.4000,54.4800,54.0800,54.4400,67500
2005-11-21,54.5000,54.6999,54.3900,54.6600,35800
2005-11-22,54.6600,54.7100,54.2800,54.7000,33800
2005-11-23,54.6500,54.9500,54.6200,54.7900,21300
2005-11-25,54.9000,54.9000,54.7500,54.8500,12000
2005-11-28,54.9800,54.9800,54.5600,54.5700,16600
2005-11-29,54.8200,55.0100,54.7500,54.7700,14000
2005-11-30,54.9500,54.9500,54.4000,54.4500,24500
2005-12-01,54.8200,55.0700,54.7700,55.0300,18900
2005-12-02,55.0000,55.0700,54.8700,55.0100,18000
2005-12-05,55.0000,55.0000,54.5900,54.8000,27500
2005-12-06,55.0800,55.0800,54.6900,54.7200,29700
2005-12-07,54.8000,54.8000,54.1300,54.3200,223400
2005-12-08,54.3000,54.5000,54.0000,54.1500,27100
2005-12-09,54.4900,54.5000,54.2600,54.3600,24700
2005-12-12,54.6000,54.6000,54.0000,54.2800,24900
2005-12-13,54.4000,54.8490,54.3900,54.7600,14600
2005-12-14,54.9500,55.2900,54.9500,55.1300,14800
2005-12-15,55.2900,55.3100,54.9800,55.0800,16400
2005-12-16,55.1500,55.2000,54.9400,54.9900,11300
2005-12-19,55.2300,55.2300,54.8000,54.8300,17200
2005-12-20,54.9400,54.9600,54.7200,54.7400,10700
2005-12-21,55.1000,55.1300,54.7200,54.7600,32400
2005-12-22,55.0000,55.0000,54.6700,54.9500,113000
2005-12-23,55.1300,55.1300,54.9800,54.9900,24500
2005-12-27,54.9500,55.1600,54.5800,54.6000,21100
2005-12-28,54.7500,54.7500,54.5200,54.6800,26200
2005-12-29,54.7200,54.7200,54.4000,54.4000,21500
2005-12-30,54.3500,54.3500,53.9600,54.1500,19600
2006-01-03,54.4500,54.8800,54.0000,54.8400,110600
2006-01-04,55.0000,55.1100,54.8800,55.0400,27800
2006-01-05,55.1000,55.1200,54.9475,55.0800,27100
2006-01-06,55.3000,55.5000,55.0600,55.4900,35400
2006-01-09,55.6500,55.8300,55.5400,55.6800,34100
2006-01-10,55.8000,55.8000,55.5600,55.7600,27900
2006-01-11,55.8400,55.8400,55.4200,55.6400,35500
2006-01-12,55.7500,55.7500,55.3000,55.3000,31900
2006-01-13,55.5500,55.6000,55.3800,55.4800,24700
2006-01-17,55.5000,55.5000,55.1000,55.3100,14200
2006-01-18,55.3000,55.4400,55.0800,55.2900,11300
2006-01-19,55.5000,55.5200,55.2000,55.4400,12200
2006-01-20,55.5500,55.5500,54.6500,54.6500,19600
2006-01-23,54.8800,55.0000,54.7500,54.8800,17600
2006-01-24,55.0000,55.1900,54.9300,55.1300,15400
2006-01-25,55.2500,55.2600,54.8700,54.9299,18400
2006-01-26,55.3400,55.4100,55.2001,55.3500,66900
2006-01-27,55.3800,55.7000,55.3800,55.6500,156400
2006-01-30,55.6600,55.6600,55.3500,55.3800,24900
2006-01-31,55.3000,55.4700,55.1800,55.3600,10500
2006-02-01,55.3600,55.5300,55.2900,55.5200,22200
