date,open,high,low,close,volume
1999-11-01,19.0000,19.0600,18.1300,18.5000,72600
1999-11-02,18.3800,18.6300,18.1300,18.5600,65667
1999-11-03,18.5000,18.8800,18.1300,18.6300,32800
1999-11-04,18.3800,19.0000,18.3800,18.8800,100867
1999-11-05,18.5600,18.8100,18.3800,18.7500,52200
1999-11-08,18.5000,18.7500,18.3800,18.5000,61867
1999-11-09,18.7500,18.7500,18.3800,18.7500,100800
1999-11-10,18.6900,22.0000,18.6300,21.5000,811400
1999-11-11,21.6900,29.0000,21.5000,26.5000,852400
1999-11-12,26.4400,30.1300,25.5000,28.6300,713867
1999-11-15,28.2500,28.7500,24.5000,26.1300,293267
1999-11-16,25.6300,26.2500,25.3800,26.1300,231467
1999-11-17,25.8800,27.7500,23.8800,26.5000,469067
1999-11-18,27.2500,27.5000,24.6300,25.5000,217467
1999-11-19,25.3800,27.1300,25.3800,27.0000,52067
1999-11-22,26.6300,27.8800,26.6300,27.8800,45800
1999-11-23,27.6300,28.5600,27.6300,27.6300,161267
1999-11-24,27.3800,27.8800,27.2500,27.5000,10067
1999-11-26,28.0000,28.5000,27.0000,27.7500,6200
1999-11-29,28.0000,28.2500,26.5000,26.7500,54067
1999-11-30,27.0000,27.0000,25.2500,25.2500,64267
1999-12-01,26.0000,28.8800,25.8800,28.1300,138400
1999-12-02,27.5000,30.2500,27.5000,29.8100,341200
1999-12-03,29.7500,33.2500,29.7500,32.7500,480800
1999-12-06,33.1300,34.1300,30.2500,32.3800,92200
1999-12-07,32.3100,32.8800,32.0600,32.6300,42200
1999-12-08,32.8100,36.8100,32.7200,36.1300,287267
1999-12-09,36.5000,45.7500,35.6300,38.0600,431000
1999-12-10,39.1300,41.8800,38.2500,40.1900,118000
1999-12-13,41.0000,48.0000,40.1900,47.1300,271667
1999-12-14,48.5000,48.9400,42.2500,46.5000,165600
1999-12-15,45.8100,46.1300,39.3800,42.5000,157667
1999-12-16,43.0000,44.3800,42.7500,42.8100,120400
1999-12-17,42.9400,45.8800,42.2500,43.5000,113200
1999-12-20,44.1300,45.0000,42.2500,42.8800,151267
1999-12-21,43.0000,47.5000,42.7500,47.5000,87667
1999-12-22,46.9400,47.0000,45.5000,45.7500,65467
1999-12-23,46.3800,50.8800,46.0000,49.8800,376667
1999-12-27,50.7500,52.0000,49.7500,50.0000,112000
1999-12-28,35.0000,40.0000,34.3800,35.2500,165133
1999-12-29,35.5000,35.5000,33.5000,33.5000,97400
1999-12-30,33.4400,33.5000,32.2500,32.7500,124600
1999-12-31,32.8100,36.2500,32.1300,35.3800,98500
2000-01-03,35.3800,35.3800,35.3800,35.3800,351000
2000-01-04,35.8800,36.6300,31.0000,32.0000,231400
2000-01-05,31.2500,31.3800,23.1300,29.5000,276900
2000-01-06,30.7500,34.5000,27.7500,27.7500,108900
2000-01-07,27.5000,31.7500,26.7500,30.5000,128200
2000-01-10,31.2500,32.5000,31.0000,31.5000,207500
2000-01-11,32.5000,35.2500,31.0000,33.2500,333100
2000-01-12,33.1300,37.5000,33.0000,37.5000,405300
2000-01-13,37.6300,39.0000,37.2500,38.6900,163800
2000-01-14,38.6900,42.0000,38.6900,40.2500,184600
2000-01-18,40.3800,41.3800,38.2500,38.5000,103500
2000-01-19,40.0000,40.0000,37.0000,39.0000,76400
2000-01-20,39.0000,45.7500,38.2500,45.5000,336100
2000-01-21,45.7500,46.5000,44.5000,44.7500,283400
2000-01-24,46.0000,46.7500,40.0600,42.3800,173700
2000-01-25,42.0000,47.2500,38.0000,46.7500,196200
2000-01-26,47.0000,47.0000,44.0000,44.5000,96500
2000-01-27,44.0000,45.3800,42.0000,43.4400,148100
2000-01-28,43.4400,43.8800,40.0000,40.5000,200400
2000-01-31,40.5000,42.8800,37.7500,38.1300,264400
2000-02-01,38.1300,39.6300,36.6300,37.1300,76000
2000-02-02,36.7500,36.7500,33.8100,35.2500,175000
2000-02-03,34.2500,41.0000,34.2500,39.1300,215100
2000-02-04,38.2500,39.5000,36.0000,37.0600,87300
2000-02-07,38.3100,39.0000,36.7500,38.0000,254100
2000-02-08,36.5000,39.0000,36.5000,38.2500,65500
