date,open,high,low,close,volume
2020-11-23,10.0000,10.0000,9.6800,9.7500,236097
2020-11-24,9.7500,9.8124,9.7000,9.7500,129874
2020-11-25,9.8000,9.8500,9.7200,9.7500,75226
2020-11-27,9.8200,9.8500,9.7000,9.7300,103040
2020-11-30,10.2400,10.2400,9.7300,9.7500,213511
2020-12-01,9.8100,9.8299,9.7200,9.7800,61469
2020-12-02,9.8200,9.8800,9.8000,9.8300,26275
2020-12-03,9.8000,9.8650,9.7500,9.8500,54144
2020-12-04,9.8700,10.0000,9.8400,9.9500,296436
2020-12-07,9.9900,10.1000,9.8500,9.9000,173131
2020-12-08,9.9500,9.9500,9.8500,9.9300,163808
2020-12-09,9.9700,9.9984,9.8500,9.8900,410446
2020-12-10,10.0500,10.0500,9.8600,9.9300,541140
2020-12-11,9.9500,10.1200,9.9500,10.0200,480271
2020-12-14,10.3000,10.5000,10.0300,10.1200,543890
2020-12-15,10.2000,10.2400,10.0500,10.0700,224141
2020-12-16,10.1000,10.1400,10.0500,10.1000,94329
2020-12-17,10.0800,10.1600,10.0800,10.1200,104662
2020-12-18,10.0900,10.1700,10.0900,10.1000,592599
2020-12-21,10.1000,10.1400,10.0500,10.0800,63579
2020-12-22,10.0700,10.1900,10.0600,10.1200,144656
2020-12-23,10.1500,10.1900,10.1000,10.1900,230170
2020-12-24,10.3800,10.3900,10.1600,10.1800,156385
2020-12-28,10.3700,10.3700,10.1300,10.3500,386920
2020-12-29,10.4500,10.4798,10.2500,10.2800,271357
2020-12-30,10.2000,10.3600,10.2000,10.2500,415243
2020-12-31,10.2500,10.2700,10.1200,10.1200,172128
2021-01-04,10.1800,10.2500,10.1700,10.2400,271104
2021-01-05,10.2700,10.3000,10.2000,10.2000,86857
2021-01-06,10.3700,10.3700,10.1600,10.1600,192262
2021-01-07,10.4300,10.4600,10.2156,10.3500,531413
2021-01-08,10.4500,10.5000,10.3500,10.4200,78385
2021-01-11,10.6000,10.6000,10.4621,10.5000,283376
2021-01-12,10.6100,10.8000,10.6000,10.6900,476352
2021-01-13,10.8000,10.8000,10.6000,10.6900,482835
2021-01-14,10.7700,10.7700,10.5200,10.5600,521763
2021-01-15,10.6600,10.7470,10.4400,10.4900,282693
2021-01-19,10.5800,10.6200,10.3600,10.4200,284513
2021-01-20,10.4500,10.5000,10.3500,10.5000,435936
2021-01-21,10.5800,10.5900,10.4300,10.4900,351406
2021-01-22,10.4800,10.6400,10.4701,10.5100,273756
2021-01-25,10.5500,10.6400,10.4200,10.4400,512770
2021-01-26,10.5000,10.5300,10.3601,10.4300,257062
2021-01-27,10.3600,10.3750,10.1000,10.1500,460429
2021-01-28,10.1500,10.2920,10.1100,10.2400,228959
2021-01-29,10.2300,10.3099,10.1200,10.2500,185399
2021-02-01,10.2100,10.3293,10.1800,10.1900,347256
2021-02-02,10.2200,10.4300,10.2200,10.3800,252061
2021-02-03,10.4100,10.4700,10.3501,10.3600,194605
2021-02-04,10.3900,10.4900,10.3200,10.4500,194942
2021-02-05,10.4400,10.5800,10.3500,10.4600,354514
2021-02-08,10.5150,10.5300,10.4000,10.4000,299798
2021-02-09,10.4200,10.4200,10.3600,10.4100,303486
2021-02-10,10.4300,10.4400,10.3200,10.4300,162606
2021-02-11,10.4000,10.4600,10.3100,10.3200,202265
2021-02-12,10.3500,10.4000,10.3100,10.3600,273950
2021-02-16,10.4700,10.4900,10.3800,10.4300,201124
2021-02-17,10.4400,10.5251,10.3900,10.4400,202329
2021-02-18,10.3800,10.4605,10.3500,10.4000,246301
2021-02-19,10.3700,10.4900,10.3700,10.4800,253736
2021-02-22,10.4800,10.5314,10.3900,10.4200,316571
2021-02-23,10.3300,10.3900,10.0100,10.3400,735791
2021-02-24,10.3000,10.4500,10.2500,10.2700,581617
2021-02-25,10.2900,10.3300,10.2000,10.2200,373716
2021-02-26,10.3000,10.3100,10.1800,10.2200,587618
2021-03-01,10.3300,10.3300,10.1800,10.2400,258355
2021-03-02,10.2400,10.7500,10.1000,10.3000,1406580
2021-03-03,10.0600,10.1500,10.0000,10.0200,958188
