date,open,high,low,close,volume
2017-10-06,0.0078,0.0078,0.0078,0.0078,3
2017-10-09,0.0084,0.0084,0.0084,0.0084,2752
2017-10-16,0.0084,0.0084,0.0084,0.0084,10
2017-10-30,0.0084,0.0084,0.0084,0.0084,2
2017-10-31,0.0084,0.0084,0.0084,0.0084,10
2017-11-08,0.0084,0.0084,0.0084,0.0084,80
2017-11-28,0.0084,0.0084,0.0084,0.0084,1
2017-12-04,0.0084,0.0084,0.0084,0.0084,3
2017-12-08,0.0084,0.0084,0.0084,0.0084,2
2017-12-14,0.0084,0.0084,0.0084,0.0084,18
2017-12-15,0.0084,0.0084,0.0084,0.0084,44
2017-12-18,0.0084,0.0084,0.0084,0.0084,2
2017-12-19,0.0084,0.0084,0.0084,0.0084,28
2017-12-20,0.0084,0.0084,0.0084,0.0084,8
2017-12-27,0.0084,0.0084,0.0084,0.0084,42
2017-12-29,0.0084,0.0084,0.0084,0.0084,40
2018-01-17,0.0084,0.0084,0.0084,0.0084,70
2018-01-19,0.0084,0.0084,0.0084,0.0084,71
2018-01-23,0.0084,0.0084,0.0084,0.0084,4
2018-02-07,0.1360,0.1500,0.1360,0.1500,7410
2018-02-08,0.1500,0.8800,0.0875,0.7000,95667
2018-02-09,0.7100,3.3500,0.5628,3.1000,51010
2018-02-12,3.3499,7.1500,3.3499,4.4500,38705
2018-02-13,4.6600,6.0999,4.6500,4.7001,20288
2018-02-14,4.6900,4.6900,1.7700,2.9000,19112
2018-02-15,3.0000,3.0000,0.9500,1.0200,28604
2018-02-16,1.0600,1.4500,0.9100,1.4500,5717
2018-02-20,1.4400,1.4500,1.2800,1.3500,7542
2018-02-21,1.4000,1.4000,1.0300,1.0300,3618
2018-02-22,1.2750,2.0000,1.0000,1.3000,7915
2018-02-23,1.1000,1.2800,1.0750,1.0800,1384
2018-02-26,1.0500,1.0500,1.0000,1.0000,546
2018-02-27,1.0000,1.0000,0.8500,0.9850,750
2018-02-28,0.8500,0.8500,0.8000,0.8500,2556
2018-03-01,0.6500,0.6500,0.6500,0.6500,976
2018-03-05,0.8500,1.5799,0.7500,0.7500,11036
2018-03-06,1.2500,2.3999,1.0100,2.0500,36346
2018-03-07,1.7750,1.7750,1.0201,1.2500,23506
2018-03-08,1.2500,1.2500,1.0500,1.2500,1415
2018-03-09,1.4000,1.4000,1.4000,1.4000,142
2018-03-12,1.6500,1.6500,1.2400,1.2400,200
2018-03-13,1.0600,1.5000,1.0600,1.5000,244
2018-03-14,1.5000,1.5000,1.5000,1.5000,102
2018-03-15,1.3000,1.3000,1.0200,1.0200,5829
2018-03-19,0.9000,0.9000,0.8000,0.8000,1170
2018-03-20,1.0499,1.0500,1.0499,1.0500,200
2018-03-21,0.8000,0.8000,0.8000,0.8000,1667
2018-03-23,1.1500,1.2000,1.1500,1.2000,200
2018-03-27,1.1000,1.1000,0.8500,0.8500,2576
2018-03-28,1.0000,1.0000,1.0000,1.0000,200
2018-03-29,1.0000,1.0000,1.0000,1.0000,524
2018-04-02,1.0000,1.0000,1.0000,1.0000,50
2018-04-03,0.8500,1.1000,0.8500,1.1000,4234
2018-04-04,1.1000,1.1000,0.7800,0.7800,666
2018-04-05,0.7800,1.4000,0.7800,1.4000,1428
2018-04-06,1.3000,1.7000,1.3000,1.7000,1342
2018-04-09,1.7000,1.7000,0.8200,0.8200,700
2018-04-11,1.4500,1.4500,1.4500,1.4500,104
2018-04-12,1.4500,1.4500,1.4500,1.4500,12
2018-04-13,1.4500,1.4501,0.8802,0.8802,2864
2018-04-16,0.8802,0.8802,0.8802,0.8802,77
2018-04-17,1.4200,1.4200,0.9500,0.9500,857
2018-04-18,0.9500,0.9500,0.9500,0.9500,200
2018-04-19,0.9500,0.9500,0.9500,0.9500,100
2018-04-20,0.9500,0.9500,0.9500,0.9500,320
2018-04-23,0.9500,0.9500,0.9500,0.9500,65
2018-04-24,0.9500,0.9500,0.9500,0.9500,102
2018-04-25,0.9500,0.9500,0.9500,0.9500,50
2018-04-27,0.9500,0.9500,0.9500,0.9500,88
2018-04-30,0.9500,0.9500,0.9000,0.9300,1550
2018-05-02,0.9300,0.9300,0.9300,0.9300,10
2018-05-04,0.9000,0.9000,0.9000,0.9000,280
2018-05-07,1.0000,1.0000,1.0000,1.0000,182
2018-05-08,1.0000,1.0000,1.0000,1.0000,150
2018-05-10,1.0000,1.0000,1.0000,1.0000,470
2018-05-14,1.0000,1.0000,1.0000,1.0000,30
2018-05-15,1.0000,1.0000,1.0000,1.0000,30
2018-05-17,1.0000,1.0000,1.0000,1.0000,2
2018-05-24,1.0000,1.0000,1.0000,1.0000,2
2018-05-29,1.0000,1.0000,1.0000,1.0000,30
2018-05-30,0.7500,1.0000,0.7500,1.0000,860
2018-06-07,1.0000,1.0000,1.0000,1.0000,142
2018-06-08,1.0900,1.0900,1.0500,1.0600,696
2018-06-11,1.0900,1.0900,1.0900,1.0900,275
2018-06-12,0.7750,0.7750,0.7750,0.7750,407
2018-06-13,1.0900,1.0900,1.0899,1.0900,380
2018-06-14,0.7500,0.7500,0.7500,0.7500,162
2018-06-18,0.7500,0.7500,0.7500,0.7500,5
2018-06-19,0.7000,1.0000,0.7000,0.7000,669
2018-06-21,0.7000,0.7000,0.7000,0.7000,100
2018-06-26,0.7300,0.7300,0.7300,0.7300,200
2018-06-28,0.9500,0.9500,0.9500,0.9500,525
2018-07-03,0.8150,0.8150,0.8150,0.8150,540
2018-07-05,0.8000,0.8000,0.8000,0.8000,1000
2018-07-11,0.8000,0.8000,0.8000,0.8000,50
2018-07-12,0.8000,0.8000,0.8000,0.8000,30
2018-07-18,0.5500,0.5500,0.5500,0.5500,130
2018-07-24,0.8000,0.8000,0.8000,0.8000,185
2018-07-30,0.8000,0.8000,0.8000,0.8000,5
2018-08-03,0.8000,0.8000,0.8000,0.8000,447
2018-08-09,0.8000,0.8000,0.8000,0.8000,7250
2018-08-10,0.8000,0.8000,0.8000,0.8000,28
2018-08-13,1.0000,1.0000,1.0000,1.0000,305
2018-08-14,1.0000,1.0000,1.0000,1.0000,37
2018-08-15,1.0000,1.0000,1.0000,1.0000,170
2018-08-23,0.5500,0.5500,0.5000,0.5000,9063
2018-08-28,0.6500,0.6500,0.6500,0.6500,100
2018-08-29,0.6500,0.6500,0.6500,0.6500,10
2018-09-10,0.6500,0.6500,0.6500,0.6500,10
2018-09-17,0.6500,0.6500,0.6350,0.6350,558
2018-09-18,0.6500,0.9900,0.6500,0.9900,13889
2018-09-19,1.0400,12.4000,1.0400,10.7000,89799
2018-09-20,12.9900,33.0000,5.5500,13.0000,98667
2018-09-21,17.9900,49.0000,15.0000,45.9900,42020
2018-09-24,50.5100,71.0000,36.0000,40.0000,26048
2018-09-25,37.1000,37.2000,15.2700,21.0100,26456
2018-10-10,16.0100,19.0000,8.0000,14.0000,3174
2018-10-11,11.0000,13.6000,7.0000,7.7700,2154
2018-10-12,5.0000,9.0000,5.0000,5.0000,3493
2018-10-15,5.0000,5.0000,5.0000,5.0000,300
2018-10-16,5.0000,7.0000,2.0500,2.0500,1107
2018-10-17,2.0500,2.0500,2.0500,2.0500,51
2018-10-18,10.0000,15.0000,9.0000,9.0000,1357
2018-10-19,9.0000,9.0000,9.0000,9.0000,432
2018-10-22,9.0000,9.0000,9.0000,9.0000,1
2018-10-23,9.0000,9.0000,9.0000,9.0000,55
2018-10-24,9.0000,9.0000,9.0000,9.0000,74
2018-10-25,9.0000,9.0000,9.0000,9.0000,417
2018-10-26,9.0000,9.0000,9.0000,9.0000,111
2018-10-30,9.0000,9.0000,9.0000,9.0000,61
2018-10-31,9.0000,9.0000,9.0000,9.0000,40
2018-11-01,9.0000,9.0000,9.0000,9.0000,129
2018-11-02,9.0000,9.0000,9.0000,9.0000,84
2018-11-06,9.0000,9.0000,9.0000,9.0000,110
2018-11-07,9.0000,9.0000,9.0000,9.0000,144
2018-11-08,9.0000,9.0000,9.0000,9.0000,20
2018-11-09,9.0000,9.0000,9.0000,9.0000,25
2018-11-14,9.0000,9.0000,9.0000,9.0000,1
2018-11-16,9.0000,9.0000,9.0000,9.0000,5
2018-11-26,9.0000,9.0000,9.0000,9.0000,4
2018-11-28,9.0000,9.0000,9.0000,9.0000,85
2018-12-12,9.0000,9.0000,9.0000,9.0000,50
2018-12-17,9.0000,9.0000,9.0000,9.0000,75
2018-12-18,9.0000,9.0000,9.0000,9.0000,90
2018-12-21,9.0000,9.0000,9.0000,9.0000,1
2018-12-26,9.0000,9.0000,9.0000,9.0000,80
2018-12-28,9.0000,9.0000,9.0000,9.0000,32
2019-01-03,9.0000,9.0000,9.0000,9.0000,10
2019-01-04,9.0000,9.0000,9.0000,9.0000,51
2019-01-11,9.0000,9.0000,9.0000,9.0000,14
2019-01-22,9.0000,9.0000,9.0000,9.0000,16
2019-01-24,9.0000,9.0000,9.0000,9.0000,75
2019-01-25,9.0000,9.0000,9.0000,9.0000,15
2019-01-29,9.0000,9.0000,9.0000,9.0000,20
2019-01-31,9.0000,9.0000,9.0000,9.0000,1
2019-02-01,9.0000,9.0000,9.0000,9.0000,4
2019-02-04,8.0000,8.0000,8.0000,8.0000,150
2019-02-05,8.0000,8.0000,8.0000,8.0000,10
2019-02-06,8.0000,8.0000,8.0000,8.0000,50
2019-02-12,8.0000,8.0000,8.0000,8.0000,150
2019-02-13,8.0000,8.0000,8.0000,8.0000,103
2019-02-14,8.0000,8.0000,8.0000,8.0000,200
2019-02-15,8.0000,8.0000,8.0000,8.0000,187
2019-02-19,8.0000,8.0000,8.0000,8.0000,425
2019-02-20,8.0000,8.0000,8.0000,8.0000,430
2019-02-21,8.0000,8.0000,8.0000,8.0000,516
2019-02-22,8.0000,8.0000,8.0000,8.0000,325
2019-02-25,8.1600,8.1600,8.1600,8.1600,299
2019-02-26,7.9900,8.2500,7.9900,8.0000,2074
2019-02-27,8.0000,8.0000,8.0000,8.0000,1042
2019-02-28,8.0000,8.0000,8.0000,8.0000,170
2019-03-08,8.0000,8.0000,8.0000,8.0000,30
2019-03-18,1.0000,1.0000,1.0000,1.0000,100
2019-03-19,1.0000,1.0000,1.0000,1.0000,11
2019-03-20,1.0000,1.0000,1.0000,1.0000,4
2019-03-22,6.0000,6.0000,6.0000,6.0000,140
2019-03-25,6.0000,6.0000,6.0000,6.0000,10
2019-03-28,5.0000,5.0000,5.0000,5.0000,131
2019-04-01,5.0000,5.0000,5.0000,5.0000,23
2019-04-04,5.0000,5.0000,5.0000,5.0000,46
2019-04-05,7.0000,7.0000,7.0000,7.0000,100
2019-04-08,7.0000,7.0000,7.0000,7.0000,127
2019-04-11,7.0000,7.0000,7.0000,7.0000,29
2019-04-12,7.0000,7.0000,7.0000,7.0000,127
2019-04-16,5.8000,5.8000,5.8000,5.8000,180
2019-04-17,5.8000,5.8000,5.8000,5.8000,21
2019-04-18,2.0000,2.0000,2.0000,2.0000,200
2019-04-23,6.0000,6.0000,3.0000,6.0000,2012
2019-04-24,6.0000,6.0000,2.0000,6.0000,600
2019-04-26,2.0000,4.0000,2.0000,2.0000,816
2019-05-02,2.0100,4.7500,2.0100,2.0100,222
2019-05-06,2.0100,2.0100,2.0100,2.0100,1
2019-05-07,2.2500,2.5000,2.2500,2.5000,389
2019-05-08,2.5000,2.5000,2.5000,2.5000,168
2019-05-09,4.9900,4.9900,4.9900,4.9900,100
2019-05-20,5.0000,5.0000,4.9900,4.9900,662
2019-05-21,4.9900,4.9900,4.9900,4.9900,54
2019-05-29,5.0000,5.0000,5.0000,5.0000,150
2019-05-30,4.9900,4.9900,4.9900,4.9900,100
