date,open,high,low,close,volume
2016-03-17,3.3300,3.4500,3.3300,3.4500,2034
2016-03-18,2.7500,3.1000,2.5300,2.8500,1158824
2016-03-21,2.9300,2.9700,2.8100,2.8500,169237
2016-03-22,2.8500,2.9600,2.8100,2.8300,106078
2016-03-23,2.9500,3.1500,2.8500,2.8700,115520
2016-03-24,2.8600,2.9360,2.6000,2.7100,95846
2016-03-28,2.8800,2.9290,2.6300,2.7500,111007
2016-03-29,2.8000,2.8200,2.6100,2.7500,23118
2016-03-30,2.9000,2.9600,2.8038,2.8500,297195
2016-03-31,2.9300,2.9500,2.8300,2.8600,412297
2016-04-01,2.9500,2.9600,2.8500,2.9200,29913
2016-04-04,2.9200,3.0400,2.8500,3.0200,73121
2016-04-05,3.0200,3.2500,3.0126,3.2400,108594
2016-04-06,3.2500,3.2800,3.1300,3.2600,83999
2016-04-07,3.2800,3.4000,3.2800,3.3700,140246
2016-04-08,3.3900,3.3900,3.0000,3.0300,97947
2016-04-11,3.1900,3.1900,2.8400,2.9700,49758
2016-04-12,3.0800,3.1400,2.8010,2.9700,98910
2016-04-13,3.1500,3.3200,3.0500,3.2900,97352
2016-04-14,3.3300,3.3300,3.2450,3.3300,45247
2016-04-15,3.3900,3.4000,3.3500,3.3700,64392
2016-04-18,3.3900,3.4000,3.2600,3.2700,63778
2016-04-19,3.3600,3.4000,3.3600,3.3900,28367
2016-04-20,3.2500,3.4000,3.2500,3.4000,27853
2016-04-21,3.4000,3.4200,3.3250,3.4100,43913
2016-04-22,3.6800,3.6800,3.3545,3.5000,69473
2016-04-25,3.4500,3.5000,3.4000,3.5000,44679
2016-04-26,3.3000,3.4500,3.1000,3.4500,53695
2016-04-27,3.3500,3.4650,3.3050,3.4000,34274
2016-04-28,3.3756,3.4500,3.1600,3.2794,49640
2016-04-29,3.2900,3.4500,3.2600,3.4400,25942
2016-05-02,3.4500,3.5000,3.3500,3.4100,42540
2016-05-03,3.4500,3.4500,3.1300,3.2400,43812
2016-05-04,3.2500,3.3902,3.1100,3.1400,63023
2016-05-05,3.1700,3.3300,3.0300,3.0900,75242
2016-05-06,3.1500,3.3400,3.0000,3.1900,99234
2016-05-09,3.4500,3.4500,3.0200,3.1500,46237
2016-05-10,3.2300,3.3000,3.0200,3.2200,133351
2016-05-11,3.4200,3.4300,3.0800,3.2000,180176
2016-05-12,3.4000,3.4000,3.0800,3.3000,80269
2016-05-13,3.3900,3.4000,3.0000,3.2500,172236
2016-05-16,3.2000,3.3700,3.0701,3.3600,37722
2016-05-17,3.3000,3.3300,3.0200,3.1200,142819
2016-05-18,3.1300,3.3300,3.0200,3.2800,186075
2016-05-19,3.1200,3.4400,3.1200,3.3900,96928
2016-05-20,3.3900,3.5000,3.3500,3.4200,187671
2016-05-23,3.3300,3.5000,3.3200,3.3200,176765
2016-05-24,3.3000,3.5000,3.3000,3.4300,51085
2016-05-25,3.5200,3.7500,3.4900,3.7000,211312
2016-05-26,3.6900,3.7500,3.6700,3.7500,83990
2016-05-27,3.8200,3.8200,3.7000,3.8100,62084
2016-05-31,3.8500,3.8500,3.7300,3.8200,45593
2016-06-01,3.7600,3.8800,3.7600,3.8800,38861
2016-06-02,3.8600,3.9600,3.8300,3.9600,30191
2016-06-03,3.8100,3.8600,3.8100,3.8400,32169
2016-06-06,3.8400,3.9000,3.8400,3.9000,56243
2016-06-07,3.8700,3.9000,3.7000,3.8000,461683
2016-06-08,3.7700,3.8800,3.7700,3.8800,16615
2016-06-09,4.0500,4.0500,3.8000,3.8400,28161
2016-06-10,3.9300,3.9300,3.7400,3.7900,41299
2016-06-13,3.7400,3.8600,3.7300,3.8400,201136
2016-06-14,3.7400,3.8600,3.7400,3.8600,93181
2016-06-15,3.8900,3.8900,3.8450,3.8700,109042
2016-06-16,3.8100,3.8800,3.8100,3.8800,115867
2016-06-17,3.8900,3.8900,3.6800,3.8200,615294
2016-06-20,3.8000,3.8800,3.7700,3.8800,65481
2016-06-21,3.8500,3.8800,3.8001,3.8600,86270
2016-06-22,3.8500,3.8650,3.8300,3.8600,124263
2016-06-23,3.8600,3.8800,3.8100,3.8600,182121
2016-06-24,3.6500,3.8600,3.6200,3.7800,2366531
2016-06-27,3.8000,3.8300,3.6200,3.8200,91189
2016-06-28,3.8200,3.9400,3.7300,3.9200,168625
2016-06-29,3.9000,3.9200,3.8750,3.9200,67668
2016-06-30,3.9200,3.9300,3.8600,3.9300,76504
2016-07-01,3.8700,3.9400,3.8400,3.9400,83082
2016-07-05,3.9800,3.9800,3.8700,3.9500,62060
2016-07-06,3.9500,3.9500,3.9100,3.9500,64833
2016-07-07,3.9500,3.9500,3.8600,3.8800,72772
2016-07-08,3.8800,3.9000,3.5000,3.6700,804661
2016-07-11,3.6700,3.9000,3.6700,3.7800,57132
2016-07-12,3.7800,3.8900,3.7800,3.8600,88739
2016-07-13,3.8900,3.8900,3.7500,3.8100,52931
2016-07-14,3.8500,3.8900,3.7600,3.8000,87272
2016-07-15,3.8000,3.8300,3.7500,3.7800,32707
2016-07-18,3.7600,3.7900,3.6200,3.6400,60906
2016-07-19,3.6000,3.7000,3.5100,3.6300,59558
2016-07-20,3.6200,3.6400,3.5950,3.6200,57814
2016-07-21,3.6200,3.6400,3.5500,3.5600,33238
2016-07-22,3.5997,3.6000,3.5100,3.5400,36416
2016-07-25,3.4700,3.6200,3.2900,3.3100,102238
2016-07-26,3.2900,3.3000,3.2000,3.2600,49261
2016-07-27,3.2200,3.3700,3.2200,3.3600,80636
2016-07-28,3.3100,3.4600,3.3100,3.4200,33816
2016-07-29,3.4000,3.4450,3.2700,3.3200,34590
2016-08-01,3.3200,3.3200,3.1000,3.1200,113851
2016-08-02,3.0700,3.1500,3.0000,3.0000,146520
2016-08-03,3.0000,3.1800,3.0000,3.1700,80018
2016-08-04,3.1800,3.2200,3.1500,3.1500,32000
2016-08-05,3.1800,3.3600,3.1500,3.1900,105725
2016-08-08,3.1700,3.2700,3.1000,3.1000,125518
2016-08-09,3.1500,3.2600,3.0000,3.0000,115486
2016-08-10,3.3000,4.2400,3.3000,4.0600,691782
2016-08-11,4.1200,4.1200,3.9627,4.0700,500707
2016-08-12,4.1000,4.1000,3.9800,4.0400,85968
2016-08-15,4.0800,4.0800,3.7900,4.0000,94341
2016-08-16,3.9500,4.0400,3.8591,3.9600,33826
2016-08-17,3.9900,4.0600,3.9000,4.0300,43508
2016-08-18,4.1000,4.1000,3.9940,4.0300,15510
2016-08-19,4.0200,4.0500,3.9200,3.9700,49274
2016-08-22,3.9900,4.0600,3.9900,4.0600,38825
2016-08-23,4.0600,4.0700,4.0200,4.0700,35427
2016-08-24,4.0300,4.0500,4.0000,4.0000,30395
2016-08-25,4.0200,4.0400,3.9300,3.9800,18281
2016-08-26,4.0300,4.0500,3.9500,3.9800,12883
2016-08-29,4.0200,4.0500,3.9600,4.0400,54421
2016-08-30,4.0000,4.0400,3.9200,4.0000,11191
2016-08-31,4.0000,4.0400,3.9300,4.0000,28805
2016-09-01,4.0300,4.0400,3.7900,3.9200,66021
2016-09-02,3.9600,3.9700,3.8600,3.9000,15125
2016-09-06,3.9500,4.0500,3.9400,4.0500,121996
2016-09-07,4.0400,4.0500,4.0165,4.0400,88898
2016-09-08,4.1000,4.1000,3.8900,3.9000,582213
2016-09-09,3.9200,3.9800,3.8600,3.8600,64076
2016-09-12,3.9900,4.0400,3.9000,4.0000,99502
2016-09-13,4.0100,4.0500,3.9500,3.9600,64417
2016-09-14,3.9600,3.9900,3.9400,3.9600,35647
2016-09-15,3.8400,4.0400,3.8400,4.0000,62792
2016-09-16,4.0100,4.0300,3.9200,3.9800,391223
2016-09-19,3.9700,4.0300,3.9000,4.0000,29606
2016-09-20,4.0000,4.0500,3.9200,3.9800,169837
2016-09-21,3.9600,4.0199,3.9200,3.9600,91180
2016-09-22,4.0000,4.0100,3.9600,3.9800,76060
2016-09-23,4.0000,4.0000,3.9600,3.9700,90591
2016-09-26,3.9200,4.0000,3.9200,3.9200,176731
2016-09-27,3.9600,4.0500,3.9300,3.9600,113207
2016-09-28,3.9800,3.9900,3.7600,3.7900,93597
2016-09-29,3.8000,3.9500,3.7500,3.8900,48691
2016-09-30,3.9100,3.9432,3.8000,3.9000,32199
2016-10-03,3.8800,3.9000,3.7701,3.8100,27297
2016-10-04,3.8000,3.8000,3.7000,3.7300,18796
2016-10-05,3.7525,3.8500,3.7300,3.7600,24719
2016-10-06,3.7200,3.7600,3.5300,3.5500,30418
2016-10-07,3.5000,3.5490,3.3700,3.3900,38989
2016-10-10,3.4300,3.4700,3.2600,3.3600,50085
2016-10-11,3.3200,3.3800,3.2600,3.2700,21704
2016-10-12,3.2600,3.3500,3.2100,3.2100,10321
2016-10-13,3.3000,3.4700,3.2100,3.3500,44205
2016-10-14,3.3900,3.6600,3.3600,3.3900,25179
2016-10-17,3.4300,3.4400,3.3500,3.3500,7605
2016-10-18,3.3983,3.4200,3.2000,3.2300,40913
2016-10-19,3.2500,3.3300,3.1300,3.1500,38750
2016-10-20,3.1920,3.2500,3.0500,3.0700,40240
2016-10-21,3.0500,3.2100,2.9900,3.0100,34357
2016-10-24,3.0400,3.1700,2.6900,2.7700,283235
2016-10-25,2.8400,2.8500,2.7000,2.7600,57210
2016-10-26,2.7600,2.8500,2.6000,2.6000,147151
2016-10-27,2.6200,2.6200,2.2250,2.3600,2905565
2016-10-28,2.4500,2.5200,2.3300,2.3800,191574
2016-10-31,2.4000,2.4554,2.2900,2.3400,121667
2016-11-01,2.3400,2.4499,2.3400,2.4100,215570
2016-11-02,2.4600,2.4800,2.3600,2.4200,122260
2016-11-03,2.4200,2.5200,2.4000,2.4900,94687
2016-11-04,2.4600,2.4800,2.4000,2.4000,92730
2016-11-07,2.5000,2.5100,2.4000,2.4200,162890
2016-11-08,2.4000,2.4100,2.3700,2.4000,112851
2016-11-09,2.3700,2.4700,2.3700,2.4700,101150
2016-11-10,2.4200,2.4600,2.3200,2.3300,129783
2016-11-11,2.3700,2.3700,2.1700,2.2200,503427
2016-11-14,2.3000,2.3000,2.1700,2.1900,154811
2016-11-15,2.1800,2.2500,2.1800,2.2300,68551
2016-11-16,2.2500,2.5000,2.2200,2.4400,117742
2016-11-17,2.4600,2.5492,2.4000,2.4400,82792
2016-11-18,2.4600,2.5300,2.4000,2.4500,103331
2016-11-21,2.4500,2.6500,2.4400,2.6500,130350
2016-11-22,2.6800,2.8400,2.6400,2.8200,164607
2016-11-23,2.8400,2.9400,2.7600,2.9000,131686
2016-11-25,2.9170,2.9200,2.8100,2.9100,66135
2016-11-28,2.9700,2.9700,2.8300,2.8600,58836
2016-11-29,2.9000,2.9200,2.8450,2.8600,63062
2016-11-30,2.8900,2.9100,2.8500,2.8600,85007
2016-12-01,2.8700,2.9100,2.8200,2.8200,37263
2016-12-02,2.9200,2.9400,2.8500,2.9300,54726
2016-12-05,2.9300,3.1400,2.9300,3.1400,92732
2016-12-06,3.2200,3.2700,3.1300,3.2000,154501
2016-12-07,3.2000,3.2600,3.1400,3.2100,86679
2016-12-08,3.2300,3.2300,3.1700,3.2100,109190
2016-12-09,3.2400,3.3290,3.1648,3.2700,110097
2016-12-12,3.2400,3.3341,3.0900,3.0900,110140
2016-12-13,3.0800,3.1500,2.9400,2.9600,84923
2016-12-14,2.9300,2.9800,2.8700,2.9100,96692
2016-12-15,2.9200,2.9400,2.7700,2.8000,90623
2016-12-16,2.8200,2.8400,2.6400,2.7100,248674
2016-12-19,2.7500,2.8500,2.7000,2.7500,39076
2016-12-20,2.7600,2.8500,2.7500,2.8500,62115
2016-12-21,2.7500,2.8800,2.7500,2.8700,81598
2016-12-22,2.9500,2.9500,2.8100,2.8300,60799
2016-12-23,2.8100,2.8490,2.7800,2.8300,54170
2016-12-27,2.8200,2.8301,2.7100,2.7200,48776
2016-12-28,2.7200,2.7200,2.6400,2.6400,30799
2016-12-29,2.6500,2.6900,2.6300,2.6500,21952
2016-12-30,2.6600,2.6700,2.6000,2.6700,50484
2017-01-03,2.7000,2.9000,2.6600,2.7300,437392
2017-01-04,2.7600,2.7800,2.7000,2.7100,72679
2017-01-05,2.7200,2.7300,2.6100,2.6800,257933
2017-01-06,2.8300,2.9200,2.7400,2.8400,159651
2017-01-09,2.8200,2.8350,2.6800,2.7000,206736
2017-01-10,2.7400,2.7700,2.6000,2.6200,128138
2017-01-11,2.6000,2.6500,2.5100,2.5700,129220
2017-01-12,2.5600,2.5815,2.4600,2.5200,116684
2017-01-13,2.5500,2.7800,2.5300,2.7300,179225
2017-01-17,2.7000,2.7800,2.6800,2.7400,91708
2017-01-18,2.7500,2.7500,2.7100,2.7500,30988
2017-01-19,2.7300,2.7900,2.7200,2.7600,30193
2017-01-20,2.7100,2.7600,2.7100,2.7300,44075
2017-01-23,2.7200,2.7700,2.6500,2.6500,23454
2017-01-24,2.6700,2.7700,2.6300,2.7100,44673
2017-01-25,2.7300,2.7500,2.6900,2.7000,34584
2017-01-26,2.7500,2.7500,2.6600,2.6800,27099
2017-01-27,2.7000,2.7100,2.6700,2.6700,25284
2017-01-30,2.7000,2.7100,2.6600,2.7000,44715
2017-01-31,2.6900,2.8000,2.6800,2.7800,73873
2017-02-01,2.8100,2.8100,2.7900,2.7900,49728
2017-02-02,2.8100,2.8500,2.7900,2.8100,73441
2017-02-03,2.8400,2.8800,2.7600,2.7700,43415
2017-02-06,2.7500,2.8100,2.7500,2.7700,43794
2017-02-07,2.8000,2.8400,2.7800,2.7900,34654
2017-02-08,2.7700,2.8000,2.7500,2.7600,35656
2017-02-09,2.7600,2.8400,2.7500,2.8100,30642
2017-02-10,2.7800,2.8200,2.7600,2.7900,32945
2017-02-13,2.8100,2.8200,2.7800,2.8000,36359
2017-02-14,2.8000,2.8400,2.7900,2.8000,47126
2017-02-15,2.7800,2.8200,2.7500,2.7700,29482
2017-02-16,2.7600,2.7800,2.5500,2.6500,84316
2017-02-17,2.7000,2.7000,2.3200,2.5100,236542
2017-02-21,2.6000,2.6000,2.3000,2.4100,110420
2017-02-22,2.4400,2.4400,2.2800,2.3200,121088
2017-02-23,2.2800,2.3500,2.2000,2.3200,357994
2017-02-24,2.3000,2.5500,2.3000,2.3200,154443
2017-02-27,2.2600,2.4500,2.2500,2.4500,226569
2017-02-28,2.4300,2.4800,2.3300,2.3500,135349
