date,open,high,low,close,volume
1999-11-01,10.6300,10.6300,10.6300,10.6300,100
1999-11-02,10.7500,10.7500,10.7500,10.7500,300
1999-11-03,10.7500,10.7500,10.5600,10.6300,1300
1999-11-04,10.6300,10.6300,10.6300,10.6300,100
1999-11-05,10.6300,10.7500,10.6300,10.7500,2700
1999-11-08,10.7500,10.7500,10.7500,10.7500,1100
1999-11-09,10.7500,10.7500,10.7500,10.7500,100
1999-11-10,10.6300,10.6300,10.5600,10.5600,600
1999-11-11,10.5000,10.5000,10.5000,10.5000,2000
1999-11-12,10.5000,10.5000,10.3800,10.5000,3800
1999-11-15,10.5000,10.5000,10.3800,10.5000,900
1999-11-16,10.5000,10.5000,10.2500,10.2500,6400
1999-11-17,10.0000,10.2500,9.7500,10.2500,4500
1999-11-18,10.5000,10.6300,10.5000,10.6300,700
1999-11-19,10.6300,10.7500,10.0000,10.0000,2600
1999-11-22,10.0000,10.0000,9.7500,9.7500,900
1999-11-23,10.0000,10.0000,9.7500,9.7500,1200
1999-11-24,9.7500,9.8130,9.7500,9.8130,200
1999-11-26,9.8130,9.8130,9.7500,9.7500,1200
1999-11-29,9.5000,9.6250,9.5000,9.6250,4900
1999-11-30,9.7500,9.7500,9.7500,9.7500,300
1999-12-01,9.7500,9.7500,9.6250,9.6250,200
1999-12-02,9.6250,9.6250,9.5000,9.5000,7600
1999-12-03,9.5000,9.5000,9.5000,9.5000,2000
1999-12-06,9.5630,9.7500,9.5000,9.7500,2400
1999-12-07,9.6250,9.6250,9.6250,9.6250,400
1999-12-08,9.6250,9.6250,9.2500,9.3750,1400
1999-12-09,9.5000,9.5000,9.3750,9.5000,400
1999-12-10,9.5000,9.5000,9.2500,9.2500,1400
1999-12-13,9.2500,9.2500,9.2500,9.2500,100
1999-12-14,9.2500,9.2500,9.2500,9.2500,100
1999-12-15,9.1250,9.1250,9.0000,9.0000,800
1999-12-16,9.0000,9.1250,8.8750,8.8750,8400
1999-12-17,8.8100,8.8100,8.4400,8.5600,11500
1999-12-20,8.5630,8.5630,8.1250,8.2500,15300
1999-12-21,8.2500,8.2500,8.0630,8.0630,28100
1999-12-22,8.0630,9.0000,8.0000,9.0000,412300
1999-12-23,9.0000,9.0000,8.8750,8.8750,54300
1999-12-27,9.0000,9.2500,9.0000,9.2500,3400
1999-12-28,9.2500,9.2500,9.0000,9.2500,5500
1999-12-29,9.2500,9.2500,9.2500,9.2500,100
1999-12-30,9.0000,9.2500,9.0000,9.0000,5600
1999-12-31,9.0000,9.0000,9.0000,9.0000,100
2000-01-03,9.0000,9.3750,9.0000,9.3750,1500
2000-01-04,9.3750,9.3750,9.2500,9.2500,600
2000-01-05,9.2500,9.2500,9.0000,9.0000,700
2000-01-06,8.8750,9.1250,8.8750,9.1250,6300
2000-01-07,9.0000,9.0000,9.0000,9.0000,200
2000-01-10,9.0000,9.0000,8.6250,8.8750,3700
2000-01-11,8.7500,8.7500,8.7500,8.7500,500
2000-01-12,8.8130,8.8750,8.7500,8.7500,6000
2000-01-13,8.6250,8.7500,8.3750,8.6250,7200
2000-01-14,8.7500,8.7500,8.6250,8.6250,800
2000-01-18,8.7500,8.8750,8.7500,8.7500,1000
2000-01-19,8.2500,8.3750,8.2500,8.3130,4100
2000-01-20,8.3130,8.4380,8.3130,8.4380,700
2000-01-21,8.4380,8.4380,8.3130,8.3130,900
2000-01-24,8.3750,8.5000,8.3750,8.3750,1500
2000-01-25,8.5000,8.5000,8.5000,8.5000,1500
2000-01-26,8.6250,8.6250,8.6250,8.6250,500
2000-01-27,8.6250,8.6250,8.6250,8.6250,100
2000-01-28,8.6250,8.8750,8.6250,8.8750,1400
2000-01-31,8.8750,8.8750,8.5630,8.6250,6800
2000-02-01,8.5630,8.5630,8.5000,8.5000,5800
2000-02-02,8.5000,8.5000,8.3750,8.3750,4900
2000-02-03,8.5000,8.5000,8.5000,8.5000,7400
2000-02-04,8.5000,8.5000,8.3750,8.3750,2100
2000-02-07,8.5000,8.5000,8.5000,8.5000,14200
2000-02-08,8.5000,8.8750,8.5000,8.6250,3600
2000-02-09,8.6250,8.8750,8.6250,8.7500,16100
2000-02-10,8.8750,8.8750,8.8750,8.8750,1000
2000-02-11,9.1250,9.1250,9.0000,9.0000,15100
2000-02-14,9.0000,9.1250,9.0000,9.1250,2400
2000-02-15,9.1250,9.2500,9.0000,9.1250,28300
2000-02-16,9.0000,9.1250,9.0000,9.1250,20900
2000-02-17,9.1250,9.1250,9.0000,9.0000,2000
2000-02-18,9.0000,9.0000,9.0000,9.0000,600
2000-02-22,9.0000,9.5000,8.8750,9.3750,43800
2000-02-23,9.4380,9.4380,9.1250,9.3750,5500
2000-02-24,9.3750,9.3750,8.8750,9.1250,5200
2000-02-25,9.0000,9.2500,9.0000,9.1250,27700
2000-02-28,9.1250,9.5000,9.1250,9.5000,49400
2000-02-29,9.5000,10.0000,9.5000,9.7500,101300
2000-03-01,9.7500,10.2500,9.6880,10.2500,13400
2000-03-02,10.1300,10.1300,10.0000,10.0000,800
2000-03-03,10.0000,10.7500,9.7500,10.5000,9400
2000-03-06,10.7500,10.7500,10.5000,10.5000,95700
2000-03-07,10.7500,10.7500,10.2500,10.5000,6400
2000-03-08,10.3800,10.3800,10.1300,10.1300,7700
2000-03-09,10.1300,10.1300,10.0000,10.0000,2200
2000-03-10,9.8750,10.0000,9.8750,9.9380,27800
2000-03-13,9.9380,9.9380,9.9380,9.9380,100
2000-03-14,9.8130,9.8130,9.7500,9.7500,44100
2000-03-15,9.7500,10.0000,9.7500,10.0000,26200
2000-03-16,10.0000,10.0000,9.7500,9.7500,1100
2000-03-17,9.6250,9.6250,9.6250,9.6250,600
2000-03-20,9.6250,9.6250,9.1250,9.2500,3200
2000-03-21,9.2500,9.8750,9.2500,9.8750,52700
2000-03-22,9.7500,9.7500,9.7500,9.7500,300
2000-03-23,9.7500,9.7500,9.7500,9.7500,100
2000-03-24,9.7500,9.7500,9.7500,9.7500,500
2000-03-27,10.0000,10.0000,10.0000,10.0000,25100
2000-03-28,10.1300,10.1300,10.0000,10.0000,50200
2000-03-29,9.7500,9.8750,9.6250,9.8750,1900
2000-03-30,9.8750,9.8750,9.8750,9.8750,100
2000-03-31,9.8750,9.8750,9.8130,9.8130,500
2000-04-03,9.8750,10.0000,9.7500,9.7500,2300
2000-04-04,9.8750,9.8750,9.6250,9.7500,3300
2000-04-05,9.7500,9.7500,9.0000,9.0000,5600
2000-04-06,9.0000,9.1250,8.8750,9.1250,6600
2000-04-07,9.2500,9.3750,8.9380,9.1250,6700
2000-04-10,9.2500,9.4380,9.2500,9.3750,8800
2000-04-11,9.3750,9.5000,9.2500,9.2500,6400
2000-04-12,9.2500,9.3750,8.8750,8.9380,5200
2000-04-13,9.0000,9.1250,8.7500,9.0630,4400
2000-04-14,9.0000,9.2500,9.0000,9.2500,4100
2000-04-17,9.1250,9.2500,9.1250,9.1250,6000
2000-04-18,9.1880,9.3750,9.1880,9.3750,2200
2000-04-19,9.2500,9.5000,9.2500,9.5000,2300
2000-04-20,9.5000,9.7500,9.3750,9.7500,2700
2000-04-24,9.7500,9.8750,9.7500,9.7500,1100
2000-04-25,9.8750,9.8750,9.7500,9.7500,900
2000-04-26,9.7500,9.7500,9.7500,9.7500,100
2000-04-27,9.7500,9.7500,9.7500,9.7500,100
2000-04-28,9.8750,9.8750,9.0000,9.2500,9300
2000-05-01,9.2500,9.3750,9.2500,9.3750,1200
2000-05-02,9.3750,9.3750,9.3750,9.3750,100
2000-05-03,9.2500,9.2500,8.6250,8.6250,13300
2000-05-04,8.7500,9.0000,8.7500,9.0000,4700
2000-05-05,9.1250,9.1250,9.0000,9.0000,6800
2000-05-08,9.0000,9.0000,9.0000,9.0000,400
2000-05-09,9.0000,9.1250,8.8750,8.8750,5700
2000-05-10,8.8750,8.8750,8.7500,8.7500,2500
2000-05-11,8.5630,8.6880,8.5630,8.6880,700
2000-05-12,8.6250,9.0000,8.5630,8.5630,8100
2000-05-15,8.6250,8.6250,8.6250,8.6250,1000
2000-05-16,8.6250,8.7500,8.6250,8.7500,3100
2000-05-17,8.7500,8.7500,8.7500,8.7500,3800
2000-05-18,8.7500,8.7500,8.7500,8.7500,200
2000-05-19,8.7500,8.7500,8.6250,8.6250,3500
2000-05-22,8.6250,8.6250,8.3750,8.3750,12800
2000-05-23,8.4380,8.4380,8.4380,8.4380,600
2000-05-24,8.5000,8.6250,8.3750,8.5000,2500
2000-05-25,8.5000,8.5000,8.5000,8.5000,1200
2000-05-26,8.5000,8.5000,8.5000,8.5000,1000
2000-05-30,8.6250,8.6250,8.6250,8.6250,1100
