date,open,high,low,close,volume
2006-04-28,129.0000,140.0000,128.6400,138.1200,2343000
2006-05-01,141.0000,141.7900,137.5000,138.7000,1478600
2006-05-02,142.4500,144.0000,141.0000,143.6500,1251100
2006-05-03,144.5000,144.6400,134.1300,139.2500,1514100
2006-05-04,139.5000,142.8700,136.8000,140.0000,1107500
2006-05-05,140.0000,140.3000,137.5000,139.9500,658600
2006-05-08,135.9000,140.0000,135.0600,140.0000,945300
2006-05-09,140.9800,146.2500,140.6000,145.0000,1105400
2006-05-10,142.9000,145.7500,142.5000,145.2600,1391100
2006-05-11,150.0000,152.5000,148.0000,148.6000,1053200
2006-05-12,148.9000,149.0000,142.1700,144.6400,1006700
2006-05-15,133.6000,137.8000,132.0400,132.7000,1258100
2006-05-16,135.1000,136.7500,132.7500,135.8000,720000
2006-05-17,135.5500,137.4800,129.2100,130.9000,782100
2006-05-18,132.2000,133.6500,126.0200,126.0200,802000
2006-05-19,123.0000,126.8300,121.6800,126.0000,846000
2006-05-22,123.9800,126.0000,122.5400,125.1500,594900
2006-05-23,129.8500,132.5200,128.9000,130.4500,818800
2006-05-24,126.9800,128.9500,124.2270,125.4500,534900
2006-05-25,125.5500,127.9000,124.3900,126.8500,499800
2006-05-26,127.6900,127.7700,124.9000,126.7000,347700
2006-05-30,132.3600,133.6000,130.2800,130.9700,620400
2006-05-31,131.1000,131.3000,123.6600,126.2800,634200
2006-06-01,118.5000,122.5600,118.1000,120.4000,800700
2006-06-02,121.6900,123.1100,120.0300,121.7500,380700
2006-06-05,122.0000,123.8000,120.7600,120.9200,431700
2006-06-06,118.7900,119.4800,116.8000,118.3500,676400
2006-06-07,115.9800,120.4300,115.3000,118.7000,343900
2006-06-08,116.7000,117.0000,111.3400,112.3500,675400
2006-06-09,113.8000,115.5000,111.0300,111.1500,333500
2006-06-12,111.9850,113.2300,109.1600,109.3000,538000
2006-06-13,102.8500,104.5000,95.6300,96.2500,2072900
2006-06-14,98.8000,99.8700,95.4900,96.7000,962000
2006-06-15,102.0000,103.5100,100.2500,102.6400,879600
2006-06-16,101.0300,103.3700,98.5900,102.9000,410300
2006-06-19,99.8200,100.9200,99.1500,99.4700,369600
2006-06-20,100.3400,103.5000,99.6900,102.8600,297800
2006-06-21,102.6400,106.2600,102.4600,105.0000,390800
2006-06-22,104.0000,104.8900,102.4500,102.5700,243400
2006-06-23,102.0500,104.7500,101.8700,103.5300,533200
2006-06-26,104.2000,104.4500,101.3200,103.1700,201000
2006-06-27,103.8000,106.8800,102.1400,102.1400,521700
2006-06-28,103.8500,103.8700,101.8500,102.4500,281600
2006-06-29,104.3800,108.7500,104.0900,107.8200,641100
2006-06-30,110.0700,111.5500,109.3400,111.3900,753600
2006-07-03,113.1900,114.6800,112.7000,113.8000,210300
2006-07-05,114.9800,115.2500,112.4900,114.7000,361900
2006-07-06,114.2000,116.7500,113.2500,115.9900,391900
2006-07-07,115.0000,115.1000,113.0000,113.2500,343600
2006-07-10,110.6100,112.5800,110.5100,110.8400,274900
2006-07-11,113.6900,116.2000,112.8900,115.7000,290900
2006-07-12,116.9000,118.3000,113.7500,115.9200,569500
2006-07-13,116.5900,116.6000,113.6100,116.5000,451500
2006-07-14,117.0000,126.3000,114.7400,114.9900,384400
2006-07-17,112.5800,113.0000,108.5600,108.9700,646100
2006-07-18,110.5864,110.7800,104.7000,105.9500,471900
2006-07-19,106.9300,111.7100,106.5800,111.3900,236800
2006-07-20,110.0100,112.9000,108.9100,109.0000,242900
2006-07-21,112.4400,112.4400,107.1700,108.3800,263300
2006-07-24,108.0300,109.2000,106.3000,109.1800,319500
2006-07-25,109.7200,110.0000,107.8000,109.9300,273300
2006-07-26,109.4400,111.7800,108.6500,111.0700,206000
2006-07-27,114.5600,114.8900,112.6900,113.7500,294300
2006-07-28,113.5000,114.2500,113.0100,114.0000,182600
2006-07-31,114.1500,114.5600,112.4300,114.1500,253700
2006-08-01,114.1400,117.6600,114.0000,117.6000,275100
2006-08-02,119.7500,122.5300,118.9900,121.7000,457500
2006-08-03,121.1500,122.2500,119.9500,120.8000,245600
2006-08-04,124.8200,125.8000,122.9100,123.8300,371600
2006-08-07,124.7500,124.7500,121.6401,123.1000,307000
2006-08-08,122.2700,123.5900,122.0000,122.6000,165500
2006-08-09,124.3000,126.5000,124.3000,125.1800,368600
2006-08-10,123.2700,123.9700,120.6000,121.2100,390900
2006-08-11,123.2700,123.7200,117.7600,119.1900,408600
2006-08-14,119.1100,122.2500,118.3900,120.4800,347200
2006-08-15,120.1500,121.2700,119.5000,121.0500,155700
2006-08-16,123.2900,124.3000,122.5000,123.2399,233400
2006-08-17,122.0500,122.0500,119.0500,119.6700,298400
2006-08-18,120.8500,121.2100,118.5000,120.6000,229300
2006-08-21,123.7100,124.4200,123.2100,124.1200,241500
2006-08-22,121.7600,123.2000,121.0100,122.7300,216500
2006-08-23,126.0000,126.3500,124.1200,125.0000,362800
2006-08-24,125.6800,125.9900,122.8901,123.6000,288700
2006-08-25,123.4600,124.3500,122.9200,124.2000,173300
2006-08-28,124.1400,124.1400,119.8000,120.3200,420500
2006-08-29,120.5900,122.9000,118.5300,122.7500,321400
2006-08-30,124.4000,125.2500,123.3600,125.1100,298200
2006-08-31,126.5600,129.1700,126.2000,129.0800,431000
2006-09-01,128.2500,129.7800,126.7500,129.6000,429600
2006-09-05,131.7700,132.2000,129.3600,129.7500,645600
2006-09-06,130.6600,132.2499,129.7000,129.8800,350100
2006-09-07,128.0000,128.3800,123.8982,125.7000,573700
2006-09-08,121.1800,122.4000,120.0100,121.3000,738600
2006-09-11,116.5400,117.0000,110.5500,110.7500,1205100
2006-09-12,111.2300,112.7600,109.5900,110.1900,585200
2006-09-13,111.9000,112.8000,110.0000,111.8500,369300
2006-09-14,112.2000,112.5000,106.5600,107.0000,708600
2006-09-15,107.0000,109.4300,104.6138,107.9900,635700
2006-09-18,108.0100,112.1000,108.0100,111.7000,609300
2006-09-19,111.1300,111.8800,107.3100,107.8800,577900
2006-09-20,110.0200,111.4500,108.5400,108.8600,493900
2006-09-21,108.8700,112.0000,108.4401,111.8500,354200
2006-09-22,113.5800,113.6800,110.6401,111.5100,270800
2006-09-25,110.8000,112.7500,110.3000,111.8800,277500
2006-09-26,112.7500,114.6500,111.9500,113.8900,255000
2006-09-27,115.8400,116.5000,114.5000,116.2200,267600
2006-09-28,116.5700,116.8000,115.0000,115.4100,247900
2006-09-29,114.3000,114.9400,112.0000,114.5100,278600
2006-10-02,116.3000,116.7400,114.1400,114.3500,215800
2006-10-03,111.4300,111.4300,107.9200,108.1000,642500
2006-10-04,109.2500,109.2800,105.4100,108.0000,628700
2006-10-05,110.9000,111.0000,109.0300,110.7800,401000
2006-10-06,109.6000,111.3700,107.7700,110.9500,211200
2006-10-09,114.0000,114.1199,112.1000,112.7800,182100
2006-10-10,111.4000,112.7000,110.6000,111.1800,164400
2006-10-11,112.7500,114.2000,111.5500,111.7300,270100
2006-10-12,111.1000,113.5000,111.1000,112.9100,127300
2006-10-13,115.1000,116.4000,114.5300,116.4000,260000
2006-10-16,117.8300,118.5000,117.3500,118.4500,536500
2006-10-17,118.9800,118.9800,115.6264,116.8800,461700
2006-10-18,118.0800,118.7500,116.7400,117.2200,293200
2006-10-19,119.1100,120.7300,119.0100,120.7000,295900
2006-10-20,119.8300,120.5500,118.0100,118.7700,194900
2006-10-23,116.3000,117.3200,115.6300,116.3900,278900
2006-10-24,113.9400,118.2200,112.2500,117.8900,377900
2006-10-25,117.4800,119.2400,116.7100,118.9500,455300
2006-10-26,120.6300,121.9800,120.4224,121.0600,583400
2006-10-27,121.1600,121.3400,119.4100,120.1100,194300
2006-10-30,121.2000,122.3000,120.7300,121.0600,346600
2006-10-31,120.2400,122.7000,119.9600,122.6800,437300
2006-11-01,124.8300,125.1348,122.8900,124.4400,403500
2006-11-02,124.9900,126.0000,124.9000,125.1500,349400
2006-11-03,124.8000,126.0800,124.1400,125.5200,344700
2006-11-06,125.1800,127.3500,125.0200,126.1000,410100
2006-11-07,126.2500,127.1500,125.6100,125.9500,453600
2006-11-08,126.0400,126.9200,123.8500,124.1700,349400
2006-11-09,127.5400,130.3500,127.1100,130.2800,629000
2006-11-10,130.0300,130.7400,128.3300,129.6700,393500
2006-11-13,127.2100,129.0000,126.9000,128.6000,332100
2006-11-14,129.5700,129.6800,127.0100,127.7600,501200
2006-11-15,125.9000,129.1800,125.7100,128.6300,629500
2006-11-16,130.8800,131.2500,127.3500,127.5500,542000
2006-11-17,127.1900,128.3600,126.7100,127.6400,323900
2006-11-20,129.0600,129.6400,127.0000,127.0500,330900
2006-11-21,130.0200,130.7399,129.2500,130.3000,408500
2006-11-22,130.9000,132.1100,129.5500,130.3300,312600
2006-11-24,134.8000,134.9500,133.8500,134.1100,242200
2006-11-27,135.0000,135.4400,134.3200,134.9500,292100
2006-11-28,135.2500,137.3600,133.9600,137.3400,595400
2006-11-29,136.3300,137.0500,135.0700,135.6800,592200
2006-11-30,138.2500,139.6800,137.9000,139.6800,659600
2006-12-01,139.3500,140.4700,139.0000,139.5800,543500
