date,open,high,low,close,volume
2000-06-05,97.5000,100.5000,96.3100,98.6900,148400
2000-06-06,98.5000,100.3000,94.6300,94.6300,222800
2000-06-07,95.7500,97.0000,93.1900,96.1900,215500
2000-06-08,98.8100,98.8800,95.8100,96.6300,195200
2000-06-09,98.2500,99.0000,97.0600,98.6300,97500
2000-06-12,99.2500,99.2500,94.6300,94.8100,56200
2000-06-13,95.0000,98.8100,93.3100,98.8100,194500
2000-06-14,98.8100,98.8800,94.5600,94.5600,97500
2000-06-15,94.7500,96.6900,93.2500,95.3800,108900
2000-06-16,95.5000,96.9400,94.5600,96.0000,86900
2000-06-19,96.3800,102.5000,95.6300,102.5000,218200
2000-06-20,103.5000,105.8000,103.0000,104.0000,248500
2000-06-21,102.6000,105.2000,102.5000,104.4000,185800
2000-06-22,103.5000,103.5000,99.0000,99.2500,391400
2000-06-23,99.3800,100.2000,97.2500,97.5000,342900
2000-06-26,98.3800,99.3800,96.3800,97.5000,154000
2000-06-27,98.2500,98.4400,94.3800,94.3800,236100
2000-06-28,94.6300,97.1300,94.6300,94.8800,228500
2000-06-29,93.7500,94.3800,91.2500,92.6900,281800
2000-06-30,93.0000,94.8100,92.3100,94.0000,458000
2000-07-03,93.8800,96.2500,93.7500,96.1300,52600
2000-07-05,90.5000,91.5600,88.1300,88.6300,1362200
2000-07-06,89.9400,92.7500,88.1300,92.2500,1393400
2000-07-07,94.2500,96.7500,93.8100,95.2500,179900
2000-07-10,95.5000,96.6900,94.5000,95.1300,93600
2000-07-11,95.0000,97.1300,92.5600,93.6300,223200
2000-07-12,95.8800,97.1900,94.4400,95.9400,114600
2000-07-13,98.0000,99.9400,97.4400,98.3800,144100
2000-07-14,100.3000,101.4000,98.7500,101.4000,136400
2000-07-17,101.4000,103.1000,100.0000,102.9000,165500
2000-07-18,101.0000,101.3000,98.0000,98.4400,217400
2000-07-19,98.3100,98.3100,93.7500,94.9400,372500
2000-07-20,95.4400,97.3100,92.6900,93.4400,272200
2000-07-21,92.0600,92.5000,88.7500,89.6300,625700
2000-07-24,89.0000,92.7500,88.5000,89.2500,1236400
2000-07-25,92.6300,92.9400,90.3100,92.8100,274300
2000-07-26,89.2500,90.1300,86.5600,88.7500,500800
2000-07-27,85.3800,85.3800,82.0000,82.6900,526400
2000-07-28,83.8800,85.0000,80.2500,81.9400,1352400
2000-07-31,82.8100,85.3800,80.9400,84.6300,214800
