date,open,high,low,close,volume
2019-08-01,13.0100,13.2199,7.6600,8.4800,9314399
2019-08-02,8.4200,10.4800,8.4200,10.4500,2693863
2019-08-05,10.6900,11.8200,10.4700,11.7000,2206717
2019-08-06,12.0000,13.2100,11.9900,13.0000,2180774
2019-08-07,13.0500,13.2200,12.2000,12.8500,1611203
2019-08-08,12.9900,13.0500,12.2500,12.3000,762659
2019-08-09,12.2400,12.5200,11.3600,11.5000,615347
2019-08-12,11.4700,11.4700,9.5600,10.4400,995713
2019-08-13,10.2400,10.8800,10.0000,10.3900,789409
2019-08-14,10.2100,11.3300,9.7000,11.0800,961188
2019-08-15,10.9500,11.1200,9.7100,11.0800,1100346
2019-08-16,11.0600,11.4900,10.4200,10.5400,2520626
2019-08-19,10.4100,10.8900,10.1200,10.4500,1362883
2019-08-20,10.3700,10.3900,9.7100,10.0000,546908
2019-08-21,9.9800,10.2781,9.4450,10.0100,467873
2019-08-22,9.9500,9.9500,9.2600,9.6200,374330
2019-08-23,9.5800,10.0000,9.5000,9.6400,333498
2019-08-26,9.5400,9.8500,9.3750,9.5300,838874
2019-08-27,9.5300,9.7000,8.9500,8.9500,713139
2019-08-28,8.9100,8.9600,8.4101,8.7500,523931
2019-08-29,8.7500,8.9800,7.7500,7.8600,600509
2019-08-30,8.0100,8.1300,7.8000,7.9600,256993
2019-09-03,7.9400,8.3000,6.8900,8.2100,652520
2019-09-04,8.2200,8.2300,7.7200,7.8500,342017
2019-09-05,7.8400,8.3300,7.7600,8.0300,267123
2019-09-06,8.0100,8.2100,7.6700,7.7000,272780
2019-09-09,7.7500,7.9050,7.2600,7.7100,502436
2019-09-10,8.0500,8.1300,7.6100,8.0200,1026971
2019-09-11,8.0300,9.0000,8.0300,8.6700,806207
2019-09-12,8.6400,8.9400,8.5900,8.6500,531260
2019-09-13,8.6300,8.9800,8.3000,8.7500,457016
2019-09-16,8.7500,9.0600,8.6600,8.7900,211242
2019-09-17,8.8000,8.9500,8.4731,8.7700,524573
2019-09-18,8.7500,8.8000,8.4500,8.5200,452623
2019-09-19,8.4000,8.4002,7.5000,7.5000,362229
2019-09-20,7.6200,7.9600,7.0700,7.0700,602193
2019-09-23,7.1500,7.5700,6.5000,6.7000,1155533
2019-09-24,6.7000,6.7250,5.8200,6.1900,1271952
2019-09-25,6.2400,6.2400,5.6000,5.6100,1750816
2019-09-26,5.7600,5.7600,4.4400,4.4500,2076818
2019-09-27,4.6000,4.8000,4.0850,4.1100,898235
2019-09-30,4.1600,4.9000,4.0100,4.7950,739755
2019-10-01,4.8000,5.0000,4.7200,4.8800,367240
2019-10-02,4.8500,4.8500,4.5500,4.6600,337699
2019-10-03,4.6500,5.2100,4.6500,4.9700,2602303
2019-10-04,5.1000,5.1000,4.5600,4.6700,874787
2019-10-07,4.6500,4.9200,4.2800,4.5200,881241
2019-10-08,4.4900,4.5400,4.1500,4.4000,422010
2019-10-09,4.5700,5.2500,4.4666,5.2200,2117257
2019-10-10,5.1300,5.2200,4.3200,4.5400,932467
2019-10-11,4.4800,4.7500,4.4400,4.4600,563001
2019-10-14,4.4300,4.5000,4.2736,4.4100,227321
2019-10-15,4.4900,4.8500,4.3100,4.4800,620929
2019-10-16,4.4700,4.5100,4.0801,4.1000,399057
2019-10-17,4.0500,4.2500,4.0400,4.2000,616126
2019-10-18,4.1700,4.3500,3.9100,4.1000,248875
2019-10-21,4.0000,4.0200,3.7000,3.9100,595022
2019-10-22,3.9000,4.0000,3.6500,3.8200,408635
2019-10-23,3.8000,4.1200,3.6000,4.0800,396585
2019-10-24,4.0500,4.1215,3.8500,3.9000,258476
2019-10-25,3.8700,3.9700,3.7700,3.9400,230612
2019-10-28,3.9300,3.9595,3.6800,3.8000,272943
2019-10-29,3.7600,3.7600,3.4800,3.5300,583255
2019-10-30,3.3700,3.5428,3.3500,3.3700,387033
2019-10-31,3.2000,3.3000,3.0500,3.2500,570718
2019-11-01,3.2600,3.4000,3.0000,3.1900,429323
2019-11-04,3.2500,3.2500,2.8700,2.9700,630307
