date,open,high,low,close,volume
2008-01-29,13.0800,13.7300,12.4000,12.9900,6580600
2008-01-30,13.2300,13.2500,12.2600,13.0400,1608600
2008-01-31,12.7400,12.7500,12.3000,12.5100,298100
2008-02-01,12.2200,13.3000,12.1200,12.9000,584600
2008-02-04,13.0100,14.1900,12.8000,13.6500,1534300
2008-02-05,13.3400,13.7000,13.0000,13.4600,540600
2008-02-06,12.9900,13.4500,12.5000,12.6300,925400
2008-02-07,12.1500,12.3500,11.3300,11.6500,1283300
2008-02-08,11.5900,11.7000,11.0000,11.1000,580900
2008-02-11,10.9200,11.7000,10.5500,11.3500,727800
2008-02-12,11.4000,11.8500,10.8900,11.1200,630600
2008-02-13,11.9800,13.2500,11.5100,12.9500,1607000
2008-02-14,13.3400,13.6800,12.6100,12.8500,1521000
2008-02-15,12.2900,13.1400,11.9000,12.0300,779300
2008-02-19,12.6300,12.6300,11.5500,11.8000,670200
2008-02-20,11.3100,11.5000,10.5500,10.9500,1086100
2008-02-21,11.0500,11.2000,10.0000,10.0100,852200
2008-02-22,11.2300,11.8000,10.5000,11.3000,1219700
2008-02-25,11.6100,11.8000,11.0200,11.5900,327100
2008-02-26,11.3600,11.6000,11.0900,11.2200,222000
2008-02-27,11.1900,11.2000,10.7500,10.9100,233800
2008-02-28,10.8100,10.9400,10.4800,10.6500,118300
2008-02-29,10.4000,11.2800,10.4000,10.6300,123500
2008-03-03,10.2000,10.3200,9.7500,9.8400,614300
2008-03-04,10.0600,10.2000,9.7600,9.9200,234800
2008-03-05,10.1400,10.4600,10.0000,10.1100,199200
2008-03-06,10.4600,10.4600,9.9100,9.9100,155900
2008-03-07,9.9000,10.2000,9.0200,9.1500,269900
2008-03-10,9.5400,9.5400,7.8500,7.9800,564200
2008-03-11,9.2800,9.4000,8.1600,8.6800,485300
2008-03-12,9.1500,9.3000,8.5700,9.2800,543200
2008-03-13,8.9100,9.6000,8.5500,9.4100,425400
2008-03-14,9.9300,9.9300,8.7500,9.4800,546900
2008-03-17,8.8800,9.4400,8.2000,8.2000,407800
2008-03-18,8.6000,10.8500,8.6000,10.5600,577200
2008-03-19,9.7800,10.3000,8.2600,8.3500,978700
2008-03-20,8.4000,8.9500,7.3600,7.6000,824200
2008-03-24,7.9800,8.4000,7.5000,8.1300,466000
2008-03-25,8.7500,9.7500,8.6500,9.4500,800100
2008-03-26,9.5400,9.9500,9.1300,9.9300,510900
2008-03-27,10.1700,12.2900,10.1200,12.2100,2925400
2008-03-28,11.8500,12.7900,10.5100,10.8300,3692200
2008-03-31,11.0200,11.5800,10.9700,11.3600,646700
2008-04-01,11.3900,11.4200,11.0500,11.1700,551800
2008-04-02,10.9800,12.3500,10.8000,12.2400,1536500
2008-04-03,11.8200,12.4300,11.6000,11.8700,994200
2008-04-04,11.7200,13.2100,11.6900,12.9100,1519500
2008-04-07,13.2600,13.8200,11.7500,12.0200,1587200
2008-04-08,11.8600,12.5000,11.8500,12.0700,584700
2008-04-09,12.2700,12.6000,12.1000,12.5000,519200
2008-04-10,12.2500,12.6000,11.8500,12.3400,443800
2008-04-11,12.0100,12.9500,11.8500,12.6900,688900
2008-04-14,12.4500,13.3000,12.2500,13.0500,1038500
2008-04-15,14.0000,15.0200,13.7900,14.9600,2800000
2008-04-16,15.1700,15.7900,15.0200,15.4700,2010100
2008-04-17,16.0000,16.9900,14.3500,15.0800,3338600
2008-04-18,15.5900,16.6000,15.1000,16.5300,1984800
2008-04-21,16.9900,18.8500,16.8900,18.8400,4025800
2008-04-22,18.2000,18.5400,17.1100,18.2000,2831400
2008-04-23,18.0500,18.5000,17.5000,17.5700,1840200
