date,open,high,low,close,volume
2020-11-12,25.6400,25.6400,25.2774,25.2774,935
2020-11-13,25.3400,25.3550,25.3098,25.3422,1334
2020-11-16,25.5600,25.5700,25.4200,25.5490,14018
2020-11-17,25.4900,25.5800,25.3534,25.5537,1338
2020-11-18,25.5500,25.5800,25.3060,25.3060,837
2020-11-19,25.4200,25.5000,25.3900,25.5000,1634
2020-11-20,25.4900,25.5890,25.4900,25.4961,3075
2020-11-23,25.7700,25.8216,25.7300,25.8216,2660
2020-11-24,26.1700,26.3299,26.1700,26.3110,840
2020-11-25,26.1900,26.3900,26.1900,26.3134,1268
2020-11-27,26.5800,26.8506,26.5800,26.7492,933
2020-11-30,26.9900,27.0000,26.4300,26.4300,667
2020-12-01,26.6900,26.6900,26.6130,26.6130,813
2020-12-02,26.3000,26.5590,26.3000,26.5418,677
2020-12-03,26.6390,26.6500,26.4061,26.4061,1187
2020-12-04,26.5600,26.5600,26.5200,26.5384,1766
2020-12-07,26.5700,26.5900,26.5443,26.5443,2277
2020-12-08,26.7400,26.9900,26.7400,26.9484,500
2020-12-09,26.8400,26.9700,26.5010,26.6000,3379
2020-12-10,26.5000,26.6757,26.5000,26.6757,287
2020-12-11,26.6723,26.6723,26.6723,26.6723,48
2020-12-14,27.0400,27.0400,27.0073,27.0073,315
2020-12-15,27.6500,27.9406,27.6500,27.9406,821
2020-12-16,27.8900,27.9352,27.8900,27.9352,525
2020-12-17,28.1990,28.1990,28.1817,28.1963,675
2020-12-18,28.6202,28.6202,28.6202,28.6202,100
2020-12-21,28.4600,28.8628,28.4080,28.8628,1721
2020-12-22,29.0900,29.4241,29.0620,29.4241,1573
2020-12-23,30.0800,30.0800,29.6264,29.6264,4150
2020-12-24,29.6700,29.6700,29.5100,29.6169,1552
2020-12-28,30.2310,30.2310,29.9400,29.9400,2672
2020-12-29,30.2800,30.2800,29.7790,29.8367,2617
2020-12-30,30.2000,30.3050,30.1951,30.1951,2619
2020-12-31,30.2500,30.2500,30.2500,30.2500,714
2021-01-04,31.3396,31.3396,30.7680,30.8751,3431
2021-01-05,30.9800,31.3400,30.9698,31.2960,4134
2021-01-06,32.5000,33.3800,32.5000,33.0108,103711
2021-01-07,34.1500,34.4300,33.9300,34.3807,8941
2021-01-08,34.7800,35.1000,33.9500,34.1870,21823
2021-01-11,33.6600,33.6800,33.0300,33.5606,4455
2021-01-12,33.5400,33.7176,33.4700,33.7176,1051
2021-01-13,33.8500,33.8500,33.4883,33.4883,1546
2021-01-14,33.7000,33.7000,33.3789,33.3789,1519
2021-01-15,33.0000,33.0000,31.9850,31.9850,4253
2021-01-19,33.3200,33.3200,32.1800,32.8502,4346
2021-01-20,33.3800,33.4950,33.3800,33.4950,1486
2021-01-21,33.7600,34.1831,33.4990,34.1831,7758
2021-01-22,33.9000,34.1487,33.8966,34.1487,3528
2021-01-25,34.4500,34.5900,33.7300,33.8529,8162
2021-01-26,33.7900,33.8050,33.5650,33.7827,560
2021-01-27,32.9000,32.9000,32.2100,32.3647,2440
2021-01-28,32.9100,32.9100,32.5400,32.7643,11207
2021-01-29,32.4490,32.4500,31.7100,31.9339,2787
