date,open,high,low,close,volume
1999-11-01,158.7500,158.7500,155.7500,155.8800,122900
1999-11-02,156.6900,158.6900,156.6900,158.4400,73600
1999-11-03,159.0000,160.2500,158.0000,159.0600,198700
1999-11-04,159.7500,161.6900,159.7500,160.2500,128400
1999-11-05,162.6200,165.6900,162.6200,164.6900,241300
1999-11-08,164.0000,164.9400,163.3100,164.7500,168200
1999-11-09,170.5000,170.8800,169.8100,170.0000,165400
1999-11-10,173.9400,177.0000,173.7500,176.1900,187900
1999-11-11,175.2500,175.2500,174.3100,174.8100,107200
1999-11-12,175.5000,177.2500,175.5000,176.5000,105300
1999-11-15,178.6200,180.0600,178.6200,179.0600,116000
1999-11-16,179.5000,181.5000,179.2500,180.9400,246200
1999-11-17,178.0000,179.5000,177.7500,177.9400,206900
1999-11-18,175.7500,177.0000,175.6200,176.7500,385900
1999-11-19,176.6200,176.6200,175.5000,176.6200,136000
1999-11-22,178.0000,180.6900,177.9400,180.5600,223500
1999-11-23,180.0600,180.1900,178.5600,180.0000,117000
1999-11-24,179.7500,183.0000,179.7500,182.1900,145900
1999-11-26,184.8800,186.0000,183.3800,185.9400,139000
1999-11-29,188.7500,192.0000,187.3800,191.7500,265900
1999-11-30,188.1200,188.1900,184.1200,184.1900,244800
1999-12-01,180.5000,182.6200,180.5000,182.6200,180200
1999-12-02,177.3800,180.7500,177.3800,180.7500,176700
1999-12-03,180.0000,184.7500,178.5000,183.1200,291300
1999-12-06,181.5000,182.4400,180.7500,181.1200,193500
1999-12-07,182.6200,185.0000,182.5000,183.6200,157600
1999-12-08,181.0000,181.1900,180.1200,180.4400,103000
1999-12-09,181.1200,189.0000,181.1200,186.7500,367900
1999-12-10,187.7500,191.9700,186.7500,187.3100,201100
1999-12-13,187.5600,187.5600,184.6200,185.4400,138600
1999-12-14,187.1200,187.5000,185.0000,186.2500,206700
1999-12-15,186.0600,186.6900,184.3100,185.9400,189700
1999-12-16,187.2500,188.7500,186.3800,187.9400,107100
1999-12-17,198.0000,202.5000,197.0600,202.1200,233200
1999-12-20,206.0000,213.6900,205.7500,209.8800,468600
1999-12-21,210.5000,211.5000,208.1200,211.3100,173900
1999-12-22,231.0000,232.0000,227.8800,230.3800,472500
1999-12-23,230.3800,236.5600,230.1900,236.5000,247900
1999-12-27,241.0000,260.0000,241.0000,254.6900,578800
1999-12-28,260.1200,269.5000,260.0000,267.5000,646300
1999-12-29,280.5000,281.5000,277.0000,281.3800,518600
1999-12-30,295.8800,295.8800,289.0000,289.9400,310800
1999-12-31,290.0000,290.0000,284.7500,284.7500,183400
2000-01-03,285.2500,291.6900,267.0600,276.5000,1293500
2000-01-04,281.0000,287.5000,270.0000,270.0000,1509800
2000-01-05,258.0000,258.3800,234.0600,250.0000,1543400
