date,open,high,low,close,volume
2017-04-28,6.6500,6.7900,6.2000,6.4000,3767069
2017-05-01,6.7000,8.3800,6.6000,7.6500,1693655
2017-05-02,7.6700,7.9700,7.0360,7.8700,827340
2017-05-03,7.8700,7.9700,7.6101,7.8700,159853
2017-05-04,7.9000,7.9000,7.6412,7.8100,125792
2017-05-05,7.7600,7.9200,7.4384,7.5700,137063
2017-05-08,7.5500,7.6369,7.4700,7.5700,96786
2017-05-09,7.5200,8.2000,7.5200,8.0200,318692
2017-05-10,8.1500,8.3050,7.6000,7.7600,324481
2017-05-11,7.7800,8.0800,7.7700,7.9400,168538
2017-05-12,7.9800,8.0320,7.8100,7.8800,125105
2017-05-15,7.8800,7.9000,7.5600,7.8600,145161
2017-05-16,7.9000,7.9700,7.5000,7.5500,187696
2017-05-17,7.4900,7.6300,7.3000,7.5300,125475
2017-05-18,7.4800,7.7100,7.3500,7.3500,45586
2017-05-19,7.2900,7.4400,7.0000,7.2400,85369
2017-05-22,7.1800,7.5500,6.8500,7.4300,226425
2017-05-23,7.3700,7.4900,7.2500,7.3900,56606
2017-05-24,7.3500,7.4000,7.2500,7.2800,151271
2017-05-25,7.1200,7.2500,6.9900,7.0600,180019
2017-05-26,7.1500,7.1500,6.9800,7.0700,127660
2017-05-30,7.1100,7.2500,7.0100,7.0800,167176
2017-05-31,7.3800,7.3800,6.9600,7.0800,197834
2017-06-01,7.0700,7.0700,6.5500,6.8800,298119
2017-06-02,6.8800,6.8800,6.2700,6.4000,379353
2017-06-05,6.4000,6.4300,6.0000,6.3900,181520
2017-06-06,6.2800,6.3289,6.0770,6.1800,78477
2017-06-07,6.2300,6.8600,6.1800,6.8200,128232
2017-06-08,7.0400,7.6000,6.9700,7.0000,459017
2017-06-09,7.0500,7.0500,6.7600,6.8700,23991
2017-06-12,6.7500,6.9200,6.7500,6.8900,11707
2017-06-13,6.8800,6.9500,6.8100,6.9300,16278
2017-06-14,6.9300,7.1100,6.9300,6.9500,127602
2017-06-15,7.0600,7.1042,6.8800,6.9900,88453
2017-06-16,6.9000,6.9400,6.7600,6.7900,12700
2017-06-19,6.7500,6.8500,6.6700,6.7400,37337
2017-06-20,6.6500,6.6853,6.5300,6.5800,17966
2017-06-21,6.5200,6.6400,6.5000,6.5900,15822
2017-06-22,6.5000,6.5965,6.0600,6.1800,137713
2017-06-23,6.1800,6.3600,6.0000,6.3300,95898
2017-06-26,6.3600,6.4600,6.0700,6.1600,177263
2017-06-27,6.0100,6.1972,6.0000,6.0100,106568
2017-06-28,5.9600,6.1400,5.8500,5.9500,285389
2017-06-29,5.8200,5.9400,5.6001,5.8200,152467
2017-06-30,5.7500,5.9700,5.6000,5.7200,109846
2017-07-03,5.7200,5.8000,5.7200,5.8000,15585
2017-07-05,5.8500,5.9200,5.7076,5.7600,54130
2017-07-06,5.7500,5.9800,5.6900,5.9300,40000
2017-07-07,5.9600,5.9700,5.8000,5.9300,51453
2017-07-10,5.9300,6.0530,5.8000,5.9300,49284
2017-07-11,5.9500,6.1400,5.9500,6.0000,54185
