date,open,high,low,close,volume
1999-11-01,0.6563,0.6563,0.6250,0.6250,7300
1999-11-02,0.6250,0.6250,0.6250,0.6250,0
1999-11-03,0.6250,0.6250,0.6250,0.6250,0
1999-11-04,0.5156,0.5156,0.5156,0.5156,500
1999-11-05,0.7344,0.7500,0.7344,0.7500,3600
1999-11-08,0.7500,0.7500,0.7500,0.7500,0
1999-11-09,0.7500,0.7500,0.7500,0.7500,0
1999-11-10,0.7500,0.7500,0.7500,0.7500,0
1999-11-11,0.7500,0.7500,0.7500,0.7500,0
1999-11-12,0.7500,0.7500,0.7500,0.7500,0
1999-11-15,0.5156,0.5156,0.5156,0.5156,2000
1999-11-16,0.5156,0.5156,0.5156,0.5156,0
1999-11-17,0.5156,0.5156,0.5156,0.5156,0
1999-11-18,0.5156,0.5156,0.5156,0.5156,0
1999-11-19,0.7188,0.7188,0.7188,0.7188,2700
1999-11-22,0.5156,0.5156,0.5156,0.5156,200
1999-11-23,0.5156,0.5156,0.5156,0.5156,3300
1999-11-24,0.7188,0.7188,0.7188,0.7188,500
1999-11-26,0.7188,0.7188,0.7188,0.7188,0
1999-11-29,0.7188,0.7188,0.7188,0.7188,0
1999-11-30,0.5156,0.5156,0.5156,0.5156,500
1999-12-01,0.5156,0.5156,0.5156,0.5156,0
1999-12-02,0.5156,0.5156,0.5156,0.5156,3900
1999-12-03,0.5156,0.5156,0.5156,0.5156,1400
1999-12-06,0.6250,0.6250,0.5156,0.6094,12500
1999-12-07,0.5313,0.5313,0.5313,0.5313,2000
1999-12-08,0.5313,0.5313,0.5313,0.5313,7000
1999-12-09,0.5313,0.5313,0.5313,0.5313,0
1999-12-10,0.5313,0.6250,0.5313,0.5313,2700
1999-12-13,0.5313,0.5313,0.5313,0.5313,2000
1999-12-14,0.5313,0.5313,0.5313,0.5313,0
1999-12-15,0.6250,0.6250,0.6250,0.6250,1000
1999-12-16,0.6250,0.6250,0.5625,0.5625,3500
1999-12-17,0.5625,0.5625,0.5625,0.5625,0
1999-12-20,0.5625,0.5625,0.5625,0.5625,3200
