date,open,high,low,close,volume
2001-07-13,72.3000,73.5900,70.5800,72.6500,201100
2001-07-16,71.3500,71.5500,68.4400,68.4400,60000
2001-07-17,67.9500,71.2500,67.9000,71.2500,95700
2001-07-18,69.1000,69.6100,68.3000,68.3000,100600
2001-07-19,72.4000,72.7000,71.2000,71.2000,135000
2001-07-20,69.7500,70.9000,69.7500,70.8500,120000
2001-07-23,71.2500,71.2500,68.7000,68.7000,65100
2001-07-24,68.3000,68.3000,66.8000,66.8500,50100
2001-07-25,66.6000,67.8500,65.6500,65.6500,59700
2001-07-26,68.5500,72.4500,68.3000,71.7500,93900
2001-07-27,72.5000,74.2000,72.5000,73.4100,40500
2001-07-30,73.7900,74.5400,73.2900,73.9000,2600
2001-07-31,75.4000,75.4000,73.9000,73.9000,50700
2001-08-01,76.7500,78.7000,76.7500,77.7500,9500
2001-08-02,79.7000,79.9500,79.1500,79.2500,21600
2001-08-03,79.2500,79.2500,77.7500,78.2500,3200
2001-08-06,76.5500,77.1500,76.4000,76.8500,7300
2001-08-07,75.0500,75.6600,75.0000,75.6600,6200
2001-08-08,75.3400,76.5500,74.8000,74.8000,6300
2001-08-09,72.0000,72.7500,72.0000,72.4400,1000
2001-08-10,72.6000,73.0000,72.6000,72.9000,4200
2001-08-13,74.5000,74.8000,74.1000,74.6500,8100
2001-08-14,75.2000,75.2000,74.9500,74.9500,1400
2001-08-15,73.7500,73.7500,72.0200,72.0200,2100
2001-08-16,70.0000,71.1000,69.3000,71.1000,4500
2001-08-17,70.0000,70.0000,68.6000,68.6000,500
2001-08-20,69.0000,69.4500,68.5500,69.3500,10900
2001-08-21,69.3000,69.3000,67.6000,67.6000,1400
2001-08-22,68.1900,69.7000,67.5000,69.7000,2800
2001-08-23,70.1100,70.9900,69.9300,70.0500,1000
2001-08-24,71.2700,73.4500,71.0000,73.0700,400
2001-08-27,73.5000,75.3900,73.5000,74.7000,4100
2001-08-28,73.3500,73.6500,72.9500,72.9500,1000
2001-08-29,73.3000,73.3000,70.4000,70.4000,300
2001-08-30,68.5000,68.5000,67.5000,68.5000,1200
2001-08-31,68.0000,69.4800,68.0000,68.8400,2000
2001-09-04,68.6000,69.4700,67.0000,67.0000,1100
2001-09-05,64.7000,66.7400,64.6000,64.7000,7500
2001-09-06,64.0000,65.0000,61.4000,61.7000,264000
2001-09-07,61.1500,63.6800,61.1500,62.1500,3300
2001-09-10,61.8400,62.7400,61.8400,62.0900,1300
2001-09-17,57.0000,58.7800,56.4000,56.4000,8200
2001-09-18,56.2500,56.7200,55.5100,56.7200,400
2001-09-19,51.9500,51.9500,47.7000,51.9500,13400
2001-09-20,51.2000,51.2000,48.6000,48.6000,17000
2001-09-21,48.3000,48.3000,45.4000,46.2500,3800
2001-09-24,50.8500,50.8500,49.0000,50.8500,9500
2001-09-25,51.7000,51.7000,49.5000,49.5000,4300
2001-09-26,50.7000,50.7000,48.0000,48.1000,3200
2001-09-27,46.0000,46.6500,44.8900,46.6500,1200
2001-09-28,47.7500,48.5000,46.9000,47.9500,4800
2001-10-01,47.2000,47.2000,46.3500,46.3500,1700
2001-10-02,47.2500,47.2500,45.5000,45.5000,4300
2001-10-03,50.3500,50.3500,44.9000,49.8500,4300
