date,open,high,low,close,volume
2000-07-19,25.5000,39.1900,25.5000,32.6300,11373200
2000-07-20,33.5000,37.0000,29.0000,35.6300,1395700
2000-07-21,34.0000,36.8000,31.0000,32.8800,506500
2000-07-24,33.6900,34.1300,31.6900,33.0000,288800
2000-07-25,32.6600,35.7500,32.0000,35.0000,300900
2000-07-26,34.0000,34.9400,32.3800,33.6300,299500
2000-07-27,33.7500,33.9400,31.1300,31.5000,329900
2000-07-28,31.6600,31.8800,26.0000,29.0000,752400
2000-07-31,29.2200,34.1300,28.1300,34.1300,392600
2000-08-01,34.0900,34.0900,30.7500,31.5000,76600
2000-08-02,31.0000,31.0000,28.0000,28.7500,186100
2000-08-03,27.6300,31.7500,26.8800,28.7500,98800
2000-08-04,29.5000,31.0000,29.5000,30.2500,274900
2000-08-07,30.3800,33.8100,30.1300,33.5000,155500
2000-08-08,33.2800,33.7500,32.7500,33.3800,140000
2000-08-09,33.0000,33.0000,32.2500,32.5000,122100
2000-08-10,32.5000,32.5600,29.5600,30.0000,26900
2000-08-11,30.0000,30.1300,28.7500,29.2500,78100
2000-08-14,29.1900,30.6900,26.8800,28.5000,141800
2000-08-15,28.8100,29.5000,27.5000,28.1300,98900
2000-08-16,28.1300,28.1300,24.9400,25.7500,410100
2000-08-17,25.3800,25.5000,24.1300,24.5000,79300
2000-08-18,24.1900,24.1900,22.6300,23.7500,110900
2000-08-21,24.1900,24.7500,23.4800,24.2500,189800
2000-08-22,24.2500,24.6300,23.0000,23.5000,116300
2000-08-23,23.0000,23.6300,23.0000,23.5600,44500
2000-08-24,23.9100,26.5000,23.8800,25.6900,59400
2000-08-25,26.1600,35.0000,26.1600,31.2500,138100
2000-08-28,30.8100,34.0000,30.5000,32.5000,74900
2000-08-29,32.3800,34.9400,32.0000,33.5000,39400
2000-08-30,34.0000,34.0000,32.2500,32.5000,21700
2000-08-31,31.5300,32.5000,29.8100,31.0200,101900
2000-09-01,31.3800,31.3800,29.7500,30.0000,81700
2000-09-05,30.0000,31.0000,29.5600,30.7500,42400
2000-09-06,30.7200,30.7500,29.3800,29.5000,105700
2000-09-07,29.6300,29.6300,28.8800,29.0000,36000
2000-09-08,28.8800,29.5000,28.5000,28.8800,12700
2000-09-11,28.8100,29.1300,26.3800,27.0000,18500
2000-09-12,27.1600,27.7500,26.6300,27.0000,25800
2000-09-13,26.5000,29.3800,26.5000,29.3800,52600
2000-09-14,29.3100,32.9400,29.1300,31.0600,319900
2000-09-15,32.0000,32.3800,31.0600,31.0600,28400
2000-09-18,31.0600,31.7500,28.6300,29.7500,8900
2000-09-19,28.8800,29.7500,27.7500,27.8800,239000
2000-09-20,27.8800,28.4400,27.7500,28.2500,11700
2000-09-21,28.4400,30.0000,28.2500,29.8800,71200
2000-09-22,27.5000,30.7500,27.5000,30.1300,14500
2000-09-25,30.8800,33.5000,30.8100,32.5000,77300
2000-09-26,32.5000,33.0000,32.5000,32.5000,4100
2000-09-27,32.5000,33.0000,28.7500,29.0000,22900
2000-09-28,29.2500,30.0000,27.7500,29.2500,35000
2000-09-29,29.0000,31.6300,28.0000,30.6300,152800
2000-10-02,30.7500,32.5000,30.7500,31.5000,45600
2000-10-03,31.1300,31.5000,28.6300,28.6300,234700
2000-10-04,29.5000,29.5000,25.5000,27.0000,37500
2000-10-05,27.6900,28.5000,27.0000,27.0000,93200
2000-10-06,27.1300,27.1900,26.0000,26.0000,8100
2000-10-09,26.0000,26.0000,24.3800,24.6300,14400
2000-10-10,25.2500,25.2500,23.0600,23.9400,15200
2000-10-11,22.9400,22.9400,19.5000,20.3800,43100
2000-10-12,20.0200,20.2300,17.3800,18.3100,42100
2000-10-13,17.1300,17.3800,15.7500,16.3100,32300
2000-10-16,16.9800,19.2500,16.6900,17.6300,114800
2000-10-17,18.7300,18.8800,17.8800,18.2500,26600
2000-10-18,18.3800,22.2500,18.2500,20.1900,26500
2000-10-19,21.9800,26.0600,21.9400,25.6300,78400
2000-10-20,25.5000,27.0000,25.2500,26.7500,64800
2000-10-23,26.4800,26.5000,19.3800,19.4400,128600
2000-10-24,19.7500,20.8800,18.0000,18.1900,47800
2000-10-25,18.0000,18.7500,17.5600,18.1300,83500
2000-10-26,18.2500,18.3800,17.6300,18.0000,34700
2000-10-27,17.5600,17.9400,16.2700,16.3100,17200
2000-10-30,16.9800,17.0000,15.1300,15.5000,149100
2000-10-31,15.8300,15.8600,14.1300,14.2500,49300
2000-11-01,14.0600,15.0000,13.5000,14.5000,77200
2000-11-02,15.0200,16.0000,15.0000,15.8800,64600
2000-11-03,15.5000,15.8800,15.4400,15.4400,56500
2000-11-06,15.6900,16.5000,14.0000,14.1300,44100
2000-11-07,14.2700,15.0000,14.2500,14.7500,21300
2000-11-08,14.6900,14.7500,11.7500,12.0600,36000
2000-11-09,12.6300,12.6300,11.7500,12.1300,54500
2000-11-10,11.5000,12.2500,10.7500,11.0000,100000
2000-11-13,8.8590,11.2500,8.6250,11.0000,85700
2000-11-14,11.1300,13.0000,11.1300,13.0000,53000
2000-11-15,12.8800,12.8800,11.7500,11.7500,36600
2000-11-16,11.7700,12.7500,11.7500,12.2500,34700
2000-11-17,12.6300,12.6300,10.0000,10.1900,60700
2000-11-20,10.3900,11.0000,10.1300,10.1300,28800
2000-11-21,10.4800,10.5000,9.9380,10.0000,66500
2000-11-22,10.0000,10.1300,9.8750,10.0000,219800
