date,open,high,low,close,volume
1999-11-01,56.7500,57.1200,53.2500,54.6200,422200
1999-11-02,50.6200,51.3100,44.0000,45.5000,1187000
1999-11-03,46.0000,49.1200,45.0000,47.0000,564800
1999-11-04,47.1200,47.7500,43.8800,44.1900,306200
1999-11-05,44.5000,50.1200,44.1200,50.0000,584600
1999-11-08,49.0600,52.8800,47.6200,51.0000,321800
1999-11-09,51.5000,51.9400,47.0000,48.0000,226000
1999-11-10,47.0000,49.8800,47.0000,47.6200,144400
1999-11-11,47.7500,50.3800,47.2500,49.2500,225600
1999-11-12,49.3800,51.7500,48.0000,50.7500,133800
1999-11-15,51.5000,54.8800,51.2500,53.2500,336000
1999-11-16,54.0000,78.7500,53.7500,71.7500,3064600
1999-11-17,65.0000,71.3800,62.1200,64.0000,818200
1999-11-18,64.8800,72.0000,64.6900,70.0000,357600
1999-11-19,79.7500,90.5000,76.0000,84.7500,1306400
1999-11-22,86.3800,98.5000,85.0000,88.2500,1198800
1999-11-23,90.4400,90.7500,80.1200,81.7500,491200
1999-11-24,82.5000,89.7500,82.0000,86.0000,484200
1999-11-26,86.0600,86.5000,81.5000,83.9400,296400
1999-11-29,84.6900,89.0000,83.0000,83.2500,525600
1999-11-30,84.3800,86.0000,76.5000,78.6900,339200
1999-12-01,76.9400,77.7500,68.5000,71.0000,586000
1999-12-02,68.5000,77.0000,65.2500,74.6200,762600
1999-12-03,78.0000,78.7500,66.3800,66.5000,625000
1999-12-06,68.8800,71.8800,63.0000,67.5000,1616600
1999-12-07,68.7500,80.2500,66.8800,76.8100,5521000
1999-12-08,75.9400,76.5000,70.0000,71.4400,1372000
1999-12-09,73.5600,75.0000,68.3800,71.0000,825200
1999-12-10,71.0000,89.7500,71.0000,81.2500,1210200
1999-12-13,82.0000,83.5000,78.6200,78.7500,881800
1999-12-14,79.4400,79.5000,66.5000,70.7500,795400
1999-12-15,70.8800,73.5000,66.0000,71.0000,657600
1999-12-16,70.2500,73.0000,67.0000,67.2500,283200
1999-12-17,68.0600,70.3800,65.2500,65.5000,388000
1999-12-20,65.9400,66.7500,58.8800,60.5000,781000
1999-12-21,58.7500,66.8800,56.0000,63.0600,986000
1999-12-22,65.7500,65.7500,58.0600,59.5000,547800
1999-12-23,55.0000,59.7500,54.0000,54.5000,508600
1999-12-27,49.8800,50.0000,45.0000,48.0000,1483000
1999-12-28,45.0000,48.2500,44.0000,44.0000,573000
1999-12-29,43.0000,44.5000,40.2500,42.4400,974800
1999-12-30,42.7500,46.3800,41.2500,41.5000,910400
1999-12-31,41.2500,43.8800,40.6200,41.6200,376400
2000-01-03,43.5600,43.8800,35.9400,41.1200,1478800
2000-01-04,38.8800,44.1200,38.6200,41.2500,894000
2000-01-05,44.3800,47.4400,43.5000,45.4400,1928400
