date,open,high,low,close,volume
1999-11-01,9.0000,9.2500,9.0000,9.2500,2400
1999-11-02,9.0000,9.2500,9.0000,9.0000,5700
1999-11-03,9.1250,9.1250,9.1250,9.1250,700
1999-11-04,9.1200,9.1200,9.1200,9.1200,0
1999-11-05,9.1250,9.5000,9.1250,9.1250,2300
1999-11-08,9.1250,9.1250,9.0000,9.0000,4300
1999-11-09,9.0000,9.0000,8.7500,8.7500,8900
1999-11-10,8.7500,8.7500,8.7500,8.7500,4000
1999-11-11,8.7500,8.8750,8.7500,8.8750,500
1999-11-12,9.0000,9.0000,9.0000,9.0000,1000
1999-11-15,8.7500,8.7500,8.7500,8.7500,400
1999-11-16,8.7500,9.1880,8.7500,9.1880,7700
1999-11-17,9.1250,9.3750,9.1250,9.2500,9100
1999-11-18,9.5000,10.0000,9.5000,9.7500,3600
1999-11-19,10.2500,10.2500,9.7500,10.2500,3400
1999-11-22,9.7500,9.7500,9.7500,9.7500,600
1999-11-23,9.7500,10.0000,9.7500,9.7500,900
1999-11-24,9.7500,9.7500,9.7500,9.7500,1700
1999-11-26,9.7500,9.7500,9.7500,9.7500,0
1999-11-29,9.7500,9.7500,9.7500,9.7500,500
1999-11-30,9.7500,9.7500,9.7500,9.7500,3300
1999-12-01,9.7500,9.8750,9.7500,9.8750,4000
1999-12-02,9.7500,9.7500,9.7500,9.7500,1400
1999-12-03,9.7500,9.7500,9.6250,9.6250,3900
1999-12-06,9.6200,9.6200,9.6200,9.6200,0
1999-12-07,9.6250,9.6250,9.5000,9.5000,1700
1999-12-08,9.5000,9.5000,9.2500,9.2500,2600
1999-12-09,9.5000,9.5000,9.2500,9.2500,800
1999-12-10,9.2500,9.2500,9.2500,9.2500,1500
1999-12-13,9.7500,9.7500,9.3750,9.3750,4000
1999-12-14,9.3750,9.3750,9.3750,9.3750,9600
1999-12-15,9.3750,9.3750,9.3750,9.3750,10200
1999-12-16,9.3800,9.3800,9.3800,9.3800,0
1999-12-17,9.3750,9.3750,9.0000,9.0000,26400
1999-12-20,8.9380,9.0000,8.6250,8.7500,13400
1999-12-21,8.6250,8.7500,8.6250,8.7500,2300
1999-12-22,8.7500,8.7500,8.7500,8.7500,2200
1999-12-23,8.7500,9.0000,8.7500,8.8750,3800
1999-12-27,9.0000,9.0000,9.0000,9.0000,1300
1999-12-28,9.1250,9.1250,8.8130,8.8750,3600
1999-12-29,9.0630,9.0630,8.8130,8.8130,1700
1999-12-30,9.1880,9.5000,8.9380,8.9380,4000
1999-12-31,8.9380,9.0000,8.9380,9.0000,2300
2000-01-03,8.8800,8.8800,8.8800,8.8800,500
2000-01-04,8.8800,8.8800,8.8800,8.8800,0
2000-01-05,9.1250,9.1250,9.1250,9.1250,6800
2000-01-06,9.0000,9.1250,9.0000,9.1250,4000
2000-01-07,9.1250,10.0000,9.1250,9.5000,3200
2000-01-10,9.5160,11.0000,9.4380,9.7500,45200
2000-01-11,9.7500,9.8750,9.4380,9.5630,14000
2000-01-12,9.3750,9.4380,9.0000,9.0000,4500
2000-01-13,9.0000,9.6250,8.7500,9.4380,20100
2000-01-14,9.3130,9.5000,8.8750,8.8750,10200
2000-01-18,8.7500,11.6300,8.7500,9.6250,176600
2000-01-19,9.7500,9.8750,9.2500,9.5000,27000
2000-01-20,9.5630,10.1300,9.5000,10.1300,15600
2000-01-21,10.2500,10.2500,9.7500,9.7660,2300
2000-01-24,9.8750,10.0000,9.5000,9.7500,5600
2000-01-25,9.7500,9.7500,9.3750,9.3750,1500
2000-01-26,9.3130,9.6250,9.1880,9.6250,2800
2000-01-27,9.3750,9.3750,9.3750,9.3750,1700
2000-01-28,9.3800,9.3800,9.3800,9.3800,0
2000-01-31,9.1250,9.1250,9.1250,9.1250,500
2000-02-01,9.3750,9.3750,9.1250,9.1250,500
2000-02-02,9.1880,9.1880,9.1880,9.1880,300
2000-02-03,9.1880,9.5000,9.1880,9.5000,10300
2000-02-04,9.3750,9.3750,9.3750,9.3750,2500
2000-02-07,9.4060,9.4060,9.3750,9.3910,500
2000-02-08,9.6250,9.6250,9.3750,9.3750,900
2000-02-09,9.3750,9.3750,9.3750,9.3750,2900
2000-02-10,9.6250,9.6250,9.6250,9.6250,200
2000-02-11,9.5000,9.5630,9.0000,9.5000,44900
2000-02-14,9.5310,11.3800,9.3750,10.5000,127300
2000-02-15,10.2500,10.7500,9.5630,9.5630,10800
2000-02-16,9.6250,9.8750,9.4380,9.4380,17500
2000-02-17,9.7500,9.7500,9.7500,9.7500,3100
2000-02-18,9.6880,9.8130,9.1250,9.1250,5500
2000-02-22,9.7500,10.5000,9.7500,10.5000,1500
2000-02-23,10.0000,10.0000,9.6250,9.6250,7400
2000-02-24,9.5000,9.5000,9.3750,9.3750,5200
2000-02-25,9.3750,9.3750,9.1250,9.2500,8800
2000-02-28,9.2500,9.2500,9.2500,9.2500,2500
2000-02-29,9.2500,9.4380,9.1250,9.2500,11800
2000-03-01,9.3750,9.3750,9.0000,9.2500,19200
2000-03-02,9.1250,9.6250,9.1250,9.1880,16000
2000-03-03,9.4380,9.5000,9.2500,9.2500,2200
2000-03-06,9.5630,9.6880,9.2500,9.2500,4400
2000-03-07,9.2500,9.9380,9.1250,9.2500,26300
2000-03-08,9.1880,9.1880,9.1880,9.1880,500
2000-03-09,9.1880,9.1880,9.1880,9.1880,1100
2000-03-10,9.1880,9.1880,9.1880,9.1880,1300
2000-03-13,9.1880,9.6250,9.1880,9.1880,9200
2000-03-14,9.1880,9.2500,9.1880,9.1880,3300
2000-03-15,9.1880,9.3750,9.1880,9.3750,9100
