date,open,high,low,close,volume
2014-05-21,20.7500,21.0000,18.5100,20.8500,1731500
2014-05-22,20.6500,21.8700,20.6500,21.6500,1057700
2014-05-23,21.5000,22.1900,21.3800,21.5000,625800
2014-05-27,21.5000,21.7000,21.3900,21.5000,1156000
2014-05-28,21.3500,21.8400,21.3500,21.5000,1797200
2014-05-29,21.9800,21.9800,21.2500,21.5000,3762700
2014-05-30,21.4900,21.9100,21.3600,21.5000,501800
2014-06-02,21.7900,21.9800,21.5000,21.7000,391800
2014-06-03,21.8300,23.2800,21.8300,22.7000,710000
2014-06-04,23.0000,23.6600,22.2400,23.3000,1296100
2014-06-05,23.7200,23.9000,23.2300,23.3500,393600
2014-06-06,23.5000,23.7100,22.2500,23.4800,20066600
2014-06-09,23.0900,23.5000,21.9000,23.3000,13991100
2014-06-10,22.8300,23.1800,22.1300,22.7000,94000
2014-06-11,22.2200,22.9500,22.2200,22.7800,4656400
2014-06-12,22.9000,23.0000,22.2600,22.5500,6796100
2014-06-13,22.0700,23.2700,21.8600,23.1500,16614300
2014-06-16,22.8700,23.4800,22.3400,23.1900,6429700
2014-06-17,23.0000,23.2500,22.7700,22.8100,3688100
2014-06-18,22.8100,23.0200,22.5000,22.9700,4792300
2014-06-19,22.9100,23.3900,22.8300,23.2900,3310000
2014-06-20,23.3200,23.4000,22.7500,23.0600,4208400
2014-06-23,22.9300,23.5400,22.9100,23.3700,2572200
2014-06-24,22.8200,24.2500,22.8200,24.1700,3572900
2014-06-25,23.8000,24.8900,23.8000,24.4300,2789700
2014-06-26,24.3000,24.5200,24.1700,24.3900,2920500
2014-06-27,24.2500,24.5820,24.1300,24.2500,10797200
2014-06-30,24.0200,24.3600,24.0100,24.2200,3535000
2014-07-01,24.1400,24.2800,24.0900,24.1800,2294300
2014-07-02,24.1000,24.5200,23.9300,24.4500,1605800
2014-07-03,24.4500,24.5400,24.2800,24.4800,406500
2014-07-07,24.3200,24.6000,24.2400,24.4800,1297600
2014-07-08,24.3600,24.6000,24.3000,24.5800,2838600
2014-07-09,24.6100,25.0900,24.4000,24.9000,3020000
2014-07-10,24.6700,25.1000,24.5300,25.0200,2147800
2014-07-11,24.9600,25.1600,24.9100,25.1500,934200
2014-07-14,25.2800,25.4600,25.1500,25.2500,1026000
2014-07-15,25.1400,25.4800,24.8600,25.3800,1254500
2014-07-16,25.4300,25.6000,25.1200,25.4800,1300200
2014-07-17,25.3500,25.7500,25.0800,25.1100,1445300
2014-07-18,25.0600,25.6400,25.0100,25.6200,1128800
2014-07-21,25.5100,25.6400,25.2446,25.6000,697900
2014-07-22,25.6100,25.8300,25.2500,25.2800,1442200
2014-07-23,25.2800,25.3000,24.4700,24.5600,1793400
2014-07-24,24.4900,24.5900,24.2700,24.4000,1430500
2014-07-25,24.2100,24.6000,23.7200,24.0000,1775900
2014-07-28,24.1200,24.6300,23.9700,24.4600,1266900
2014-07-29,24.4100,24.7000,24.2610,24.3800,1848100
2014-07-30,24.5300,24.8900,24.4300,24.5700,1091700
2014-07-31,24.3100,24.6500,24.0100,24.1000,1383600
2014-08-01,24.0800,24.1600,23.7870,24.0300,1813800
2014-08-04,23.9600,24.4500,23.9000,24.3100,928000
2014-08-05,24.7000,25.2500,23.9300,24.3700,1179400
2014-08-06,24.1700,24.4800,23.4300,23.6500,804700
2014-08-07,23.7500,23.8700,23.5000,23.7200,831200
2014-08-08,23.6400,23.8700,23.4200,23.6300,427600
2014-08-11,23.6500,23.9600,23.4100,23.5900,619400
2014-08-12,23.4900,23.7400,22.9900,23.2200,484100
2014-08-13,23.2300,23.3499,22.9001,23.0900,440600
2014-08-14,22.9700,23.3400,22.8400,23.3400,319600
2014-08-15,23.5900,24.0500,23.4100,23.8200,653100
2014-08-18,24.0500,24.7900,23.9600,24.6000,723400
2014-08-19,24.5800,24.6400,24.1500,24.2100,439500
2014-08-20,24.0500,24.0900,23.7600,23.8800,344100
2014-08-21,23.8600,24.0800,23.6600,23.9200,483600
2014-08-22,23.9100,24.0600,23.8100,23.9200,288800
2014-08-25,24.0100,24.0100,23.5100,23.7100,352300
2014-08-26,23.6900,24.0200,23.5600,23.9900,334200
2014-08-27,23.9500,24.0200,23.6800,23.7900,294300
2014-08-28,23.7500,23.7900,23.5100,23.5700,394800
2014-08-29,23.5700,23.5700,23.3300,23.4800,671000
2014-09-02,23.6300,24.2700,23.3800,23.9900,771600
2014-09-03,24.0000,24.1200,23.5400,23.6900,741800
2014-09-04,23.7600,23.9700,23.4000,23.5000,840400
2014-09-05,23.4300,24.0400,23.2500,23.7800,695600
2014-09-08,23.7000,23.7500,23.1500,23.5400,933600
2014-09-09,23.4500,23.6500,23.1800,23.6300,506500
2014-09-10,23.5600,23.8300,23.3650,23.8000,401900
2014-09-11,23.8100,24.2500,23.4700,24.0900,886100
2014-09-12,23.9600,24.1100,23.6000,23.8100,498900
2014-09-15,23.8400,23.9600,23.4900,23.8600,562200
2014-09-16,23.7700,24.1400,23.5900,23.7400,664100
2014-09-17,23.7200,24.0700,23.5600,23.9100,499700
2014-09-18,24.0300,24.4100,23.8400,23.9900,618800
2014-09-19,24.0500,24.6700,23.7200,23.7700,2600100
2014-09-22,23.6300,23.9000,23.3600,23.5400,1141568
2014-09-23,23.4100,23.5700,23.2800,23.3500,1113898
2014-09-24,23.3500,23.4800,23.1000,23.2600,986563
2014-09-25,23.1700,23.2000,22.4900,22.5900,790729
2014-09-26,22.5700,22.9600,22.4300,22.9100,562068
2014-09-29,22.6300,23.5200,22.5900,23.4900,898901
2014-09-30,23.4000,23.7300,23.2400,23.4300,1066892
2014-10-01,23.4100,23.4100,22.9200,23.1800,1114231
2014-10-02,23.1200,23.2400,22.8000,22.8500,959903
2014-10-03,23.0600,23.0600,22.6600,22.7400,843803
2014-10-06,22.8300,22.9000,22.5900,22.6600,511708
2014-10-07,22.4800,22.7300,22.2400,22.4900,902199
2014-10-08,22.4300,22.6700,22.0700,22.3900,911331
2014-10-09,22.3200,22.4500,21.3700,21.3800,1103803
2014-10-10,21.2000,21.6300,20.8801,20.9100,798002
2014-10-13,20.8800,21.1400,20.5100,20.5500,540069
2014-10-14,20.6000,20.8800,20.2200,20.3000,1114546
2014-10-15,20.0300,20.3100,19.0000,19.9900,1682935
2014-10-16,19.7400,19.8600,19.3600,19.4700,2899610
2014-10-17,19.9700,20.1500,19.3900,19.4100,2047579
2014-10-20,19.4000,19.8000,19.3400,19.5500,2470567
2014-10-21,19.6700,20.7800,19.6400,20.3900,2617808
2014-10-22,20.3300,20.4800,19.8300,19.9400,1255065
2014-10-23,20.1400,20.7000,20.0000,20.3800,1398243
2014-10-24,20.4700,20.9700,20.0900,20.9400,990455
2014-10-27,20.8600,21.5900,20.7600,21.5500,840986
2014-10-28,21.6500,21.8200,21.4800,21.6400,765455
2014-10-29,21.6100,22.0400,21.6001,21.9900,771262
2014-10-30,21.9300,22.4600,21.8400,22.3900,1012036
2014-10-31,22.7500,22.7600,22.4350,22.5900,801082
2014-11-03,22.5800,23.0200,22.3700,22.9000,1348669
2014-11-04,22.2100,22.2800,20.9201,21.3200,2112201
2014-11-05,21.7900,21.9800,21.1800,21.6000,1484722
2014-11-06,21.6000,21.9800,21.4600,21.6000,1341512
2014-11-07,21.5800,21.7700,21.0000,21.3200,837416
2014-11-10,21.2900,21.5500,20.9950,21.5000,1167106
2014-11-11,21.4500,21.9900,21.3500,21.8000,1590137
2014-11-12,21.6800,22.3100,21.6300,22.2600,1061573
2014-11-13,22.2400,22.3800,21.9800,22.1700,1248330
2014-11-14,22.2800,22.5050,22.1350,22.4300,717499
2014-11-17,22.4900,22.5400,22.2500,22.4500,1082540
2014-11-18,22.5000,22.5900,22.2800,22.5000,734691
2014-11-19,22.5000,22.9900,22.1600,22.7800,684674
2014-11-20,22.6000,22.9400,22.5000,22.7200,681167
2014-11-21,22.9100,23.1900,22.6800,22.9900,819611
2014-11-24,22.9500,24.1200,22.9500,23.8500,1035106
2014-11-25,23.6200,24.3600,23.4100,24.2500,1715559
2014-11-26,24.1200,24.2200,23.6820,23.9300,735452
2014-11-28,23.8700,24.2600,23.8700,23.9400,461156
2014-12-01,23.8900,24.4000,23.6700,23.9400,868031
2014-12-02,23.9300,24.6800,23.9300,24.5800,1321180
2014-12-03,24.5600,24.5900,24.1200,24.1800,871506
2014-12-04,24.0900,24.2000,23.6200,24.0800,902348
2014-12-05,23.8900,24.3500,23.8700,23.9500,1013147
2014-12-08,23.9000,24.3600,23.6400,23.7900,758043
2014-12-09,23.5000,23.7300,23.2472,23.3900,765869
2014-12-10,23.3000,23.4900,23.1200,23.1700,540468
2014-12-11,23.2400,24.1100,23.2300,23.6700,763263
2014-12-12,23.3400,24.0600,23.3300,23.8000,960051
2014-12-15,23.8500,24.1200,23.3300,23.8000,768570
2014-12-16,23.6300,23.8600,23.0300,23.0500,825588
2014-12-17,23.1600,24.5700,23.0600,24.4000,934967
2014-12-18,24.6300,24.8499,24.1100,24.3500,574948
2014-12-19,24.2900,24.5000,23.7200,23.9500,1913747
2014-12-22,24.0700,24.4900,23.8800,24.1000,515603
2014-12-23,24.3100,24.3700,24.0300,24.1600,497741
2014-12-24,24.1600,24.2400,24.0200,24.1000,347435
2014-12-26,24.2100,25.2200,24.0800,24.9800,682886
2014-12-29,24.9100,25.2200,24.5900,24.8700,411570
2014-12-30,24.7600,25.0400,24.5700,24.7100,292605
2014-12-31,24.7200,25.1768,24.6100,24.6100,511409
2015-01-02,24.7500,24.9900,23.5000,24.1000,665767
2015-01-05,23.9000,24.0000,23.5300,23.7900,525271
2015-01-06,23.9600,23.9600,22.8600,23.5200,726017
2015-01-07,23.6600,23.9500,23.3100,23.9000,549927
2015-01-08,24.1100,25.1400,23.9401,25.0800,1785544
2015-01-09,25.0100,25.1500,24.6800,24.9800,627265
2015-01-12,25.0300,25.1300,24.6400,24.6600,877495
2015-01-13,24.8400,25.3000,24.6500,25.2000,874200
2015-01-14,24.8700,25.1000,24.7500,25.0200,926606
2015-01-15,25.0300,25.2000,24.7500,24.9100,1386013
2015-01-16,24.7900,25.2500,24.7900,25.1900,980385
2015-01-20,25.2000,25.2400,24.3300,24.6000,1330793
2015-01-21,24.4600,24.8200,24.2300,24.6900,923038
2015-01-22,24.7700,25.1500,24.3300,25.0700,765382
2015-01-23,25.0900,25.2600,24.6200,24.7000,819527
2015-01-26,24.6600,25.5700,24.3900,25.4800,747104
2015-01-27,25.2100,25.5025,25.0500,25.1900,656335
2015-01-28,25.3700,25.5750,25.0700,25.2000,864714
2015-01-29,25.1500,25.5400,24.7900,25.4300,603078
2015-01-30,25.2800,25.5000,25.0200,25.0400,601004
2015-02-02,25.0000,25.4500,24.7600,25.4000,552513
2015-02-03,25.5200,25.9500,25.5200,25.6000,667347
2015-02-04,25.3400,25.6100,25.0000,25.2900,706356
2015-02-05,25.4500,25.9200,25.3700,25.5100,1182498
2015-02-06,25.4500,25.6500,25.0900,25.2100,968353
2015-02-09,25.0600,25.3600,24.9600,25.0000,987504
2015-02-10,25.2200,25.2600,24.7800,25.0800,500918
2015-02-11,25.0800,25.2320,24.8100,24.9500,984755
2015-02-12,24.9200,24.9900,21.8500,24.4900,3327382
2015-02-13,24.3900,25.0900,24.3600,24.8400,1518191
2015-02-17,24.7700,24.9100,24.2400,24.8100,1056745
2015-02-18,24.6900,24.8000,24.2200,24.3600,652089
2015-02-19,24.4300,24.8100,24.3800,24.4500,549520
2015-02-20,24.4900,24.7000,24.3200,24.6200,746653
2015-02-23,24.6200,24.6800,24.1400,24.2700,728414
2015-02-24,24.2600,24.5400,24.0200,24.0800,627198
2015-02-25,24.0100,24.5200,23.8100,24.0300,567334
2015-02-26,23.9400,24.2200,23.8150,24.0400,1024289
2015-02-27,24.1000,24.1100,23.6400,23.7000,1321393
2015-03-02,23.7600,23.8600,23.1400,23.2600,895451
2015-03-03,23.2600,23.4000,22.7300,22.7400,1423778
2015-03-04,22.5300,22.8200,22.4000,22.6500,836192
2015-03-05,22.6400,22.7600,21.8900,21.9400,1370805
2015-03-06,21.9000,22.2000,21.5100,21.9500,1603277
2015-03-09,22.0400,22.4300,21.9400,22.3300,1096265
2015-03-10,22.2700,22.3300,21.7900,22.0200,995557
2015-03-11,22.0200,22.1100,21.5500,21.6400,847112
2015-03-12,21.7800,22.5900,21.7310,22.5400,1327001
2015-03-13,22.5200,22.6000,22.0700,22.2000,805811
2015-03-16,22.3900,22.7300,22.3800,22.4500,832988
2015-03-17,22.4600,22.5100,22.1300,22.4000,720844
2015-03-18,22.3100,22.7100,22.3100,22.7000,996913
2015-03-19,22.6300,22.7600,22.5600,22.6500,478347
2015-03-20,22.7900,22.8200,22.5300,22.7900,1592195
2015-03-23,22.7500,23.5500,22.6300,23.0000,1365832
2015-03-24,22.9700,23.0200,22.6500,22.8700,450158
2015-03-25,22.9000,22.9800,22.3600,22.3900,591085
2015-03-26,22.3200,22.4300,22.0600,22.3300,917638
2015-03-27,22.3000,22.6100,22.1500,22.3000,720057
2015-03-30,22.4100,22.6800,22.4100,22.5600,411509
2015-03-31,22.5000,22.5500,22.3300,22.4400,843843
2015-04-01,22.3700,22.4600,22.0500,22.4000,834123
2015-04-02,22.5100,22.7400,22.4100,22.6100,561866
2015-04-06,22.5000,22.7600,22.3700,22.5000,788370
2015-04-07,22.4100,22.6500,22.1600,22.4700,836701
2015-04-08,22.4500,22.8400,22.2700,22.7000,823004
2015-04-09,22.6400,22.8300,22.4700,22.8100,645572
2015-04-10,22.8800,23.0600,22.6800,23.0400,465498
2015-04-13,23.0000,23.1200,22.8700,23.0700,461130
2015-04-14,23.0800,23.3300,23.0200,23.2800,762375
2015-04-15,23.2900,23.6300,23.1500,23.5700,998074
2015-04-16,23.5300,23.7500,23.5000,23.6300,654266
2015-04-17,23.5000,23.6500,22.4900,22.6900,1775735
2015-04-20,22.7900,22.8100,22.4200,22.8000,591347
2015-04-21,22.8400,22.9560,22.5200,22.5700,406763
2015-04-22,22.5300,22.7300,22.3900,22.6400,409117
2015-04-23,22.5500,23.0650,22.4800,22.9100,429701
2015-04-24,22.8800,22.9400,22.4300,22.5600,628463
2015-04-27,22.5800,22.7300,22.2700,22.4000,840564
2015-04-28,22.3900,23.0200,22.2500,23.0000,545989
2015-04-29,22.9700,23.1699,22.8400,22.9400,632039
2015-04-30,22.8300,23.0700,22.6900,22.8300,962026
2015-05-01,22.9000,22.9800,22.3400,22.4800,1269237
2015-05-04,22.5000,22.7500,22.1400,22.1700,880522
2015-05-05,22.0700,22.2400,21.3300,21.4100,1996534
2015-05-06,21.5500,21.9800,21.2400,21.3800,2004946
2015-05-07,22.4400,22.4400,20.9700,21.3400,2226480
2015-05-08,21.5500,22.6900,21.4400,22.6200,2565049
2015-05-11,22.6000,22.8000,22.2200,22.2300,673760
2015-05-12,22.2000,22.2500,21.7300,22.0000,721580
2015-05-13,22.0200,22.0700,21.5000,21.7700,554605
2015-05-14,21.9800,22.1100,21.7800,21.9000,996905
2015-05-15,22.0000,22.3200,21.9100,22.1100,2033871
2015-05-18,22.1400,22.3700,22.1000,22.2800,928943
2015-05-19,22.3300,22.6600,22.2300,22.4800,861188
2015-05-20,22.5700,23.0100,22.4800,22.9500,1010766
2015-05-21,22.8600,22.9200,22.1550,22.5400,656902
2015-05-22,22.5400,22.5700,22.2500,22.3300,376115
2015-05-26,22.2500,22.3400,21.5500,21.9200,1280192
2015-05-27,21.8800,22.4200,21.7800,22.3900,1102236
2015-05-28,22.3300,22.8100,22.2801,22.7400,585564
2015-05-29,22.6900,22.8300,22.3100,22.5100,853100
2015-06-01,22.6000,22.7700,22.2500,22.5700,639950
2015-06-02,22.6300,23.0500,22.3800,22.9500,1261435
2015-06-03,22.9800,23.6300,22.7848,23.6200,1013309
2015-06-04,23.6200,23.6900,23.4500,23.5300,854928
2015-06-05,23.7000,23.7000,23.3500,23.6200,1286171
2015-06-08,23.5800,23.6400,23.3950,23.5000,1119139
2015-06-09,23.5000,23.6400,23.2900,23.3600,1438909
2015-06-10,23.4800,23.5000,23.3300,23.3500,1052834
2015-06-11,23.3900,23.5750,23.2500,23.5400,2123495
2015-06-12,23.5100,23.5500,23.3800,23.4500,868221
2015-06-15,23.2700,23.4500,23.1000,23.3500,1071426
2015-06-16,23.3600,23.3800,23.2600,23.3800,1536573
2015-06-17,23.4800,23.7000,23.4100,23.4900,826535
2015-06-18,23.6100,23.6400,23.4400,23.5100,1197757
2015-06-19,23.6100,23.6200,23.3800,23.5400,1439248
2015-06-22,23.6800,23.7400,23.5000,23.6700,617416
2015-06-23,23.6700,23.8100,23.6300,23.6700,562544
2015-06-24,23.6100,23.7000,23.5200,23.6000,541962
2015-06-25,23.6900,23.8000,23.4700,23.6300,1199085
2015-06-26,23.7400,24.2600,23.6600,24.0500,2618381
2015-06-29,23.8300,23.9500,22.9800,23.0000,649182
2015-06-30,23.1600,23.2300,22.6300,23.0100,1180205
2015-07-01,23.2100,23.3300,23.1050,23.2500,749767
2015-07-02,23.4600,23.5200,23.0500,23.1600,462833
2015-07-06,22.9300,23.2000,22.7300,22.7800,608368
2015-07-07,22.9200,23.0800,22.5100,22.9900,920764
2015-07-08,22.9100,23.0200,22.4000,22.5300,973760
2015-07-09,22.8100,22.8800,22.5400,22.6800,645669
2015-07-10,23.0700,23.3650,22.8800,23.2400,1093796
2015-07-13,23.4000,23.5400,23.3000,23.4600,739009
2015-07-14,23.3600,23.5800,23.3000,23.5100,585984
2015-07-15,23.5800,23.6800,23.3600,23.6000,638033
2015-07-16,23.7400,24.0300,23.6900,23.8400,791615
2015-07-17,23.8900,23.9900,23.4300,23.5500,510241
2015-07-20,23.5500,23.6100,23.2600,23.3100,310705
2015-07-21,23.2600,23.3900,22.7100,22.7300,446852
2015-07-22,22.6600,23.1100,22.6600,22.9500,568025
2015-07-23,22.9900,23.0050,22.4800,22.5100,472462
2015-07-24,22.4600,22.6100,22.2300,22.2600,511928
2015-07-27,22.1300,22.2600,21.8900,22.1900,450316
2015-07-28,22.2800,22.4700,21.9400,22.2700,752744
2015-07-29,22.2800,22.4200,22.1600,22.2700,414417
2015-07-30,22.1600,22.3325,21.9600,22.2300,376835
2015-07-31,22.3300,22.5100,22.2200,22.3200,810430
2015-08-03,22.3700,22.4500,21.6902,21.8600,1003917
2015-08-04,22.7600,23.2700,21.9900,22.4300,1999383
2015-08-05,22.3000,22.4500,21.5600,21.6200,792997
2015-08-06,21.7600,21.7600,20.0850,21.1100,1787637
2015-08-07,21.0600,21.6100,21.0200,21.3300,622669
2015-08-10,21.4500,21.9825,21.4000,21.9600,680999
2015-08-11,21.7900,21.9600,21.6200,21.8900,750311
