date,open,high,low,close,volume
2002-07-26,82.6700,82.8000,82.4200,82.5100,316300
2002-07-29,82.0600,82.1600,81.3200,81.4200,8400
2002-07-30,81.7500,81.9000,81.5200,81.5200,6100
2002-07-31,81.9500,82.8000,81.9000,82.5300,29400
2002-08-01,82.5400,83.0200,82.5400,83.0000,25000
2002-08-02,83.1600,84.1000,82.8800,83.8500,52800
2002-08-05,84.0400,84.4400,83.8500,84.2200,61100
2002-08-06,83.8000,83.9000,83.2200,83.5000,64900
2002-08-07,83.6000,84.1400,83.3600,83.7000,40300
2002-08-08,83.5800,83.7700,83.3600,83.7000,40900
2002-08-09,84.0000,84.8800,84.0000,84.8800,35900
2002-08-12,85.3000,86.7000,85.1400,85.4000,32100
2002-08-13,85.7800,86.4700,85.3700,86.4500,75400
2002-08-14,87.4600,87.9000,86.7500,86.7800,130000
2002-08-15,86.3800,86.5000,85.8500,86.0200,87100
2002-08-16,86.4400,86.5200,84.8200,85.0600,85000
2002-08-19,85.0500,85.3400,84.7100,85.3200,47300
2002-08-20,85.6200,86.2900,85.6000,86.2700,40800
2002-08-21,85.6800,86.1000,85.6300,85.8100,40000
2002-08-22,85.5500,85.5500,85.0600,85.0600,34400
2002-08-23,85.2000,85.9500,85.2000,85.9000,20100
2002-08-26,85.7000,86.2100,85.6700,85.9800,23900
2002-08-27,85.4000,85.6800,85.2000,85.4400,301800
2002-08-28,86.0400,86.1800,85.8400,85.8700,18100
2002-08-29,86.7600,86.8600,86.3500,86.5600,135700
2002-08-30,86.7500,87.1300,86.4500,87.0800,78100
2002-09-03,87.0800,88.0400,87.0000,88.0400,102100
2002-09-04,88.0300,88.3000,87.8400,88.0200,66300
2002-09-05,88.5700,88.6500,87.3800,88.5000,648400
2002-09-06,87.9700,88.1900,87.2000,87.4600,140000
2002-09-09,87.5000,87.8300,87.2600,87.3300,83800
2002-09-10,87.1700,88.0000,87.0000,87.7500,336000
2002-09-11,87.0000,87.3000,86.7500,87.2900,177700
2002-09-12,87.4800,88.1400,87.4700,87.9700,43400
2002-09-13,88.3300,88.9400,88.1800,88.7800,155100
2002-09-16,89.2000,89.2200,88.9000,88.9300,73000
2002-09-17,88.6400,89.3200,88.3600,89.1000,75400
2002-09-18,89.4600,89.5600,89.0200,89.1200,196600
2002-09-19,89.7000,89.7700,89.2600,89.7200,109900
2002-09-20,89.4500,89.5200,89.0600,89.3000,113500
2002-09-23,90.0000,90.2400,89.7700,90.1000,163200
2002-09-24,90.3000,90.9400,90.2100,90.6800,251900
2002-09-25,90.1000,90.3600,89.2600,89.5800,127200
2002-09-26,89.0500,89.5300,88.6100,89.3700,429000
2002-09-27,89.5300,90.0400,89.4800,90.0400,298200
2002-09-30,90.6600,90.9000,90.0800,90.4000,297800
2002-10-01,89.1600,89.3000,88.8000,88.9400,257500
2002-10-02,89.2400,89.4800,88.8400,89.4500,91000
2002-10-03,89.3000,89.5100,88.8000,89.2300,29900
2002-10-04,88.4000,89.7200,88.4000,89.5100,131000
2002-10-07,89.9000,89.9600,89.4600,89.6600,433800
2002-10-08,89.5000,90.5200,89.3200,89.6900,530900
2002-10-09,90.3000,90.3800,89.9500,90.1500,402900
2002-10-10,90.1700,90.1700,89.2800,89.4400,97100
2002-10-11,89.1000,89.2200,88.0600,88.3800,421800
2002-10-14,88.5000,88.5500,88.0700,88.2500,18300
2002-10-15,87.0000,87.3000,86.1500,86.1600,297100
2002-10-16,86.6000,86.6000,85.8900,86.2000,125200
2002-10-17,85.1400,85.5600,85.0700,85.1500,233400
2002-10-18,85.0200,85.3900,84.2800,85.3700,459100
2002-10-21,85.5000,85.6000,84.5000,84.5400,134900
2002-10-22,84.8500,84.8500,84.2200,84.3000,205000
2002-10-23,84.7500,85.2000,84.1800,84.3300,127800
2002-10-24,84.1600,85.2500,84.0800,85.0700,339600
2002-10-25,85.3500,85.5600,85.1500,85.3800,146100
2002-10-28,85.5600,85.6400,85.2000,85.2600,97800
2002-10-29,85.8200,86.8900,85.7700,86.3700,125000
2002-10-30,86.3700,86.6800,86.0700,86.3400,31900
2002-10-31,86.0500,86.8600,86.0200,86.7300,512700
2002-11-01,86.3000,86.9300,85.2500,85.9800,125100
2002-11-04,85.4800,85.7500,85.2500,85.6000,342500
