date,open,high,low,close,volume
2013-09-17,0.0024,0.0025,0.0020,0.0023,2873929
2013-09-18,0.0024,0.0024,0.0021,0.0023,2357000
2013-09-19,0.0024,0.0024,0.0022,0.0024,2462620
2013-09-20,0.0024,0.0024,0.0020,0.0024,1516100
2013-09-23,0.0024,0.0025,0.0020,0.0025,5805137
2013-09-24,0.0025,0.0025,0.0020,0.0022,16626081
2013-09-25,0.0024,0.0031,0.0020,0.0028,55775464
2013-09-26,0.0033,0.0041,0.0029,0.0040,41844164
2013-09-27,0.0040,0.0041,0.0030,0.0033,19670844
2013-09-30,0.0035,0.0038,0.0028,0.0031,6766535
2013-10-01,0.0031,0.0038,0.0026,0.0033,14636906
2013-10-02,0.0044,0.0044,0.0031,0.0041,18327446
2013-10-03,0.0042,0.0047,0.0040,0.0041,5347306
2013-10-04,0.0041,0.0044,0.0038,0.0040,6541514
2013-10-07,0.0041,0.0042,0.0037,0.0041,9655084
2013-10-08,0.0041,0.0041,0.0031,0.0038,15531370
2013-10-09,0.0038,0.0038,0.0028,0.0030,20529635
2013-10-10,0.0031,0.0034,0.0030,0.0034,2712314
2013-10-11,0.0034,0.0038,0.0032,0.0037,10680643
2013-10-14,0.0034,0.0043,0.0034,0.0043,6110839
2013-10-15,0.0042,0.0044,0.0038,0.0043,8557697
2013-10-16,0.0045,0.0045,0.0038,0.0040,9955031
2013-10-17,0.0040,0.0041,0.0033,0.0035,4042864
2013-10-18,0.0035,0.0035,0.0030,0.0030,9848008
2013-10-22,0.0029,0.0029,0.0025,0.0025,4265191
2013-10-23,0.0026,0.0029,0.0024,0.0025,17801782
2013-10-24,0.0027,0.0027,0.0023,0.0027,13394554
2013-10-25,0.0028,0.0030,0.0024,0.0028,3815436
2013-10-28,0.0029,0.0037,0.0029,0.0033,16435776
2013-10-29,0.0033,0.0035,0.0029,0.0031,14607472
2013-10-30,0.0031,0.0034,0.0029,0.0031,6466433
2013-10-31,0.0033,0.0036,0.0032,0.0033,17109422
2013-11-01,0.0033,0.0034,0.0030,0.0034,7243235
2013-11-04,0.0035,0.0035,0.0030,0.0034,10953035
2013-11-05,0.0033,0.0034,0.0025,0.0030,10157649
2013-11-06,0.0030,0.0030,0.0024,0.0026,9477578
2013-11-07,0.0026,0.0028,0.0025,0.0028,900844
2013-11-08,0.0028,0.0028,0.0025,0.0025,2416800
2013-11-11,0.0026,0.0028,0.0025,0.0028,2229308
2013-11-12,0.0028,0.0033,0.0028,0.0030,8663776
2013-11-13,0.0029,0.0032,0.0027,0.0027,6793128
2013-11-14,0.0027,0.0029,0.0025,0.0025,2934100
2013-11-15,0.0028,0.0029,0.0026,0.0027,3089289
2013-11-18,0.0029,0.0030,0.0025,0.0028,3722771
2013-11-19,0.0029,0.0029,0.0025,0.0028,9958916
2013-11-20,0.0027,0.0028,0.0023,0.0023,7467596
2013-11-21,0.0027,0.0027,0.0023,0.0024,2229767
2013-11-22,0.0025,0.0025,0.0023,0.0023,524000
2013-11-25,0.0024,0.0029,0.0024,0.0025,737696
2013-11-26,0.0026,0.0026,0.0023,0.0024,3550200
2013-11-27,0.0024,0.0025,0.0017,0.0020,11516096
2013-11-29,0.0020,0.0023,0.0020,0.0023,2256272
2013-12-02,0.0023,0.0023,0.0018,0.0022,3264333
2013-12-03,0.0020,0.0020,0.0015,0.0017,5536082
2013-12-04,0.0017,0.0021,0.0015,0.0019,10637698
2013-12-05,0.0019,0.0019,0.0014,0.0018,7430466
2013-12-06,0.0018,0.0024,0.0016,0.0024,5161862
2013-12-09,0.0023,0.0023,0.0016,0.0023,11641416
