date,open,high,low,close,volume
2022-01-13,33.0000,34.9900,32.5400,34.0000,14928525
2022-01-14,33.5488,33.8900,32.3500,32.7900,3033083
2022-01-18,32.4600,35.4000,32.2500,33.6500,2581460
2022-01-19,33.4500,34.5400,33.1400,34.0000,1566267
2022-01-20,34.0000,35.1800,33.7600,33.8100,4842336
2022-01-21,33.5800,33.8799,32.8000,33.3800,1521689
2022-01-24,32.7500,32.7500,30.1200,31.7200,2551133
2022-01-25,31.8300,32.7899,31.0000,31.6000,825371
2022-01-26,32.0800,33.4000,31.5100,32.0100,921683
2022-01-27,32.4600,33.3600,32.3700,32.5000,366457
2022-01-28,32.3500,32.9300,31.7900,32.8300,252930
2022-01-31,32.6500,33.7000,32.5001,33.5700,666413
2022-02-01,33.5000,34.5900,33.1579,34.4300,361430
2022-02-02,34.6200,35.0600,33.8000,34.8900,510871
2022-02-03,34.6700,34.6700,32.1200,32.7400,900371
2022-02-04,33.2900,33.8700,32.6500,33.0800,276038
2022-02-07,33.3000,34.0300,32.2800,32.5400,866673
