date,open,high,low,close,volume
2017-11-20,0.0019,0.0019,0.0019,0.0019,8100
2017-11-30,0.0011,0.0011,0.0011,0.0011,8000
2017-12-13,0.0011,0.0011,0.0011,0.0011,1150
2017-12-26,0.0011,0.0011,0.0011,0.0011,1000
2017-12-29,0.0019,0.0019,0.0019,0.0019,100000
2018-01-04,0.0019,0.0019,0.0019,0.0019,10000
2018-02-05,0.0015,0.0018,0.0015,0.0018,210000
2018-03-02,0.0011,0.0011,0.0011,0.0011,110
2018-03-07,0.0011,0.0011,0.0011,0.0011,140
2018-03-16,0.0012,0.0012,0.0012,0.0012,132
2018-03-27,0.0012,0.0012,0.0012,0.0012,50
2018-04-02,0.0011,0.0011,0.0011,0.0011,102
2018-05-14,0.0012,0.0012,0.0012,0.0012,300
2018-05-17,0.0019,0.0019,0.0012,0.0012,700
2018-06-21,0.0015,0.0037,0.0015,0.0023,521242
2018-06-29,0.0025,0.0025,0.0025,0.0025,10000
2018-07-03,0.0025,0.0025,0.0024,0.0025,317539
2018-07-10,0.0030,0.0055,0.0030,0.0041,581495
2018-07-11,0.0048,0.0048,0.0048,0.0048,20000
2018-08-02,0.0045,0.0045,0.0045,0.0045,50000
2018-08-14,0.0046,0.0049,0.0046,0.0049,110000
2018-08-15,0.0038,0.0038,0.0028,0.0028,170000
2018-08-16,0.0030,0.0030,0.0030,0.0030,150000
2018-08-27,0.0022,0.0022,0.0022,0.0022,500
2018-09-04,0.0038,0.0038,0.0038,0.0038,500
2018-09-19,0.0028,0.0028,0.0028,0.0028,6160
2018-09-24,0.0028,0.0028,0.0022,0.0022,72000
2018-10-02,0.0022,0.0022,0.0022,0.0022,73
2018-10-03,0.0028,0.0028,0.0019,0.0019,530000
2018-10-22,0.0018,0.0019,0.0018,0.0019,100000
2018-11-01,0.0019,0.0019,0.0019,0.0019,10000
2018-11-14,0.0019,0.0019,0.0019,0.0019,10000
2018-11-16,0.0025,0.0025,0.0025,0.0025,9819
2019-01-15,0.0016,0.0025,0.0015,0.0025,782285
2019-01-16,0.0025,0.0025,0.0025,0.0025,731893
2019-01-22,0.0025,0.0030,0.0025,0.0030,16759
2019-01-31,0.0032,0.0032,0.0032,0.0032,13295
2019-02-04,0.0033,0.0033,0.0032,0.0033,42373
2019-02-22,0.0035,0.0035,0.0035,0.0035,25000
2019-03-14,0.0034,0.0034,0.0034,0.0034,20000
2019-04-09,0.0035,0.0035,0.0035,0.0035,10000
2019-04-22,0.0030,0.0030,0.0030,0.0030,100
2019-04-24,0.0030,0.0030,0.0030,0.0030,3888
2019-04-25,0.0035,0.0036,0.0035,0.0036,20000
2019-04-26,0.0030,0.0030,0.0028,0.0028,20000
2019-04-29,0.0035,0.0035,0.0035,0.0035,1968
2019-05-02,0.0035,0.0035,0.0035,0.0035,50000
2019-05-03,0.0038,0.0038,0.0035,0.0035,153888
2019-05-13,0.0032,0.0032,0.0032,0.0032,5000
2019-05-14,0.0032,0.0032,0.0032,0.0032,100
2019-05-28,0.0030,0.0030,0.0030,0.0030,26953
2019-05-31,0.0031,0.0031,0.0028,0.0028,200
2019-06-07,0.0025,0.0025,0.0025,0.0025,300
2019-06-10,0.0031,0.0031,0.0031,0.0031,10000
2019-06-12,0.0026,0.0026,0.0026,0.0026,10000
2019-06-14,0.0025,0.0025,0.0025,0.0025,4649
2019-07-12,0.0035,0.0035,0.0035,0.0035,600
2019-07-19,0.0029,0.0029,0.0025,0.0025,200
2019-07-22,0.0033,0.0033,0.0033,0.0033,100
2019-07-25,0.0023,0.0023,0.0016,0.0016,140000
2019-08-14,0.0020,0.0020,0.0016,0.0016,102000
2019-08-22,0.0015,0.0015,0.0015,0.0015,50000
2019-08-28,0.0012,0.0012,0.0012,0.0012,100
2019-08-29,0.0011,0.0011,0.0011,0.0011,1968
2019-09-19,0.0013,0.0013,0.0013,0.0013,600
2019-09-30,0.0011,0.0011,0.0011,0.0011,600
2019-10-10,0.0022,0.0022,0.0022,0.0022,25000
2019-10-16,0.0020,0.0040,0.0020,0.0030,630814
2019-10-21,0.0024,0.0024,0.0024,0.0024,20000
2019-10-24,0.0032,0.0034,0.0030,0.0034,521600
2019-10-25,0.0037,0.0037,0.0030,0.0036,146499
2019-10-28,0.0030,0.0070,0.0030,0.0050,1479500
2019-10-29,0.0041,0.0079,0.0040,0.0079,383828
2019-11-04,0.0062,0.0062,0.0039,0.0039,170075
2019-11-05,0.0060,0.0109,0.0055,0.0062,2116029
2019-11-06,0.0063,0.0077,0.0055,0.0055,197294
2019-11-07,0.0066,0.0066,0.0051,0.0051,156000
2019-11-08,0.0051,0.0070,0.0048,0.0070,324900
2019-11-11,0.0065,0.0065,0.0065,0.0065,900
2019-11-12,0.0068,0.0068,0.0048,0.0050,170900
2019-11-14,0.0059,0.0059,0.0055,0.0055,130000
2019-11-15,0.0047,0.0047,0.0047,0.0047,2820
2019-11-18,0.0050,0.0067,0.0050,0.0067,302786
2019-11-19,0.0062,0.0069,0.0062,0.0069,10000
2019-11-20,0.0055,0.0074,0.0047,0.0055,28008
2019-11-21,0.0045,0.0050,0.0025,0.0035,252668
2019-11-22,0.0049,0.0049,0.0049,0.0049,1200
2019-12-05,0.0028,0.0028,0.0028,0.0028,120000
2019-12-06,0.0037,0.0046,0.0037,0.0046,25000
2019-12-10,0.0046,0.0046,0.0027,0.0045,170488
2019-12-13,0.0035,0.0065,0.0035,0.0065,15100
2019-12-16,0.0036,0.0065,0.0036,0.0065,2000
2019-12-18,0.0038,0.0038,0.0038,0.0038,2854
2019-12-19,0.0051,0.0065,0.0051,0.0065,10000
2019-12-26,0.0037,0.0037,0.0027,0.0035,110000
2020-01-06,0.0027,0.0027,0.0026,0.0026,143900
2020-01-10,0.0049,0.0049,0.0026,0.0026,20000
2020-01-21,0.0037,0.0037,0.0026,0.0026,12199
2020-02-06,0.0027,0.0027,0.0027,0.0027,10000
2020-02-10,0.0026,0.0026,0.0026,0.0026,4862
2020-02-18,0.0026,0.0026,0.0026,0.0026,4103
2020-02-27,0.0026,0.0026,0.0026,0.0026,35000
2020-02-28,0.0024,0.0024,0.0024,0.0024,35000
2020-03-02,0.0021,0.0021,0.0021,0.0021,20000
2020-03-17,0.0021,0.0021,0.0020,0.0020,140000
2020-03-18,0.0016,0.0016,0.0011,0.0011,555000
2020-03-30,0.0017,0.0017,0.0017,0.0017,100
2020-03-31,0.0017,0.0017,0.0017,0.0017,24
2020-04-01,0.0017,0.0017,0.0017,0.0017,24
2020-04-02,0.0017,0.0017,0.0017,0.0017,100
2020-04-07,0.0012,0.0012,0.0012,0.0012,58000
2020-04-15,0.0017,0.0075,0.0017,0.0065,3766917
2020-04-16,0.0055,0.0065,0.0042,0.0042,629591
2020-04-17,0.0042,0.0044,0.0032,0.0038,473308
2020-04-20,0.0034,0.0083,0.0034,0.0065,478414
2020-04-21,0.0055,0.0082,0.0040,0.0082,28799
2020-04-22,0.0066,0.0082,0.0040,0.0041,161023
2020-04-23,0.0046,0.0061,0.0041,0.0041,1061100
2020-04-24,0.0040,0.0045,0.0036,0.0036,119618
2020-04-28,0.0036,0.0036,0.0036,0.0036,95911
2020-04-29,0.0031,0.0031,0.0025,0.0025,75000
2020-04-30,0.0045,0.0045,0.0037,0.0045,180000
2020-05-01,0.0039,0.0080,0.0037,0.0037,208700
2020-05-07,0.0052,0.0058,0.0052,0.0058,5000
2020-05-08,0.0058,0.0058,0.0058,0.0058,10000
2020-05-11,0.0038,0.0065,0.0038,0.0065,12000
2020-05-18,0.0051,0.0064,0.0038,0.0064,30000
2020-05-19,0.0064,0.0070,0.0053,0.0070,17000
2020-05-29,0.0053,0.0070,0.0037,0.0070,37000
2020-06-03,0.0050,0.0070,0.0050,0.0070,51000
2020-06-08,0.0061,0.0070,0.0057,0.0070,33000
2020-06-10,0.0069,0.0070,0.0069,0.0070,20000
2020-06-15,0.0057,0.0070,0.0057,0.0069,15100
2020-06-18,0.0070,0.0070,0.0070,0.0070,10101
2020-06-19,0.0060,0.0060,0.0033,0.0033,705379
2020-06-23,0.0052,0.0070,0.0034,0.0035,296000
2020-06-24,0.0069,0.0070,0.0069,0.0070,4000
2020-06-25,0.0058,0.0058,0.0058,0.0058,10050
2020-06-26,0.0070,0.0100,0.0052,0.0099,17050
2020-06-30,0.0043,0.0050,0.0043,0.0050,82000
2020-07-01,0.0075,0.0080,0.0067,0.0080,3000
2020-07-06,0.0067,0.0093,0.0067,0.0092,6000
2020-07-07,0.0047,0.0047,0.0047,0.0047,5688
2020-07-08,0.0078,0.0078,0.0046,0.0049,5220
2020-07-09,0.0066,0.0078,0.0066,0.0078,4000
2020-07-10,0.0078,0.0090,0.0066,0.0090,5000
2020-07-13,0.0060,0.0060,0.0060,0.0060,230
2020-07-14,0.0077,0.0089,0.0065,0.0089,3500
2020-07-17,0.0065,0.0089,0.0065,0.0065,3750
2020-07-22,0.0065,0.0065,0.0065,0.0065,0
2020-07-23,0.0041,0.0041,0.0036,0.0038,95600
2020-07-24,0.0036,0.0040,0.0030,0.0040,83500
2020-07-27,0.0089,0.0089,0.0030,0.0035,1933757
2020-07-28,0.0036,0.0036,0.0031,0.0031,34000
2020-07-29,0.0036,0.0036,0.0031,0.0031,99982
2020-07-30,0.0031,0.0031,0.0031,0.0031,0
2020-07-31,0.0031,0.0031,0.0031,0.0031,0
2020-08-03,0.0036,0.0036,0.0031,0.0031,104700
2020-08-04,0.0031,0.0031,0.0031,0.0031,0
2020-08-05,0.0031,0.0031,0.0031,0.0031,0
2020-08-06,0.0031,0.0031,0.0031,0.0031,0
2020-08-07,0.0031,0.0031,0.0031,0.0031,0
2020-08-10,0.0031,0.0031,0.0025,0.0031,130000
2020-08-11,0.0031,0.0031,0.0031,0.0031,0
2020-08-12,0.0032,0.0032,0.0032,0.0032,10000
2020-08-13,0.0032,0.0032,0.0032,0.0032,0
2020-08-14,0.0032,0.0032,0.0032,0.0032,0
2020-08-17,0.0032,0.0032,0.0032,0.0032,0
2020-08-18,0.0032,0.0032,0.0032,0.0032,10000
2020-08-19,0.0032,0.0032,0.0032,0.0032,0
2020-08-20,0.0032,0.0032,0.0032,0.0032,0
2020-08-21,0.0037,0.0077,0.0035,0.0035,952338
2020-08-24,4.7500,4.7500,4.7500,4.7500,107
2020-08-25,4.7500,4.7500,4.7500,4.7500,89
2020-08-26,4.7500,4.7500,4.7500,4.7500,53
2020-08-27,1.7500,1.7500,1.5000,1.5000,677
2020-08-28,1.5000,1.5000,1.5000,1.5000,0
2020-08-31,1.0200,1.0200,1.0200,1.0200,500
2020-09-01,1.0200,1.0200,1.0200,1.0200,3
2020-09-02,1.0200,1.0200,1.0200,1.0200,0
2020-09-03,1.0200,1.0200,1.0200,1.0200,0
2020-09-04,1.0200,1.0200,1.0200,1.0200,0
2020-09-08,0.8900,0.8901,0.8900,0.8901,1650
2020-09-09,0.8901,0.8901,0.8901,0.8901,25
2020-09-10,0.8901,0.8901,0.8901,0.8901,1
2020-09-11,0.8901,0.8901,0.8901,0.8901,0
2020-09-14,0.8901,0.8901,0.8901,0.8901,0
2020-09-15,0.8901,0.8901,0.8901,0.8901,22
2020-09-16,0.8901,0.8901,0.8901,0.8901,20
2020-09-17,0.8901,0.8901,0.8901,0.8901,0
2020-09-18,0.8901,0.8901,0.8901,0.8901,0
2020-09-21,0.8901,0.8901,0.8901,0.8901,0
2020-09-22,0.8901,0.8901,0.8901,0.8901,0
2020-09-23,0.9800,0.9800,0.9800,0.9800,1000
2020-09-24,0.9800,0.9800,0.9800,0.9800,0
2020-09-25,0.9800,0.9800,0.9800,0.9800,0
2020-09-28,0.9800,0.9800,0.9800,0.9800,1001
2020-09-29,0.9800,0.9800,0.9800,0.9800,0
2020-09-30,0.9800,0.9800,0.9800,0.9800,20
2020-10-01,1.0000,1.0000,1.0000,1.0000,100
2020-10-02,1.0000,1.0000,1.0000,1.0000,4
2020-10-05,1.0000,1.0000,1.0000,1.0000,0
2020-10-06,1.1500,1.2000,1.1500,1.2000,231
2020-10-07,1.2000,1.2000,1.2000,1.2000,0
2020-10-08,0.6000,0.6001,0.6000,0.6001,200
2020-10-09,0.6001,0.6001,0.6001,0.6001,0
2020-10-12,0.6001,0.6001,0.6001,0.6001,0
2020-10-13,0.6001,0.6001,0.6001,0.6001,0
2020-10-14,1.2500,1.5000,0.6320,1.5000,3485
2020-10-15,1.5000,1.5000,1.5000,1.5000,0
2020-10-16,1.5000,1.5000,1.5000,1.5000,0
2020-10-19,1.5000,1.5000,1.5000,1.5000,0
2020-10-20,1.1000,1.1000,1.1000,1.1000,103
2020-10-21,1.1000,1.1000,1.1000,1.1000,1
2020-10-22,1.0000,1.0000,1.0000,1.0000,100
2020-10-23,1.0000,1.0000,1.0000,1.0000,0
2020-10-26,1.0000,1.0000,1.0000,1.0000,75
2020-10-27,1.0000,1.0000,1.0000,1.0000,0
2020-10-28,0.7500,0.7500,0.5850,0.5850,1525
2020-10-29,0.5850,0.5850,0.5850,0.5850,1
2020-10-30,0.5850,0.5850,0.5850,0.5850,0
2020-11-02,0.8000,0.8000,0.8000,0.8000,357
2020-11-03,0.8000,0.8000,0.8000,0.8000,0
2020-11-04,0.8000,0.8000,0.8000,0.8000,20
2020-11-05,0.8000,0.8000,0.8000,0.8000,0
2020-11-06,0.9000,0.9000,0.9000,0.9000,220
2020-11-09,0.9000,0.9000,0.9000,0.9000,10
2020-11-10,0.9000,0.9000,0.9000,0.9000,28
2020-11-11,0.9000,0.9000,0.9000,0.9000,1
2020-11-12,0.9100,0.9100,0.9100,0.9100,200
2020-11-13,0.9100,0.9100,0.9100,0.9100,0
2020-11-16,0.9100,0.9100,0.9100,0.9100,12
2020-11-17,1.0000,1.0000,1.0000,1.0000,100
2020-11-18,1.0000,1.0000,1.0000,1.0000,0
2020-11-19,1.0000,1.0000,1.0000,1.0000,0
2020-11-20,1.0000,1.0000,1.0000,1.0000,2
2020-11-23,1.0000,1.0000,1.0000,1.0000,0
2020-11-24,1.0000,1.0000,1.0000,1.0000,0
2020-11-25,0.8000,0.8000,0.8000,0.8000,218
2020-11-27,0.8000,0.8000,0.8000,0.8000,0
2020-11-30,0.8000,0.8000,0.8000,0.8000,15
2020-12-01,0.8000,0.8000,0.8000,0.8000,15
2020-12-02,0.8000,0.8000,0.8000,0.8000,2
2020-12-03,0.8000,0.8000,0.8000,0.8000,0
2020-12-04,0.8000,0.8000,0.8000,0.8000,200
2020-12-07,0.8000,0.8000,0.8000,0.8000,4
2020-12-08,0.9350,0.9350,0.9350,0.9350,249
2020-12-09,0.9350,0.9350,0.9350,0.9350,0
2020-12-10,0.9350,0.9350,0.9350,0.9350,0
2020-12-11,0.9350,0.9350,0.9350,0.9350,0
2020-12-14,0.9350,0.9350,0.9350,0.9350,0
2020-12-15,0.9350,0.9350,0.9350,0.9350,0
2020-12-16,0.9350,0.9350,0.9350,0.9350,0
2020-12-17,0.9350,0.9350,0.9350,0.9350,0
2020-12-18,0.9350,0.9350,0.9350,0.9350,0
2020-12-21,0.9350,0.9350,0.9350,0.9350,0
2020-12-22,0.9350,0.9350,0.9350,0.9350,0
2020-12-23,0.9350,0.9350,0.9350,0.9350,0
2020-12-24,0.9350,0.9350,0.9350,0.9350,0
2020-12-28,0.9350,0.9350,0.9350,0.9350,0
2020-12-29,0.9350,0.9350,0.9350,0.9350,0
2020-12-30,0.9350,0.9350,0.9350,0.9350,0
2020-12-31,0.9350,0.9350,0.9350,0.9350,0
2021-01-04,0.9350,0.9350,0.9350,0.9350,7
2021-01-05,0.9350,0.9350,0.9350,0.9350,1
2021-01-06,0.9350,0.9350,0.9350,0.9350,0
2021-01-07,0.9350,0.9350,0.9350,0.9350,0
2021-01-08,0.9350,0.9350,0.9350,0.9350,1
2021-01-11,0.9350,0.9350,0.9350,0.9350,0
2021-01-12,0.9350,0.9350,0.9350,0.9350,1
2021-01-13,1.0000,1.0000,1.0000,1.0000,0
2021-01-14,1.0000,1.0000,1.0000,1.0000,0
2021-01-15,1.0000,1.0000,1.0000,1.0000,0
2021-01-19,1.0000,1.0000,1.0000,1.0000,0
2021-01-20,1.0000,1.0000,1.0000,1.0000,0
2021-01-21,1.0000,1.0000,1.0000,1.0000,0
2021-01-22,1.0000,1.0000,1.0000,1.0000,0
2021-01-25,1.0000,1.0000,1.0000,1.0000,0
2021-01-26,1.0000,1.0000,1.0000,1.0000,0
2021-01-27,1.0000,1.0000,1.0000,1.0000,0
2021-01-28,1.0000,1.0000,1.0000,1.0000,0
2021-01-29,1.0000,1.0000,1.0000,1.0000,0
2021-02-01,0.7500,0.7500,0.4100,0.4500,22975
2021-02-02,1.7500,2.1000,0.4345,0.4500,68500
2021-02-03,0.4900,0.5000,0.3050,0.4500,104655
2021-02-04,0.7500,0.7500,0.3500,0.4700,128601
2021-02-05,0.4500,0.4500,0.3990,0.4100,55130
2021-02-08,0.4000,0.4500,0.4000,0.4500,22900
2021-02-09,0.4400,0.4500,0.3200,0.4200,36450
2021-02-10,0.4200,0.4200,0.4200,0.4200,36450
2021-02-11,0.4200,0.4200,0.4200,0.4200,0
2021-02-12,0.4400,0.4400,0.4400,0.4400,2600
2021-02-16,0.4400,0.4400,0.4000,0.4000,121211
2021-02-17,0.4300,0.4300,0.4300,0.4300,5000
2021-02-18,0.4400,0.5500,0.4400,0.5000,65962
2021-02-19,0.4100,0.4102,0.4000,0.4000,7100
2021-02-22,0.4900,0.4900,0.4000,0.4000,19663
2021-02-23,0.4000,0.4000,0.2900,0.2900,80035
2021-02-24,0.2900,0.7000,0.2520,0.5800,763437
2021-02-25,0.5900,0.7000,0.4850,0.5800,763437
2021-02-26,0.5500,0.5500,0.4047,0.5500,193369
2021-03-01,0.4301,0.4700,0.3800,0.3800,37831
