date,open,high,low,close,volume
2002-06-12,31.2000,31.2900,30.6000,30.9000,6631800
2002-06-13,30.8000,31.1900,30.8000,31.1900,820400
2002-06-14,31.0000,31.0000,30.7200,30.9900,249900
2002-06-17,30.9800,31.2100,30.7100,31.2000,525800
2002-06-18,31.2200,31.2200,31.0000,31.1500,385200
2002-06-19,31.0700,31.1300,30.9500,31.0000,88700
2002-06-20,30.9700,31.2000,30.9500,30.9900,119100
2002-06-21,30.8500,30.9800,30.7600,30.9200,126800
2002-06-24,30.8000,30.9500,30.7000,30.7400,182200
2002-06-25,30.9800,31.2700,30.9800,31.1600,293600
2002-06-26,30.9200,31.2000,30.9100,31.0000,383900
2002-06-27,31.0000,31.2600,30.8800,31.1100,471700
2002-06-28,31.1500,31.5200,30.9500,31.5200,196600
2002-07-01,31.4500,31.4900,31.1000,31.1000,57900
2002-07-02,31.2000,31.2000,30.8000,31.0600,93500
2002-07-03,31.0600,31.0600,30.3500,30.5600,217800
2002-07-05,30.5500,30.8400,30.4000,30.7500,36800
2002-07-08,30.8200,31.0000,30.7800,30.8500,66700
2002-07-09,30.8500,31.2000,30.8500,31.1800,92400
2002-07-10,31.1800,31.4200,31.0500,31.1000,122000
2002-07-11,31.0000,31.2300,30.9000,31.2100,222100
2002-07-12,31.2500,31.2500,30.9300,30.9300,159100
2002-07-15,30.8500,30.8500,29.2000,29.8500,170300
2002-07-16,29.8000,30.0200,29.5600,29.7700,65100
2002-07-17,29.7800,29.9800,27.6000,27.9200,161300
2002-07-18,27.9000,28.4500,27.6000,27.8400,150000
2002-07-19,27.8000,27.8000,27.1500,27.1500,82900
2002-07-22,26.9500,26.9500,25.6500,25.6500,141500
2002-07-23,25.6500,25.7300,25.0000,25.0000,120800
2002-07-24,24.7500,26.6500,24.6200,26.6500,111900
2002-07-25,26.0700,26.8400,26.0000,26.7500,63300
2002-07-26,26.7500,26.8500,25.9000,26.4900,80800
2002-07-29,26.5600,26.6800,25.8600,26.1700,89600
2002-07-30,25.9200,26.4000,25.6600,26.3900,232800
2002-07-31,26.3900,27.4200,26.1400,27.3000,164800
2002-08-01,27.0500,27.0500,25.8500,26.5000,124600
2002-08-02,26.6800,26.6800,25.7500,25.8000,33000
2002-08-05,25.7000,25.8500,25.7000,25.8400,18900
2002-08-06,25.9000,26.1200,25.6500,26.0000,31900
2002-08-07,26.1500,26.2000,25.7700,25.9300,46000
2002-08-08,25.9300,26.0000,25.7700,26.0000,77900
2002-08-09,26.0700,26.1500,25.9300,26.0100,86100
2002-08-12,25.9000,25.9500,25.7000,25.7500,19000
2002-08-13,25.7900,26.1000,25.7500,25.9400,23100
2002-08-14,25.8400,25.9000,25.5700,25.7600,103500
2002-08-15,25.9000,25.9200,25.5000,25.9200,99700
2002-08-16,25.8500,27.0500,25.7100,27.0500,34700
2002-08-19,27.0400,27.1700,26.7900,27.1700,26300
2002-08-20,27.1500,28.2800,27.1500,27.9700,52900
2002-08-21,28.0700,28.3000,27.6200,27.6200,30300
2002-08-22,27.6900,28.6100,27.6600,28.6100,27500
2002-08-23,28.6100,28.7000,27.9000,28.0000,26700
2002-08-26,27.9000,28.6500,27.8700,28.3800,23200
2002-08-27,28.3800,28.4500,27.8500,28.0900,34100
2002-08-28,27.7200,27.8500,27.1000,27.2500,27000
2002-08-29,27.2000,27.5300,26.7200,27.5300,21200
2002-08-30,27.2100,27.2500,26.9500,27.2300,11700
2002-09-03,27.2000,27.5000,26.6200,27.0700,26800
2002-09-04,27.1000,27.4700,26.8800,27.4000,23200
2002-09-05,27.2000,27.8000,27.2000,27.4000,22200
2002-09-06,27.5200,27.8000,27.5200,27.6100,6800
2002-09-09,27.5500,27.5500,27.2000,27.4000,18500
2002-09-10,27.4000,28.1100,27.1900,27.5000,48000
2002-09-11,27.7900,28.0200,27.7900,27.8000,6500
2002-09-12,27.7400,27.7400,26.8500,27.0100,23500
2002-09-13,26.7500,27.2000,26.6000,26.6000,29200
2002-09-16,26.7000,27.2000,26.3500,27.2000,15300
2002-09-17,27.1900,27.3100,26.1600,26.1900,24000
2002-09-18,25.9500,26.1500,25.6100,25.7800,29000
2002-09-19,25.7000,25.7000,24.7700,24.7700,31000
2002-09-20,24.8500,25.1000,23.2000,23.8700,113500
2002-09-23,23.7400,23.7400,22.7000,22.9500,214000
2002-09-24,22.8000,23.8100,22.7600,23.5000,97000
2002-09-25,24.0100,24.6000,23.7500,24.5700,143000
2002-09-26,24.8100,25.5500,24.7800,25.4800,102400
2002-09-27,25.5000,25.8000,25.2500,25.3900,45100
