date,open,high,low,close,volume
2011-12-29,0.0100,0.0100,0.0100,0.0100,1000
2011-12-30,0.0100,0.0100,0.0100,0.0100,0
2012-01-03,0.0100,0.0100,0.0100,0.0100,0
2012-01-04,0.0100,0.0100,0.0100,0.0100,0
2012-01-05,0.0100,0.0100,0.0100,0.0100,0
2012-01-06,0.0100,0.0100,0.0100,0.0100,0
2012-01-09,0.0100,0.0100,0.0100,0.0100,0
2012-01-10,0.0100,0.0100,0.0100,0.0100,0
2012-01-11,0.0500,0.0500,0.0500,0.0500,500
2012-01-12,0.0500,0.0500,0.0500,0.0500,0
2012-01-13,0.0500,0.0500,0.0500,0.0500,0
2012-01-17,0.0500,0.0500,0.0500,0.0500,1200
2012-01-18,0.0500,0.0500,0.0500,0.0500,0
2012-01-19,0.0500,0.0500,0.0500,0.0500,20000
2012-01-20,0.0500,0.0500,0.0500,0.0500,0
2012-01-23,0.0500,0.0500,0.0500,0.0500,0
2012-01-24,0.0500,0.0500,0.0500,0.0500,0
2012-01-25,0.0500,0.0500,0.0500,0.0500,0
2012-01-26,0.0500,0.0500,0.0500,0.0500,0
2012-01-27,0.0500,0.0500,0.0500,0.0500,0
2012-01-30,0.0500,0.0500,0.0500,0.0500,0
2012-01-31,0.0500,0.0500,0.0500,0.0500,0
2012-02-01,0.0100,0.0100,0.0100,0.0100,12000
2012-02-02,0.0100,0.0100,0.0100,0.0100,0
2012-02-03,0.0150,0.0150,0.0150,0.0150,55000
2012-02-06,0.0150,0.0150,0.0150,0.0150,0
2012-02-07,0.0150,0.0150,0.0150,0.0150,0
2012-02-08,0.0150,0.0150,0.0150,0.0150,0
2012-02-09,0.0150,0.0150,0.0150,0.0150,0
2012-02-10,0.0150,0.0150,0.0150,0.0150,1700
2012-02-13,0.0150,0.0150,0.0150,0.0150,0
2012-02-14,0.0150,0.0150,0.0150,0.0150,0
2012-02-15,0.0150,0.0150,0.0150,0.0150,0
2012-02-16,0.0150,0.0150,0.0150,0.0150,0
2012-02-17,0.0150,0.0150,0.0150,0.0150,0
2012-02-21,0.0150,0.0150,0.0150,0.0150,0
2012-02-22,0.0150,0.0150,0.0150,0.0150,0
2012-02-23,0.0150,0.0150,0.0150,0.0150,0
2012-02-24,0.0150,0.0150,0.0150,0.0150,0
2012-02-27,0.0150,0.0150,0.0150,0.0150,0
2012-02-28,0.0150,0.0150,0.0150,0.0150,0
2012-02-29,0.0150,0.0150,0.0150,0.0150,0
2012-03-01,0.0150,0.0150,0.0150,0.0150,0
2012-03-02,0.0150,0.0150,0.0150,0.0150,0
2012-03-05,0.0150,0.0150,0.0150,0.0150,0
2012-03-06,0.0150,0.0150,0.0150,0.0150,0
2012-03-07,0.0150,0.0150,0.0150,0.0150,0
