date,open,high,low,close,volume
2010-11-30,106.2700,112.3500,104.3900,112.3500,40000
2010-12-01,99.9800,100.6900,98.8000,100.6900,10000
2010-12-02,98.3100,98.3100,86.5000,86.5900,7575
2010-12-03,88.3600,88.3600,78.1200,78.7800,2848
2010-12-06,79.7700,80.0000,74.6200,75.6900,8445
2010-12-07,75.0000,75.0000,70.1000,74.1300,10000
2010-12-08,73.7200,75.9000,70.0000,70.9200,10000
2010-12-09,66.7600,69.4800,66.7600,67.4900,7550
2010-12-10,66.6200,66.9000,65.4500,66.3500,5050
2010-12-13,65.2000,69.0000,65.2000,68.7500,10000
2010-12-14,68.3800,70.4000,67.9300,69.5000,2809
2010-12-15,69.2000,72.8000,67.8500,72.8000,9128
2010-12-16,72.1000,73.1500,69.7900,71.5800,4145
2010-12-17,70.2400,70.5400,66.4400,67.3100,20000
2010-12-20,65.8700,67.3200,63.4100,64.0000,20000
2010-12-21,62.3000,62.7500,61.2600,61.7000,10000
2010-12-22,60.5000,61.7000,60.3200,61.2900,60000
2010-12-23,61.8000,66.6400,61.5000,64.9100,20000
2010-12-27,66.5600,69.3100,66.5600,67.6800,10000
2010-12-28,67.2100,69.9700,67.2100,69.1300,9185
2010-12-29,68.4400,68.6600,66.9700,67.0100,10000
2010-12-30,67.6200,67.8900,65.4500,65.8600,10000
2010-12-31,66.0900,66.8500,64.5100,64.7200,10000
2011-01-03,62.5500,62.5500,59.6600,60.5000,30000
2011-01-04,60.6500,64.3700,59.9900,59.9900,20000
2011-01-05,62.4400,62.4900,57.9800,58.6200,20000
2011-01-06,58.1300,60.0000,57.5100,58.9400,10000
2011-01-07,58.0000,62.3800,56.1800,59.2300,50000
2011-01-10,61.0000,63.0000,58.4100,58.9500,10000
2011-01-11,57.1900,58.0800,55.4100,55.4100,30000
2011-01-12,54.0000,54.0000,50.4000,50.7700,20000
2011-01-13,50.4200,51.6000,49.5000,49.7800,20000
2011-01-14,49.8500,49.8500,44.3800,45.3000,90000
2011-01-18,45.2500,45.3000,42.0900,42.2800,40000
2011-01-19,42.9900,48.6000,42.8200,46.8500,80000
2011-01-20,47.5900,49.6000,45.8000,46.2300,40000
2011-01-21,43.4300,47.4000,43.3500,47.2500,60000
2011-01-24,47.2000,47.9800,44.4300,45.1100,30000
2011-01-25,45.6200,47.3700,43.9300,44.0000,50000
2011-01-26,43.0100,43.7100,40.8400,41.3400,60000
2011-01-27,41.0800,41.9600,39.5000,39.6000,30000
2011-01-28,39.4200,47.3300,38.3200,46.1100,150000
2011-01-31,44.8000,46.5600,44.4700,45.6400,40000
2011-02-01,43.3400,43.6500,40.5000,41.4500,100000
2011-02-02,42.4000,42.4000,40.0000,41.2100,50000
2011-02-03,41.4500,43.4500,39.8000,40.0000,70000
2011-02-04,39.7900,40.5500,37.9000,38.1300,100000
2011-02-07,37.2600,37.2600,36.0000,36.9400,110000
2011-02-08,37.0100,38.0700,35.5600,35.9500,260000
2011-02-09,36.7000,37.7400,35.8500,36.2600,320000
2011-02-10,37.8900,38.0200,35.8300,36.1600,130000
2011-02-11,36.8300,36.9000,34.7500,34.9000,130000
2011-02-14,34.8200,35.3400,34.2100,34.2900,70000
2011-02-15,34.8400,35.3400,34.4500,35.1600,100000
2011-02-16,34.2000,36.0600,33.5600,35.9000,110000
2011-02-17,36.4000,37.3200,36.2400,36.8500,80000
2011-02-18,36.5100,38.3300,36.5000,37.5200,70000
2011-02-22,41.9800,47.3400,40.2700,46.6600,360000
2011-02-23,46.8200,54.0000,45.7800,50.7600,380000
2011-02-24,50.9600,53.6600,48.7500,49.7800,210000
2011-02-25,46.7400,50.2800,43.2000,43.4000,380000
2011-02-28,41.2400,41.4700,39.1800,39.7300,270000
2011-03-01,38.7400,45.6300,38.6800,45.5700,390000
2011-03-02,45.6100,46.8100,42.7500,45.6500,400000
2011-03-03,41.6300,42.6200,40.7500,41.0700,260000
2011-03-04,40.8300,44.8800,40.3300,42.9600,400000
2011-03-07,42.5900,48.1600,41.1600,45.4000,640000
2011-03-08,45.2100,47.6300,42.8700,43.4200,430000
2011-03-09,44.2500,47.1000,43.9400,44.6300,420000
2011-03-10,48.1000,49.9600,46.9400,49.3100,430000
2011-03-11,50.8000,51.2400,46.0000,46.5700,350000
2011-03-14,49.5000,50.2700,47.2100,47.4600,330000
