date,open,high,low,close,volume
2017-09-22,0.0044,0.0060,0.0039,0.0039,1299048
2017-09-25,0.0054,0.0192,0.0050,0.0192,12870626
2017-09-26,0.0200,0.0200,0.0104,0.0131,5116872
2017-09-27,0.0125,0.0169,0.0092,0.0165,2182183
2017-09-28,0.0170,0.0170,0.0100,0.0129,2601133
2017-09-29,0.0129,0.0129,0.0091,0.0110,1620314
2017-10-02,0.0095,0.0110,0.0065,0.0069,726678
2017-10-03,0.0070,0.0079,0.0065,0.0078,61500
2017-10-04,0.0065,0.0080,0.0062,0.0080,321830
2017-10-05,0.0057,0.0075,0.0057,0.0075,207719
2017-10-06,0.0075,0.0200,0.0069,0.0099,10371137
2017-10-09,0.0131,0.0137,0.0099,0.0115,6000665
2017-10-10,0.0136,0.0137,0.0085,0.0103,6134501
2017-10-11,0.0109,0.0109,0.0090,0.0105,1809062
2017-10-12,0.0140,0.0140,0.0088,0.0100,2679381
2017-10-13,0.0109,0.0112,0.0090,0.0094,3491774
2017-10-16,0.0095,0.0101,0.0085,0.0085,979201
2017-10-17,0.0081,0.0092,0.0075,0.0076,1062420
2017-10-18,0.0072,0.0072,0.0053,0.0060,1410670
2017-10-19,0.0069,0.0069,0.0055,0.0064,693280
2017-10-20,0.0064,0.0069,0.0057,0.0069,133750
2017-10-23,0.0069,0.0069,0.0057,0.0059,115382
2017-10-24,0.0059,0.0068,0.0057,0.0066,482318
2017-10-25,0.0053,0.0059,0.0051,0.0054,418523
2017-10-26,0.0051,0.0061,0.0051,0.0057,117370
2017-10-27,0.0054,0.0060,0.0054,0.0060,128287
2017-10-30,0.0054,0.0057,0.0051,0.0051,375278
2017-10-31,0.0051,0.0054,0.0051,0.0051,27712
2017-11-01,0.0051,0.0054,0.0049,0.0049,394079
2017-11-02,0.0040,0.0054,0.0036,0.0054,1066041
2017-11-06,0.0054,0.0054,0.0050,0.0053,175390
2017-11-07,0.0050,0.0054,0.0050,0.0054,328915
2017-11-08,0.0053,0.0110,0.0053,0.0076,1570652
2017-11-09,0.0078,0.0090,0.0070,0.0075,588411
2017-11-10,0.0060,0.0080,0.0050,0.0070,82902
2017-11-13,0.0080,0.0090,0.0050,0.0080,236853
2017-11-14,0.0044,0.0080,0.0044,0.0080,36613
2017-11-15,0.0056,0.0077,0.0056,0.0077,253266
2017-11-16,0.0077,0.0085,0.0061,0.0077,79100
2017-11-20,0.0061,0.0083,0.0061,0.0083,33200
2017-11-21,0.0064,0.0080,0.0055,0.0055,116250
2017-11-22,0.0060,0.0070,0.0055,0.0055,136805
2017-11-24,0.0060,0.0079,0.0053,0.0063,195713
2017-11-27,0.0054,0.0070,0.0043,0.0066,1221543
2017-11-28,0.0050,0.0053,0.0039,0.0053,724123
2017-11-29,0.0069,0.0069,0.0039,0.0069,50207
2017-11-30,0.0050,0.0059,0.0039,0.0059,362497
2017-12-04,0.0048,0.0059,0.0040,0.0059,60898
2017-12-06,0.0050,0.0050,0.0050,0.0050,20200
2017-12-07,0.0050,0.0050,0.0041,0.0041,131688
2017-12-08,0.0049,0.0049,0.0040,0.0040,57106
2017-12-11,0.0050,0.0050,0.0050,0.0050,138
2017-12-12,0.0050,0.0050,0.0050,0.0050,1
2017-12-13,0.0040,0.0045,0.0040,0.0045,58000
2017-12-15,0.0040,0.0050,0.0040,0.0050,10101
2017-12-18,0.0039,0.0050,0.0039,0.0050,3812
2017-12-19,0.0050,0.0050,0.0050,0.0050,18
2017-12-20,0.0039,0.0050,0.0039,0.0050,2103
2017-12-21,0.0050,0.0050,0.0039,0.0050,28300
2017-12-22,0.0039,0.0050,0.0039,0.0050,39101
2017-12-26,0.0050,0.0050,0.0050,0.0050,40002
2017-12-27,0.0050,0.0050,0.0050,0.0050,41
2017-12-28,0.0039,0.0048,0.0037,0.0039,140069
2017-12-29,0.0039,0.0047,0.0036,0.0047,533987
2018-01-02,0.0030,0.0046,0.0030,0.0046,16900
2018-01-03,0.0046,0.0046,0.0046,0.0046,6
2018-01-09,0.0035,0.0035,0.0031,0.0031,122690
2018-01-10,0.0031,0.0043,0.0031,0.0037,42100
2018-01-11,0.0035,0.0045,0.0035,0.0045,1900
2018-01-12,0.0037,0.0042,0.0037,0.0037,90000
2018-01-17,0.0035,0.0038,0.0031,0.0038,500100
2018-01-18,0.0038,0.0041,0.0033,0.0041,45100
2018-01-19,0.0034,0.0041,0.0034,0.0041,394900
2018-01-22,0.0036,0.0036,0.0036,0.0036,26393
2018-01-23,0.0032,0.0040,0.0031,0.0040,668712
2018-01-25,0.0030,0.0039,0.0030,0.0036,30103
2018-01-26,0.0032,0.0040,0.0032,0.0040,95403
2018-01-29,0.0032,0.0032,0.0032,0.0032,170030
2018-01-30,0.0040,0.0040,0.0040,0.0040,400
2018-01-31,0.0040,0.0040,0.0040,0.0040,9002
2018-02-01,0.0031,0.0050,0.0031,0.0050,323100
2018-02-02,0.0050,0.0050,0.0050,0.0050,2
2018-02-05,0.0033,0.0033,0.0033,0.0033,8003
2018-02-06,0.0040,0.0040,0.0040,0.0040,100
2018-02-07,0.0040,0.0044,0.0040,0.0040,515644
2018-02-08,0.0033,0.0040,0.0033,0.0040,84200
2018-02-16,0.0033,0.0040,0.0033,0.0040,2500
2018-02-20,0.0040,0.0040,0.0040,0.0040,2
2018-02-21,0.0040,0.0040,0.0040,0.0040,60
2018-02-22,0.0033,0.0040,0.0033,0.0040,45200
2018-02-23,0.0040,0.0040,0.0040,0.0040,10000
2018-02-27,0.0035,0.0035,0.0035,0.0035,75002
2018-02-28,0.0034,0.0044,0.0031,0.0044,729180
2018-03-01,0.0028,0.0041,0.0028,0.0041,20725
2018-03-02,0.0040,0.0041,0.0040,0.0041,220000
2018-03-05,0.0044,0.0044,0.0034,0.0037,20202
2018-03-06,0.0044,0.0044,0.0044,0.0044,100
2018-03-09,0.0031,0.0031,0.0031,0.0031,50002
