date,open,high,low,close,volume
2010-11-05,17.2400,17.2400,16.5800,17.2100,289200
2010-11-08,17.4500,19.1300,17.3200,19.1300,1530000
2010-11-09,19.3600,19.9200,18.3000,18.5000,2009700
2010-11-10,18.6600,18.8500,18.0000,18.7900,731700
2010-11-11,19.0000,19.0200,18.5200,18.9500,670500
2010-11-12,18.5400,18.5900,17.6900,18.1399,354000
2010-11-15,18.7800,18.7800,17.7600,17.8500,156900
2010-11-16,17.5000,17.5000,16.2900,16.5300,745500
2010-11-17,16.6200,16.9600,16.4001,16.9600,279000
2010-11-18,17.6400,17.8070,17.5500,17.6800,259500
2010-11-19,17.6700,17.8000,17.2600,17.7300,146700
2010-11-22,17.9000,17.9000,17.5000,17.7700,138900
2010-11-23,17.5600,17.6700,17.2500,17.6600,195000
2010-11-24,17.9900,18.6400,17.9900,18.5700,573900
2010-11-26,19.0300,19.3800,18.8300,19.2800,546300
2010-11-29,19.5000,19.5000,18.9100,19.3800,458400
2010-11-30,19.3400,19.4900,19.1100,19.2900,479700
2010-12-01,19.7000,20.0600,19.5001,19.9500,405900
2010-12-02,20.0800,20.2700,19.9800,20.0400,592800
2010-12-03,20.2200,20.2200,19.8700,20.0100,235800
2010-12-06,20.0700,20.1900,19.8918,20.1500,383100
2010-12-07,20.7400,20.7400,20.0800,20.1900,637500
2010-12-08,20.2200,20.2200,19.5500,19.5960,464400
2010-12-09,19.6500,20.0000,19.6000,19.8000,263100
2010-12-10,19.8600,19.8600,19.5900,19.8100,228000
2010-12-13,20.1400,20.1600,19.8000,19.8500,204300
2010-12-14,20.0400,20.0400,19.4000,19.5200,207900
2010-12-15,19.5900,19.6700,19.2100,19.2300,165000
2010-12-16,19.4000,19.6400,19.3400,19.4955,144900
2010-12-17,19.6900,19.6900,19.2900,19.5900,183000
2010-12-20,19.7500,19.8800,19.6500,19.8299,168000
2010-12-21,19.8800,19.9500,19.8000,19.9000,270600
2010-12-22,20.0000,20.0500,19.8700,19.8800,136800
2010-12-23,19.9900,19.9900,19.7700,19.8800,105900
2010-12-27,19.8000,19.8300,19.6900,19.8200,57900
2010-12-28,19.8800,20.1500,19.8400,20.0900,186000
2010-12-29,19.8400,20.2400,19.7201,20.1100,328500
2010-12-30,20.2600,20.3400,20.0001,20.2200,264600
2010-12-31,20.2500,20.5400,20.2000,20.4700,133200
2011-01-03,20.8300,20.9700,20.6500,20.8620,382800
2011-01-04,20.8400,20.9100,19.9100,20.3100,373500
2011-01-05,19.9800,20.0198,19.7800,19.9600,155700
2011-01-06,19.9700,19.9700,19.4464,19.4800,156300
2011-01-07,19.6500,19.6500,19.0400,19.3400,152700
2011-01-10,19.1300,19.4900,18.9400,19.4500,114300
2011-01-11,19.5100,19.8275,19.5100,19.6700,506700
2011-01-12,20.5100,20.5500,20.1501,20.5490,432600
2011-01-13,20.7000,20.9000,20.4200,20.6600,228000
2011-01-14,20.5500,20.6900,20.3500,20.6700,135300
2011-01-18,20.7400,21.3400,20.7400,21.3000,392700
2011-01-19,21.6700,21.8900,20.8310,20.9100,345900
2011-01-20,20.6000,20.6100,20.1000,20.3900,461400
2011-01-21,20.6600,20.6800,20.3154,20.3300,335400
