date,open,high,low,close,volume
2019-12-04,25.1400,25.2920,25.1400,25.2260,3975
2019-12-05,25.2100,25.5600,25.2100,25.4780,11449
2019-12-06,25.6200,25.9000,25.6200,25.8000,7781
2019-12-09,25.9200,25.9200,25.3680,25.3680,9564
2019-12-10,25.3400,25.5800,25.3400,25.3980,6716
2019-12-11,25.4000,25.6100,25.4000,25.5430,8990
2019-12-12,25.8600,25.9600,25.6500,25.6890,15996
2019-12-13,25.6900,25.7480,25.5480,25.5970,4606
2019-12-16,25.7900,25.7900,25.5490,25.5490,5994
2019-12-17,25.4200,25.4200,25.2700,25.2900,4595
2019-12-18,25.3000,25.6190,25.3000,25.6120,2188
2019-12-19,25.6500,25.6600,25.5000,25.5730,6786
2019-12-20,25.6880,25.8040,25.4700,25.4700,3809
2019-12-23,25.6000,25.7630,25.6000,25.7630,2351
2019-12-24,25.8920,25.8920,25.7360,25.7360,876
2019-12-26,25.8900,26.1600,25.8900,25.9900,6480
2019-12-27,25.9900,26.1500,25.9900,26.0640,5879
2019-12-30,26.1800,26.1900,26.1000,26.1200,3357
2019-12-31,26.1630,26.2250,26.0850,26.1590,21576
2020-01-02,26.2700,26.2700,26.1400,26.2400,4118
2020-01-03,26.2000,26.3900,26.2000,26.3300,3044
2020-01-06,26.3250,26.4500,26.2270,26.4400,10033
2020-01-07,26.2540,26.2700,25.9150,25.9150,11778
2020-01-08,25.7500,25.7800,24.6100,25.7260,7911
2020-01-09,25.7550,25.8600,25.3900,25.4070,19168
2020-01-10,25.4250,25.5550,25.4100,25.5000,14285
2020-01-13,25.7000,25.8400,25.5820,25.7100,6169
2020-01-14,25.7010,25.7700,25.6500,25.6500,4310
2020-01-15,25.6800,25.6800,25.4300,25.4400,2953
2020-01-16,25.6500,25.7200,25.6100,25.6640,6830
2020-01-17,25.7500,25.8100,25.3700,25.5300,7717
2020-01-21,25.4000,25.4000,25.1500,25.1500,3810
2020-01-22,25.1500,25.1600,25.0370,25.0860,3000
2020-01-23,24.9800,24.9800,24.6500,24.7640,8955
2020-01-24,24.8500,26.9100,24.5100,24.5100,6877
2020-01-27,24.1300,24.1300,23.9300,23.9300,6588
2020-01-28,24.0500,24.0500,23.8100,23.8100,3124
2020-01-29,23.7500,23.7500,23.5100,23.6000,2234
2020-01-30,23.2500,23.5600,23.2500,23.5600,601
2020-01-31,23.5100,23.5470,23.4000,23.4810,10164
2020-02-03,23.6500,24.0460,23.6500,24.0000,1196
2020-02-04,24.3750,24.5300,24.3750,24.4930,3188
2020-02-05,24.5200,24.5850,24.3500,24.5850,9127
2020-02-06,24.5500,24.5500,24.4100,24.4500,724
2020-02-07,24.4500,24.8250,24.3600,24.3600,677
2020-02-10,24.3500,24.3500,24.1610,24.2200,3240
2020-02-11,24.1600,24.7700,24.1600,24.7200,2218
2020-02-12,24.6900,25.3010,24.6900,25.3010,4763
2020-02-13,25.1800,25.2310,25.1350,25.1740,1411
2020-02-14,24.9230,24.9750,24.9050,24.9140,3607
2020-02-18,24.9000,24.9000,24.6940,24.7400,3634
2020-02-19,24.8100,24.8600,24.7150,24.7900,6404
2020-02-20,24.7000,24.8330,24.7000,24.7000,3488
2020-02-21,24.6800,24.6800,24.4300,24.4500,6947
2020-02-24,24.1400,24.1400,23.5750,23.6800,3248
2020-02-25,23.4400,23.4400,23.0170,23.0170,1857
2020-02-26,23.0150,23.0200,22.7000,22.7330,3830
2020-02-27,22.1200,22.6300,22.0500,22.2750,4961
2020-02-28,21.7400,22.0260,21.3100,22.0260,14513
2020-03-02,22.1300,22.5100,22.1300,22.5070,4122
2020-03-03,23.0500,23.1050,22.6150,22.6150,2009
2020-03-04,22.8100,23.0750,22.8100,22.9370,1051
2020-03-05,22.5600,22.5990,22.4850,22.5170,2110
2020-03-06,22.2900,22.2900,22.0080,22.2180,1356
2020-03-09,21.2400,21.2400,20.2000,20.3400,2586
2020-03-10,20.8600,21.2730,20.2700,21.0080,1748
2020-03-11,20.5200,20.5200,19.8370,19.8370,1037
2020-03-12,18.8000,18.8000,17.7810,18.1330,6378
2020-03-13,18.7500,18.7500,18.0310,18.6720,5176
2020-03-16,16.9300,17.0850,16.6100,16.7720,11009
2020-03-17,17.6700,18.0400,17.4210,17.9920,2046
2020-03-18,17.8300,17.8300,16.5790,16.5790,1305
2020-03-19,15.5900,17.0800,15.5510,16.8740,3719
2020-03-20,16.7330,16.7330,16.7330,16.7330,50
2020-03-23,16.7400,16.7400,16.0000,16.2900,1889
2020-03-24,17.5000,17.6040,17.5000,17.6040,3214
2020-03-25,17.6000,18.6670,17.6000,18.4130,1426
2020-03-26,18.8600,19.2120,18.5000,18.6400,9184
2020-03-27,18.7900,18.7900,18.3900,18.6130,1459
2020-03-30,19.0050,19.6260,18.9000,19.6260,1080
2020-03-31,19.6290,19.9100,19.6200,19.6950,4081
2020-04-01,20.0000,20.0000,19.5400,19.8600,1108
2020-04-02,19.8600,19.8600,19.8600,19.8600,21
2020-04-03,20.7700,20.8020,20.5650,20.8020,1050
2020-04-06,21.0800,21.3600,21.0000,21.3230,2083
