date,open,high,low,close,volume
2002-12-10,1.4584,1.4628,1.4529,1.4598,0
2002-12-11,1.4596,1.4650,1.4587,1.4615,0
2002-12-12,1.4613,1.4634,1.4463,1.4495,0
2002-12-13,1.4496,1.4521,1.4387,1.4442,0
2002-12-16,1.4420,1.4480,1.4403,1.4425,0
2002-12-17,1.4426,1.4444,1.4244,1.4274,0
2002-12-18,1.4281,1.4328,1.4243,1.4254,0
2002-12-19,1.4256,1.4327,1.4210,1.4226,0
2002-12-20,1.4233,1.4282,1.4217,1.4235,0
2002-12-23,1.4240,1.4254,1.4129,1.4200,0
2002-12-24,1.4200,1.4203,1.4049,1.4089,0
2002-12-25,1.4090,1.4093,1.4043,1.4049,0
2002-12-26,1.4057,1.4073,1.4005,1.4007,0
2002-12-27,1.4012,1.4055,1.3895,1.3903,0
2002-12-30,1.3926,1.3973,1.3855,1.3866,0
2002-12-31,1.3865,1.3928,1.3805,1.3812,0
2003-01-01,1.3813,1.3836,1.3805,1.3835,0
2003-01-02,1.3834,1.4048,1.3828,1.4012,0
2003-01-03,1.4009,1.4067,1.3938,1.3978,0
2003-01-06,1.3986,1.3986,1.3873,1.3914,0
2003-01-07,1.3918,1.4025,1.3910,1.4000,0
2003-01-08,1.4000,1.4085,1.3818,1.3886,0
2003-01-09,1.3889,1.3951,1.3827,1.3911,0
2003-01-10,1.3912,1.3945,1.3780,1.3786,0
2003-01-13,1.3794,1.3879,1.3785,1.3850,0
2003-01-14,1.3852,1.3871,1.3788,1.3841,0
2003-01-15,1.3841,1.3934,1.3802,1.3857,0
2003-01-16,1.3858,1.3868,1.3720,1.3743,0
2003-01-17,1.3737,1.3761,1.3662,1.3692,0
2003-01-20,1.3665,1.3738,1.3665,1.3678,0
2003-01-21,1.3680,1.3746,1.3605,1.3638,0
2003-01-22,1.3641,1.3689,1.3609,1.3649,0
2003-01-23,1.3650,1.3671,1.3571,1.3607,0
2003-01-24,1.3613,1.3631,1.3500,1.3519,0
2003-01-27,1.3525,1.3608,1.3455,1.3531,0
2003-01-28,1.3530,1.3625,1.3515,1.3578,0
2003-01-29,1.3578,1.3600,1.3471,1.3563,0
2003-01-30,1.3568,1.3701,1.3543,1.3572,0
2003-01-31,1.3564,1.3698,1.3539,1.3644,0
2003-02-03,1.3618,1.3737,1.3603,1.3627,0
2003-02-04,1.3628,1.3631,1.3431,1.3474,0
2003-02-05,1.3472,1.3668,1.3403,1.3576,0
2003-02-06,1.3578,1.3614,1.3498,1.3536,0
2003-02-07,1.3535,1.3668,1.3482,1.3543,0
2003-02-10,1.3554,1.3665,1.3539,1.3640,0
2003-02-11,1.3641,1.3754,1.3625,1.3675,0
2003-02-12,1.3675,1.3723,1.3618,1.3701,0
2003-02-13,1.3701,1.3722,1.3518,1.3541,0
2003-02-14,1.3541,1.3661,1.3528,1.3616,0
2003-02-17,1.3633,1.3798,1.3625,1.3703,0
2003-02-18,1.3703,1.3775,1.3653,1.3769,0
2003-02-19,1.3772,1.3784,1.3650,1.3672,0
2003-02-20,1.3668,1.3688,1.3545,1.3562,0
2003-02-21,1.3560,1.3672,1.3518,1.3656,0
2003-02-24,1.3668,1.3733,1.3548,1.3570,0
2003-02-25,1.3573,1.3614,1.3488,1.3563,0
2003-02-26,1.3560,1.3620,1.3522,1.3535,0
2003-02-27,1.3535,1.3643,1.3496,1.3581,0
2003-02-28,1.3575,1.3627,1.3507,1.3516,0
2003-03-03,1.3544,1.3580,1.3351,1.3380,0
2003-03-04,1.3387,1.3401,1.3300,1.3321,0
2003-03-05,1.3404,1.3404,1.3257,1.3289,0
2003-03-06,1.3287,1.3370,1.3282,1.3338,0
2003-03-07,1.3336,1.3552,1.3236,1.3351,0
2003-03-10,1.3346,1.3354,1.3235,1.3264,0
2003-03-11,1.3269,1.3325,1.3224,1.3291,0
2003-03-12,1.3293,1.3363,1.3256,1.3346,0
2003-03-13,1.3344,1.3645,1.3344,1.3588,0
2003-03-14,1.3570,1.3733,1.3559,1.3657,0
2003-03-17,1.3620,1.3870,1.3522,1.3794,0
2003-03-18,1.3782,1.3940,1.3775,1.3825,0
2003-03-19,1.3825,1.3947,1.3558,1.3925,0
2003-03-20,1.3930,1.3963,1.3780,1.3870,0
2003-03-21,1.3868,1.4052,1.3558,1.4024,0
2003-03-24,1.3990,1.3990,1.3653,1.3832,0
2003-03-25,1.3843,1.3863,1.3730,1.3823,0
2003-03-26,1.3824,1.3861,1.3558,1.3803,0
2003-03-27,1.3818,1.3858,1.3765,1.3830,0
2003-03-28,1.3824,1.3846,1.3558,1.3832,0
2003-03-31,1.3674,1.3688,1.3492,1.3509,0
2003-04-01,1.3533,1.3594,1.3493,1.3564,0
2003-04-02,1.3565,1.3816,1.3486,1.3801,0
2003-04-03,1.3798,1.3902,1.3749,1.3821,0
2003-04-04,1.3819,1.3909,1.3764,1.3858,0
2003-04-07,1.3939,1.4076,1.3865,1.3888,0
2003-04-08,1.3926,1.3964,1.3846,1.3867,0
2003-04-09,1.3861,1.3931,1.3710,1.3796,0
2003-04-10,1.3801,1.3887,1.3760,1.3867,0
2003-04-11,1.3856,1.4011,1.3846,1.3927,0
2003-04-14,1.3932,1.3969,1.3834,1.3888,0
2003-04-15,1.3887,1.3967,1.3869,1.3907,0
2003-04-16,1.3906,1.3938,1.3690,1.3708,0
2003-04-17,1.3706,1.3818,1.3644,1.3797,0
2003-04-18,1.3816,1.3832,1.3774,1.3824,0
2003-04-21,1.3785,1.3936,1.3774,1.3892,0
2003-04-22,1.3889,1.3903,1.3676,1.3712,0
2003-04-23,1.3709,1.3799,1.3698,1.3730,0
2003-04-24,1.3741,1.3770,1.3572,1.3620,0
2003-04-25,1.3602,1.3710,1.3588,1.3615,0
2003-04-28,1.3620,1.3722,1.3569,1.3713,0
2003-04-29,1.3711,1.3778,1.3605,1.3614,0
2003-04-30,1.3551,1.3593,1.3380,1.3458,0
2003-05-01,1.3458,1.3580,1.3350,1.3453,0
2003-05-02,1.3453,1.3506,1.3380,1.3435,0
2003-05-05,1.3443,1.3496,1.3408,1.3428,0
2003-05-06,1.3420,1.3442,1.3223,1.3241,0
2003-05-07,1.3245,1.3314,1.3203,1.3213,0
2003-05-08,1.3215,1.3300,1.3085,1.3124,0
2003-05-09,1.3120,1.3182,1.3073,1.3131,0
2003-05-12,1.3120,1.3125,1.3003,1.3100,0
2003-05-13,1.3097,1.3193,1.3093,1.3142,0
2003-05-14,1.3145,1.3220,1.3113,1.3148,0
2003-05-15,1.3154,1.3265,1.3105,1.3245,0
2003-05-16,1.3245,1.3259,1.3049,1.3069,0
2003-05-19,1.2974,1.3016,1.2890,1.2978,0
2003-05-20,1.2963,1.3035,1.2869,1.2869,0
2003-05-21,1.2903,1.2986,1.2839,1.2959,0
2003-05-22,1.2959,1.3023,1.2887,1.2942,0
2003-05-23,1.2943,1.3031,1.2864,1.2872,0
2003-05-26,1.2895,1.2960,1.2855,1.2870,0
2003-05-27,1.2869,1.2915,1.2779,1.2840,0
2003-05-28,1.2836,1.3020,1.2833,1.2953,0
2003-05-29,1.2941,1.3069,1.2819,1.2848,0
2003-05-30,1.2868,1.3033,1.2823,1.2975,0
2003-06-02,1.3048,1.3103,1.2940,1.2993,0
