date,open,high,low,close,volume
2002-12-10,123.4600,123.7000,123.0400,123.6200,0
2002-12-11,123.6300,124.0500,123.0800,123.5800,0
2002-12-12,123.6000,123.8900,122.4300,122.7000,0
2002-12-13,122.6900,122.8600,120.2900,120.4800,0
2002-12-16,120.5100,121.4600,120.3600,121.2600,0
2002-12-17,121.2500,121.5300,120.1800,121.2300,0
2002-12-18,121.2600,121.6900,120.8000,121.0800,0
2002-12-19,121.0600,121.2700,120.4000,120.5200,0
2002-12-20,120.5300,120.9900,120.3000,120.3300,0
2002-12-23,120.2800,120.7900,119.7500,120.4400,0
2002-12-24,120.4200,120.5100,119.9500,120.3100,0
2002-12-25,120.3100,120.4800,120.1400,120.2500,0
2002-12-26,120.3200,120.3600,119.9100,119.9500,0
2002-12-27,119.9700,120.1700,119.7500,119.8200,0
2002-12-30,119.8600,120.0100,118.2700,118.4400,0
2002-12-31,118.4200,118.8300,118.3400,118.7300,0
2003-01-01,118.7600,118.8000,118.6000,118.6800,0
2003-01-02,118.6600,120.2300,118.5500,119.9400,0
2003-01-03,119.9400,120.2700,119.5600,119.7600,0
2003-01-06,119.6700,119.8800,118.4900,119.0100,0
2003-01-07,119.0000,120.6000,119.0000,120.4800,0
2003-01-08,120.4500,120.5000,118.6200,119.0300,0
2003-01-09,119.0200,119.6000,118.6700,119.4100,0
2003-01-10,119.3900,120.0400,119.0300,119.1400,0
2003-01-13,119.1900,119.4800,118.7000,118.8100,0
2003-01-14,118.7600,119.1600,117.5000,117.9900,0
2003-01-15,117.9700,118.6400,117.7400,118.0800,0
2003-01-16,118.0900,118.3400,117.6200,117.7800,0
2003-01-17,117.7800,118.1800,117.3700,117.7800,0
2003-01-20,117.8700,118.3300,117.8200,117.9200,0
2003-01-21,117.9200,119.1500,117.8700,118.1600,0
2003-01-22,118.1400,118.5500,117.9200,118.3600,0
2003-01-23,118.3500,118.8300,117.6200,117.9700,0
2003-01-24,117.9600,118.1800,117.5000,117.7700,0
2003-01-27,117.7200,119.2900,117.4800,118.4900,0
2003-01-28,118.5000,118.9400,118.2900,118.6100,0
2003-01-29,118.6400,118.7700,117.8000,118.3500,0
2003-01-30,118.3700,119.4800,118.2300,119.2000,0
2003-01-31,119.2000,120.0600,118.8000,119.8800,0
2003-02-03,119.5800,120.9000,119.5800,120.2900,0
2003-02-04,120.3100,120.5700,119.5700,119.7400,0
2003-02-05,119.7000,120.3300,119.0000,120.0100,0
2003-02-06,119.9900,120.2600,119.5000,119.8600,0
2003-02-07,119.8500,120.4200,119.5600,120.1800,0
2003-02-10,120.3300,121.3800,120.2000,121.2000,0
2003-02-11,121.1700,121.7700,120.9500,121.1000,0
2003-02-12,121.0800,121.4900,120.4100,121.2200,0
2003-02-13,121.2400,121.4600,120.2000,120.5400,0
2003-02-14,120.5200,120.8300,120.0700,120.3000,0
2003-02-17,120.4200,120.7800,119.9700,120.1500,0
2003-02-18,120.1600,120.7500,118.6300,118.8500,0
2003-02-19,118.8400,119.2100,118.4800,118.6200,0
2003-02-20,118.6600,119.0700,118.0200,118.2300,0
2003-02-21,118.2200,118.9100,118.1500,118.7800,0
2003-02-24,118.7300,118.8700,117.5500,117.9200,0
2003-02-25,117.8900,118.2300,116.9500,117.2000,0
2003-02-26,117.2100,117.6200,117.0200,117.0900,0
2003-02-27,117.1000,117.8700,116.7700,117.5200,0
2003-02-28,117.5100,118.2900,117.3400,118.0900,0
2003-03-03,118.1200,118.3000,117.0200,117.6000,0
2003-03-04,117.5900,118.1200,117.3700,117.9100,0
2003-03-05,117.9200,117.9800,116.9600,117.2900,0
2003-03-06,117.2700,117.5800,117.1000,117.3400,0
2003-03-07,117.3500,117.4800,116.3000,116.9800,0
2003-03-10,117.0500,117.1300,116.3500,116.9200,0
2003-03-11,116.9000,117.3300,116.5900,117.1500,0
2003-03-12,117.1600,117.5700,116.9200,117.2600,0
2003-03-13,117.2400,118.7300,117.1600,118.5000,0
2003-03-14,118.5100,118.7500,118.0100,118.2500,0
2003-03-17,118.1800,118.7000,117.5400,118.4000,0
2003-03-18,118.3700,119.1900,118.2300,118.8300,0
2003-03-19,118.8500,120.6400,118.5000,120.6100,0
2003-03-20,120.5600,120.5900,119.6900,120.3100,0
2003-03-21,120.2700,121.8700,120.0900,121.5400,0
2003-03-24,121.2000,121.3100,120.3200,120.7100,0
2003-03-25,120.6700,120.8500,119.3500,120.1600,0
2003-03-26,120.1200,120.4700,119.8100,120.0500,0
2003-03-27,120.0500,120.1100,119.5500,120.0100,0
2003-03-28,120.0100,120.4100,119.4200,119.6900,0
2003-03-31,119.8200,120.1900,117.7200,118.1700,0
