date,open,high,low,close,volume
2011-10-04,40.7700,41.1300,34.5700,34.5700,11420
2011-10-05,33.1700,33.4200,30.4700,30.4700,3400
2011-10-06,30.4300,31.5500,29.2300,29.2300,34458
2011-10-07,28.6600,31.2100,28.3000,29.6600,13601
2011-10-10,27.8000,27.8200,26.2000,26.2000,28700
2011-10-11,26.3800,26.4200,25.0500,25.3000,12700
2011-10-12,23.4300,23.4300,20.9800,21.6300,22720
2011-10-13,22.3800,23.5600,21.7800,21.7800,8220
2011-10-14,19.7200,20.8600,19.2900,19.6400,14200
2011-10-17,19.4400,23.4400,19.4400,23.4400,43504
2011-10-18,23.2600,24.8200,20.0100,21.8700,54460
2011-10-19,21.1700,24.9200,20.7600,24.3000,33722
2011-10-20,24.6200,26.3400,23.9900,24.3400,39968
2011-10-21,22.7200,23.5400,21.8700,21.8700,34547
2011-10-24,21.3400,21.3400,19.1200,19.2100,49852
2011-10-25,19.7300,22.0200,19.7300,21.7200,51669
2011-10-26,19.9900,23.0900,19.7800,20.0000,38376
2011-10-27,15.8600,16.6600,14.3800,14.6700,149163
2011-10-28,15.2000,15.4300,14.2200,14.4000,74675
2011-10-31,15.7700,17.4700,15.5100,17.4700,162072
2011-11-01,22.7800,23.6700,21.2000,22.5900,240000
2011-11-02,20.9700,22.7100,20.7000,21.2000,168795
2011-11-03,19.9700,22.5400,19.0200,19.2000,227186
2011-11-04,20.1800,21.3600,19.3600,19.9300,107320
2011-11-07,20.1500,21.1700,19.5600,19.5700,137688
2011-11-08,19.0300,20.1000,17.6400,17.7200,133574
2011-11-09,20.3700,24.5400,20.1100,24.2800,240000
2011-11-10,21.4200,23.9400,21.0700,21.2100,240000
2011-11-11,19.6400,19.6700,18.9500,19.4400,119215
2011-11-14,20.0200,21.1500,19.9400,20.3700,73630
2011-11-15,21.1100,21.4900,19.6500,19.9800,193333
2011-11-16,21.2300,22.1900,19.7600,21.9100,480000
2011-11-17,22.2500,24.8500,21.8500,24.0000,240000
2011-11-18,22.6300,23.9700,22.3600,22.3600,240000
2011-11-21,24.7400,24.8100,22.6400,22.9100,240000
2011-11-22,23.1500,23.6100,21.8300,21.9500,180458
2011-11-23,23.0000,24.0300,22.6900,23.9300,240000
2011-11-25,24.0900,24.7200,23.1600,24.5400,113513
2011-11-28,21.2800,22.6800,20.9100,22.2100,199661
2011-11-29,21.7800,22.2200,20.8400,21.2700,184462
2011-11-30,18.4100,18.7200,17.4100,17.5000,209815
2011-12-01,17.6400,17.7200,16.4700,16.7000,79708
2011-12-02,15.7300,16.6800,15.1900,16.6000,240000
2011-12-05,15.2400,16.9000,15.2000,16.5500,227157
2011-12-06,16.5500,16.7600,15.9800,16.4000,225102
2011-12-07,16.8800,18.1900,16.8700,17.4400,240000
2011-12-08,18.4100,19.3100,18.1400,19.0500,240000
2011-12-09,18.5300,18.5700,16.3400,16.4100,183914
2011-12-12,17.0000,17.6400,16.4500,16.4500,135359
2011-12-13,15.8000,16.9600,15.1000,16.3200,240000
2011-12-14,16.2700,17.0800,15.8600,16.3800,240000
2011-12-15,15.2400,15.5700,14.7700,15.1600,240000
2011-12-16,14.1600,15.3600,14.1600,14.9900,240000
2011-12-19,14.6700,14.9200,14.0600,14.6600,240000
2011-12-20,13.3800,13.3800,12.8500,12.8600,240000
2011-12-21,12.6100,12.9800,11.1300,11.1700,240000
2011-12-22,10.6700,11.3900,10.2500,11.1600,194081
2011-12-23,10.8500,11.9100,10.8200,11.6900,176887
2011-12-27,11.5900,11.6700,11.2500,11.5600,102153
2011-12-28,11.4200,12.5500,11.4200,12.4800,218698
2011-12-29,12.3200,12.3400,11.8400,11.8800,130379
2011-12-30,11.8800,12.2700,11.7900,12.2600,111246
2012-01-03,11.1300,11.2600,10.8400,10.9700,232652
2012-01-04,11.2800,11.4600,10.5100,10.5400,240000
2012-01-05,10.8300,11.0400,10.0300,10.0600,240000
2012-01-06,9.8900,10.2800,9.5400,9.7400,240000
2012-01-09,9.5600,9.7200,9.3400,9.4400,223222
2012-01-10,8.8700,9.1500,8.7000,9.0500,240000
2012-01-11,9.2000,9.3900,9.1500,9.3100,240000
2012-01-12,9.2400,9.9200,9.0500,9.0700,240000
2012-01-13,9.5200,10.1000,9.4800,9.5600,720000
2012-01-17,8.9400,9.5200,8.6500,9.4100,480000
2012-01-18,9.2900,9.5100,8.7100,8.7500,480000
2012-01-19,8.5000,8.6800,8.2300,8.2600,720000
2012-01-20,8.3400,8.4100,7.7200,7.7700,720000
2012-01-23,7.7300,7.8200,7.2600,7.3600,720000
2012-01-24,7.7200,7.7800,7.3400,7.4100,720000
2012-01-25,7.4100,7.6000,6.7400,6.7900,1200000
2012-01-26,6.5000,7.0000,6.4600,6.7900,720000
2012-01-27,6.9900,7.0300,6.4400,6.5100,720000
2012-01-30,6.9900,7.0800,6.7100,6.8900,720000
2012-01-31,6.5800,7.0300,6.5300,6.8800,480000
2012-02-01,6.6000,6.7000,6.3300,6.5200,480000
2012-02-02,6.2800,6.3500,6.1200,6.1300,720000
2012-02-03,5.6100,5.7300,5.4800,5.4800,720000
2012-02-06,5.5600,5.5900,5.3400,5.3500,240000
2012-02-07,5.3800,5.5800,5.3300,5.4300,480000
2012-02-08,5.4300,5.7600,5.3800,5.6900,480000
2012-02-09,5.7500,6.2600,5.6500,6.2500,720000
2012-02-10,6.9100,8.0800,6.7800,7.3200,1680000
2012-02-13,6.5300,6.7200,6.2000,6.2100,960000
2012-02-14,6.4000,7.3500,6.3800,6.5800,1680000
2012-02-15,6.6900,7.4300,6.6800,7.3300,2640000
2012-02-16,7.6400,7.9100,6.6800,6.7300,2400000
2012-02-17,6.5100,6.8700,6.3900,6.6500,1680000
2012-02-21,6.4000,6.7300,6.3500,6.5300,1680000
2012-02-22,6.6200,6.6700,6.1500,6.1800,2160000
2012-02-23,6.1900,6.3000,5.3100,5.4000,5040000
2012-02-24,5.2500,5.8300,5.1700,5.7800,5520000
2012-02-27,6.1700,6.2200,5.5100,5.8700,6720000
2012-02-28,6.0000,6.0400,5.7000,5.7400,4080000
2012-02-29,5.5400,5.8100,5.3300,5.5300,9360000
2012-03-01,5.4700,5.5200,5.2500,5.3300,6480000
2012-03-02,5.3100,5.4900,5.2200,5.4100,5280000
2012-03-05,5.4600,5.5800,5.3100,5.3600,8160000
2012-03-06,6.0400,6.2800,5.8200,6.1800,12720000
2012-03-07,6.0200,6.1000,5.5500,5.5800,1680000
2012-03-08,31.3900,31.6900,30.1000,30.5100,14160000
2012-03-09,29.6200,29.7400,28.0500,29.2900,3480000
2012-03-12,28.4800,28.6000,26.3900,26.5900,3760000
2012-03-13,25.0500,25.4300,23.7400,24.1700,4920000
2012-03-14,23.7800,26.9600,23.6900,25.6900,4120000
2012-03-15,26.3000,26.6700,24.8600,24.8600,3760000
2012-03-16,24.6000,25.4300,24.3900,24.7700,2920000
2012-03-19,24.5000,24.6500,21.4500,21.8500,5560000
2012-03-20,22.7300,23.0900,19.7200,19.7400,5680000
2012-03-21,18.9100,19.5000,17.3400,17.8000,5680000
2012-03-22,19.2500,19.9400,17.7800,18.1700,5480000
2012-03-23,17.9600,18.5600,15.5400,15.6600,5760000
2012-03-26,14.4300,14.5000,12.6000,12.7500,3720000
2012-03-27,13.1400,15.3400,13.0400,15.2800,4120000
2012-03-28,15.2200,18.2000,14.7500,15.4600,6960000
2012-03-29,17.3900,17.3900,15.0200,15.3800,5280000
2012-03-30,14.0800,15.2800,14.0000,14.5600,3840000
2012-04-02,14.6900,14.8400,13.5000,14.5200,4200000
2012-04-03,14.3800,15.8700,14.1400,15.0200,5440000
2012-04-04,16.5100,17.2400,15.4000,15.7000,7160000
2012-04-05,16.4600,16.6400,15.5500,16.3600,5000000
2012-04-09,18.3700,18.5000,17.0900,18.4400,5520000
2012-04-10,18.6100,21.5000,18.1100,21.4200,7280000
2012-04-11,19.2900,20.6600,18.8300,20.4000,4560000
2012-04-12,19.8600,20.1000,16.7700,16.9000,6600000
2012-04-13,16.6700,18.6400,16.6400,18.5900,6520000
2012-04-16,17.2400,19.2100,16.8600,17.9000,8800000
2012-04-17,16.6800,16.8200,15.5200,15.9800,6680000
2012-04-18,16.3200,16.8100,15.5800,16.3700,5240000
2012-04-19,16.3200,17.6500,15.6000,16.6800,10080000
2012-04-20,15.9800,16.0400,15.2800,15.6300,9360000
2012-04-23,17.1200,17.8000,16.4300,16.6000,10240000
2012-04-24,16.4700,16.6700,15.8100,15.8100,6040000
2012-04-25,14.5600,14.6900,13.8600,13.9200,7960000
2012-04-26,13.9600,14.0800,12.6800,12.9300,7840000
2012-04-27,12.8000,13.3800,12.6200,12.8400,7080000
2012-04-30,13.1800,13.5700,13.0000,13.4400,5360000
2012-05-01,13.3300,13.4200,12.2500,12.5700,8160000
2012-05-02,13.1500,13.4000,12.5500,12.7800,6760000
2012-05-03,12.6200,13.6700,12.4200,13.3300,7920000
2012-05-04,13.6000,14.9400,13.5500,14.5700,11880000
2012-05-07,15.2300,15.3200,13.7300,14.0700,8320000
2012-05-08,14.6200,16.1200,14.1700,14.3400,15040000
2012-05-09,15.7300,16.3300,14.5100,15.4500,16280000
2012-05-10,14.5100,14.9100,14.0600,14.4200,9640000
2012-05-11,15.1600,15.2000,13.9100,14.8300,12240000
2012-05-14,16.1200,16.6200,15.6800,16.5600,14000000
2012-05-15,16.6300,18.3300,15.9900,18.1900,12920000
2012-05-16,17.6100,19.6100,17.0400,19.4200,13960000
