date,open,high,low,close,volume
2002-03-21,27.0000,27.0000,27.0000,27.0000,0
2002-03-22,26.7500,26.7500,25.9300,26.1500,3687300
2002-03-25,26.0500,26.2500,26.0000,26.1500,619100
2002-03-26,26.1500,26.8500,26.1500,26.8400,383700
2002-03-27,26.9500,27.7500,26.8000,27.2500,1160700
2002-03-28,27.0000,27.4000,26.7500,27.3900,508200
2002-04-01,27.4000,27.4800,26.7500,27.2500,227300
2002-04-02,27.2500,27.4900,27.0000,27.0000,345400
2002-04-03,27.0000,27.0500,26.0600,26.6000,702500
2002-04-04,26.5000,27.2000,26.5000,27.2000,190400
2002-04-05,27.1000,27.9500,27.0500,27.7100,461100
2002-04-08,27.2000,27.6500,27.1800,27.6000,368200
2002-04-09,28.0000,28.0000,27.6000,27.9000,242100
2002-04-10,27.9000,28.3200,27.7000,28.3100,252300
2002-04-11,28.4000,28.4000,28.0000,28.2300,485100
2002-04-12,28.0000,28.4000,27.8500,28.3000,442400
2002-04-15,28.4000,28.4500,28.0000,28.1000,183200
2002-04-16,28.0000,28.5000,28.0000,28.4600,333200
2002-04-17,28.4600,28.4600,28.3000,28.3300,308700
2002-04-18,28.4000,28.4000,27.6800,27.8500,312600
2002-04-19,27.9500,27.9500,27.5000,27.6000,294300
2002-04-22,27.7500,28.4500,27.6000,28.3000,743500
2002-04-23,28.3000,28.3000,28.1000,28.1600,1032200
2002-04-24,28.1000,28.3700,28.0000,28.0000,583200
2002-04-25,27.9000,27.9000,27.2000,27.3500,269900
2002-04-26,27.3400,27.3400,27.0500,27.2500,666200
2002-04-29,27.1000,27.4000,27.1000,27.2500,316900
2002-04-30,27.2000,27.3900,27.1000,27.2900,384700
2002-05-01,27.2000,27.7500,27.1500,27.7500,458800
2002-05-02,27.7500,27.7500,27.0000,27.0000,593500
2002-05-03,27.0000,27.3000,27.0000,27.0000,474200
2002-05-06,27.0000,27.7000,27.0000,27.5000,407100
2002-05-07,27.6000,27.6000,27.1300,27.1700,908800
2002-05-08,27.2500,27.7000,27.2500,27.6000,312300
2002-05-09,27.7000,27.8800,27.3500,27.3500,248200
2002-05-10,27.4000,27.6500,27.3000,27.6500,525900
2002-05-13,27.6000,27.8000,27.5200,27.8000,70400
2002-05-14,27.6200,28.1000,27.5000,27.8500,266900
2002-05-15,27.6000,27.8900,27.4600,27.8000,237200
2002-05-16,27.8000,27.9000,27.5200,27.6600,245600
2002-05-17,27.7000,27.7000,27.5000,27.5500,326100
2002-05-20,27.4000,27.6500,27.2000,27.6100,179300
2002-05-21,27.7000,28.1500,27.6500,28.1100,434400
2002-05-22,28.1100,28.1300,28.0000,28.1000,490900
2002-05-23,27.9900,28.3100,27.9000,28.3100,262600
2002-05-24,28.3100,28.3100,28.1000,28.2500,60500
2002-05-28,28.3100,28.7500,28.3100,28.7500,395100
2002-05-29,28.7000,30.4000,28.7000,29.9900,1049200
2002-05-30,29.6000,29.6500,29.2000,29.5000,530400
2002-05-31,29.5500,30.1500,29.5500,30.0000,353200
2002-06-03,30.0000,30.3000,29.8500,30.0000,175300
2002-06-04,30.0000,30.0000,29.7100,29.7600,580500
2002-06-05,29.8000,29.8500,29.5000,29.7500,161900
